Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,21.12501,21.24999,19.81251,20.93751,106500,5.40679
2000-01-04,20.68749,21.00,20.56251,21.00,107700,5.42293
2000-01-05,20.75001,21.9375,20.75001,21.68751,120900,5.60047
2000-01-06,21.43749,21.9375,21.43749,21.9375,144300,5.66502
2000-01-07,21.68751,22.50,21.5625,22.37499,247800,5.77800
2000-01-10,22.50,23.25,22.50,22.81251,148200,5.89098
2000-01-11,22.81251,22.81251,22.25001,22.74999,159000,5.87484
2000-01-12,22.56249,23.00001,22.25001,22.81251,125400,5.89098
2000-01-13,23.18751,23.18751,22.50,22.81251,431100,5.89098
2000-01-14,22.81251,22.81251,21.87501,22.18749,168600,5.72958
2000-01-18,22.93749,23.37501,22.74999,23.31249,392700,6.02009
2000-01-19,23.18751,23.18751,22.125,22.875,96300,5.90712
2000-01-20,23.00001,23.18751,22.74999,23.00001,138300,5.93940
2000-01-21,23.25,23.49999,22.81251,22.875,234000,5.90712
2000-01-24,23.00001,23.4375,22.56249,22.875,476700,5.90712
2000-01-25,23.0625,23.37501,22.62501,23.0625,390900,5.95554
2000-01-26,22.93749,23.00001,22.37499,22.43751,139200,5.79414
2000-01-27,22.37499,22.56249,21.50001,21.50001,318900,5.55205
2000-01-28,21.5625,21.5625,21.00,21.375,271800,5.51977
2000-01-31,20.87499,21.06249,20.00001,20.00001,422400,5.164
2000-02-01,19.93749,20.625,19.93749,20.49999,620700,5.29381
2000-02-02,20.75001,20.8125,20.4375,20.49999,275400,5.29381
2000-02-03,20.625,21.24999,20.31249,20.625,188400,5.32609
2000-02-04,20.56251,20.68749,19.6875,19.74999,157200,5.10013
2000-02-07,19.74999,20.0625,19.74999,20.00001,300900,5.164
2000-02-08,20.00001,20.31249,19.50,19.62501,359100,5.06786
2000-02-09,19.875,19.93749,19.125,19.18749,177900,4.9548
2000-02-10,19.25001,19.43751,18.75,19.18749,150300,4.9548
2000-02-11,19.3125,19.43751,19.18749,19.3125,122700,4.98716
2000-02-14,19.43751,19.875,19.18749,19.18749,756900,4.9548
2000-02-15,19.43751,20.12499,19.37499,19.81251,153300,5.11628
2000-02-16,20.0625,20.31249,20.00001,20.12499,189900,5.19697
2000-02-17,20.625,20.625,19.74999,19.74999,223500,5.10013
2000-02-18,19.62501,20.0625,18.99999,19.06251,152700,4.92260
2000-02-22,19.06251,19.125,18.68751,18.87501,132300,4.87418
2000-02-23,19.06251,19.06251,18.68751,18.87501,127200,4.87418
2000-02-24,18.81249,19.18749,18.81249,18.99999,128700,4.90646
2000-02-25,18.9375,19.18749,18.9375,18.99999,66000,4.90646
2000-02-28,18.75,19.3125,18.75,19.06251,162300,4.92260
2000-02-29,19.18749,19.25001,18.68751,18.81249,286800,4.85804
2000-03-01,18.81249,18.9375,18.62499,18.9375,189000,4.94154
2000-03-02,19.18749,19.25001,18.87501,18.87501,564000,4.92523
2000-03-03,18.75,19.3125,18.75,19.25001,157500,5.02309
2000-03-06,19.125,19.56249,18.9375,19.37499,315300,5.05570
2000-03-07,19.25001,20.31249,18.81249,19.62501,703200,5.12094
2000-03-08,20.00001,20.00001,18.50001,18.9375,483300,4.94154
2000-03-09,18.99999,18.99999,18.62499,18.75,74400,4.89261
2000-03-10,18.62499,18.81249,18.1875,18.31251,88800,4.7784
2000-03-13,17.93751,18.75,17.93751,18.50001,216600,4.82738
2000-03-14,18.24999,19.43751,18.24999,19.25001,198900,5.02309
2000-03-15,19.62501,20.49999,19.25001,20.37501,701400,5.31664
2000-03-16,20.625,20.87499,19.875,20.68749,135600,5.39818
2000-03-17,20.75001,21.12501,19.875,19.875,302400,5.18617
2000-03-20,19.62501,20.37501,19.62501,20.0625,303600,5.23510
2000-03-21,20.00001,20.49999,19.81251,20.0625,293700,5.23510
2000-03-22,20.00001,20.18751,19.81251,19.81251,77700,5.16986
2000-03-23,19.56249,20.12499,19.56249,19.74999,114000,5.15355
2000-03-24,19.6875,19.93749,19.18749,19.50,173700,5.08832
2000-03-27,19.875,19.93749,19.56249,19.74999,195900,5.15355
2000-03-28,20.00001,20.00001,19.62501,19.6875,114300,5.1372
2000-03-29,19.62501,20.00001,19.3125,20.00001,417000,5.21879
2000-03-30,20.31249,21.24999,20.12499,21.24999,595500,5.54496
2000-03-31,21.1875,21.31251,20.625,20.93751,255000,5.46342
2000-04-03,21.06249,22.125,21.00,21.81249,276900,5.69174
2000-04-04,21.99999,22.125,20.87499,21.75,447300,5.67543
2000-04-05,21.99999,22.3125,21.375,22.125,335100,5.7732
2000-04-06,22.06251,22.50,21.9375,22.18749,245400,5.78959
2000-04-07,22.25001,22.3125,21.62499,21.81249,378000,5.69174
2000-04-10,21.62499,21.9375,21.62499,21.87501,151800,5.70805
2000-04-11,21.9375,22.125,21.75,22.06251,111000,5.75698
2000-04-12,22.125,22.50,21.99999,22.43751,213000,5.85483
2000-04-13,22.18749,22.56249,22.18749,22.56249,154200,5.88744
2000-04-14,22.3125,22.50,21.62499,21.87501,192000,5.70805
2000-04-17,21.00,21.87501,20.8125,21.75,258600,5.67543
2000-04-18,21.62499,22.3125,21.43749,22.18749,569400,5.78959
2000-04-19,22.25001,22.93749,22.18749,22.93749,257400,5.98530
2000-04-20,22.74999,23.75001,22.50,23.31249,234300,6.08315
2000-04-24,23.0625,23.25,22.875,23.00001,60300,6.00161
2000-04-25,23.25,23.49999,22.62501,23.49999,157200,6.13207
2000-04-26,23.49999,23.8125,23.37501,23.49999,181500,6.13207
2000-04-27,23.4375,23.68749,23.0625,23.625,39000,6.16469
2000-04-28,23.49999,23.8125,23.4375,23.49999,187200,6.13207
2000-05-01,23.49999,23.49999,22.93749,23.0625,158700,6.01792
2000-05-02,22.37499,23.37501,22.37499,23.37501,504000,6.09946
2000-05-03,23.12499,24.62499,23.12499,24.31251,384900,6.34409
2000-05-04,24.12501,24.12501,23.4375,23.49999,222900,6.13207
2000-05-05,23.75001,24.24999,23.4375,24.00,166500,6.26255
2000-05-08,23.75001,25.18749,23.75001,24.87501,218100,6.49087
2000-05-09,24.87501,25.125,24.50001,24.99999,257700,6.52348
2000-05-10,25.06251,26.00001,24.9375,26.00001,178200,6.78443
2000-05-11,26.25,26.25,25.62501,26.18751,267600,6.8333
2000-05-12,25.93749,26.25,25.62501,26.25,234600,6.84966
