Date,Open,High,Low,Close,Volume,Adj Clos
2004-04-26,25.50,25.70,25.25,25.25,28000,9.501
2004-04-27,25.50,25.50,25.40,25.50,23900,9.595
2004-04-28,25.60,25.60,25.45,25.45,4000,9.576
2004-04-29,25.70,25.70,25.50,25.60,10800,9.63
2004-04-30,25.72,25.80,25.72,25.80,2100,9.708
2004-05-03,25.75,25.75,25.75,25.75,800,9.689
2004-05-04,25.90,25.90,25.70,25.90,500,9.745
2004-05-05,25.80,25.85,25.80,25.80,900,9.708
2004-05-06,25.90,26.20,25.70,26.00,5600,9.783
2004-05-07,25.80,25.80,25.80,25.80,200,9.708
2004-05-10,25.80,25.80,25.80,25.80,000,9.708
2004-05-11,25.95,26.40,25.95,26.15,5200,9.8
2004-05-12,26.07,26.07,26.07,26.07,800,9.809
2004-05-13,26.05,26.15,26.00,26.01,3200,9.787
2004-05-14,26.15,26.15,26.00,26.00,4100,9.783
2004-05-17,26.00,26.00,26.00,26.00,000,9.783
2004-05-18,26.00,26.00,26.00,26.00,500,9.783
2004-05-19,26.00,26.00,25.90,25.90,3800,9.745
2004-05-20,25.90,25.90,25.90,25.90,000,9.745
2004-05-21,25.90,25.90,25.90,25.90,000,9.745
2004-05-24,25.90,25.90,25.90,25.90,000,9.745
2004-05-25,25.90,25.90,25.90,25.90,000,9.745
2004-05-26,26.15,26.15,26.15,26.15,600,9.8
2004-05-27,26.15,26.15,26.15,26.15,000,9.8
2004-05-28,26.25,26.25,26.00,26.00,600,9.783
2004-06-01,26.20,26.20,26.20,26.20,300,9.858
2004-06-02,26.20,26.20,26.20,26.20,000,9.858
2004-06-03,26.10,26.20,26.10,26.20,600,9.858
2004-06-04,26.15,26.20,26.15,26.20,1300,9.858
2004-06-07,26.20,26.20,26.20,26.20,400,9.858
2004-06-08,26.20,26.20,26.20,26.20,100,9.858
2004-06-09,26.20,26.25,26.20,26.25,900,9.877
2004-06-10,26.20,26.20,26.20,26.20,1400,9.858
2004-06-14,26.00,27.25,26.00,27.25,1200,10.40
2004-06-15,26.10,26.50,26.10,26.50,2100,10.115
2004-06-16,26.50,26.50,26.50,26.50,000,10.115
2004-06-17,26.30,26.30,26.30,26.30,500,10.039
2004-06-18,26.30,26.30,26.30,26.30,000,10.039
2004-06-21,26.10,26.10,26.10,26.10,500,9.96
2004-06-22,26.10,26.10,26.10,26.10,000,9.96
2004-06-23,26.10,26.10,26.10,26.10,000,9.96
2004-06-24,26.10,26.10,26.10,26.10,000,9.96
2004-06-25,26.10,26.10,26.10,26.10,000,9.96
2004-06-28,26.10,26.10,26.10,26.10,000,9.96
2004-06-29,26.10,26.10,26.10,26.10,400,9.96
2004-06-30,26.50,26.50,26.50,26.50,1500,10.115
2004-07-01,26.50,26.50,26.50,26.50,000,10.115
2004-07-02,26.50,26.50,26.50,26.50,000,10.115
2004-07-06,26.50,26.50,26.50,26.50,000,10.115
2004-07-07,26.60,26.60,26.60,26.60,3000,10.153
2004-07-08,26.70,26.70,26.70,26.70,100,10.192
2004-07-09,26.70,26.70,26.70,26.70,300,10.192
2004-07-12,26.55,26.55,26.55,26.55,200,10.134
2004-07-13,26.55,26.55,26.55,26.55,000,10.134
2004-07-14,26.70,26.95,26.70,26.95,200,10.287
2004-07-15,26.95,26.95,26.95,26.95,000,10.287
2004-07-16,26.75,26.90,26.75,26.90,1100,10.268
2004-07-19,26.90,26.90,26.90,26.90,000,10.268
2004-07-20,26.90,26.90,26.90,26.90,000,10.268
2004-07-21,26.90,26.90,26.90,26.90,000,10.268
2004-07-22,26.90,26.90,26.90,26.90,000,10.268
2004-07-23,26.90,26.90,26.90,26.90,000,10.268
2004-07-26,27.00,27.25,27.00,27.00,1800,10.306
2004-07-27,26.76,26.76,26.76,26.76,100,10.21
2004-07-28,26.76,26.76,26.76,26.76,000,10.21
2004-07-29,26.76,26.76,26.76,26.76,000,10.21
2004-07-30,26.76,26.76,26.76,26.76,000,10.21
