Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,7.875,7.875,7.875,7.875,1600,2.66048
2000-01-04,7.875,7.875,7.59375,7.59375,5900,2.56546
2000-01-05,7.59375,7.625,7.59375,7.625,5800,2.57602
2000-01-06,7.625,7.625,7.59375,7.59375,300,2.56546
2000-01-07,7.625,7.625,7.625,7.625,2200,2.57602
2000-01-10,7.59375,7.875,7.59375,7.84375,6300,2.64992
2000-01-11,7.875,7.96875,7.875,7.9375,9400,2.68159
2000-01-12,7.84375,7.84375,7.84375,7.84375,900,2.64992
2000-01-13,7.9375,7.9375,7.9375,7.9375,2000,2.68159
2000-01-14,7.875,8.00,7.75,8.00,10500,2.70271
2000-01-18,7.96875,8.00,7.9375,7.9375,4200,2.68159
2000-01-19,7.95312,7.96875,7.9375,7.9375,2300,2.68159
2000-01-20,7.8125,7.8125,7.8125,7.8125,2300,2.63936
2000-01-21,7.8125,7.875,7.8125,7.875,9500,2.66048
2000-01-24,7.8125,7.8125,7.75,7.75,1800,2.61825
2000-01-25,7.75,7.75,7.75,7.75,300,2.61825
2000-01-26,7.75,7.9375,7.75,7.9375,39900,2.68159
2000-01-27,7.75,8.00,7.75,7.9375,47700,2.68159
2000-01-28,7.875,8.125,7.875,7.96875,14900,2.69215
2000-01-31,7.75,8.125,7.75,8.0625,26900,2.72382
2000-02-01,7.9375,8.125,7.8125,8.125,14200,2.74494
2000-02-02,7.9375,8.125,7.9375,8.125,5000,2.74494
2000-02-03,8.00,8.125,7.9375,8.00,5800,2.70271
2000-02-04,7.75,8.125,7.75,7.8125,27200,2.63936
2000-02-07,8.125,8.125,7.9375,8.00,11100,2.70271
2000-02-08,7.8125,7.8125,7.8125,7.8125,100,2.63936
2000-02-09,7.9375,7.9375,7.9375,7.9375,3400,2.68159
2000-02-10,8.00,8.00,7.875,8.00,19900,2.70271
2000-02-11,7.8125,7.8125,7.8125,7.8125,7500,2.63936
2000-02-14,7.9375,7.9375,7.75,7.9375,29300,2.68159
2000-02-15,7.9375,7.96875,7.9375,7.96875,500,2.69215
