Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,32.24986,32.24986,31.999867,32.24986,17000,19.42314
2000-01-04,32.124858,32.124858,31.687368,31.81237,8000,19.15965
2000-01-05,31.999867,31.999867,31.249864,31.249864,79600,18.82087
2000-01-06,31.187369,31.187369,30.249869,30.249869,171500,18.2186
2000-01-07,30.249869,30.249869,30.062371,30.124867,39900,18.14332
2000-01-10,30.249869,30.249869,29.499879,29.499879,75600,17.76691
2000-01-11,29.62487,29.812368,29.62487,29.749872,7100,17.91747
2000-01-12,29.749872,29.749872,29.749872,29.749872,22700,17.91747
2000-01-13,29.874874,29.93737,29.687377,29.687377,79800,17.87983
2000-01-14,29.93737,29.93737,29.687377,29.687377,46900,17.87983
2000-01-18,29.812368,30.249869,29.812368,30.249869,46900,18.2186
2000-01-19,30.374871,30.624864,30.249869,30.312375,10000,18.25625
2000-01-20,30.124867,30.249869,29.999876,29.999876,43500,18.06804
2000-01-21,29.999876,30.062371,29.687377,29.687377,11100,17.87983
2000-01-24,29.812368,29.999876,29.812368,29.999876,77300,18.06804
2000-01-25,30.062371,30.56237,29.999876,30.56237,160400,18.40682
2000-01-26,30.624864,31.374866,30.624864,31.187369,16900,18.78323
2000-01-27,31.312371,31.749863,31.312371,31.749863,81900,19.12201
2000-01-28,31.874865,31.874865,31.749863,31.81237,7100,19.15965
2000-01-31,31.749863,31.937361,31.749863,31.937361,4700,19.23493
2000-02-01,31.874865,32.124858,31.874865,32.124858,11500,19.34786
2000-02-02,31.999867,32.124858,31.937361,32.124858,24300,19.34786
2000-02-03,32.062363,32.24986,31.999867,32.187364,65100,19.38550
2000-02-04,32.187364,32.187364,31.999867,31.999867,64000,19.27258
2000-02-07,31.999867,32.187364,31.874865,32.062363,64000,19.31022
2000-02-08,32.124858,32.499864,32.124858,32.499864,5800,19.57371
2000-02-09,32.749859,32.874861,32.749859,32.874861,1600,19.79956
2000-02-10,32.999863,33.874856,32.999863,33.562355,64700,20.21362
2000-02-11,33.499859,33.499859,33.124854,33.124854,2500,19.95012
2000-02-14,33.062358,33.062358,32.749859,32.812365,14900,19.76192
2000-02-15,32.624855,32.624855,32.499864,32.562359,10200,19.61135
2000-02-16,32.687363,32.687363,32.687363,32.687363,600,19.68664
2000-02-17,32.874861,33.124854,32.312366,32.312366,32600,19.46079
2000-02-18,32.374862,32.999863,32.374862,32.812365,459000,19.76192
2000-02-22,32.874861,32.874861,32.374862,32.374862,17500,19.49843
2000-02-23,32.374862,32.374862,32.124858,32.24986,2700,19.42314
2000-02-24,32.124858,32.374862,32.124858,32.24986,7400,19.42314
2000-02-25,32.124858,32.312366,31.999867,32.312366,3300,19.46079
2000-02-28,32.499864,32.624855,32.499864,32.624855,1700,19.64899
2000-02-29,32.624855,32.624855,32.624855,32.624855,000,19.64899
2000-03-01,32.437357,32.437357,31.81237,31.874865,3900,19.19729
2000-03-02,31.81237,32.062363,31.81237,32.062363,2600,19.31022
2000-03-03,32.187364,32.187364,32.187364,32.187364,200,19.38550
2000-03-06,32.24986,32.874861,32.24986,32.24986,14000,19.42314
2000-03-07,32.124858,32.187364,32.062363,32.062363,6300,19.31022
2000-03-08,32.062363,32.062363,32.062363,32.062363,000,19.31022
