Date,Open,High,Low,Close,Volume,Adj Clos
2007-06-13,24.549999,25.00,24.35,24.549999,1529500,11.85075
2007-06-14,24.700001,24.799999,24.299999,24.700001,224200,11.92316
2007-06-15,24.85,25.00,24.60,24.85,220500,11.99557
2007-06-18,24.700001,24.950001,24.65,24.700001,335500,11.92316
2007-06-19,25.00,25.00,24.65,25.00,148200,12.06798
2007-06-20,24.75,25.10,24.75,24.75,295300,11.94730
2007-06-21,24.85,24.85,24.50,24.85,61400,11.99557
2007-06-22,24.82,24.82,24.450001,24.82,106700,11.98109
2007-06-25,24.90,24.950001,24.50,24.90,124700,12.0197
2007-06-26,24.60,24.950001,24.50,24.60,106900,11.87489
2007-06-27,24.92,25.00,24.50,24.92,447700,12.02936
2007-06-28,24.799999,25.049999,24.799999,24.799999,152900,11.97143
2007-06-29,24.969999,25.10,24.60,24.969999,138100,12.053
2007-07-02,24.969999,25.10,24.700001,24.969999,17200,12.053
2007-07-03,24.90,25.00,24.700001,24.90,44500,12.0197
2007-07-05,24.950001,25.00,24.60,24.950001,8600,12.04384
2007-07-06,24.700001,26.00,24.700001,24.700001,41400,11.92316
2007-07-09,24.65,25.00,24.65,24.65,52400,11.8990
2007-07-10,24.799999,24.950001,24.799999,24.860001,347700,12.00040
2007-07-11,24.799999,24.860001,24.41,24.549999,101800,11.85075
2007-07-12,24.450001,24.60,24.41,24.50,87000,11.82662
2007-07-13,24.450001,24.549999,24.450001,24.48,27800,11.81696
2007-07-16,24.360001,24.50,24.290001,24.450001,54300,11.80248
2007-07-17,24.41,24.49,24.41,24.450001,181800,11.80248
2007-07-18,24.450001,24.540001,24.370001,24.50,201100,11.82662
2007-07-19,24.41,24.50,24.40,24.50,64200,11.82662
2007-07-20,24.49,24.59,24.40,24.59,47300,11.87006
2007-07-23,24.60,24.60,24.35,24.450001,40300,11.80248
2007-07-24,24.35,24.440001,24.10,24.15,44100,11.6576
2007-07-25,24.00,24.00,23.65,23.950001,28300,11.56112
2007-07-26,23.700001,23.719999,23.10,23.50,73700,11.34390
2007-07-27,23.60,24.10,23.41,23.940001,69400,11.556
2007-07-30,23.50,23.700001,23.379999,23.469999,41300,11.32942
2007-07-31,23.58,23.950001,23.450001,23.940001,48900,11.556
2007-08-01,23.799999,23.85,23.50,23.65,95000,11.41631
2007-08-02,23.59,23.85,23.450001,23.75,214100,11.46458
2007-08-03,23.450001,24.00,23.450001,23.67,54300,11.42596
2007-08-06,23.799999,23.799999,23.26,23.50,93500,11.34390
2007-08-07,23.50,23.700001,23.26,23.360001,58600,11.27632
2007-08-08,23.360001,23.700001,23.360001,23.700001,51200,11.44044
2007-08-09,23.299999,23.690001,23.26,23.60,227800,11.39217
2007-08-10,23.60,23.610001,23.24,23.469999,56000,11.32942
2007-08-13,23.32,23.700001,22.50,23.50,62300,11.34390
2007-08-14,23.309999,23.450001,22.85,23.209999,57200,11.20391
2007-08-15,23.049999,23.450001,22.76,22.76,96400,10.98669
2007-08-16,22.700001,23.90,20.10,22.00,210200,10.61982
2007-08-17,22.25,23.709999,22.200001,23.709999,172900,11.44527
2007-08-20,23.719999,24.00,23.309999,23.76,94400,11.4694
2007-08-21,23.85,23.99,23.559999,23.85,73700,11.51285
2007-08-22,23.860001,24.40,23.700001,24.00,65400,11.58526
2007-08-23,24.00,24.35,23.90,24.24,96200,11.70111
2007-08-24,24.25,24.25,23.50,24.129999,63600,11.64801
2007-08-27,24.23,24.23,24.00,24.200001,33800,11.68180
2007-08-28,24.110001,24.24,23.90,24.24,71400,11.70111
2007-08-29,24.00,24.40,23.76,23.77,66800,11.67018
2007-08-30,23.959999,24.00,23.68,23.700001,35600,11.63581
2007-08-31,23.950001,23.99,23.85,23.91,20800,11.73891
2007-09-04,23.74,23.90,23.110001,23.549999,68700,11.56217
2007-09-05,23.299999,23.40,22.99,23.10,77200,11.3412
2007-09-06,22.98,23.33,22.85,23.15,111700,11.36578
2007-09-07,23.18,23.18,22.82,23.00,58200,11.29214
2007-09-10,23.25,23.299999,22.90,23.10,92700,11.3412
2007-09-11,23.10,23.10,22.969999,23.08,104100,11.3314
2007-09-12,22.92,23.02,22.290001,22.50,134900,11.04666
2007-09-13,22.25,22.389999,22.07,22.280001,109900,10.9386
2007-09-14,22.18,22.60,22.15,22.299999,148400,10.94846
2007-09-17,22.65,22.799999,22.40,22.799999,105400,11.1939
2007-09-18,22.200001,23.77,22.200001,22.75,110100,11.16940
2007-09-19,22.75,22.75,21.950001,22.32,359300,10.95828
