Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,3.75,4.00,3.625,3.75,41700,3.7
2000-01-04,3.688,3.688,3.625,3.625,56600,3.62
2000-01-05,3.63,3.75,3.563,3.625,58700,3.62
2000-01-06,3.63,3.688,3.563,3.688,29000,3.68
2000-01-07,3.75,3.75,3.50,3.688,42700,3.68
2000-01-10,3.625,3.625,3.50,3.625,56500,3.62
2000-01-11,3.53,3.531,3.00,3.50,48300,3.5
2000-01-12,3.50,4.563,3.50,3.875,591000,3.87
2000-01-13,3.94,4.031,3.75,3.875,99100,3.87
2000-01-14,4.00,4.00,3.625,3.875,31500,3.87
2000-01-18,4.00,4.00,3.875,3.938,48500,3.93
2000-01-19,4.00,4.50,3.875,3.938,61300,3.93
2000-01-20,4.06,4.313,3.875,4.313,116100,4.31
2000-01-21,4.25,4.375,3.75,4.375,105800,4.37
2000-01-24,4.28,4.438,4.125,4.25,94300,4.2
2000-01-25,4.25,4.25,4.00,4.25,110500,4.2
2000-01-26,4.38,4.438,4.00,4.438,141000,4.43
2000-01-27,4.44,4.938,4.438,4.875,147100,4.87
2000-01-28,4.88,5.125,4.719,5.125,107100,5.12
2000-01-31,5.06,5.125,4.781,4.844,96000,4.84
2000-02-01,5.31,5.375,4.75,5.25,73200,5.2
2000-02-02,5.13,5.25,5.00,5.188,36300,5.18
2000-02-03,5.19,5.313,4.75,5.125,97800,5.12
2000-02-04,5.19,5.375,5.125,5.375,115300,5.37
2000-02-07,5.28,5.406,5.031,5.313,71000,5.31
2000-02-08,5.406,5.406,5.00,5.25,94500,5.2
2000-02-09,5.22,5.438,4.938,5.375,344300,5.37
2000-02-10,5.31,5.344,4.938,5.063,152400,5.06
2000-02-11,5.094,5.875,5.094,5.875,317500,5.87
2000-02-14,5.938,5.938,5.563,5.75,95100,5.7
2000-02-15,5.84,5.844,5.25,5.563,135700,5.56
2000-02-16,5.44,5.50,5.125,5.438,139300,5.43
2000-02-17,5.44,5.625,5.25,5.625,41300,5.62
2000-02-18,5.625,5.625,5.125,5.625,30100,5.62
2000-02-22,5.625,5.625,5.125,5.469,27200,5.46
2000-02-23,5.438,5.438,5.125,5.25,92200,5.2
2000-02-24,5.13,5.25,4.875,5.00,127300,5.0
2000-02-25,4.88,5.719,4.875,5.25,182300,5.2
2000-02-28,5.22,5.25,4.938,5.125,115300,5.12
2000-02-29,4.97,5.125,4.75,5.063,82500,5.06
2000-03-01,5.13,5.25,4.875,5.125,41200,5.12
2000-03-02,5.06,5.313,4.875,5.125,33100,5.12
2000-03-03,5.188,5.188,4.563,4.813,71500,4.81
2000-03-06,4.78,4.938,4.75,4.875,61100,4.87
2000-03-07,4.844,5.313,4.844,5.188,126900,5.18
2000-03-08,5.31,5.344,4.906,4.906,72800,4.90
2000-03-09,5.03,5.25,4.813,5.25,95100,5.2
2000-03-10,5.13,5.50,5.125,5.438,33100,5.43
2000-03-13,5.31,5.688,5.188,5.50,64500,5.5
2000-03-14,5.69,6.25,5.375,5.938,196400,5.93
2000-03-15,5.97,6.25,5.625,6.00,101600,6.0
2000-03-16,5.94,6.125,5.75,6.00,47700,6.0
2000-03-17,6.06,6.125,5.75,5.875,37400,5.87
2000-03-20,6.00,6.00,5.625,6.00,25300,6.0
2000-03-21,6.00,6.00,5.625,5.813,42200,5.81
2000-03-22,5.81,5.875,5.50,5.813,22600,5.81
2000-03-23,5.625,5.625,5.25,5.438,23500,5.43
2000-03-24,5.38,5.50,5.25,5.25,21400,5.2
2000-03-27,5.25,5.50,5.25,5.50,37200,5.5
2000-03-28,5.44,5.625,5.031,5.625,119400,5.62
2000-03-29,5.25,5.75,5.25,5.75,221000,5.7
2000-03-30,5.75,5.813,5.031,5.50,173700,5.5
2000-03-31,5.25,5.375,5.031,5.031,33400,5.03
2000-04-03,5.03,5.031,4.625,4.625,31300,4.62
2000-04-04,4.63,4.75,3.875,4.313,95300,4.31
2000-04-05,4.16,4.75,4.125,4.50,51600,4.5
2000-04-06,4.50,4.50,4.25,4.50,79000,4.5
2000-04-07,4.47,5.25,4.406,5.094,122700,5.09
2000-04-10,5.16,5.375,5.00,5.063,69800,5.06
2000-04-11,5.00,5.00,4.656,5.00,8700,5.0
2000-04-12,5.00,5.00,4.281,4.50,96300,4.5
2000-04-13,4.50,4.50,3.875,4.25,89300,4.2
2000-04-14,4.00,4.00,3.125,3.375,115900,3.37
2000-04-17,3.38,3.75,3.25,3.375,91700,3.37
2000-04-18,3.38,3.625,3.125,3.50,103300,3.5
2000-04-19,3.50,3.50,3.25,3.375,86600,3.37
2000-04-20,3.38,3.438,3.125,3.438,80900,3.43
2000-04-24,3.28,3.375,3.031,3.25,105000,3.2
2000-04-25,3.25,3.438,3.125,3.438,97100,3.43
2000-04-26,3.438,3.438,3.094,3.125,108000,3.12
2000-04-27,3.06,3.188,3.00,3.188,98300,3.18
2000-04-28,3.16,3.25,3.00,3.063,87100,3.06
2000-05-01,3.13,3.188,3.00,3.031,91400,3.03
2000-05-02,3.125,3.125,3.00,3.00,115200,3.0
2000-05-03,3.00,3.00,2.969,3.00,41200,3.0
2000-05-04,3.00,3.063,2.969,3.00,125400,3.0
2000-05-05,3.00,3.00,2.938,3.00,24200,3.0
2000-05-08,3.00,3.063,2.781,2.781,23500,2.78
2000-05-09,2.844,3.438,2.844,3.375,70200,3.37
2000-05-10,3.44,3.469,3.125,3.25,65100,3.2
2000-05-11,3.375,3.375,3.063,3.156,100800,3.15
2000-05-12,3.19,3.469,3.063,3.25,103700,3.2
2000-05-15,3.188,3.188,2.938,3.00,42100,3.0
2000-05-16,3.00,3.063,3.00,3.031,76200,3.03
2000-05-17,3.03,3.531,3.00,3.531,191200,3.53
2000-05-18,3.469,3.469,3.25,3.25,157200,3.2
2000-05-19,3.25,3.25,2.938,3.00,79500,3.0
2000-05-22,3.00,3.00,2.938,3.00,48600,3.0
2000-05-23,3.00,3.063,2.969,3.00,53200,3.0
2000-05-24,3.00,3.00,2.313,2.813,128300,2.81
2000-05-25,2.88,2.938,2.563,2.75,65900,2.7
2000-05-26,2.56,2.75,2.50,2.75,16300,2.7
2000-05-30,2.63,2.75,2.625,2.688,21800,2.68
2000-05-31,2.75,2.75,2.531,2.531,35100,2.53
2000-06-01,2.625,2.625,2.50,2.625,105200,2.62
2000-06-02,2.66,2.75,2.625,2.719,87000,2.71
2000-06-05,2.75,3.00,2.594,2.625,80400,2.62
2000-06-06,2.594,2.688,2.594,2.625,92500,2.62
2000-06-07,2.594,3.00,2.594,3.00,36700,3.0
2000-06-08,3.06,3.063,2.75,2.813,63700,2.81
2000-06-09,2.88,2.906,2.688,2.875,50000,2.87
2000-06-12,2.75,2.906,2.75,2.875,47500,2.87
2000-06-13,2.81,2.938,2.688,2.75,100200,2.7
2000-06-14,2.81,3.00,2.75,2.938,17500,2.93
2000-06-15,3.00,3.375,2.75,3.188,513700,3.18
2000-06-16,3.28,3.50,2.875,3.00,180300,3.0
2000-06-19,3.031,3.438,3.031,3.188,25200,3.18
2000-06-20,3.438,3.438,3.25,3.375,21400,3.37
2000-06-21,3.50,3.50,3.125,3.25,22700,3.2
2000-06-22,3.13,3.25,3.125,3.188,22700,3.18
2000-06-23,3.25,3.25,2.875,2.875,19600,2.87
2000-06-26,3.00,3.125,2.938,3.125,10500,3.12
2000-06-27,3.063,3.188,3.063,3.188,5700,3.18
2000-06-28,3.063,3.375,3.063,3.188,17700,3.18
2000-06-29,3.19,3.313,3.125,3.25,9600,3.2
2000-06-30,3.188,3.188,2.938,2.938,14300,2.93
2000-07-03,3.125,3.125,3.00,3.00,3100,3.0
2000-07-05,3.00,3.125,2.906,2.906,12900,2.90
2000-07-06,2.88,3.00,2.781,2.781,14200,2.78
2000-07-07,2.88,2.969,2.875,2.875,1600,2.87
2000-07-10,2.88,2.938,2.75,2.875,61300,2.87
2000-07-11,2.78,2.875,2.75,2.813,16000,2.81
2000-07-12,2.875,2.875,2.438,2.438,52500,2.43
2000-07-13,2.50,2.75,2.469,2.75,58300,2.7
2000-07-14,2.75,2.969,2.563,2.969,21000,2.96
2000-07-17,2.94,2.969,2.50,2.688,13200,2.68
2000-07-18,2.50,3.00,2.406,3.00,46200,3.0
2000-07-19,3.00,3.00,2.75,2.75,1300,2.7
2000-07-20,2.75,3.00,2.75,3.00,2600,3.0
2000-07-21,2.75,2.75,2.75,2.75,1700,2.7
2000-07-24,2.875,2.875,2.688,2.688,20300,2.68
2000-07-25,2.81,2.938,2.75,2.75,7800,2.7
2000-07-26,2.75,2.75,2.50,2.50,18500,2.5
2000-07-27,2.656,2.656,2.50,2.50,21300,2.5
2000-07-28,2.625,2.75,2.625,2.75,7000,2.7
2000-07-31,2.75,2.813,2.50,2.531,31700,2.53
2000-08-01,2.75,2.875,2.75,2.875,9700,2.87
2000-08-02,2.75,2.875,2.688,2.875,13600,2.87
2000-08-03,2.59,2.594,2.438,2.438,2800,2.43
2000-08-04,2.75,2.813,2.563,2.813,28900,2.81
2000-08-07,2.81,2.813,2.75,2.813,30100,2.81
2000-08-08,2.875,2.875,2.75,2.813,3900,2.81
2000-08-09,2.88,2.938,2.844,2.875,3500,2.87
2000-08-10,2.75,2.938,2.688,2.719,22300,2.71
2000-08-11,2.688,2.688,2.625,2.625,13600,2.62
2000-08-14,2.69,2.75,2.125,2.25,65900,2.2
2000-08-15,2.41,2.75,2.406,2.75,13300,2.7
2000-08-16,2.56,2.688,2.50,2.688,15200,2.68
2000-08-17,2.75,2.75,2.625,2.688,2100,2.68
2000-08-18,2.50,2.688,2.50,2.688,11400,2.68
2000-08-21,2.688,2.688,2.688,2.688,8600,2.68
2000-08-22,2.63,2.75,2.50,2.50,7000,2.5
2000-08-23,2.66,2.813,2.50,2.50,38100,2.5
2000-08-24,2.38,2.75,2.375,2.50,22700,2.5
2000-08-25,2.69,2.813,2.688,2.813,8500,2.81
2000-08-28,2.69,2.813,2.688,2.813,21700,2.81
2000-08-29,2.81,3.375,2.781,3.25,117700,3.2
2000-08-30,3.38,3.563,3.00,3.219,69600,3.21
2000-08-31,3.25,3.50,3.125,3.438,45500,3.43
2000-09-01,3.41,3.50,3.188,3.438,45000,3.43
2000-09-05,3.38,3.563,3.375,3.438,51000,3.43
2000-09-06,3.56,3.75,3.531,3.75,52800,3.7
2000-09-07,3.688,3.688,3.438,3.438,47400,3.43
2000-09-08,3.44,3.50,3.375,3.375,18700,3.37
2000-09-11,3.38,3.50,3.313,3.438,26500,3.43
2000-09-12,3.50,3.625,3.438,3.625,61700,3.62
2000-09-13,3.63,3.75,3.50,3.563,30900,3.56
2000-09-14,3.69,3.75,3.375,3.625,20800,3.62
2000-09-15,3.69,3.875,3.563,3.875,35700,3.87
2000-09-18,3.94,4.00,3.438,3.438,65400,3.43
2000-09-19,3.50,3.563,3.375,3.50,11000,3.5
2000-09-20,3.56,3.625,3.375,3.625,13200,3.62
2000-09-21,3.625,3.625,3.375,3.438,13800,3.43
2000-09-22,3.31,3.375,2.875,3.00,113400,3.0
2000-09-25,3.125,3.125,2.75,3.00,26500,3.0
2000-09-26,2.91,3.00,2.75,2.875,39400,2.87
2000-09-27,3.00,3.00,3.00,3.00,4700,3.0
2000-09-28,3.06,3.063,2.875,2.875,12800,2.87
2000-09-29,2.88,3.00,2.844,2.938,18600,2.93
2000-10-02,2.938,2.938,2.813,2.813,17500,2.81
2000-10-03,2.84,2.938,2.719,2.781,23500,2.78
