Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,19.125,19.50,18.50,18.8125,181400,17.87700
2000-01-04,18.625,19.5625,18.375,18.625,189300,17.69883
2000-01-05,18.8125,19.00,17.625,18.3125,621000,17.40187
2000-01-06,19.75,21.125,19.3125,20.50,457300,19.48059
2000-01-07,20.375,25.1875,20.00,24.625,1890700,23.40046
2000-01-10,24.5625,25.00,23.375,24.375,426800,23.16289
2000-01-11,24.1875,24.375,21.6875,22.25,333000,21.1435
2000-01-12,22.00,23.50,22.00,23.125,166000,21.97505
2000-01-13,23.00,23.375,22.375,23.00,96900,21.85627
2000-01-14,22.875,24.0625,22.875,23.1875,150400,22.03445
2000-01-18,23.00,23.125,21.875,22.00,399600,20.90600
2000-01-19,22.125,22.25,19.50,20.0625,368000,19.06484
2000-01-20,19.75,20.9375,18.75,19.125,641400,18.17396
2000-01-21,19.25,19.75,18.4375,18.8125,478000,17.87700
2000-01-24,17.9375,18.0625,16.50,16.50,688000,15.67950
2000-01-25,17.6875,17.9375,17.00,17.3125,540700,16.45159
2000-01-26,17.5625,18.1875,17.375,17.6875,313500,16.8079
2000-01-27,18.00,18.0625,16.6875,17.00,396200,16.15463
2000-01-28,17.1875,17.375,16.50,17.00,145400,16.15463
2000-01-31,16.75,17.125,16.25,16.34375,200300,15.53102
2000-02-01,16.5625,16.875,16.125,16.125,229700,15.32314
2000-02-02,16.3125,16.3125,15.75,16.00,287200,15.20436
2000-02-03,16.03125,16.3125,13.9375,14.125,1354900,13.42260
2000-02-04,14.50,16.375,14.25,16.1875,1150600,15.38254
2000-02-07,16.25,17.50,15.75,16.5625,720700,15.73889
2000-02-08,16.625,18.625,16.50,18.00,368300,17.1049
2000-02-09,18.1875,18.625,17.3125,18.625,412600,17.69883
2000-02-10,18.25,22.50,18.25,21.75,870000,20.66843
2000-02-11,22.5625,23.1875,19.75,21.00,857300,19.95572
2000-02-14,20.125,21.0625,20.00,20.09375,517400,19.09454
