Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,9.8125,10.00,9.75,9.9375,83000,8.66801
2000-01-04,9.8125,9.9375,9.75,9.75,85500,8.50447
2000-01-05,9.625,9.8125,9.375,9.8125,58300,8.55898
2000-01-06,9.6875,9.75,9.50,9.6875,95400,8.44995
2000-01-07,9.625,9.875,9.625,9.75,42200,8.50447
2000-01-10,9.6875,9.75,9.625,9.75,50100,8.50447
2000-01-11,9.75,9.75,9.25,9.375,104000,8.17737
2000-01-12,9.5625,9.5625,9.3125,9.3125,12800,8.12286
2000-01-13,9.375,9.375,9.3125,9.375,26600,8.17737
2000-01-14,9.3125,9.4375,9.25,9.375,59500,8.17737
2000-01-18,9.375,9.4375,9.25,9.4375,52700,8.23189
2000-01-19,9.25,9.25,9.125,9.125,57500,7.95931
2000-01-20,9.125,9.25,9.125,9.125,50300,7.95931
2000-01-21,9.125,9.25,9.00,9.125,44200,7.95931
2000-01-24,9.125,9.1875,9.00,9.00,22800,7.85028
2000-01-25,9.00,9.0625,8.9375,9.00,38300,7.85028
2000-01-26,9.125,9.25,9.00,9.00,117800,7.85028
2000-01-27,9.125,9.25,9.125,9.25,46700,8.06834
2000-01-28,9.25,9.3125,9.0625,9.0625,41600,7.90479
2000-01-31,9.0625,9.1875,9.0625,9.125,25800,7.95931
2000-02-01,9.0625,9.25,9.00,9.1875,56900,8.01382
2000-02-02,9.1875,9.3125,9.1875,9.3125,48300,8.12286
2000-02-03,9.375,9.50,9.3125,9.50,51200,8.28640
2000-02-04,9.50,9.50,9.375,9.50,39400,8.28640
2000-02-07,9.375,9.50,9.375,9.375,18600,8.17737
2000-02-08,9.3125,9.3125,9.0625,9.0625,71100,7.90479
2000-02-09,9.1875,9.25,9.125,9.125,51200,7.95931
2000-02-10,9.125,9.125,9.0625,9.0625,54400,7.90479
2000-02-11,9.00,9.0625,9.00,9.00,19100,7.85028
2000-02-14,9.00,9.0625,8.75,8.8125,49000,7.68673
2000-02-15,8.6875,8.8125,8.5625,8.6875,29400,7.57770
2000-02-16,8.75,8.75,8.5625,8.75,41700,7.63221
2000-02-17,8.50,8.625,8.4375,8.5625,54700,7.4686
2000-02-18,8.5625,8.5625,8.4375,8.50,51100,7.41415
2000-02-22,8.25,8.3125,8.00,8.1875,61600,7.14157
2000-02-23,8.25,8.4375,8.25,8.3125,70400,7.25060
2000-02-24,8.3125,8.3125,8.1875,8.1875,27400,7.14157
2000-02-25,8.4375,8.8125,8.375,8.4375,53900,7.35963
2000-02-28,8.4375,8.4375,8.1875,8.375,32900,7.30512
2000-02-29,8.3125,8.375,8.0625,8.375,51400,7.30512
2000-03-01,8.3125,8.375,8.25,8.3125,63300,7.25060
2000-03-02,8.3125,8.50,8.1875,8.4375,37700,7.35963
2000-03-03,8.375,8.375,8.125,8.125,78300,7.0870
2000-03-06,8.125,8.1875,7.9375,8.00,141600,6.97802
2000-03-07,8.3125,8.3125,8.00,8.00,113700,6.97802
2000-03-08,8.0625,8.1875,8.0625,8.125,33300,7.0870
2000-03-09,8.125,8.1875,8.0625,8.0625,49300,7.03254
2000-03-10,8.125,8.1875,8.00,8.125,40500,7.0870
2000-03-13,7.8125,7.9375,7.75,7.8125,46000,6.8144
2000-03-14,7.75,7.875,7.6875,7.75,65600,6.75996
2000-03-15,7.8125,7.9375,7.6875,7.8125,49600,6.8144
2000-03-16,7.9375,8.0625,7.9375,8.0625,64800,7.03254
2000-03-17,8.0625,8.1875,7.9375,8.0625,67700,7.03254
2000-03-20,7.9375,8.25,7.9375,8.125,72100,7.0870
2000-03-21,8.0625,8.1875,8.00,8.00,56000,6.97802
2000-03-22,8.0625,8.0625,7.875,8.00,54600,6.97802
2000-03-23,8.00,8.00,7.75,7.875,60400,6.86899
2000-03-24,7.9375,8.00,7.8125,7.875,68700,6.86899
2000-03-27,7.9375,8.0625,7.9375,8.0625,58300,7.03254
2000-03-28,8.0625,8.125,8.0625,8.0625,73500,7.03254
2000-03-29,8.1875,8.4375,8.1875,8.3125,85500,7.25060
2000-03-30,8.125,8.125,8.00,8.0625,111000,7.03254
2000-03-31,8.1875,8.375,8.1875,8.3125,62200,7.25060
2000-04-03,8.375,8.50,8.3125,8.4375,49400,7.35963
2000-04-04,8.3125,8.4375,8.00,8.00,70300,6.97802
2000-04-05,8.25,8.25,8.0625,8.25,53800,7.19609
2000-04-06,8.125,8.125,8.0625,8.125,42100,7.0870
2000-04-07,8.125,8.1875,8.0625,8.1875,34800,7.14157
2000-04-10,8.25,8.625,8.125,8.1875,183100,7.14157
2000-04-11,8.25,8.25,8.0625,8.0625,34800,7.03254
2000-04-12,8.25,8.25,8.125,8.125,52900,7.0870
2000-04-13,8.125,8.125,8.00,8.00,93400,6.97802
2000-04-14,7.9375,7.9375,7.75,7.75,109000,6.75996
2000-04-17,7.875,7.9375,7.50,7.75,68900,6.75996
2000-04-18,7.8125,7.9375,7.75,7.9375,23700,6.92351
2000-04-19,7.8125,7.875,7.75,7.875,45800,6.86899
2000-04-20,7.75,7.75,7.625,7.75,69400,6.75996
2000-04-24,7.75,7.75,7.625,7.625,39300,6.65093
2000-04-25,7.8125,8.0625,7.8125,8.00,34000,6.97802
2000-04-26,8.00,8.0625,7.75,7.75,82500,6.75996
2000-04-27,7.6875,7.875,7.6875,7.8125,26300,6.8144
2000-04-28,7.75,7.875,7.75,7.8125,53000,6.8144
2000-05-01,7.9375,8.00,7.9375,7.9375,52100,6.92351
