Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,349.125,349.999969,333.00,343.999969,5626200,55.52052
2000-01-04,333.375,352.999969,321.00,328.875,6387000,53.07940
2000-01-05,323.0625,340.000031,313.999969,326.374969,7562400,52.67590
2000-01-06,327.00,339.00,308.125031,312.00,3063600,50.35583
2000-01-07,303.75,325.000031,300.00,324.874969,4957200,52.43381
2000-01-10,338.875031,339.00,317.562469,325.50,18047400,52.53469
2000-01-11,328.750031,346.000031,323.749969,323.875031,8139000,52.27242
2000-01-12,328.999969,328.999969,292.999969,307.750031,11376000,49.66990
2000-01-13,317.937469,318.00,306.00,314.4375,6484800,50.74923
2000-01-14,333.00,343.000031,330.00,340.125,10500600,54.89512
2000-01-18,110.25,120.00,110.25,118.75,8448000,57.49764
2000-01-19,121.75,122.50,113.625,119.00,9051000,57.61869
2000-01-20,120.50,120.5625,114.875,116.9375,6099400,56.6200
2000-01-21,118.125,150.171875,116.50,149.9375,15106000,72.59834
2000-01-24,148.625,149.75,138.8125,141.375,7957200,68.45246
2000-01-25,143.00,145.875,134.00,142.875,5003800,69.17874
2000-01-26,145.00,149.125,141.25,143.75,3699800,69.60241
2000-01-27,145.25,148.00,141.125,142.4375,3553200,68.96691
2000-01-28,139.00,145.875,138.4375,140.75,3815800,68.14984
2000-01-31,138.00,138.625,125.0625,135.3125,2956200,65.51705
2000-02-01,136.375,143.375,134.1875,138.50,2484800,67.06041
2000-02-02,141.00,144.8125,137.00,137.0625,2109200,66.36438
2000-02-03,141.125,156.25,140.50,154.9375,8828200,75.01929
2000-02-04,156.00,172.9375,156.00,170.00,8400600,82.31241
2000-02-07,184.125,184.3125,168.75,173.00,4766200,83.76499
2000-02-08,172.00,174.125,169.50,169.625,6035400,82.13084
2000-02-09,172.50,204.6875,171.50,185.9375,10104200,90.02920
2000-02-10,189.00,214.00,180.625,208.50,6848600,100.95376
2000-02-11,216.0625,230.00,207.00,215.875,7086800,104.52466
2000-02-14,222.00,231.00,200.8125,204.0625,6503800,98.80516
2000-02-15,206.75,218.50,200.25,212.875,4894000,103.07209
2000-02-16,215.00,222.00,207.125,220.50,5243800,106.7640
2000-02-17,224.25,251.25,223.00,241.25,6202600,116.81100
2000-02-18,248.875,269.75,230.4375,238.3125,8021600,115.38869
2000-02-22,245.50,247.375,220.50,230.75,4641600,111.72700
2000-02-23,234.00,249.75,222.50,234.9375,3046000,113.75455
2000-02-24,239.875,242.00,223.25,229.00,4270800,110.87967
2000-02-25,229.75,238.9375,229.6875,232.75,1924400,112.69538
2000-02-28,232.625,240.00,228.75,229.0625,2423800,110.90993
2000-02-29,239.75,280.75,232.9375,274.3125,8118000,132.81956
2000-03-01,283.00,295.75,264.25,271.00,6176800,131.2156
2000-03-02,277.375,278.00,260.00,260.25,3247200,126.0106
2000-03-03,274.00,276.50,260.50,264.4375,4632400,128.03817
2000-03-06,269.75,284.859375,267.00,270.625,3950800,131.03410
2000-03-07,279.375,281.00,264.4375,278.6875,4547800,134.93789
2000-03-08,287.50,287.50,258.50,274.625,4872400,132.97087
2000-03-09,276.4375,279.625,267.125,276.00,4309000,133.63663
2000-03-10,275.00,301.25,271.00,282.4375,4848000,136.75361
2000-03-13,268.00,278.0625,262.375,263.875,4513600,127.76582
2000-03-14,275.375,275.4375,245.00,245.5625,3861600,118.89907
2000-03-15,242.50,253.00,222.00,229.75,8105200,111.24281
2000-03-16,235.00,245.00,207.50,237.00,6631200,114.75319
2000-03-17,240.00,263.50,237.515625,249.9375,3786600,121.01741
2000-03-20,254.25,254.25,232.5625,235.0625,2331600,113.81507
2000-03-21,230.3125,260.00,213.00,257.00,5706800,124.43701
2000-03-22,263.00,276.00,262.00,266.25,3926000,128.91577
2000-03-23,270.875,274.625,255.375,270.00,2597000,130.7314
2000-03-24,271.75,279.50,266.25,269.00,2638400,130.24729
2000-03-27,274.125,283.00,270.50,276.4375,3816800,133.84846
2000-03-28,287.50,308.50,281.625,307.00,12803200,148.64654
2000-03-29,312.00,312.9375,287.75,288.00,7584200,139.44692
2000-03-30,275.00,288.00,250.00,267.00,8701000,129.27891
2000-03-31,273.50,276.625,246.031235,263.5625,7362000,127.61451
2000-04-03,264.00,271.50,216.25,233.00,6884800,112.81643
2000-04-04,237.875,237.9375,186.75,210.50,17826000,101.92214
2000-04-05,201.00,239.875,200.00,218.75,7253000,105.91671
2000-04-06,222.6875,244.875,221.00,241.25,5139200,116.81100
2000-04-07,245.140625,271.00,245.00,269.421875,6313200,130.45156
2000-04-10,273.50,274.00,234.25,238.00,7904600,115.23738
2000-04-11,227.00,247.625,216.25,223.25,10761400,108.09557
2000-04-12,222.4375,230.00,198.375,204.125,12961000,98.83542
2000-04-13,204.50,208.00,174.625,175.00,17059200,84.73337
2000-04-14,169.00,190.50,151.50,158.0625,21403200,76.53239
2000-04-17,153.00,178.9375,152.00,172.5625,14248800,83.55315
