Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,27.06,27.125,25.00,25.563,715000,20.909
2000-01-04,24.00,25.00,24.00,24.938,928000,20.398
2000-01-05,24.94,26.50,24.938,26.00,999100,21.266
2000-01-06,25.75,26.125,25.438,25.875,427400,21.164
2000-01-07,25.75,26.063,24.563,24.875,525300,20.346
2000-01-10,24.88,25.625,24.625,24.938,576300,20.398
2000-01-11,24.50,25.875,24.375,24.688,558700,20.193
2000-01-12,24.56,24.625,24.00,24.188,570100,19.784
2000-01-13,22.13,22.938,21.938,22.625,2504300,18.506
2000-01-14,22.75,23.438,22.75,23.125,1323600,18.915
2000-01-18,23.13,23.375,22.50,23.063,758500,18.864
2000-01-19,23.31,23.313,22.438,22.438,568400,18.353
2000-01-20,23.50,23.625,22.00,22.25,1617200,18.199
2000-01-21,22.63,23.25,22.375,23.063,795100,18.864
2000-01-24,23.31,23.313,22.063,22.188,671700,18.148
2000-01-25,22.19,22.563,21.938,22.00,898500,17.99
2000-01-26,22.00,22.50,22.00,22.188,663100,18.148
2000-01-27,22.31,22.50,21.875,22.00,971000,17.99
2000-01-28,22.00,22.125,21.00,21.438,1315600,17.535
2000-01-31,21.88,22.75,20.125,22.00,1384300,17.99
2000-02-01,22.06,22.438,21.813,22.313,575500,18.25
2000-02-02,22.56,23.688,22.313,23.625,1104100,19.324
2000-02-03,24.25,25.125,24.125,25.063,1177800,20.500
2000-02-04,25.00,25.063,24.313,25.00,1146300,20.448
2000-02-07,25.50,25.688,25.375,25.688,1251200,21.011
2000-02-08,25.63,26.125,25.625,26.063,1638700,21.318
2000-02-09,26.06,26.063,21.875,23.00,3332000,18.81
2000-02-10,22.88,23.625,22.125,22.25,2825800,18.199
2000-02-11,22.50,22.688,21.50,21.563,1250700,17.637
2000-02-14,22.00,22.438,21.50,21.625,970900,17.688
2000-02-15,22.50,22.688,21.625,22.00,1160400,17.99
2000-02-16,22.63,22.688,20.375,20.563,1235300,16.819
2000-02-17,20.94,22.125,20.75,21.875,1379600,17.892
2000-02-18,21.38,22.313,21.00,21.313,999700,17.433
2000-02-22,21.38,22.875,21.375,22.063,1052400,18.046
2000-02-23,22.00,22.25,21.25,21.375,739100,17.483
2000-02-24,21.875,21.875,20.625,21.00,655000,17.177
2000-02-25,21.50,22.438,21.375,21.50,684400,17.58
2000-02-28,22.63,23.625,22.00,22.063,835200,18.046
2000-02-29,22.75,23.00,22.438,22.625,591000,18.506
2000-03-01,23.13,25.938,22.75,25.688,1390600,21.011
2000-03-02,25.94,26.125,25.125,25.563,641000,20.909
2000-03-03,26.38,27.00,25.875,26.688,746000,21.829
2000-03-06,27.125,27.125,25.063,25.438,421500,20.807
2000-03-07,25.75,25.813,23.875,24.063,513300,19.682
2000-03-08,24.00,24.625,24.00,24.50,288400,20.039
2000-03-09,24.50,25.75,24.50,25.75,418700,21.062
2000-03-10,26.00,26.00,25.063,25.50,319500,20.857
2000-03-13,25.00,25.125,24.375,24.75,440200,20.244
2000-03-14,24.94,25.00,24.688,24.75,341800,20.244
2000-03-15,24.50,26.313,24.375,26.00,827100,21.266
2000-03-16,26.63,29.50,26.563,29.375,976400,24.027
2000-03-17,29.75,30.063,28.375,28.75,916400,23.516
2000-03-20,29.00,29.125,27.938,28.063,221500,22.954
2000-03-21,28.13,28.625,28.063,28.438,222000,23.26
2000-03-22,29.25,29.50,28.00,28.375,253900,23.209
2000-03-23,28.13,28.188,27.313,27.938,288000,22.85
2000-03-24,27.94,28.875,27.938,28.625,247800,23.41
2000-03-27,28.63,29.813,28.625,29.063,409400,23.772
2000-03-28,29.00,29.00,27.438,27.75,694900,22.698
2000-03-29,28.13,30.00,27.875,29.625,616100,24.231
2000-03-30,29.00,30.438,28.50,28.938,733300,23.6
2000-03-31,28.94,31.875,28.813,31.625,1058300,25.867
2000-04-03,31.00,31.375,30.375,30.688,496000,25.101
2000-04-04,30.94,31.438,29.375,30.00,770700,24.538
2000-04-05,30.25,30.438,28.813,28.813,380500,23.567
2000-04-06,28.94,31.75,28.75,31.625,1299200,25.867
2000-04-07,30.38,32.063,29.938,31.50,637700,25.765
2000-04-10,31.125,31.125,30.375,30.563,511200,24.999
2000-04-11,31.00,31.438,30.50,31.063,707100,25.408
2000-04-12,31.00,31.438,30.75,30.813,1175200,25.203
2000-04-13,31.13,31.875,31.125,31.75,455300,25.970
2000-04-14,31.25,31.25,29.75,30.00,894100,24.538
2000-04-17,30.00,30.375,29.00,30.375,671400,24.845
2000-04-18,30.31,32.00,29.813,30.938,685700,25.305
2000-04-19,30.938,30.938,29.938,30.313,423800,24.794
2000-04-20,30.38,31.188,29.938,30.188,455700,24.692
2000-04-24,30.19,31.188,30.00,30.875,301000,25.254
2000-04-25,31.13,32.563,31.125,32.563,596500,26.635
2000-04-26,31.88,31.938,29.938,31.00,850700,25.356
2000-04-27,30.50,30.563,28.75,29.563,565500,24.181
2000-04-28,30.00,30.188,29.50,29.688,417500,24.283
2000-05-01,29.38,29.75,28.375,28.50,1112500,23.311
2000-05-02,27.94,28.00,27.313,27.438,870300,22.443
2000-05-03,27.06,27.188,26.313,26.313,363900,21.522
2000-05-04,26.063,27.625,26.063,27.313,542500,22.340
2000-05-05,26.88,27.25,26.188,26.938,267200,22.034
2000-05-08,26.25,26.75,26.188,26.25,199200,21.471
2000-05-09,26.63,27.375,26.313,27.313,358900,22.340
2000-05-10,26.88,27.25,26.375,27.125,311300,22.18
2000-05-11,27.13,27.25,26.625,26.938,241400,22.034
2000-05-12,26.69,27.00,26.313,26.563,178900,21.727
2000-05-15,27.00,28.00,26.625,27.563,385500,22.545
2000-05-16,27.50,29.25,27.50,28.25,606300,23.107
2000-05-17,28.00,28.063,26.75,26.875,262900,21.982
2000-05-18,27.00,27.75,26.625,27.00,345500,22.084
2000-05-19,27.69,28.125,27.063,27.125,317800,22.18
2000-05-22,27.19,27.625,27.063,27.50,361200,22.493
2000-05-23,27.75,28.00,27.75,27.938,313300,22.85
