Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,4.75,4.75,4.375,4.50,2000,36.8535
2000-01-04,4.375,4.50,4.3125,4.50,700,36.8535
2000-01-05,4.375,4.4375,4.3125,4.375,700,35.82987
2000-01-06,4.375,4.625,4.3125,4.625,1400,37.87730
2000-01-07,4.5625,4.75,4.50,4.75,1700,38.90101
2000-01-10,4.6875,4.6875,4.6875,4.6875,100,38.38915
2000-01-11,4.75,4.75,4.5625,4.5625,1900,37.36544
2000-01-12,4.6875,4.6875,4.625,4.625,800,37.87730
2000-01-13,4.5625,4.6875,4.5625,4.625,2300,37.87730
2000-01-14,4.5625,4.6875,4.5625,4.5625,1500,37.36544
2000-01-18,4.625,5.0625,4.625,5.00,3500,40.94843
2000-01-19,4.9375,5.0625,4.9375,5.00,800,40.94843
2000-01-20,4.875,4.875,4.75,4.75,300,38.90101
2000-01-21,4.6875,4.6875,4.6875,4.6875,900,38.38915
2000-01-24,4.75,4.75,4.625,4.625,1000,37.87730
2000-01-25,4.625,4.625,4.625,4.625,1800,37.87730
2000-01-26,4.625,4.875,4.625,4.75,700,38.90101
2000-01-27,4.625,4.625,4.4375,4.4375,4700,36.34173
2000-01-28,4.4375,4.4375,4.375,4.375,1300,35.82987
2000-01-31,4.375,4.375,4.125,4.125,2000,33.78245
2000-02-01,4.0625,4.25,4.0625,4.1875,3000,34.29431
2000-02-02,4.25,4.375,4.1875,4.25,3600,34.80616
2000-02-03,4.25,4.375,4.125,4.3125,8500,35.31802
2000-02-04,4.4375,4.50,4.125,4.3125,1800,35.31802
2000-02-07,4.1875,4.75,4.1875,4.75,1200,38.90101
2000-02-08,4.5625,4.5625,4.50,4.50,200,36.8535
2000-02-09,4.75,4.875,4.5625,4.6875,3400,38.38915
2000-02-10,4.5625,4.875,4.50,4.75,2900,38.90101
2000-02-11,4.75,4.875,4.50,4.6875,900,38.38915
2000-02-14,4.875,4.9375,4.625,4.625,1600,37.87730
2000-02-15,4.625,4.75,4.625,4.75,200,38.90101
2000-02-16,4.75,4.75,4.50,4.625,1500,37.87730
2000-02-17,4.625,4.625,4.50,4.50,800,36.8535
2000-02-18,4.625,4.75,4.375,4.4375,800,36.34173
2000-02-22,4.375,4.50,4.375,4.50,1800,36.8535
2000-02-23,4.50,4.50,4.4375,4.4375,400,36.34173
2000-02-24,4.375,4.50,4.375,4.375,2000,35.82987
2000-02-25,4.375,4.4375,4.375,4.375,700,35.82987
2000-02-28,4.25,4.50,4.25,4.4375,4000,36.34173
2000-02-29,4.3125,4.3125,4.3125,4.3125,700,35.31802
2000-03-01,4.1875,4.3125,4.1875,4.3125,600,35.31802
2000-03-02,4.25,4.25,4.25,4.25,200,34.80616
2000-03-03,4.3125,4.50,4.25,4.375,1400,35.82987
2000-03-06,4.4375,4.4375,4.375,4.375,500,35.82987
2000-03-07,4.3125,4.50,4.25,4.3125,2400,35.31802
2000-03-08,4.3125,4.3125,4.25,4.25,200,34.80616
2000-03-09,4.25,4.25,4.25,4.25,400,34.80616
2000-03-10,4.25,4.50,4.25,4.375,3100,35.82987
2000-03-13,4.25,4.3125,4.25,4.25,1400,34.80616
2000-03-14,4.3125,4.50,4.3125,4.4375,2100,36.34173
2000-03-15,4.375,4.50,4.25,4.50,1900,36.8535
2000-03-16,4.4375,4.4375,4.4375,4.4375,000,36.34173
2000-03-17,4.50,4.50,4.25,4.25,1200,34.80616
2000-03-20,4.25,4.75,4.25,4.50,1300,36.8535
2000-03-21,4.625,4.625,4.50,4.50,400,36.8535
2000-03-22,4.50,4.50,4.375,4.375,1200,35.82987
2000-03-23,4.375,4.50,4.25,4.25,2200,34.80616
2000-03-24,4.4375,4.4375,4.25,4.25,1000,34.80616
2000-03-27,4.25,4.3125,4.25,4.25,700,34.80616
2000-03-28,4.375,4.50,4.25,4.25,500,34.80616
2000-03-29,4.25,4.25,4.25,4.25,100,34.80616
2000-03-30,4.25,4.375,4.25,4.25,600,34.80616
2000-03-31,4.25,4.25,4.125,4.125,1700,33.78245
2000-04-03,4.125,4.25,4.125,4.25,900,34.80616
2000-04-04,4.25,4.25,4.1875,4.1875,400,34.29431
2000-04-05,4.125,4.25,4.125,4.125,1300,33.78245
2000-04-06,4.1875,4.1875,4.00,4.125,2600,33.78245
2000-04-07,3.9375,4.25,3.9375,4.25,1400,34.80616
2000-04-10,4.375,4.50,4.125,4.125,1500,33.78245
2000-04-11,4.125,4.125,4.0625,4.0625,400,33.27060
2000-04-12,4.125,4.25,4.125,4.25,500,34.80616
