Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,8.125,8.125,8.125,8.125,000,5.38850
2000-01-04,8.125,8.125,8.125,8.125,8200,5.38850
2000-01-05,8.125,8.125,8.125,8.125,000,5.38850
2000-01-06,8.625,8.625,8.625,8.625,100,5.72010
2000-01-07,8.75,8.75,8.75,8.75,400,5.80300
2000-01-10,7.625,7.625,7.625,7.625,200,5.05690
2000-01-11,8.00,8.50,8.00,8.50,1700,5.63720
2000-01-12,8.50,8.50,7.625,7.625,400,5.05690
2000-01-13,8.50,8.50,8.00,8.00,4400,5.30560
2000-01-14,8.50,8.625,8.50,8.50,2000,5.63720
2000-01-18,8.625,8.625,8.625,8.625,400,5.72010
2000-01-19,8.625,8.625,8.4375,8.4375,11000,5.59575
2000-01-20,8.50,8.50,8.50,8.50,200,5.63720
2000-01-21,8.5625,8.75,8.5625,8.625,7100,5.72010
2000-01-24,8.625,8.625,8.625,8.625,000,5.72010
2000-01-25,8.625,8.625,8.625,8.625,000,5.72010
2000-01-26,8.625,8.625,8.625,8.625,000,5.72010
2000-01-27,8.625,8.625,8.625,8.625,000,5.72010
2000-01-28,8.50,8.50,8.50,8.50,1100,5.63720
2000-01-31,8.375,8.375,8.25,8.25,3800,5.47140
2000-02-01,8.1875,8.1875,8.1875,8.1875,100,5.42995
2000-02-02,8.1875,8.1875,8.1875,8.1875,000,5.42995
2000-02-03,8.25,8.25,8.25,8.25,600,5.47140
2000-02-04,8.125,8.375,8.125,8.375,20900,5.55430
2000-02-07,8.50,8.50,8.50,8.50,200,5.63720
2000-02-08,8.50,8.50,8.50,8.50,000,5.63720
2000-02-09,8.50,8.50,8.50,8.50,000,5.63720
2000-02-10,8.50,8.50,8.50,8.50,000,5.63720
2000-02-11,8.50,8.50,8.50,8.50,000,5.63720
2000-02-14,8.50,8.50,8.50,8.50,000,5.63720
2000-02-15,8.50,8.50,8.50,8.50,200,5.63720
2000-02-16,8.3125,8.50,8.3125,8.50,300,5.63720
2000-02-17,8.50,8.50,8.50,8.50,14500,5.63720
2000-02-18,8.6875,8.6875,8.6875,8.6875,1000,5.76155
2000-02-22,8.6875,8.6875,8.6875,8.6875,000,5.76155
2000-02-23,8.625,8.6875,8.625,8.6875,500,5.76155
2000-02-24,8.6875,8.6875,8.6875,8.6875,500,5.76155
2000-02-25,8.6875,8.6875,8.6875,8.6875,000,5.76155
2000-02-28,8.6875,8.6875,8.6875,8.6875,000,5.76155
2000-02-29,8.6875,8.6875,8.6875,8.6875,000,5.76155
