Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,17.375,17.4375,17.00,17.00,585800,14.68823
2000-01-04,17.0625,17.50,16.75,17.0625,1678800,14.74223
2000-01-05,16.75,16.75,15.875,16.6875,650100,14.41823
2000-01-06,16.6875,16.6875,16.0625,16.3125,432300,14.09422
2000-01-07,17.1875,17.4375,16.625,17.4375,316000,15.06624
2000-01-10,17.3125,17.375,16.9375,16.9375,297900,14.63423
2000-01-11,16.875,16.875,16.00,16.25,291200,14.04022
2000-01-12,16.125,16.125,15.75,15.75,741100,13.6082
2000-01-13,16.125,16.75,16.125,16.625,418400,14.36423
2000-01-14,16.625,17.00,16.5625,16.5625,262600,14.31023
2000-01-18,16.3125,16.3125,16.00,16.0625,925300,13.87822
2000-01-19,15.4375,15.625,15.00,15.0625,955400,13.0142
2000-01-20,15.375,15.8125,15.375,15.50,1072300,13.39221
2000-01-21,15.50,15.625,15.00,15.00,531500,12.9602
2000-01-24,15.00,15.1875,14.375,14.50,946800,12.52820
2000-01-25,14.625,14.875,14.50,14.875,453700,12.85220
2000-01-26,15.00,15.3125,14.875,15.00,301400,12.9602
2000-01-27,15.125,15.25,14.75,14.875,274300,12.85220
2000-01-28,14.875,15.34375,14.875,15.125,583900,13.06821
2000-01-31,15.1875,15.1875,15.00,15.1875,392200,13.12221
2000-02-01,15.1875,15.1875,14.875,15.1875,640300,13.12221
2000-02-02,15.4375,15.4375,15.0625,15.375,236400,13.28421
2000-02-03,15.50,15.50,15.3125,15.3125,740300,13.23021
2000-02-04,15.4375,15.4375,15.1875,15.1875,628400,13.12221
2000-02-07,15.0625,15.375,15.0625,15.25,295200,13.17621
2000-02-08,15.1875,15.1875,14.875,15.00,528100,12.9602
2000-02-09,14.875,14.875,14.4375,14.50,772000,12.52820
2000-02-10,14.25,14.8125,13.50,13.625,731100,11.7721
2000-02-11,13.3125,13.3125,12.375,12.375,1522700,10.69217
2000-02-14,12.125,13.00,11.75,12.875,1144600,11.1241
2000-02-15,13.125,13.50,12.625,13.50,871700,11.66418
2000-02-16,14.00,14.5625,13.9375,14.375,1458200,12.42020
2000-02-17,15.00,15.25,14.8125,15.01562,518100,12.97370
2000-02-18,14.00,14.25,14.00,14.00,822700,12.09619
2000-02-22,13.375,13.50,13.3125,13.4375,776900,11.61018
2000-02-23,13.3125,13.5625,13.3125,13.50,545100,11.66418
2000-02-24,13.75,13.8125,13.625,13.75,368400,11.88019
2000-02-25,13.75,15.1875,13.75,15.00,1546100,12.9602
2000-02-28,14.50,14.5625,14.1875,14.25,1329900,12.31219
2000-02-29,14.25,14.25,13.5625,13.75,793800,11.88019
2000-03-01,14.1875,14.375,14.0625,14.3125,324900,12.366
2000-03-02,14.1875,14.5625,14.125,14.25,521900,12.31219
2000-03-03,13.875,14.00,13.625,13.75,346100,11.88019
2000-03-06,13.75,14.25,13.625,13.625,560900,11.7721
2000-03-07,13.6875,13.875,13.6875,13.8125,554600,11.93419
2000-03-08,13.75,14.3125,13.50,14.25,711500,12.31219
2000-03-09,14.1875,14.5625,14.00,14.50,546500,12.52820
2000-03-10,14.125,14.6875,14.125,14.50,615900,12.52820
2000-03-13,13.50,14.125,13.25,14.125,1071800,12.20419
2000-03-14,13.625,13.9375,13.625,13.9375,1287100,12.04219
2000-03-15,13.125,13.9375,13.125,13.8125,851800,11.93419
2000-03-16,13.875,14.8125,13.8125,14.50,420300,12.52820
2000-03-17,14.50,14.5625,14.375,14.50,718600,12.52820
2000-03-20,14.50,14.6875,14.3125,14.4375,1065600,12.47420
2000-03-21,14.5625,14.9375,14.5625,14.8125,483300,12.79820
2000-03-22,14.8125,14.875,14.5625,14.6875,464400,12.69020
2000-03-23,14.4375,14.50,14.25,14.375,677000,12.42020
2000-03-24,14.50,14.75,14.4375,14.5625,630000,12.58220
2000-03-27,14.375,14.5625,14.125,14.125,361700,12.20419
2000-03-28,14.6875,15.00,14.50,14.625,976500,12.63620
2000-03-29,15.00,15.50,14.875,15.125,1105300,13.06821
2000-03-30,15.375,15.5625,15.3125,15.4375,502700,13.33821
2000-03-31,15.9375,15.9375,15.625,15.8125,286400,13.66222
2000-04-03,15.9375,16.125,15.8125,16.00,815200,13.82422
2000-04-04,16.375,16.4375,16.00,16.00,875900,13.82422
2000-04-05,16.1875,16.75,16.00,16.4375,273300,14.2022
2000-04-06,15.125,15.625,15.125,15.5625,393400,13.44621
2000-04-07,15.625,16.00,15.625,16.00,754200,13.82422
2000-04-10,16.00,16.375,15.75,15.75,300300,13.6082
2000-04-11,15.625,15.75,15.375,15.6875,250100,13.55421
2000-04-12,15.25,15.5625,15.25,15.50,202600,13.39221
2000-04-13,15.375,15.625,15.375,15.5625,528200,13.44621
2000-04-14,15.25,15.625,15.00,15.25,3456200,13.17621
2000-04-17,15.00,15.75,14.75,15.3125,606600,13.23021
2000-04-18,15.25,16.1875,15.25,16.1875,519700,13.98622
2000-04-19,15.50,16.50,15.50,16.50,512800,14.25623
2000-04-20,16.50,17.0625,16.50,16.75,352900,14.47223
2000-04-24,15.50,16.00,15.50,16.00,541800,13.82422
2000-04-25,16.375,16.8125,16.125,16.625,223000,14.36423
2000-04-26,16.125,16.375,16.125,16.375,362800,14.14822
2000-04-27,16.25,16.875,16.125,16.625,1000900,14.36423
2000-04-28,16.50,16.9375,16.3125,16.375,655400,14.14822
2000-05-01,16.375,16.8125,16.375,16.4375,511800,14.2022
2000-05-02,16.625,16.625,16.25,16.25,484600,14.04022
2000-05-03,16.3125,16.4375,15.875,16.00,92000,13.82422
2000-05-04,15.9375,16.375,15.9375,16.00,485300,13.82422
2000-05-05,15.9375,16.0625,15.625,15.875,344500,13.71622
2000-05-08,16.25,16.375,15.9375,16.125,241200,13.93222
2000-05-09,16.00,16.125,15.50,15.6875,242300,13.55421
2000-05-10,15.25,15.5625,15.125,15.3125,205900,13.23021
2000-05-11,15.5625,16.125,15.50,15.9375,102800,13.77022
2000-05-12,16.00,16.125,15.6875,15.75,175600,13.6082
2000-05-15,15.75,16.00,15.5625,15.6875,97400,13.55421
2000-05-16,16.00,16.4375,15.875,16.25,421700,14.04022
2000-05-17,15.25,15.9375,15.25,15.375,201100,13.28421
2000-05-18,15.4375,15.5625,15.3125,15.3125,247200,13.23021
2000-05-19,15.50,15.5625,15.375,15.4375,167200,13.33821
2000-05-22,15.1875,15.1875,14.4375,14.8125,606200,12.79820
2000-05-23,14.8125,15.5625,14.8125,15.50,219000,13.39221
2000-05-24,15.6875,15.875,15.50,15.8125,234200,13.66222
2000-05-25,15.375,15.625,15.25,15.5625,486000,13.44621
2000-05-26,15.00,15.0625,14.625,14.8125,776000,12.79820
2000-05-30,14.6875,15.75,14.6875,15.75,361700,13.6082
2000-05-31,15.50,15.8125,15.375,15.625,625300,13.50021
2000-06-01,15.625,16.00,15.625,16.00,466200,13.82422
2000-06-02,16.75,17.25,16.25,17.1875,909100,14.8502
2000-06-05,16.25,17.00,16.25,17.00,423900,14.68823
2000-06-06,17.00,17.00,16.75,16.875,246600,14.58023
2000-06-07,16.75,16.75,16.25,16.25,140100,14.04022
2000-06-08,16.1875,16.1875,15.9375,16.125,237000,13.93222
2000-06-09,17.50,18.00,17.50,17.9375,570800,15.49825
2000-06-12,17.9375,17.9375,17.25,17.5625,253000,15.17424
2000-06-13,17.125,17.4375,17.125,17.375,411800,15.01224
2000-06-14,17.4375,18.0625,17.4375,17.9375,410100,15.49825
2000-06-15,17.6875,17.6875,17.125,17.3125,267700,14.95824
2000-06-16,17.00,17.0625,16.4375,16.50,296100,14.25623
2000-06-19,16.5625,16.625,16.375,16.50,318500,14.25623
2000-06-20,16.50,16.50,16.25,16.375,614900,14.14822
2000-06-21,16.375,16.4375,16.25,16.4375,211100,14.2022
2000-06-22,16.1875,16.50,15.875,15.875,234000,13.71622
2000-06-23,15.875,16.0625,15.75,15.75,135600,13.6082
2000-06-26,16.00,16.25,15.9375,16.125,92100,13.93222
2000-06-27,16.3125,16.875,16.3125,16.75,303300,14.47223
2000-06-28,17.125,17.25,17.0625,17.25,181800,14.90424
2000-06-29,17.4375,18.1875,17.25,18.0625,858500,15.60625
2000-06-30,18.25,18.4375,18.1875,18.4375,297700,15.93025
2000-07-03,18.25,18.75,18.25,18.375,206000,15.87625
2000-07-05,18.4375,18.625,18.00,18.1875,411500,15.71425
2000-07-06,18.125,18.875,18.125,18.8125,160700,16.25426
2000-07-07,18.4375,18.4375,18.125,18.375,125700,15.87625
2000-07-10,18.375,18.375,18.25,18.3125,170600,15.82225
2000-07-11,18.3125,18.375,18.125,18.1875,845700,15.71425
2000-07-12,18.125,18.125,17.50,17.75,355500,15.33624
2000-07-13,17.125,17.625,17.125,17.375,541900,15.01224
2000-07-14,17.1875,17.4375,17.125,17.375,144100,15.01224
2000-07-17,17.375,17.375,16.625,17.00,241700,14.68823
2000-07-18,17.25,17.25,16.75,16.9375,211900,14.63423
2000-07-19,16.8125,16.875,16.625,16.75,232800,14.47223
2000-07-20,16.9375,16.9375,16.6875,16.8125,132700,14.52623
2000-07-21,17.00,17.125,16.875,17.00,300700,14.68823
2000-07-24,16.75,16.9375,16.625,16.6875,359900,14.41823
2000-07-25,16.75,17.3125,16.75,17.00,201100,14.68823
2000-07-26,17.125,17.625,17.125,17.50,277100,15.12024
2000-07-27,17.625,17.625,17.1875,17.25,165500,14.90424
2000-07-28,17.00,17.00,16.375,16.625,84900,14.36423
2000-07-31,16.50,16.625,16.375,16.5625,518000,14.31023
2000-08-01,16.4375,16.50,16.3125,16.4375,458700,14.2022
2000-08-02,16.3125,16.50,16.3125,16.375,577100,14.14822
2000-08-03,16.3125,16.375,15.9375,16.00,422500,13.82422
2000-08-04,16.125,16.50,16.0625,16.4375,183900,14.2022
2000-08-07,16.125,16.125,15.875,16.00,261100,13.82422
2000-08-08,15.75,15.875,15.625,15.8125,103000,13.66222
2000-08-09,17.00,17.0625,16.4375,16.4375,138900,14.2022
2000-08-10,17.375,17.50,17.00,17.25,172500,14.90424
2000-08-11,17.25,17.375,17.0625,17.25,301800,14.90424
2000-08-14,17.1875,17.8125,17.1875,17.75,269300,15.33624
2000-08-15,17.75,18.00,17.50,17.50,200100,15.12024
2000-08-16,17.625,17.9375,17.625,17.75,256900,15.33624
2000-08-17,17.8125,17.9375,17.625,17.8125,264400,15.39024
2000-08-18,17.6875,17.6875,17.4375,17.5625,175400,15.17424
2000-08-21,17.3125,17.4375,16.875,16.9375,177700,14.63423
2000-08-22,17.3125,17.75,17.25,17.25,174000,14.90424
2000-08-23,17.3125,17.3125,17.00,17.1875,474100,14.8502
2000-08-24,17.25,17.25,17.00,17.125,791900,14.79623
2000-08-25,17.25,17.50,17.125,17.50,105900,15.12024
2000-08-28,17.25,17.4375,16.75,17.125,127000,14.79623
2000-08-29,17.375,17.50,17.0625,17.125,164300,14.79623
2000-08-30,17.25,17.25,16.75,16.75,113900,14.47223
