Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,20.50,20.50,20.00,20.0625,37400,10.0312
2000-01-04,20.00,20.0625,18.50,19.25,88000,9.62
2000-01-05,19.25,19.4375,19.00,19.00,262000,9.5
2000-01-06,19.00,19.1875,18.25,18.3125,170000,9.1562
2000-01-07,18.25,18.25,17.875,18.00,154000,9.0
2000-01-10,17.9375,18.125,17.75,18.00,20400,9.0
2000-01-11,18.00,18.75,18.00,18.75,51000,9.37
2000-01-12,18.75,19.3125,18.3125,19.3125,37400,9.6562
2000-01-13,19.375,20.00,19.375,19.6875,28800,9.8437
2000-01-14,19.6875,19.6875,19.0625,19.0625,24200,9.5312
2000-01-18,19.0625,19.1875,18.875,19.1875,34600,9.5937
2000-01-19,19.25,19.375,19.1875,19.25,63800,9.62
2000-01-20,19.125,19.1875,19.00,19.1875,52800,9.5937
2000-01-21,18.9375,19.00,18.75,18.9375,40800,9.4687
2000-01-24,19.50,20.25,19.50,19.6875,96600,9.8437
2000-01-25,19.75,19.75,19.25,19.25,32600,9.62
2000-01-26,19.25,19.50,19.125,19.3125,24600,9.6562
2000-01-27,19.1875,19.25,18.8125,18.8125,38600,9.4062
2000-01-28,18.8125,18.875,18.5625,18.875,21600,9.437
2000-01-31,18.8125,18.875,18.625,18.625,28000,9.312
2000-02-01,18.6875,18.6875,17.9375,17.9375,26400,8.9687
2000-02-02,18.0625,18.25,18.0625,18.125,19400,9.062
2000-02-03,18.3125,18.875,18.3125,18.625,37000,9.312
2000-02-04,18.75,18.75,18.4375,18.75,35400,9.37
2000-02-07,18.625,18.75,18.4375,18.5625,30000,9.2812
2000-02-08,18.625,18.75,18.25,18.375,69000,9.187
2000-02-09,18.375,18.50,18.0625,18.0625,55000,9.0312
2000-02-10,18.0625,18.125,18.00,18.0625,34000,9.0312
2000-02-11,18.0625,18.0625,17.875,17.9375,49400,8.9687
2000-02-14,17.9375,18.00,17.875,17.875,85000,8.937
2000-02-15,18.00,18.00,17.875,17.9375,550800,8.9687
2000-02-16,17.875,17.9375,17.625,17.8125,475600,8.9062
2000-02-17,17.9375,18.00,17.8125,17.9375,41400,8.9687
2000-02-18,18.00,18.00,17.75,17.8125,35400,8.9062
2000-02-22,17.8125,17.9375,17.625,17.75,70800,8.87
2000-02-23,17.75,18.50,17.71876,18.25,478400,9.12
2000-02-24,18.25,18.8125,18.0625,18.6875,136800,9.3437
2000-02-25,18.6875,18.6875,17.9375,17.9375,18800,8.9687
2000-02-28,17.8125,18.5625,17.6875,18.5625,27400,9.2812
2000-02-29,18.4375,19.375,18.00,19.375,41200,9.687
2000-03-01,19.375,19.5625,19.375,19.4375,54400,9.7187
2000-03-02,19.50,19.50,19.3125,19.3125,17600,9.6562
2000-03-03,19.1875,19.1875,18.9375,19.00,17600,9.5
2000-03-06,18.9375,18.9375,18.875,18.9375,1000,9.4687
2000-03-07,18.8125,18.875,18.375,18.375,33200,9.187
2000-03-08,18.125,18.3125,18.0625,18.3125,31200,9.1562
2000-03-09,18.25,18.75,18.1875,18.75,14800,9.37
2000-03-10,18.875,19.0625,18.75,18.75,24800,9.37
2000-03-13,18.6875,18.875,18.6875,18.875,15400,9.437
2000-03-14,18.75,18.875,18.625,18.875,28200,9.437
2000-03-15,18.75,18.875,18.5625,18.8125,45000,9.4062
2000-03-16,18.8125,20.25,18.8125,20.25,136600,10.12
2000-03-17,20.00,20.125,19.625,20.00,116600,10.0
2000-03-20,19.875,19.875,19.5625,19.5625,60400,9.7812
2000-03-21,19.50,19.5625,19.125,19.125,38600,9.562
2000-03-22,19.25,19.625,19.1875,19.625,31400,9.812
2000-03-23,19.625,19.625,19.375,19.375,54400,9.687
