Date,Open,High,Low,Close,Volume,Adj Clos
2005-03-03,10.50,10.90,10.20,10.79,199500,6.45520
2005-03-04,10.74,10.75,10.60,10.74,47200,6.42528
2005-03-07,10.74,10.75,10.65,10.72,14600,6.41332
2005-03-08,10.75,11.84,10.75,11.50,61800,6.87996
2005-03-09,11.50,11.75,10.85,11.10,35200,6.64066
2005-03-10,11.78,11.78,11.05,11.20,42900,6.70048
2005-03-11,11.29,11.29,10.87,10.95,24400,6.55092
2005-03-14,10.97,11.25,10.80,10.86,10700,6.4970
2005-03-15,10.85,10.94,10.76,10.78,20900,6.44921
2005-03-16,10.95,10.95,10.70,10.80,25900,6.46118
2005-03-17,10.80,10.80,10.70,10.75,6100,6.43127
2005-03-18,10.80,10.90,10.66,10.90,7500,6.5210
2005-03-21,10.85,10.94,10.73,10.94,4900,6.54494
2005-03-22,10.70,11.00,10.70,11.00,9600,6.58083
2005-03-23,11.00,11.00,10.95,11.00,4700,6.58083
2005-03-24,10.99,11.00,10.81,11.00,5300,6.58083
2005-03-28,11.15,11.15,11.05,11.15,7000,6.67057
2005-03-29,11.10,11.11,11.10,11.11,3400,6.64664
2005-03-30,11.20,11.20,11.00,11.14,9100,6.66459
2005-03-31,11.15,11.24,11.10,11.21,6500,6.7064
2005-04-01,11.24,11.24,11.20,11.24,2400,6.72441
2005-04-04,11.21,11.21,11.15,11.20,4700,6.70048
2005-04-05,11.16,11.19,11.00,11.14,7400,6.66459
2005-04-06,11.14,11.14,11.10,11.10,3100,6.64066
2005-04-07,11.08,11.14,11.08,11.14,900,6.66459
2005-04-08,11.00,11.14,11.00,11.14,2600,6.66459
2005-04-11,11.10,11.10,11.02,11.10,1100,6.64066
2005-04-12,11.45,11.48,11.14,11.25,6900,6.73040
2005-04-13,11.25,11.25,11.25,11.25,800,6.73040
2005-04-14,11.25,11.25,11.25,11.25,900,6.73040
2005-04-15,11.25,11.25,11.05,11.25,1400,6.73040
2005-04-18,11.05,11.25,11.05,11.25,2100,6.73040
2005-04-19,11.45,11.45,11.06,11.43,5400,6.83808
2005-04-20,11.48,11.48,11.09,11.25,11700,6.73040
2005-04-21,11.25,11.33,11.20,11.28,5700,6.74834
2005-04-22,11.29,11.34,11.17,11.33,3300,6.77826
2005-04-25,11.23,11.33,11.23,11.23,1000,6.71843
2005-04-26,11.33,11.33,11.32,11.32,1700,6.77227
2005-04-27,11.40,11.45,11.40,11.45,3000,6.91110
2005-04-28,11.20,11.43,11.19,11.43,1900,6.89903
2005-04-29,11.25,11.25,11.25,11.25,6000,6.79038
2005-05-02,11.20,11.20,11.20,11.20,300,6.76020
2005-05-03,11.10,11.19,11.10,11.19,5500,6.75417
