Date,Open,High,Low,Close,Volume,Adj Clos
2010-08-11,10.25,12.74,10.06,12.16,2043200,12.1
2010-08-12,11.52,12.25,11.40,12.00,595200,12.0
2010-08-13,12.35,12.40,11.9125,12.02,222200,12.0
2010-08-16,12.00,12.0198,11.97,12.00,86600,12.0
2010-08-17,12.00,12.60,11.12,12.47,162600,12.4
2010-08-18,12.22,13.33,12.22,13.26,270200,13.2
2010-08-19,13.05,13.50,13.0201,13.45,182600,13.4
2010-08-20,13.45,13.45,12.70,12.79,264400,12.7
2010-08-23,12.78,13.20,12.78,12.92,92400,12.9
2010-08-24,12.80,12.97,12.60,12.85,106000,12.8
2010-08-25,12.67,12.75,12.47,12.51,108600,12.5
2010-08-26,12.50,12.61,12.49,12.60,90700,12.6
2010-08-27,12.75,13.00,12.75,12.91,213600,12.9
2010-08-30,12.95,12.95,12.6002,12.68,48000,12.6
2010-08-31,12.53,12.76,12.51,12.75,94800,12.7
2010-09-01,13.07,13.12,12.69,12.78,63700,12.7
2010-09-02,12.67,12.77,12.53,12.77,97500,12.7
2010-09-03,12.65,12.80,12.61,12.75,33200,12.7
2010-09-07,12.80,12.81,12.51,12.70,69400,12.7
2010-09-08,12.70,12.99,12.06,12.16,232200,12.1
2010-09-09,12.16,12.16,11.52,11.61,237700,11.6
2010-09-10,11.51,12.70,11.50,12.60,72300,12.6
2010-09-13,12.60,12.655,11.80,11.81,105900,11.8
2010-09-14,11.90,12.36,11.86,12.30,36000,12.3
2010-09-15,12.26,12.60,12.18,12.24,84100,12.2
2010-09-16,12.25,12.60,12.00,12.12,53800,12.1
2010-09-17,12.15,12.36,11.78,12.33,91000,12.3
2010-09-20,12.50,13.00,12.45,12.50,142700,12.5
2010-09-21,12.68,12.77,12.0204,12.03,35900,12.0
2010-09-22,12.13,12.52,12.03,12.52,11800,12.5
2010-09-23,12.60,13.09,12.60,13.09,66000,13.0
2010-09-24,13.20,14.50,13.145,13.84,187500,13.8
2010-09-27,14.08,14.33,13.76,14.11,138500,14.1
2010-09-28,14.37,14.44,13.66,14.43,153000,14.4
2010-09-29,14.50,14.69,13.91,14.00,124000,14.0
2010-09-30,14.12,14.57,14.10,14.17,214400,14.1
2010-10-01,14.34,14.52,14.0498,14.50,108900,14.5
2010-10-04,14.66,14.83,13.90,13.95,82700,13.9
2010-10-05,14.22,15.05,14.22,14.83,364100,14.8
2010-10-06,14.97,15.70,14.31,14.79,378600,14.7
2010-10-07,14.80,15.35,14.80,14.98,140900,14.9
2010-10-08,15.67,15.98,15.06,15.61,469600,15.6
2010-10-11,15.63,18.81,15.63,16.74,426000,16.7
2010-10-12,17.04,17.679,16.45,16.46,230600,16.4
2010-10-13,16.55,17.99,16.55,17.78,314600,17.7
2010-10-14,18.00,18.12,16.61,17.8136,280300,17.813
2010-10-15,18.05,19.60,18.05,19.43,265300,19.4
2010-10-18,19.565,19.60,18.30,18.36,368200,18.3
2010-10-19,18.28,18.36,17.71,18.13,335900,18.1
2010-10-20,18.29,18.30,18.00,18.10,113100,18.1
2010-10-21,18.04,19.15,18.04,18.80,105800,18.8
2010-10-22,18.98,19.49,18.42,19.3655,79800,19.365
2010-10-25,19.46,20.35,19.35,19.60,176800,19.6
2010-10-26,19.68,20.19,19.25,19.75,132900,19.7
2010-10-27,19.55,19.87,18.90,18.93,102600,18.9
2010-10-28,19.17,19.33,18.90,19.04,84900,19.0
2010-10-29,19.19,19.79,19.13,19.46,146000,19.4
2010-11-01,19.81,19.81,18.70,18.80,101700,18.8
2010-11-02,19.06,19.33,19.00,19.20,67300,19.2
2010-11-03,19.07,19.19,18.51,18.76,73100,18.7
2010-11-04,19.06,19.099,18.56,18.95,55900,18.9
2010-11-05,18.77,19.1699,18.1201,18.32,173900,18.3
2010-11-08,18.35,18.50,17.80,17.92,353400,17.9
2010-11-09,17.80,18.50,17.75,18.14,95100,18.1
2010-11-10,18.22,18.54,17.90,18.00,82700,18.0
2010-11-11,18.02,18.6996,17.98,18.60,139000,18.6
2010-11-12,18.37,19.04,18.18,18.79,59500,18.7
2010-11-15,18.93,20.00,18.90,19.32,118500,19.3
2010-11-16,19.41,19.41,18.18,18.61,78700,18.6
2010-11-17,18.67,18.67,18.00,18.41,37500,18.4
2010-11-18,18.60,18.77,18.44,18.46,44800,18.4
2010-11-19,18.56,18.63,18.40,18.50,67900,18.5
2010-11-22,18.77,19.88,18.76,19.37,136600,19.3
2010-11-23,19.34,19.34,18.80,19.00,45800,19.0
2010-11-24,19.01,19.185,18.57,19.13,28100,19.1
2010-11-26,19.16,19.16,18.90,18.96,26500,18.9
2010-11-29,18.95,19.06,18.69,19.02,76500,19.0
2010-11-30,19.05,20.84,18.61,20.74,480300,20.7
2010-12-01,22.56,22.56,20.75,22.44,308400,22.4
2010-12-02,22.42,23.16,22.00,22.79,110400,22.7
2010-12-03,22.79,22.79,20.70,21.68,126400,21.6
2010-12-06,21.85,21.85,20.94,21.26,77200,21.2
2010-12-07,21.26,21.27,20.01,20.071,71600,20.07
2010-12-08,20.43,20.43,19.00,19.36,104200,19.3
2010-12-09,19.41,21.02,19.41,20.74,626800,20.7
2010-12-10,21.99,21.99,20.3909,20.48,106300,20.4
2010-12-13,20.89,21.0028,19.36,19.52,114000,19.5
2010-12-14,19.71,19.97,18.48,18.55,132000,18.5
2010-12-15,18.46,18.5001,17.5713,18.10,249800,18.1
2010-12-16,17.77,18.70,17.682,18.45,115600,18.4
2010-12-17,18.25,18.33,17.87,18.20,75400,18.2
2010-12-20,18.54,18.54,17.80,17.90,96800,17.9
2010-12-21,18.00,18.07,17.75,17.96,37500,17.9
2010-12-22,18.00,18.23,17.06,17.21,153100,17.2
2010-12-23,17.32,17.73,17.23,17.40,68200,17.4
2010-12-27,17.28,18.53,17.28,18.12,36400,18.1
2010-12-28,18.36,18.42,17.70,17.94,67200,17.9
2010-12-29,17.99,18.85,17.99,18.56,54400,18.5
2010-12-30,18.81,19.07,17.94,18.94,137900,18.9
2010-12-31,18.94,19.2401,18.50,18.51,31300,18.5
2011-01-03,18.48,18.48,17.90,18.03,121500,18.0
2011-01-04,18.11,18.84,18.04,18.23,54600,18.2
2011-01-05,18.21,18.63,18.10,18.32,73500,18.3
2011-01-06,18.21,18.40,18.00,18.34,39500,18.3
2011-01-07,18.23,18.54,18.10,18.48,38500,18.4
2011-01-10,18.57,19.31,18.37,19.28,62800,19.2
2011-01-11,19.43,20.31,19.43,20.04,107000,20.0
2011-01-12,20.24,20.25,19.54,19.87,35500,19.8
2011-01-13,19.93,20.16,19.51,19.99,81900,19.9
2011-01-14,19.90,20.77,19.68,19.86,102200,19.8
2011-01-18,19.88,19.88,18.25,18.69,102300,18.6
2011-01-19,18.79,18.81,17.50,17.73,67300,17.7
2011-01-20,17.54,18.91,17.50,18.55,60000,18.5
2011-01-21,18.52,18.64,18.16,18.35,12900,18.3
2011-01-24,18.21,18.47,17.91,18.22,35000,18.2
2011-01-25,18.26,18.53,17.10,17.11,59800,17.1
2011-01-26,17.26,18.00,17.17,17.85,69800,17.8
2011-01-27,17.73,18.23,17.20,18.12,93300,18.1
2011-01-28,18.06,18.06,16.75,17.37,52800,17.3
2011-01-31,17.27,17.33,15.49,16.02,274500,16.0
2011-02-01,16.30,17.50,16.09,16.51,40300,16.5
2011-02-02,16.35,17.08,16.35,16.85,41100,16.8
2011-02-03,17.70,17.71,16.85,17.05,45500,17.0
2011-02-04,17.00,17.26,16.76,17.03,28000,17.0
2011-02-07,17.04,17.31,16.02,16.41,83800,16.4
2011-02-08,16.64,16.86,16.52,16.66,27000,16.6
2011-02-09,16.72,17.29,16.335,16.45,28500,16.4
2011-02-10,16.23,16.65,16.12,16.50,23100,16.5
2011-02-11,16.50,17.00,16.41,16.86,24200,16.8
2011-02-14,16.99,16.99,16.25,16.25,37600,16.2
2011-02-15,16.25,16.25,15.78,15.81,50900,15.8
2011-02-16,15.80,15.80,15.32,15.54,89000,15.5
2011-02-17,15.50,15.68,15.35,15.44,62700,15.4
2011-02-18,15.71,16.25,15.6999,16.02,78600,16.0
2011-02-22,16.47,16.80,15.811,16.13,123500,16.1
2011-02-23,16.32,17.03,16.15,16.74,66800,16.7
2011-02-24,16.7892,17.04,16.46,16.61,52200,16.6
2011-02-25,16.80,17.03,16.71,16.79,43600,16.7
2011-02-28,16.80,17.59,16.63,16.76,113400,16.7
2011-03-01,17.00,17.00,16.81,16.89,12500,16.8
2011-03-02,16.90,16.9455,16.72,16.88,6400,16.8
2011-03-03,16.90,16.95,16.88,16.95,24500,16.9
2011-03-04,16.90,17.05,16.90,17.05,28400,17.0
2011-03-07,17.03,17.06,16.96,17.00,48500,17.0
2011-03-08,17.00,17.89,17.00,17.38,81500,17.3
