Date,Open,High,Low,Close,Volume,Adj Clos
2001-05-01,31.00,31.00,31.00,31.00,400,10.86206
2001-05-02,31.00,31.00,31.00,31.00,400,10.86206
2001-05-03,35.00,35.00,35.00,35.00,200,12.26361
2001-05-04,35.00,35.00,35.00,35.00,400,12.26361
2001-05-07,35.00,35.00,35.00,35.00,000,12.26361
2001-05-08,35.00,35.00,35.00,35.00,000,12.26361
2001-05-09,35.00,35.00,35.00,35.00,000,12.26361
2001-05-10,37.50,37.50,37.50,37.50,600,13.13959
2001-05-11,37.50,37.50,37.50,37.50,000,13.13959
2001-05-14,37.50,37.50,37.50,37.50,000,13.13959
2001-05-15,38.00,38.50,38.00,38.50,1600,13.48998
2001-05-16,38.00,51.00,38.00,38.50,2000,13.48998
2001-05-17,38.50,38.50,38.50,38.50,000,13.48998
2001-05-18,38.50,38.50,38.50,38.50,000,13.48998
2001-05-21,38.50,38.50,38.50,38.50,000,13.48998
2001-05-22,38.50,38.50,38.50,38.50,000,13.48998
2001-05-23,38.50,38.50,38.50,38.50,000,13.48998
2001-05-24,38.50,38.50,38.50,38.50,000,13.48998
2001-05-25,39.00,39.00,39.00,39.00,200,13.66517
2001-05-29,39.00,39.00,39.00,39.00,000,13.66517
2001-05-30,38.00,38.00,38.00,38.00,1000,13.31478
2001-05-31,41.00,41.00,41.00,41.00,800,14.36595
2001-06-01,41.00,41.00,41.00,41.00,000,14.36595
2001-06-04,41.00,41.00,41.00,41.00,000,14.36595
2001-06-05,41.00,41.00,41.00,41.00,000,14.36595
2001-06-06,41.00,41.00,41.00,41.00,000,14.36595
2001-06-07,41.00,41.00,41.00,41.00,000,14.36595
2001-06-08,41.00,41.00,41.00,41.00,000,14.36595
2001-06-11,41.00,41.00,41.00,41.00,000,14.36595
2001-06-12,41.00,41.00,41.00,41.00,000,14.36595
2001-06-13,41.00,41.00,41.00,41.00,000,14.36595
2001-06-14,41.00,41.00,41.00,41.00,000,14.36595
2001-06-15,41.00,41.00,41.00,41.00,000,14.36595
2001-06-18,45.00,45.00,45.00,45.00,400,15.76751
2001-06-19,45.00,45.00,45.00,45.00,000,15.76751
2001-06-20,45.00,45.00,45.00,45.00,000,15.76751
2001-06-21,45.00,45.00,45.00,45.00,000,15.76751
2001-06-22,45.00,45.00,45.00,45.00,000,15.76751
2001-06-25,45.00,45.00,45.00,45.00,000,15.76751
2001-06-26,45.00,46.00,45.00,46.00,2800,16.117
2001-06-27,48.00,50.50,48.00,49.00,8000,17.16906
2001-06-28,47.00,47.00,47.00,47.00,200,16.46828
2001-06-29,49.00,49.00,48.00,48.00,1000,16.81867
2001-07-02,47.00,47.00,47.00,47.00,1000,16.46828
2001-07-03,48.00,49.00,48.00,49.00,1000,17.16906
2001-07-05,49.00,49.00,49.00,49.00,2000,17.16906
2001-07-06,49.00,49.00,49.00,49.00,000,17.16906
2001-07-09,49.00,49.00,49.00,49.00,400,17.16906
2001-07-10,49.00,49.00,49.00,49.00,000,17.16906
2001-07-11,47.50,47.50,47.50,47.50,600,16.64348
2001-07-12,48.00,48.00,48.00,48.00,600,16.81867
2001-07-13,48.00,48.50,48.00,48.00,7800,16.81867
2001-07-16,48.00,48.00,48.00,48.00,000,16.81867
2001-07-17,48.50,48.50,47.50,47.50,800,16.64348
2001-07-18,47.50,48.00,47.50,47.50,4400,16.64348
2001-07-19,47.349998,47.349998,46.299999,46.299999,1600,16.22301
2001-07-20,46.130001,47.00,46.130001,46.400002,96200,16.25805
2001-07-23,47.00,47.00,46.380001,46.380001,1600,16.25104
2001-07-24,46.380001,46.380001,46.380001,46.380001,000,16.25104
2001-07-25,47.00,47.00,47.00,47.00,200,16.46828
2001-07-26,47.00,47.00,47.00,47.00,6200,16.46828
2001-07-27,47.00,47.00,47.00,47.00,800,16.46828
2001-07-30,47.00,47.00,47.00,47.00,000,16.46828
2001-07-31,47.00,47.00,47.00,47.00,000,16.46828
2001-08-01,47.00,47.00,47.00,47.00,000,16.46828
2001-08-02,46.950001,47.00,46.950001,47.00,3600,16.46828
2001-08-03,47.00,47.00,47.00,47.00,000,16.46828
2001-08-06,47.00,47.00,46.25,46.50,20400,16.29309
2001-08-07,46.00,46.25,46.00,46.25,79400,16.20549
2001-08-08,46.380001,46.470001,46.380001,46.470001,80000,16.28258
2001-08-09,47.00,47.50,47.00,47.50,600,16.64348
2001-08-10,48.00,48.00,47.50,47.50,50400,16.64348
2001-08-13,48.25,48.349998,48.25,48.349998,30000,16.94131
2001-08-14,48.00,61.00,48.00,56.00,272800,19.62179
2001-08-15,56.25,56.52,56.25,56.52,800,19.80399
2001-08-16,59.00,60.00,58.990002,59.50,198600,20.84815
2001-08-17,61.00,61.00,59.68,59.68,14000,20.91122
2001-08-20,60.00,60.50,59.75,59.75,9600,20.9357
2001-08-21,59.75,60.00,58.50,60.00,1600,21.02334
2001-08-22,58.50,58.50,58.50,58.50,1000,20.49776
2001-08-23,60.00,60.00,60.00,60.00,1000,21.02334
2001-08-24,60.00,60.00,60.00,60.00,200,21.02334
2001-08-27,60.00,60.00,60.00,60.00,400,21.02334
2001-08-28,60.00,60.00,60.00,60.00,000,21.02334
2001-08-29,61.00,65.00,61.00,64.00,137400,22.42490
2001-08-30,62.00,64.00,62.00,64.00,3000,22.42490
2001-08-31,64.00,64.00,62.00,62.00,85800,21.72412
2001-09-04,61.00,61.25,60.00,61.25,7800,21.46133
2001-09-05,62.900002,64.00,62.00,63.549999,339800,22.26722
2001-09-06,64.099998,64.099998,63.00,63.080002,1690200,22.10254
2001-09-07,63.00,65.00,63.00,65.00,247000,22.77529
2001-09-10,65.790001,67.900002,65.00,65.00,81200,22.77529
2001-09-17,65.099998,65.099998,59.200001,60.00,102800,21.02334
2001-09-18,60.099998,60.099998,60.00,60.099998,130000,21.05838
2001-09-19,58.50,60.25,58.00,60.00,20200,21.02334
2001-09-20,60.50,61.75,60.00,60.00,12000,21.02334
2001-09-21,60.00,60.00,60.00,60.00,000,21.02334
2001-09-24,58.450001,59.00,58.450001,59.00,5000,20.67295
2001-09-25,59.00,59.00,59.00,59.00,000,20.67295
2001-09-26,59.00,59.00,59.00,59.00,000,20.67295
2001-09-27,59.00,59.00,59.00,59.00,800,20.67295
2001-09-28,59.00,60.25,59.00,59.00,6000,20.67295
2001-10-01,58.50,58.50,58.50,58.50,6200,20.49776
2001-10-02,58.50,58.50,58.50,58.50,000,20.49776
2001-10-03,59.50,59.50,58.00,58.00,2800,20.32256
2001-10-04,58.00,58.00,58.00,58.00,2000,20.32256
2001-10-05,58.00,58.00,58.00,58.00,800,20.32256
2001-10-08,58.00,58.00,58.00,58.00,000,20.32256
2001-10-09,58.00,58.00,58.00,58.00,000,20.32256
2001-10-10,57.00,59.50,57.00,58.50,7400,20.49776
2001-10-11,58.00,59.00,58.00,59.00,1400,20.67295
2001-10-12,59.00,59.00,59.00,59.00,000,20.67295
2001-10-15,59.00,59.00,59.00,59.00,000,20.67295
2001-10-16,59.00,59.00,59.00,59.00,000,20.67295
2001-10-17,59.00,59.00,59.00,59.00,000,20.67295
