Date,Open,High,Low,Close,Volume,Adj Clos
2006-02-01,14.60,16.290001,14.50,15.75,5037200,12.21548
2006-02-02,15.75,17.299999,15.30,16.15,751100,12.52571
2006-02-03,16.65,17.00,16.51,16.950001,289000,13.14618
2006-02-06,17.00,17.25,16.27,17.25,267500,13.37886
2006-02-07,17.030001,17.50,16.75,17.00,328600,13.18496
2006-02-08,17.00,17.00,16.799999,17.00,161300,13.18496
2006-02-09,16.950001,17.74,16.950001,17.52,196600,13.58826
2006-02-10,17.450001,17.75,17.049999,17.549999,102500,13.61153
2006-02-13,17.549999,17.98,17.549999,17.60,141100,13.65031
2006-02-14,17.65,18.549999,17.65,18.299999,123300,14.19322
2006-02-15,18.299999,18.299999,18.120001,18.209999,54500,14.12342
2006-02-16,18.00,18.09,17.60,17.700001,209900,13.72787
2006-02-17,17.60,18.17,17.60,18.10,89300,14.03810
2006-02-21,18.15,19.83,18.15,19.50,195100,15.1239
2006-02-22,19.50,19.700001,18.98,19.24,208400,14.92227
2006-02-23,19.299999,19.299999,18.75,19.00,55700,14.73613
2006-02-24,18.959999,19.00,18.90,18.950001,57800,14.69735
2006-02-27,18.950001,19.10,18.75,18.75,28900,14.5422
2006-02-28,18.85,19.10,18.85,18.90,52900,14.65857
2006-03-01,18.85,18.950001,18.51,18.799999,83500,14.58101
2006-03-02,18.60,18.65,18.440001,18.530001,144300,14.37161
2006-03-03,18.450001,19.00,18.450001,18.700001,59300,14.50346
2006-03-06,18.799999,18.91,18.60,18.60,28200,14.42590
2006-03-07,18.65,18.68,17.25,17.700001,159000,13.72787
2006-03-08,17.709999,17.799999,17.35,17.49,192800,13.56500
2006-03-09,16.25,17.940001,16.200001,17.25,413900,13.37886
2006-03-10,17.200001,17.379999,16.85,17.299999,71400,13.41763
2006-03-13,17.25,17.280001,16.91,16.98,45500,13.16945
2006-03-14,16.950001,17.209999,16.75,17.08,101500,13.24701
2006-03-15,17.65,18.25,17.209999,17.33,150300,13.44090
2006-03-16,17.34,17.40,17.10,17.10,266000,13.26252
2006-03-17,17.10,17.60,17.10,17.35,101500,13.4564
2006-03-20,17.60,18.690001,17.59,18.360001,49900,14.23976
2006-03-21,18.50,18.549999,18.030001,18.049999,55900,13.99932
2006-03-22,18.00,18.540001,17.60,18.25,39200,14.15444
2006-03-23,19.10,19.42,18.98,19.34,599400,14.99983
