Date,Open,High,Low,Close,Volume,Adj Clos
2004-08-12,13.00,13.01,12.50,12.75,232100,26.11208
2004-08-13,12.80,12.89,12.72,12.85,9600,26.31688
2004-08-16,12.85,12.85,12.65,12.78,16000,26.17352
2004-08-17,12.70,12.90,12.65,12.85,17200,26.31688
2004-08-18,12.85,12.98,12.80,12.85,14500,26.31688
2004-08-19,12.87,12.97,12.85,12.91,15900,26.43976
2004-08-20,12.86,13.00,12.85,13.00,12100,26.62408
2004-08-23,12.99,12.99,12.85,12.95,49000,26.52168
2004-08-24,12.98,13.00,12.91,12.91,23200,26.43976
2004-08-25,12.86,12.99,12.75,12.92,13600,26.46024
2004-08-26,12.93,13.10,12.93,13.04,107300,26.70600
2004-08-27,13.00,13.15,13.00,13.05,99000,26.72648
2004-08-30,13.07,13.15,13.06,13.06,77100,26.74696
2004-08-31,13.07,13.30,13.02,13.25,15500,27.13608
2004-09-01,13.50,13.56,13.13,13.20,32500,27.03368
2004-09-02,13.22,13.38,13.17,13.33,71200,27.29992
2004-09-03,13.32,13.33,13.15,13.22,6900,27.07464
2004-09-07,13.16,13.28,13.07,13.24,36100,27.11560
2004-09-08,13.18,13.22,13.07,13.17,19600,26.97224
2004-09-09,13.00,13.14,13.00,13.14,70500,26.91080
2004-09-10,13.20,13.29,13.15,13.22,63100,27.07464
2004-09-13,13.25,13.25,13.00,13.12,178300,26.86984
2004-09-14,13.15,13.21,13.05,13.07,98500,26.76744
2004-09-15,13.06,13.15,13.00,13.04,28100,26.70600
2004-09-16,13.08,13.09,13.00,13.00,41300,26.62408
2004-09-17,13.00,13.04,12.95,13.02,80200,26.66504
2004-09-20,13.08,13.08,12.96,13.03,20300,26.68552
2004-09-21,13.03,13.10,13.00,13.06,63000,26.74696
2004-09-22,13.05,13.10,12.96,13.06,23100,26.74696
2004-09-23,13.12,13.18,12.88,13.15,39900,26.93128
2004-09-24,13.14,13.15,12.90,13.09,12900,26.80840
2004-09-27,13.05,13.14,12.98,13.10,33700,26.82888
2004-09-28,13.10,13.10,12.85,13.09,24500,26.80840
2004-09-29,13.10,13.15,13.03,13.14,52500,26.91080
2004-09-30,13.14,13.42,12.99,13.15,239800,27.12533
2004-10-01,13.15,13.30,12.96,13.18,36400,27.18721
2004-10-04,13.22,13.40,13.13,13.33,100400,27.4966
2004-10-05,13.38,13.39,13.00,13.10,32600,27.02219
2004-10-06,13.05,13.39,13.02,13.39,15900,27.62039
2004-10-07,13.36,13.39,13.06,13.32,28700,27.47600
2004-10-08,13.38,13.53,13.30,13.45,65900,27.74416
2004-10-11,13.40,13.54,13.36,13.54,67100,27.92981
2004-10-12,13.54,13.65,13.28,13.40,20500,27.64102
2004-10-13,13.39,13.45,13.09,13.18,16100,27.18721
2004-10-14,13.15,13.16,13.00,13.11,15600,27.04282
2004-10-15,13.17,13.25,13.05,13.05,16900,26.91905
2004-10-18,13.05,13.10,12.98,13.06,26100,26.93968
2004-10-19,13.06,13.15,12.94,12.94,69900,26.69215
2004-10-20,12.94,13.00,12.75,13.00,43100,26.81591
2004-10-21,13.00,13.00,12.76,13.00,27300,26.81591
2004-10-22,12.95,13.04,12.86,12.90,11300,26.60964
2004-10-25,12.95,13.04,12.74,12.83,38200,26.46524
2004-10-26,12.86,13.05,12.70,13.05,43700,26.91905
2004-10-27,13.04,13.46,12.85,13.45,22400,27.74416
2004-10-28,13.45,13.55,13.15,13.26,32600,27.35223
2004-10-29,13.20,13.29,13.10,13.20,54200,27.22847
2004-11-01,13.15,13.25,13.00,13.08,17200,26.9809
2004-11-02,13.10,13.20,13.01,13.14,10900,27.10470
2004-11-03,13.16,13.24,13.03,13.12,9300,27.0634
2004-11-04,13.10,13.25,13.03,13.20,4400,27.22847
2004-11-05,13.19,13.20,13.00,13.00,10200,26.81591
2004-11-08,13.00,13.19,13.00,13.15,9000,27.12533
2004-11-09,13.21,13.29,13.03,13.20,7000,27.22847
2004-11-10,13.28,13.36,13.05,13.05,14300,26.91905
2004-11-11,13.10,13.25,13.00,13.25,15300,27.33160
2004-11-12,13.25,13.67,13.02,13.45,24700,27.74416
2004-11-15,13.60,13.72,13.50,13.68,13200,28.21859
2004-11-16,13.75,13.80,13.17,13.60,19800,28.05357
2004-11-17,13.65,13.85,13.25,13.25,17700,27.33160
2004-11-18,13.32,13.53,13.25,13.53,36200,27.90918
2004-11-19,13.53,13.63,13.42,13.52,38600,27.88855
2004-11-22,13.50,13.78,13.49,13.70,13800,28.25985
2004-11-23,13.75,14.08,13.66,14.05,34700,28.9818
2004-11-24,14.05,14.15,13.87,14.00,8100,28.87868
2004-11-26,14.02,14.09,13.96,13.99,9100,28.85805
2004-11-29,14.04,14.05,13.71,13.95,13900,28.77554
2004-11-30,13.85,13.97,13.75,13.88,14200,28.6311
2004-12-01,13.92,14.49,13.92,14.45,23200,29.80692
2004-12-02,14.50,14.83,14.15,14.77,42300,30.4670
2004-12-03,14.69,14.73,14.45,14.52,16200,29.95131
2004-12-06,14.52,14.81,14.41,14.80,9600,30.52889
2004-12-07,14.85,14.91,14.57,14.57,20600,30.05445
2004-12-08,14.50,14.63,14.25,14.58,21500,30.07508
2004-12-09,14.48,14.85,14.36,14.82,16300,30.57014
2004-12-10,14.82,14.82,14.50,14.74,7900,30.40512
2004-12-13,14.75,14.75,14.56,14.75,7800,30.42575
2004-12-14,14.68,14.90,14.65,14.86,15000,30.65265
2004-12-15,14.69,14.80,14.38,14.40,15200,29.70378
2004-12-16,14.40,14.40,14.12,14.15,13900,29.18809
2004-12-17,14.20,14.70,13.96,14.70,92700,30.32261
2004-12-20,14.55,14.90,14.45,14.79,35100,30.50826
2004-12-21,14.80,15.00,14.71,14.99,14100,30.92081
2004-12-22,14.89,15.18,14.89,15.10,14500,31.14772
2004-12-23,15.17,15.24,15.08,15.10,9600,31.14772
2004-12-27,15.15,15.37,15.05,15.25,15000,31.45713
2004-12-28,15.30,15.50,15.20,15.44,14600,31.84905
2004-12-29,15.40,15.55,15.32,15.40,12300,31.76654
2004-12-30,15.35,15.61,15.26,15.32,13300,31.60152
2004-12-31,15.25,15.28,15.10,15.28,8000,31.91061
2005-01-03,15.33,15.41,15.15,15.28,20900,31.91061
2005-01-04,15.15,15.33,15.12,15.25,11300,31.8479
2005-01-05,15.00,15.00,14.76,14.80,18900,30.90818
2005-01-06,14.80,14.95,14.75,14.82,11500,30.94995
2005-01-07,15.05,15.30,14.85,15.20,12100,31.7435
