Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,71.0625,71.0625,67.00,68.375,1250000,29.20576
2000-01-04,68.125,69.375,67.375,67.5625,1285600,28.85871
2000-01-05,67.625,69.375,67.50,68.50,1510200,29.25915
2000-01-06,69.00,70.8125,69.00,70.6875,2018000,30.1935
2000-01-07,70.6875,75.6875,70.6875,75.5625,1898400,32.27584
2000-01-10,75.50,76.25,73.8125,75.75,1357800,32.35593
2000-01-11,75.875,76.50,74.875,75.125,1221800,32.08896
2000-01-12,75.00,76.00,72.50,73.0625,963800,31.2079
2000-01-13,73.5625,74.5625,73.00,73.625,1220200,31.44825
2000-01-14,75.50,77.875,74.75,77.00,1812200,32.88985
2000-01-18,76.3125,77.6875,76.00,76.6875,910000,32.75637
2000-01-19,76.6875,78.25,76.6875,77.375,1536200,33.05003
2000-01-20,77.125,77.4375,76.00,76.5625,1094200,32.70298
2000-01-21,78.4375,78.4375,75.875,76.3125,1698600,32.59619
2000-01-24,77.00,77.00,73.375,73.4375,1226200,31.36816
2000-01-25,73.6875,74.125,70.3125,71.8125,1464200,30.67406
2000-01-26,72.00,74.3125,71.25,73.3125,1640000,31.31477
2000-01-27,73.0625,73.0625,70.00,71.00,1470200,30.32701
2000-01-28,70.75,71.00,68.125,68.8125,1799400,29.39264
2000-01-31,69.0625,70.75,69.00,70.125,1193800,29.95326
2000-02-01,71.25,73.875,70.375,73.125,1241400,31.23468
2000-02-02,73.125,74.75,72.25,73.75,2038200,31.5016
2000-02-03,75.50,78.00,75.25,77.50,3186600,33.10342
2000-02-04,78.25,81.8125,78.0625,80.125,2559000,34.22467
2000-02-07,80.00,81.125,79.3125,79.9375,2269600,34.14458
2000-02-08,79.6875,80.875,79.0625,80.75,1096800,34.49163
2000-02-09,81.00,81.00,78.5625,78.5625,1553400,33.55726
2000-02-10,78.8125,80.00,78.00,79.625,994200,34.01110
2000-02-11,79.375,80.00,79.00,79.50,596200,33.9577
2000-02-14,78.75,79.1875,77.75,77.875,1472000,33.26360
2000-02-15,77.875,77.875,75.50,76.375,1457600,32.62289
2000-02-16,75.875,75.875,71.50,71.9375,2439800,30.72745
2000-02-17,71.50,72.25,68.125,69.25,2646800,29.57951
2000-02-18,69.50,72.375,69.50,71.125,2121000,30.38040
2000-02-22,70.875,71.75,70.50,71.0625,1881800,30.35370
2000-02-23,71.0625,73.50,71.0625,72.375,1460800,30.91433
2000-02-24,72.375,72.375,68.875,69.0625,3734800,29.49942
2000-02-25,70.00,71.625,69.0625,69.5625,3690200,29.71299
2000-02-28,69.5625,74.375,69.5625,74.0625,2695000,31.63513
2000-02-29,73.8125,77.125,73.5625,75.8125,2316200,32.38262
2000-03-01,77.625,79.75,76.50,78.6875,3246000,33.61065
2000-03-02,78.00,78.50,76.50,77.00,1526600,32.88985
2000-03-03,77.00,78.00,75.875,76.00,1616800,32.46271
2000-03-06,76.00,78.9375,74.50,76.8125,1638400,32.80976
2000-03-07,77.875,79.25,73.6875,75.4375,2564600,32.2224
2000-03-08,76.75,80.75,75.875,80.00,2374200,34.17128
2000-03-09,80.00,89.00,77.875,87.00,3510800,37.16126
2000-03-10,86.8125,86.8125,82.375,86.3125,2938400,36.86760
2000-03-13,78.75,86.5625,78.75,84.6875,2782000,36.17350
2000-03-14,84.9375,84.9375,82.875,83.375,1750000,35.61288
2000-03-15,83.1875,85.75,82.375,85.1875,2194800,36.38707
2000-03-16,87.00,95.00,85.8125,94.625,7645400,40.41821
2000-03-17,93.00,93.6875,89.375,89.8125,3334400,38.36260
2000-03-20,90.625,94.50,90.50,93.00,2315200,39.72411
2000-03-21,92.00,95.00,91.6875,95.00,1423400,40.57839
2000-03-22,94.875,95.00,91.25,92.75,1850400,39.61732
2000-03-23,93.00,96.4375,90.75,94.125,1871000,40.20464
2000-03-24,94.1875,101.25,93.9375,96.5625,3224800,41.24580
2000-03-27,96.625,97.75,95.5625,96.375,1262000,41.16571
2000-03-28,95.75,98.00,94.50,95.125,1978000,40.63178
2000-03-29,95.25,96.375,94.50,95.875,2413400,40.95214
2000-03-30,95.9375,99.8125,95.50,99.5625,2494000,42.52722
2000-03-31,99.875,104.25,99.875,102.50,3788200,43.78195
2000-04-03,103.25,104.6875,102.125,104.125,1684400,44.47605
