Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,18.00,18.0625,17.6875,17.6875,36500,14.0463
2000-01-04,17.50,17.50,16.75,16.875,50400,13.40109
2000-01-05,16.875,17.3125,16.875,17.3125,7700,13.74852
2000-01-06,17.125,17.125,16.75,16.75,13400,13.30182
2000-01-07,16.9375,16.9375,16.50,16.5625,27800,13.15292
2000-01-10,16.375,16.5625,16.25,16.4375,56900,13.05365
2000-01-11,16.5625,16.625,16.4375,16.50,3600,13.1032
2000-01-12,16.6875,16.875,16.625,16.875,6200,13.40109
2000-01-13,16.75,16.75,16.25,16.50,8900,13.1032
2000-01-14,16.4375,16.50,16.25,16.50,19700,13.1032
2000-01-18,16.4375,16.4375,16.0625,16.1875,5700,12.85512
2000-01-19,16.125,16.125,15.9375,15.9375,7000,12.65658
2000-01-20,15.9375,15.9375,15.75,15.9375,5000,12.65658
2000-01-21,15.8125,16.0625,15.625,16.0625,11300,12.75585
2000-01-24,15.25,15.375,14.75,14.75,24200,11.71354
2000-01-25,14.50,14.50,14.1875,14.375,8100,11.41574
2000-01-26,14.1875,14.1875,13.375,13.375,15200,10.62160
2000-01-27,13.25,14.5625,13.00,13.875,29100,11.01867
2000-01-28,13.8125,14.1875,13.50,14.0625,8700,11.16757
2000-01-31,13.9375,14.00,13.375,13.375,39500,10.62160
2000-02-01,13.50,14.00,13.50,13.875,37400,11.01867
2000-02-02,13.9375,13.9375,13.625,13.625,30700,10.82014
2000-02-03,13.625,13.8125,13.50,13.8125,23300,10.96904
2000-02-04,13.75,13.75,13.5625,13.625,18700,10.82014
2000-02-07,13.50,13.75,13.50,13.625,20700,10.82014
2000-02-08,13.6875,13.9375,13.625,13.6875,26700,10.86977
2000-02-09,13.8125,14.125,13.6875,13.6875,18400,10.86977
2000-02-10,13.6875,14.25,13.6875,14.00,13300,11.11794
2000-02-11,14.0625,14.0625,13.8125,13.875,9400,11.01867
2000-02-14,13.9375,14.125,13.8125,13.9375,3900,11.06830
2000-02-15,14.0625,14.25,14.00,14.00,6200,11.11794
2000-02-16,14.00,14.00,13.8125,13.9375,2300,11.06830
2000-02-17,13.9375,13.9375,13.8125,13.8125,1400,10.96904
2000-02-18,13.8125,13.875,13.8125,13.875,13600,11.01867
2000-02-22,13.875,13.9375,13.625,13.75,20300,10.91940
2000-02-23,13.875,14.75,13.875,14.75,183100,11.71354
2000-02-24,14.875,15.8125,14.75,15.4375,30000,12.25951
2000-02-25,15.5625,15.6875,14.375,14.375,41700,11.41574
2000-02-28,15.00,15.3125,14.875,14.875,39000,11.81281
2000-02-29,14.8125,14.9375,14.5625,14.9375,6900,11.86244
2000-03-01,14.9375,15.1875,14.75,15.1875,27500,12.06098
2000-03-02,15.0625,15.0625,14.5625,14.5625,14700,11.56464
2000-03-03,14.50,14.9375,14.4375,14.9375,7800,11.86244
2000-03-06,14.875,14.875,14.375,14.375,10900,11.41574
2000-03-07,14.375,14.50,14.375,14.375,18400,11.41574
2000-03-08,14.375,14.4375,14.375,14.4375,4100,11.46537
2000-03-09,14.5625,14.5625,14.4375,14.4375,600,11.46537
2000-03-10,14.5625,14.5625,14.375,14.4375,6900,11.46537
2000-03-13,14.375,14.50,14.375,14.4375,15300,11.46537
2000-03-14,14.375,15.00,14.375,14.50,23400,11.51501
2000-03-15,14.4375,14.625,14.4375,14.625,14200,11.6142
2000-03-16,14.625,14.9375,14.5625,14.9375,9000,11.86244
2000-03-17,14.8125,15.50,14.8125,15.50,5600,12.30915
2000-03-20,15.9375,16.125,15.9375,16.00,30200,12.70622
2000-03-21,16.00,17.1875,16.00,17.00,10000,13.50035
2000-03-22,17.1875,17.75,17.1875,17.6875,12700,14.0463
2000-03-23,17.625,18.1875,17.50,17.50,48900,13.89742
2000-03-24,17.75,17.75,17.375,17.375,4500,13.79816
2000-03-27,17.375,17.375,16.6875,17.1875,4800,13.6492
2000-03-28,17.4375,17.4375,16.875,16.875,5400,13.40109
2000-03-29,17.0625,17.0625,16.50,16.50,15500,13.1032
2000-03-30,16.00,16.00,15.50,15.50,9300,12.30915
2000-03-31,15.1875,15.375,15.1875,15.25,6500,12.11061
2000-04-03,15.1875,15.625,15.1875,15.625,9100,12.40841
2000-04-04,15.625,16.0625,15.625,16.0625,5600,12.75585
2000-04-05,16.00,16.125,15.75,16.00,14800,12.70622
2000-04-06,15.8125,16.00,15.8125,15.9375,5800,12.65658
2000-04-07,15.875,15.875,15.625,15.875,1400,12.60695
2000-04-10,15.875,16.125,15.8125,15.875,29000,12.60695
2000-04-11,15.75,15.75,15.625,15.6875,2700,12.45805
2000-04-12,15.9375,16.125,15.9375,16.125,1700,12.80548
2000-04-13,16.125,16.125,15.625,16.0625,2400,12.75585
2000-04-14,15.625,15.8125,15.50,15.75,11000,12.50768
2000-04-17,15.6875,15.9375,15.50,15.75,8600,12.50768
2000-04-18,15.6875,16.4375,15.50,16.4375,12700,13.05365
2000-04-19,16.3125,16.4375,16.1875,16.25,3200,12.90475
2000-04-20,16.4375,16.50,16.00,16.50,15500,13.1032
2000-04-24,16.3125,16.75,16.3125,16.50,4100,13.1032
2000-04-25,16.50,16.625,16.125,16.375,4300,13.00402
2000-04-26,16.375,16.75,16.0625,16.4375,11700,13.05365
2000-04-27,16.25,16.25,16.125,16.125,700,12.80548
2000-04-28,16.00,16.00,15.75,15.9375,34900,12.65658
2000-05-01,15.9375,16.4375,15.8125,16.3125,5200,12.95438
2000-05-02,16.0625,16.50,16.0625,16.25,10000,12.90475
2000-05-03,16.125,17.125,16.125,17.125,36700,13.59962
2000-05-04,17.00,17.125,16.875,16.9375,3300,13.45072
2000-05-05,16.8125,17.00,16.65625,16.875,6300,13.40109
2000-05-08,16.875,16.875,15.625,15.8125,20900,12.5573
2000-05-09,16.00,16.00,15.5625,15.625,4400,12.40841
2000-05-10,15.625,15.625,15.375,15.375,8400,12.20988
2000-05-11,15.25,15.25,14.625,14.75,12500,11.71354
2000-05-12,14.625,14.6875,14.00,14.00,30500,11.11794
2000-05-15,14.00,14.00,14.00,14.00,2800,11.11794
2000-05-16,14.00,14.00,12.75,12.75,17300,10.1252
2000-05-17,12.75,12.75,11.625,12.25,55300,9.728
2000-05-18,12.375,12.625,12.00,12.00,171800,9.52966
2000-05-19,12.125,13.00,12.0625,12.625,16500,10.02600
