Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,33.125,33.50,32.75,32.875,189300,19.11708
2000-01-04,32.625,33.00,32.00,32.5625,70400,18.93536
2000-01-05,32.4375,32.625,31.75,31.75,75300,18.46288
2000-01-06,32.50,32.50,31.75,31.8125,54000,18.4992
2000-01-07,32.125,32.125,31.75,32.00,219900,18.60826
2000-01-10,31.9375,32.25,31.9375,32.0625,235000,18.64460
2000-01-11,32.25,32.25,31.00,31.50,153700,18.31750
2000-01-12,31.375,34.50,31.265619,31.84375,238700,18.51740
2000-01-13,31.75,33.1875,31.6875,33.1875,45500,19.29880
2000-01-14,32.71875,34.75,32.4375,34.3125,167900,19.95300
2000-01-18,34.15625,34.4375,33.00,33.625,59700,19.55321
2000-01-19,33.125,34.25,33.00,33.50,134500,19.48052
2000-01-20,33.25,33.6875,32.5625,32.8125,126900,19.08073
2000-01-21,33.75,33.75,31.75,32.50,66700,18.89901
2000-01-24,33.00,33.25,30.25,30.875,94400,17.95406
2000-01-25,30.75,30.75,29.75,30.0625,148400,17.48159
2000-01-26,30.25,30.4375,30.09375,30.25,85000,17.59062
2000-01-27,30.4375,30.875,30.25,30.75,556200,17.88137
2000-01-28,30.6875,31.00,30.00,30.96875,100100,18.00858
2000-01-31,30.75,32.1875,30.75,31.75,94500,18.46288
2000-02-01,31.4375,34.00,30.25,33.125,184600,19.2624
2000-02-02,33.50,34.125,33.00,33.6875,202300,19.58955
2000-02-03,33.75,34.125,33.25,34.125,233700,19.84396
2000-02-04,34.25,34.25,32.6875,32.6875,45000,19.0080
2000-02-07,32.625,32.71875,31.00,31.9375,58700,18.57191
2000-02-08,31.625,32.25,31.25,31.625,75200,18.39019
2000-02-09,32.00,32.00,31.00,31.125,82400,18.09944
2000-02-10,31.25,31.875,31.00,31.1875,203000,18.13578
2000-02-11,31.25,32.50,30.9375,32.50,88700,18.89901
2000-02-14,32.375,32.5625,30.00,30.203119,156400,17.56336
2000-02-15,30.125,31.75,30.125,31.375,172100,18.2448
2000-02-16,31.6875,33.984379,31.6875,32.25,135600,18.7536
2000-02-17,32.00,32.0625,31.50,31.90625,182100,18.55374
2000-02-18,31.9375,32.25,31.25,31.25,40200,18.17213
2000-02-22,31.6875,31.75,30.625,30.75,155100,17.88137
2000-02-23,31.25,31.25,29.5625,29.625,322400,17.22718
2000-02-24,30.00,31.75,29.75,30.3125,229000,17.62696
2000-02-25,30.375,30.4375,29.00,29.1875,67000,16.97277
2000-02-28,29.1875,29.875,29.00,29.53125,74800,17.17266
2000-02-29,29.40625,30.75,29.00,29.75,85200,17.2998
2000-03-01,29.00,30.25,29.00,29.625,119300,17.22718
2000-03-02,29.75,31.00,28.4375,28.6875,363300,16.68201
2000-03-03,28.8125,29.25,28.5625,28.8125,115800,16.75470
2000-03-06,28.625,29.3125,28.5625,28.5625,64900,16.60932
2000-03-07,28.5625,28.625,27.00,28.125,143400,16.35491
2000-03-08,28.00,28.50,27.25,28.50,155200,16.66780
2000-03-09,27.75,29.25,27.4375,27.875,150100,16.30228
2000-03-10,28.125,28.25,27.125,27.875,36400,16.30228
2000-03-13,27.0625,27.75,27.00,27.21875,27600,15.91848
2000-03-14,27.50,27.50,26.625,26.625,132900,15.5712
2000-03-15,26.625,27.75,26.5625,27.09375,94900,15.84538
2000-03-16,27.25,30.625,27.0625,29.00,80900,16.96022
2000-03-17,28.25,29.9375,28.25,29.1875,102400,17.0698
2000-03-20,29.00,29.6875,28.50,29.1875,134400,17.0698
