Date,Open,High,Low,Close,Volume,Adj Clos
2005-05-05,25.00,25.24,24.00,24.00,34955500,18.05385
2005-05-06,24.049999,24.389999,23.65,24.10,3338700,18.12908
2005-05-09,23.700001,23.700001,22.549999,23.40,4255700,17.60251
2005-05-10,23.200001,24.00,23.110001,24.00,2704300,18.05385
2005-05-11,23.90,24.00,22.799999,22.870001,2972400,17.20382
2005-05-12,22.870001,22.870001,21.549999,21.610001,1604800,16.25599
2005-05-13,21.75,22.26,21.60,21.90,4238800,16.47414
2005-05-16,21.90,22.049999,21.90,21.90,445400,16.47414
2005-05-17,21.83,21.83,20.40,20.90,2168200,15.72190
2005-05-18,20.889999,21.75,20.629999,21.40,2837200,16.09802
2005-05-19,21.50,21.82,21.450001,21.700001,595300,16.32369
2005-05-20,21.709999,21.709999,21.34,21.34,358600,16.0528
2005-05-23,21.34,21.450001,20.700001,20.84,1997200,15.67676
2005-05-24,20.84,20.98,20.690001,20.700001,811800,15.57145
2005-05-25,20.700001,21.15,20.559999,21.01,957400,15.80464
2005-05-26,21.10,21.90,21.10,21.90,1191300,16.47414
2005-05-27,21.90,22.15,21.76,21.780001,481400,16.38387
2005-05-31,22.10,22.10,21.559999,21.65,847700,16.28608
2005-06-01,21.65,24.389999,21.40,24.389999,474300,18.34723
2005-06-02,21.549999,21.950001,21.42,21.90,962200,16.47414
2005-06-03,21.860001,21.90,21.48,21.65,390300,16.28608
2005-06-06,21.65,21.799999,21.51,21.57,259500,16.22590
2005-06-07,21.48,21.690001,21.10,21.26,207600,15.9927
2005-06-08,21.35,21.60,21.23,21.440001,632000,16.12811
2005-06-09,21.50,21.60,21.25,21.450001,499700,16.13563
2005-06-10,21.450001,21.860001,21.41,21.76,854400,16.36883
2005-06-13,22.00,22.17,21.90,22.15,864200,16.66220
2005-06-14,22.870001,23.129999,22.559999,23.10,2745900,17.37683
2005-06-15,23.15,23.200001,22.219999,22.90,1184600,17.2263
2005-06-16,23.040001,24.24,23.030001,24.24,1661300,18.23439
2005-06-17,24.18,24.190001,23.66,23.969999,758800,18.03129
2005-06-20,23.90,23.940001,23.299999,23.67,723900,17.80561
