Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,71.031242,72.00,70.125,72.00,2869800,25.80906
2000-01-04,70.875,75.75,70.875,74.00,6717200,26.52598
2000-01-05,73.50,79.625,73.125,77.50,7925800,27.78059
2000-01-06,76.4375,81.1875,75.625,77.75,5329800,27.87020
2000-01-07,77.6875,83.00,77.6875,82.00,3294400,29.39365
2000-01-10,82.00,88.375,82.00,86.9375,2737600,31.1635
2000-01-11,84.625,86.75,80.50,81.375,2993600,29.1696
2000-01-12,80.6875,85.875,80.50,83.75,2274800,30.02096
2000-01-13,84.1875,86.25,81.75,86.00,1619800,30.82749
2000-01-14,86.843758,91.50,86.8125,89.625,2594200,32.12690
2000-01-18,88.00,92.8125,87.375,91.375,2852000,32.75421
2000-01-19,93.50,97.25,90.4375,95.0625,4249000,34.07603
2000-01-20,95.9375,99.6875,89.875,90.875,4188600,32.57498
2000-01-21,91.00,91.5625,89.00,89.6875,4028400,32.14931
2000-01-24,89.8125,94.50,89.50,89.6875,3170800,32.14931
2000-01-25,90.1875,94.125,86.875,94.00,3537800,33.69516
2000-01-26,93.00,93.75,88.50,88.875,3220600,31.87162
2000-01-27,89.468758,93.875,89.0625,92.75,4548000,33.26124
2000-01-28,91.375,94.1875,89.625,90.75,3420200,32.54402
2000-01-31,90.25,95.50,90.1875,94.6875,4680000,33.95605
2000-02-01,95.375,98.25,93.625,97.6875,3320200,35.03189
2000-02-02,98.00,100.4375,96.625,100.1875,3282600,35.92842
2000-02-03,101.00,102.6875,97.00,102.00,3864800,36.57840
2000-02-04,102.3125,103.50,100.0625,101.4375,2025000,36.37668
2000-02-07,101.125,105.00,100.25,104.921883,2118800,37.62622
2000-02-08,105.3125,108.50,104.50,108.00,3768200,38.73007
2000-02-09,108.00,109.625,105.125,105.50,2736000,37.83354
2000-02-10,105.5625,110.75,104.625,110.1875,2684200,39.5145
2000-02-11,110.50,111.50,104.6875,105.50,3515200,37.83354
2000-02-14,105.9375,109.00,101.125,108.125,2968800,38.77490
2000-02-15,107.3125,107.375,101.5625,105.00,2963400,37.65424
2000-02-16,104.625,105.625,101.00,101.75,3442200,36.48875
2000-02-17,103.0625,103.375,99.375,102.25,3496800,36.66805
2000-02-18,101.00,104.0625,100.125,101.9375,4110000,36.55599
2000-02-22,100.9375,101.343758,96.00,98.4375,3054200,35.30085
2000-02-23,98.3125,103.0625,97.125,102.875,3700600,36.89219
2000-02-24,103.375,107.50,100.0625,106.75,2868400,38.28181
2000-02-25,107.0625,108.50,103.9375,104.125,3555800,37.34045
2000-02-28,103.50,105.75,97.25,102.875,3742200,36.89219
2000-02-29,103.1875,106.50,103.00,104.9375,3808400,37.63182
2000-03-01,106.00,108.25,102.0625,102.125,3212800,36.62323
2000-03-02,102.6875,103.00,95.50,95.50,4493000,34.24742
2000-03-03,97.9375,99.625,96.5625,98.50,5751000,35.32326
2000-03-06,98.50,99.375,94.00,94.0625,3683800,33.73192
2000-03-07,95.875,96.375,90.25,91.00,4658400,32.63367
2000-03-08,91.4375,97.625,88.00,97.5625,4805000,34.98706
2000-03-09,96.9375,101.00,95.50,100.75,3564400,36.13014
2000-03-10,100.3125,103.4375,98.765617,101.5625,2479800,36.42151
2000-03-13,100.50,100.50,94.00,94.50,4287600,33.88881
2000-03-14,96.375,97.375,86.00,86.4375,4602000,30.99750
2000-03-15,87.1875,90.50,84.875,85.9375,3651400,30.81820
2000-03-16,86.875,95.25,83.9375,94.1875,4928400,33.77675
2000-03-17,93.00,94.875,90.0625,94.3125,4111400,33.82157
2000-03-20,93.50,96.75,89.375,89.625,2294600,32.14058
2000-03-21,90.50,97.00,88.75,96.625,2866000,34.65086
2000-03-22,96.5625,105.00,96.5625,103.375,4433800,37.07149
2000-03-23,102.75,103.875,98.50,101.75,3443200,36.48875
2000-03-24,101.8125,106.625,100.00,104.375,4013000,37.43010
2000-03-27,105.0625,106.50,101.3125,102.0625,2309000,36.60081
2000-03-28,56.1875,60.50,55.75,58.0625,9657900,41.64379
2000-03-29,59.125,62.50,56.50,58.0625,6949600,41.64379
2000-03-30,57.875,60.75,56.375,56.625,9716300,40.61278
2000-03-31,58.6875,60.625,52.00,55.00,41217100,39.447
2000-04-03,52.8125,53.00,48.625,49.75,7311300,35.68187
2000-04-04,50.125,52.25,41.75,48.6875,8591500,34.91982
2000-04-05,49.3125,52.375,47.1875,50.00,4115100,35.86118
2000-04-06,50.00,51.9375,47.00,49.25,3694400,35.32326
2000-04-07,49.71875,51.50,49.50,51.3125,2638600,36.80253
2000-04-10,52.6875,53.00,47.00,47.875,3148000,34.33708
2000-04-11,47.00,50.50,45.00,47.75,3586500,34.24742
2000-04-12,47.4375,49.625,45.00,45.00,2965300,32.27506
2000-04-13,46.375,49.4375,44.0625,44.3125,3491800,31.78197
2000-04-14,43.875,43.9375,39.875,41.00,3887500,29.40616
2000-04-17,40.25,46.3125,39.75,45.9375,4628800,32.94746
2000-04-18,46.046879,49.859379,43.4375,49.50,3916900,35.5025
2000-04-19,49.6875,51.75,45.375,47.25,5186700,33.88881
2000-04-20,47.9375,49.875,47.00,47.3125,3515200,33.93364
2000-04-24,46.625,50.125,45.875,49.0625,3867200,35.18878
2000-04-25,49.5625,54.00,49.50,53.50,3861800,38.37146
2000-04-26,53.00,53.5625,49.25,49.625,3289100,35.61219
2000-04-27,48.00,53.50,47.00,53.50,2840100,38.39299
2000-04-28,54.0625,57.375,52.00,57.125,3435300,40.99439
2000-05-01,57.0625,57.125,53.50,56.125,2695200,40.27676
2000-05-02,55.6875,57.46875,52.375,53.0625,2687200,38.07903
2000-05-03,53.0625,54.0625,50.25,51.75,2394200,37.1371
2000-05-04,52.00,54.00,49.6875,53.875,2890200,38.66210
2000-05-05,52.75,57.3125,52.5625,56.00,2689500,40.18706
2000-05-08,55.25,55.6875,52.125,52.5625,2836100,37.72022
2000-05-09,52.6875,53.75,50.5625,50.671879,2112100,36.36346
2000-05-10,49.6875,50.8125,47.00,47.1875,3877500,33.86298
2000-05-11,47.9375,53.1875,47.00,53.00,2848200,38.03418
2000-05-12,52.50,55.75,52.25,55.375,3149500,39.73854
2000-05-15,54.875,56.00,52.375,55.921879,2044000,40.13
2000-05-16,56.00,58.50,53.5625,56.625,2918800,40.63557
2000-05-17,55.625,57.00,53.375,54.1875,1672700,38.88636
2000-05-18,54.75,55.625,53.0625,54.0625,2649000,38.79666
2000-05-19,52.625,54.00,51.25,52.00,3350500,37.31655
2000-05-22,52.0625,52.50,49.9375,52.3125,3339600,37.54081
2000-05-23,52.25,53.50,46.125,46.3125,2338400,33.23505
2000-05-24,46.00,52.50,45.25,52.4375,3623600,37.63051
