Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,27.50,27.50,26.625,26.8125,229400,6.10992
2000-01-04,26.5625,26.9375,26.4375,26.8125,239600,6.10992
2000-01-05,26.75,28.375,26.75,28.125,284200,6.40901
2000-01-06,28.00,28.50,27.6875,28.125,142800,6.40901
2000-01-07,28.125,28.625,28.00,28.50,130400,6.49446
2000-01-10,28.4375,28.6875,28.25,28.5625,205800,6.5087
2000-01-11,28.4375,28.6875,28.375,28.50,193400,6.49446
2000-01-12,28.25,28.875,28.1875,28.8125,150200,6.56567
2000-01-13,28.8125,29.25,28.8125,29.0625,177000,6.62264
2000-01-14,29.25,29.25,28.4375,28.6875,226400,6.53719
2000-01-18,28.50,28.75,28.0625,28.50,219800,6.49446
2000-01-19,28.4375,28.9375,28.25,28.75,247800,6.55143
2000-01-20,28.625,29.875,28.25,29.875,405200,6.80779
2000-01-21,30.0625,34.75,30.00,33.4375,1513200,7.61960
2000-01-24,33.4375,37.75,33.4375,34.625,1821200,7.89020
2000-01-25,34.625,35.25,30.625,31.25,584400,7.12112
2000-01-26,31.25,31.25,30.1875,30.5625,1566800,6.96446
2000-01-27,30.1875,30.1875,29.6875,29.875,882600,6.92102
2000-01-28,29.875,29.875,29.375,29.6875,319000,6.87758
2000-01-31,29.50,29.8125,29.375,29.8125,315600,6.90654
2000-02-01,29.8125,29.8125,29.50,29.8125,631000,6.90654
2000-02-02,29.8125,29.8125,28.875,28.875,356200,6.68935
2000-02-03,29.125,29.50,29.125,29.50,638200,6.8341
2000-02-04,29.50,29.50,28.75,29.0625,237400,6.73279
2000-02-07,29.00,29.125,28.75,29.0625,159600,6.73279
2000-02-08,29.1875,29.25,28.9375,29.125,723000,6.74727
2000-02-09,29.0625,29.375,29.0625,29.3125,213000,6.79071
2000-02-10,29.1875,30.00,29.1875,29.75,492600,6.89206
2000-02-11,29.6875,30.50,29.50,30.1875,303000,6.9934
2000-02-14,30.3125,30.875,30.0625,30.4375,222800,7.05133
2000-02-15,30.5625,31.4375,30.375,31.375,343600,7.26852
2000-02-16,31.375,31.375,30.9375,31.125,172600,7.21060
2000-02-17,31.00,31.25,30.75,30.9375,670800,7.1671
2000-02-18,30.8125,30.9375,30.0625,30.25,173200,7.00789
2000-02-22,30.1875,30.375,29.5625,30.00,279200,6.94998
2000-02-23,29.9375,30.00,29.00,29.50,462400,6.8341
2000-02-24,29.50,29.50,28.875,29.0625,250200,6.73279
2000-02-25,29.0625,29.1875,28.375,28.4375,194800,6.58800
2000-02-28,28.4375,28.625,28.0625,28.375,247400,6.57352
2000-02-29,28.375,28.4375,28.00,28.125,254400,6.51560
2000-03-01,28.25,28.4375,27.375,27.875,190600,6.45769
2000-03-02,27.875,28.1875,27.50,27.50,374800,6.37081
2000-03-03,27.625,27.625,27.3125,27.4375,347000,6.35633
2000-03-06,27.50,27.50,27.00,27.3125,239800,6.3273
2000-03-07,27.25,27.625,27.0625,27.625,532600,6.39977
2000-03-08,27.625,28.8125,27.50,28.5625,423400,6.61696
