Date,Open,High,Low,Close,Volume,Adj Clos
2005-07-27,28.50,28.50,27.50,27.50,63000,14.77410
2005-07-28,27.50,27.879999,27.50,27.60,63000,14.8278
2005-07-29,27.60,27.60,27.60,27.60,000,14.8278
2005-08-01,27.85,28.60,27.85,28.50,160600,15.31134
2005-08-02,29.10,29.25,28.50,28.700001,63800,15.41879
2005-08-03,28.00,28.299999,28.00,28.049999,3100,15.06958
2005-08-04,28.60,28.60,28.00,28.00,10800,15.04272
2005-08-05,28.07,28.07,27.50,28.049999,27700,15.06958
2005-08-08,27.200001,28.25,27.200001,28.00,2700,15.04272
2005-08-09,28.00,28.00,28.00,28.00,900,15.04272
2005-08-10,27.75,28.00,27.75,28.00,10000,15.04272
2005-08-11,28.00,28.00,28.00,28.00,000,15.04272
2005-08-12,27.00,28.00,27.00,28.00,1000,15.04272
2005-08-15,28.50,28.50,28.50,28.50,2400,15.31134
2005-08-16,28.50,28.50,28.50,28.50,000,15.31134
2005-08-17,28.00,28.00,28.00,28.00,300,15.04272
2005-08-18,28.00,28.00,28.00,28.00,000,15.04272
2005-08-19,27.90,27.92,27.25,27.25,18400,14.63979
2005-08-22,27.10,27.75,27.10,27.26,8800,14.64516
2005-08-23,27.50,27.50,26.00,27.00,10700,14.50548
2005-08-24,27.129999,27.25,27.129999,27.25,75000,14.63979
2005-08-25,26.50,27.299999,26.50,27.01,15200,14.51085
2005-08-26,27.40,27.40,27.00,27.00,2300,14.50548
2005-08-29,27.450001,27.950001,27.10,27.25,94700,14.63979
2005-08-30,27.15,27.25,27.049999,27.049999,1300,14.53234
2005-08-31,27.50,27.50,27.200001,27.200001,21800,14.61293
2005-09-01,27.50,27.50,27.50,27.50,3000,14.77410
2005-09-02,27.280001,27.280001,27.280001,27.280001,4500,14.65591
2005-09-06,27.299999,27.299999,27.25,27.299999,5400,14.66665
2005-09-07,27.50,27.549999,27.50,27.50,2400,14.77410
2005-09-08,27.299999,27.35,27.15,27.15,15800,14.58607
2005-09-09,27.15,27.15,27.00,27.00,800,14.50548
2005-09-12,27.00,27.00,27.00,27.00,1600,14.50548
2005-09-13,27.00,27.00,27.00,27.00,000,14.50548
2005-09-14,27.00,27.00,27.00,27.00,600,14.50548
2005-09-15,27.00,27.00,27.00,27.00,000,14.50548
2005-09-16,27.00,27.00,27.00,27.00,000,14.50548
2005-09-19,27.00,27.00,27.00,27.00,200,14.50548
2005-09-20,27.00,27.00,27.00,27.00,000,14.50548
2005-09-21,27.00,27.00,27.00,27.00,000,14.50548
2005-09-22,26.00,26.50,26.00,26.50,200,14.23686
2005-09-23,26.50,26.50,26.50,26.50,000,14.23686
2005-09-26,27.00,27.00,27.00,27.00,3500,14.50548
2005-09-27,27.00,27.00,27.00,27.00,3200,14.50548
2005-09-28,26.99,26.99,26.99,26.99,100,14.50011
2005-09-29,26.99,26.99,26.950001,26.99,200700,14.50011
2005-09-30,26.99,27.10,26.75,27.10,2700,14.5592
2005-10-03,26.01,26.01,24.60,25.00,13200,13.43100
2005-10-04,25.00,25.00,25.00,25.00,4800,13.43100
2005-10-05,25.00,25.00,25.00,25.00,000,13.43100
2005-10-06,24.75,25.00,24.00,24.75,4500,13.29669
2005-10-07,24.50,24.50,24.50,24.50,100,13.16238
2005-10-10,24.00,24.00,23.75,23.75,2300,12.75945
2005-10-11,23.75,23.75,23.75,23.75,000,12.75945
2005-10-12,23.75,23.75,23.75,23.75,000,12.75945
2005-10-13,23.75,23.75,23.75,23.75,000,12.75945
2005-10-14,23.75,23.75,23.75,23.75,000,12.75945
2005-10-17,23.75,23.75,23.75,23.75,000,12.75945
2005-10-18,23.75,23.75,23.75,23.75,2000,12.75945
2005-10-19,23.00,23.25,23.00,23.25,2700,12.49083
2005-10-20,23.25,23.25,23.25,23.25,000,12.49083
2005-10-21,23.00,23.00,23.00,23.00,200,12.35652
2005-10-24,22.00,22.00,21.00,21.75,4400,11.68497
2005-10-25,22.00,22.75,22.00,22.75,1200,12.22221
2005-10-26,23.00,23.10,23.00,23.10,600,12.41024
2005-10-27,23.50,23.50,23.00,23.25,97100,12.49083
2005-10-28,23.50,24.00,23.50,24.00,6900,12.89376
2005-10-31,24.049999,24.50,24.00,24.50,40900,13.16238
2005-11-01,24.50,24.50,24.50,24.50,4900,13.16238
2005-11-02,24.50,24.549999,24.40,24.450001,31200,13.13552
2005-11-03,24.50,24.50,24.450001,24.50,66800,13.16238
2005-11-04,24.50,24.52,24.450001,24.50,77500,13.16238
2005-11-07,24.50,24.50,24.469999,24.50,70000,13.16238
2005-11-08,24.50,24.50,24.50,24.50,000,13.16238
2005-11-09,24.50,24.50,24.469999,24.50,212500,13.16238
2005-11-10,25.00,25.00,25.00,25.00,1100,13.43100
2005-11-11,25.00,25.00,25.00,25.00,700,13.43100
2005-11-14,25.00,25.25,25.00,25.00,49700,13.43100
2005-11-15,25.00,25.00,25.00,25.00,000,13.43100
2005-11-16,25.00,25.00,25.00,25.00,30000,13.43100
2005-11-17,25.00,25.25,25.00,25.25,700,13.56531
2005-11-18,25.25,25.25,25.25,25.25,000,13.56531
2005-11-21,25.25,25.25,25.25,25.25,000,13.56531
2005-11-22,25.450001,26.00,25.450001,25.50,2800,13.69962
2005-11-23,26.00,28.459999,25.950001,28.459999,94500,15.28985
2005-11-25,28.49,28.50,28.49,28.50,2400,15.31134
2005-11-28,29.00,30.50,29.00,29.25,188900,15.71427
2005-11-29,29.25,29.50,29.25,29.35,14000,15.76
2005-11-30,29.35,29.440001,28.40,29.32,72300,15.75188
2005-12-01,29.309999,29.40,29.299999,29.40,3300,15.79486
2005-12-02,29.40,29.40,29.15,29.15,9900,15.66055
2005-12-05,29.25,29.25,29.200001,29.200001,6000,15.68741
2005-12-06,29.25,29.25,29.25,29.25,1700,15.71427
2005-12-07,29.25,29.25,29.10,29.10,1300,15.6336
2005-12-08,30.00,30.40,28.610001,28.610001,99300,15.37044
2005-12-09,29.18,29.25,28.549999,29.129999,4000,15.64980
2005-12-12,29.10,29.450001,28.91,29.049999,14700,15.60682
2005-12-13,28.870001,29.00,28.620001,28.90,10000,15.52624
2005-12-14,28.90,29.00,28.110001,28.389999,9200,15.25224
2005-12-15,27.90,28.450001,27.90,28.35,6000,15.2307
2005-12-16,28.00,28.35,27.620001,27.90,58300,14.98900
2005-12-19,27.41,28.200001,27.41,28.00,17900,15.04272
2005-12-20,27.99,28.00,27.40,27.40,28400,14.72038
2005-12-21,27.50,27.50,27.02,27.02,2700,14.51623
2005-12-22,27.02,27.200001,26.65,27.00,5600,14.50548
2005-12-23,26.65,26.98,26.51,26.60,1800,14.2905
