Date,Open,High,Low,Close,Volume,Adj Clos
2008-11-13,2.50,2.50,2.25,2.25,000,2.2
2009-02-09,0.45,0.45,0.41,0.45,1100,0.4
2009-02-10,0.45,0.45,0.45,0.45,2000,0.4
2009-02-11,0.33,0.33,0.33,0.33,8300,0.3
2009-02-12,0.32,0.32,0.32,0.32,200,0.3
2009-02-13,0.45,0.45,0.31,0.31,34400,0.3
2009-02-17,0.34,0.34,0.30,0.30,3300,0.3
2009-02-18,0.34,0.48,0.34,0.45,82500,0.4
2009-02-19,0.45,0.45,0.45,0.45,2000,0.4
2009-02-20,0.33,0.40,0.33,0.33,16300,0.3
2009-02-23,0.35,0.35,0.30,0.34,38700,0.3
2009-02-24,0.38,0.38,0.30,0.30,15000,0.3
2009-02-25,0.29,0.30,0.28,0.28,28000,0.2
2009-02-26,0.28,0.32,0.28,0.32,6000,0.3
2009-02-27,0.22,0.22,0.22,0.22,4500,0.2
2009-03-03,0.23,0.23,0.23,0.23,2200,0.2
2009-03-04,0.30,0.30,0.30,0.30,7000,0.3
2009-03-06,0.25,0.25,0.24,0.24,2200,0.2
2009-03-09,0.25,0.25,0.25,0.25,3000,0.2
2009-03-10,0.21,0.21,0.21,0.21,5000,0.2
2009-03-11,0.20,0.20,0.20,0.20,2300,0.2
2009-03-12,0.30,0.30,0.30,0.30,1700,0.3
2009-03-13,0.30,0.30,0.30,0.30,1000,0.3
2009-03-16,0.30,0.30,0.30,0.30,2000,0.3
2009-03-17,0.30,0.30,0.30,0.30,1000,0.3
2009-03-18,0.30,0.30,0.21,0.21,9300,0.2
2009-03-19,0.29,0.29,0.29,0.29,4900,0.2
2009-03-20,0.28,0.28,0.28,0.28,5000,0.2
2009-03-23,0.28,0.28,0.28,0.28,4000,0.2
2009-03-25,0.20,0.29,0.20,0.21,11600,0.2
2009-03-26,0.25,0.27,0.25,0.27,12600,0.2
2009-03-27,0.20,0.20,0.20,0.20,6500,0.2
2009-03-30,0.27,0.27,0.27,0.27,2000,0.2
2009-03-31,0.27,0.27,0.27,0.27,1000,0.2
2009-04-01,0.31,0.31,0.31,0.31,1500,0.3
2009-04-02,0.32,0.32,0.32,0.32,1500,0.3
2009-04-03,0.32,0.32,0.32,0.32,12300,0.3
2009-04-06,0.31,0.31,0.31,0.31,8000,0.3
2009-04-07,0.32,0.33,0.275,0.32,702300,0.3
2009-04-08,0.33,0.33,0.28,0.28,21700,0.2
2009-04-09,0.28,0.29,0.28,0.29,22400,0.2
2009-04-13,0.30,0.30,0.30,0.30,1200,0.3
2009-04-14,0.30,0.31,0.30,0.31,31600,0.3
2009-04-15,0.30,0.33,0.30,0.30,319000,0.3
2009-04-16,0.30,0.30,0.29,0.30,178000,0.3
2009-04-17,0.28,0.30,0.27,0.27,52800,0.2
2009-04-20,0.30,0.30,0.30,0.30,41000,0.3
2009-04-21,0.30,0.31,0.295,0.30,187000,0.3
2009-04-22,0.325,0.325,0.30,0.30,354700,0.3
2009-04-23,0.32,0.36,0.30,0.34,332700,0.3
2009-04-24,0.37,0.40,0.37,0.385,578600,0.38
2009-04-27,0.41,0.41,0.38,0.40,368500,0.4
2009-04-28,0.40,0.405,0.395,0.405,204200,0.40
2009-04-29,0.45,0.52,0.43,0.52,415300,0.5
2009-04-30,0.53,0.53,0.451,0.505,249000,0.50
2009-05-01,0.50,0.56,0.50,0.55,284600,0.5
2009-05-04,0.555,0.76,0.55,0.655,326300,0.65
2009-05-05,0.65,0.69,0.60,0.64,205100,0.6
2009-05-06,0.65,0.65,0.562,0.60,146300,0.6
2009-05-07,0.60,0.65,0.60,0.61,223400,0.6
2009-05-08,0.61,0.65,0.6058,0.64,123000,0.6
2009-05-11,0.68,0.81,0.661,0.77,447300,0.7
2009-05-12,0.77,0.81,0.77,0.795,194800,0.79
2009-05-13,0.80,0.80,0.6838,0.72,268400,0.7
2009-05-14,0.71,0.785,0.71,0.75,104300,0.7
2009-05-15,0.76,0.76,0.70,0.736,361600,0.73
2009-05-18,0.74,0.76,0.671,0.73,210600,0.7
2009-05-19,0.72,0.80,0.7108,0.742,186500,0.74
2009-05-20,0.76,0.81,0.7328,0.81,183200,0.8
2009-05-21,0.85,0.85,0.81,0.835,143900,0.83
2009-05-22,0.84,0.84,0.79,0.81,116100,0.8
2009-05-26,0.79,0.80,0.751,0.77,133700,0.7
2009-05-27,0.78,0.81,0.74,0.74,128900,0.7
2009-05-28,0.75,0.80,0.75,0.7928,116800,0.792
2009-05-29,0.82,0.827,0.78,0.80,88800,0.8
2009-06-01,0.84,0.895,0.83,0.89,449900,0.8
2009-06-02,0.905,0.9778,0.90,0.9778,232900,0.977
2009-06-03,1.01,1.01,0.95,0.98,156200,0.9
2009-06-04,0.95,0.98,0.92,0.93,227300,0.9
2009-06-05,0.99,1.13,0.99,1.125,733100,1.12
2009-06-08,1.21,1.22,1.14,1.19,361800,1.1
2009-06-09,1.20,1.30,1.20,1.30,484200,1.3
2009-06-10,1.34,1.34,1.05,1.15,445600,1.1
2009-06-11,1.19,1.225,1.03,1.13,265800,1.1
2009-06-12,1.14,1.18,1.11,1.11,144700,1.1
2009-06-15,1.17,1.17,0.99,1.03,373300,1.0
2009-06-16,1.05,1.17,1.01,1.11,413600,1.1
2009-06-17,1.08,1.08,0.96,1.02,440300,1.0
2009-06-18,1.03,1.04,1.00,1.00,250700,1.0
2009-06-19,1.035,1.10,1.00,1.06,302000,1.0
2009-06-22,1.07,1.07,1.00,1.035,376000,1.03
2009-06-23,1.04,1.06,1.035,1.05,69100,1.0
2009-06-24,1.06,1.061,1.01,1.05,196400,1.0
2009-06-25,1.055,1.06,1.03,1.05,46000,1.0
2009-06-26,1.05,1.05,1.02,1.03,50700,1.0
2009-06-29,1.03,1.05,1.00,1.01,119900,1.0
2009-06-30,0.85,1.02,0.85,0.99,87800,0.9
2009-07-01,0.98,1.04,0.98,1.04,95800,1.0
2009-07-02,1.04,1.04,0.98,1.035,187700,1.03
2009-07-06,1.04,1.04,0.98,1.01,118700,1.0
2009-07-07,0.99,1.03,0.985,1.00,86400,1.0
2009-07-08,1.00,1.00,0.90,0.9198,123300,0.919
2009-07-09,0.9028,0.98,0.9028,0.94,48800,0.9
2009-07-10,0.9248,0.95,0.89,0.92,85000,0.9
2009-07-13,0.92,0.97,0.92,0.955,21700,0.95
2009-07-14,0.96,1.01,0.94,0.95,64000,0.9
2009-07-15,0.94,0.95,0.90,0.94,62700,0.9
2009-07-16,0.93,0.95,0.90,0.95,26900,0.9
2009-07-17,0.90,0.95,0.90,0.90,127500,0.9
2009-07-20,0.88,1.01,0.88,1.01,120500,1.0
2009-07-21,1.00,1.00,0.98,0.99,91700,0.9
2009-07-22,0.96,1.00,0.94,1.00,138800,1.0
2009-07-23,1.01,1.09,0.97,1.05,263200,1.0
2009-07-24,1.05,1.09,1.03,1.06,59600,1.0
2009-07-27,1.06,1.20,1.05,1.16,127000,1.1
2009-07-28,1.1699,1.17,1.11,1.135,36100,1.13
2009-07-29,1.125,1.17,1.125,1.17,78700,1.1
2009-07-30,1.17,1.19,1.15,1.17,114200,1.1
2009-07-31,1.14,1.17,1.08,1.16,136500,1.1
2009-08-03,1.16,1.2388,1.11,1.22,185300,1.2
2009-08-04,1.24,1.31,1.23,1.31,216300,1.3
2009-08-05,1.35,1.50,1.35,1.44,276200,1.4
2009-08-06,1.46,1.59,1.44,1.47,254900,1.4
2009-08-07,1.50,1.50,1.38,1.47,149000,1.4
2009-08-10,1.52,1.60,1.50,1.55,197000,1.5
2009-08-11,1.57,1.58,1.45,1.48,121100,1.4
2009-08-12,1.45,1.50,1.42,1.47,82100,1.4
2009-08-13,1.50,1.52,1.47,1.52,144800,1.5
2009-08-14,1.60,1.60,1.42,1.45,161800,1.4
2009-08-17,1.43,1.43,1.20,1.29,217100,1.2
2009-08-18,1.29,1.36,1.29,1.34,69300,1.3
2009-08-19,1.36,1.40,1.27,1.28,63300,1.2
2009-08-20,1.31,1.40,1.28,1.36,86700,1.3
2009-08-21,1.37,1.39,1.35,1.36,81900,1.3
2009-08-24,1.38,1.59,1.36,1.49,220900,1.4
2009-08-25,1.49,1.54,1.48,1.50,78100,1.5
2009-08-26,1.50,1.50,1.42,1.47,60200,1.4
2009-08-27,1.49,1.50,1.39,1.40,77100,1.4
2009-08-28,1.45,1.49,1.38,1.40,45600,1.4
2009-08-31,1.40,1.45,1.30,1.31,64400,1.3
2009-09-01,1.36,1.38,1.30,1.31,111700,1.3
2009-09-02,1.34,1.38,1.25,1.34,100400,1.3
2009-09-03,1.34,1.35,1.27,1.34,61900,1.3
2009-09-04,1.34,1.35,1.33,1.33,92300,1.3
2009-09-08,1.35,1.38,1.32,1.35,115200,1.3
2009-09-09,1.35,1.39,1.34,1.38,112300,1.3
2009-09-10,1.40,1.65,1.39,1.55,225400,1.5
2009-09-11,1.62,1.69,1.161,1.24,756300,1.2
2009-09-14,1.16,1.48,1.02,1.39,1162000,1.3
2009-09-15,1.40,1.565,1.39,1.49,432300,1.4
2009-09-16,1.60,1.60,1.50,1.51,482700,1.5
2009-09-17,1.58,1.59,1.42,1.48,131100,1.4
2009-09-18,1.48,1.50,1.42,1.49,82300,1.4
2009-09-21,1.49,1.60,1.43,1.4325,161500,1.432
2009-09-22,1.45,1.49,1.43,1.45,102400,1.4
2009-09-23,1.45,1.45,1.40,1.40,114600,1.4
2009-09-24,1.43,1.43,1.35,1.40,146600,1.4
2009-09-25,1.35,1.43,1.35,1.40,56300,1.4
2009-09-28,1.36,1.45,1.36,1.42,111100,1.4
2009-09-29,1.42,1.51,1.42,1.48,208900,1.4
2009-09-30,1.48,1.51,1.43,1.47,79400,1.4
2009-10-01,1.47,1.47,1.4101,1.42,206100,1.4
2009-10-02,1.44,1.44,1.35,1.405,202100,1.40
2009-10-05,1.40,1.44,1.35,1.38,157800,1.3
2009-10-06,1.40,1.42,1.32,1.32,175000,1.3
2009-10-07,1.32,1.56,1.32,1.51,435300,1.5
2009-10-08,1.52,1.90,1.51,1.821,1247200,1.82
2009-10-09,1.85,1.89,1.66,1.76,864700,1.7
2009-10-12,1.81,2.19,1.79,2.19,617500,2.1
2009-10-13,2.26,2.44,2.10,2.18,751300,2.1
2009-10-14,2.03,2.18,1.83,2.11,1338000,2.1
2009-10-15,2.18,2.19,1.995,2.15,408900,2.1
2009-10-16,2.15,2.17,2.015,2.12,427900,2.1
2009-10-19,2.24,2.35,2.13,2.30,512600,2.3
2009-10-20,2.44,2.50,2.36,2.40,355200,2.4
2009-10-21,2.40,2.50,2.30,2.32,323900,2.3
2009-10-22,2.36,2.36,2.03,2.20,263000,2.2
2009-10-23,2.19,2.20,2.05,2.06,412900,2.0
2009-10-26,2.07,2.20,2.06,2.14,302800,2.1
2009-10-27,2.07,2.15,1.94,2.07,316800,2.0
2009-10-28,2.02,2.02,1.82,1.86,541900,1.8
2009-10-29,1.81,2.145,1.79,2.05,330200,2.0
2009-10-30,1.94,1.94,1.71,1.85,552600,1.8
2009-11-02,1.84,1.84,1.60,1.67,396200,1.6
2009-11-03,1.55,1.84,1.52,1.80,385100,1.8
2009-11-04,1.79,1.89,1.75,1.75,137000,1.7
2009-11-05,1.75,1.76,1.705,1.72,154900,1.7
2009-11-06,1.75,1.75,1.65,1.68,302300,1.6
2009-11-09,1.70,1.82,1.69,1.80,232100,1.8
2009-11-10,1.85,1.90,1.82,1.87,203700,1.8
2009-11-11,1.88,1.90,1.853,1.86,174800,1.8
2009-11-12,1.86,1.89,1.72,1.75,125300,1.7
2009-11-13,1.75,1.81,1.75,1.81,102700,1.8
2009-11-16,1.84,1.86,1.74,1.74,186900,1.7
2009-11-17,1.67,1.78,1.64,1.70,224200,1.7
2009-11-18,1.71,1.72,1.68,1.68,91500,1.6
2009-11-19,1.70,1.75,1.64,1.73,172500,1.7
2009-11-20,1.73,1.98,1.70,1.91,701500,1.9
2009-11-23,2.00,2.19,1.99,2.06,469900,2.0
2009-11-24,2.08,2.10,2.02,2.06,177200,2.0
2009-11-25,2.06,2.06,1.96,2.02,138700,2.0
2009-11-27,1.98,2.05,1.92,2.05,103400,2.0
2009-11-30,1.98,2.15,1.98,2.01,224800,2.0
2009-12-01,2.00,2.04,1.92,1.97,221300,1.9
2009-12-02,1.98,2.00,1.95,1.95,354000,1.9
2009-12-03,2.00,2.25,1.97,2.23,389400,2.2
2009-12-04,2.25,2.34,2.20,2.27,249400,2.2
2009-12-07,2.27,2.45,2.20,2.34,185300,2.3
2009-12-08,2.40,2.40,2.30,2.32,124600,2.3
2009-12-09,2.31,2.32,2.20,2.20,229100,2.2
2009-12-10,2.25,2.28,2.22,2.2564,132100,2.256
2009-12-11,2.27,2.27,2.22,2.25,68100,2.2
