Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,11.50,11.9375,11.4375,11.50,121100,10.83236
2000-01-04,11.50,11.50,10.875,10.9375,64700,10.30251
2000-01-05,11.0625,11.1875,10.8125,10.875,74300,10.24364
2000-01-06,10.8125,10.875,10.75,10.8125,65400,10.18477
2000-01-07,11.00,11.25,10.8125,10.9375,157400,10.30251
2000-01-10,11.00,11.125,10.8125,10.8125,47800,10.18477
2000-01-11,10.9375,10.9375,10.00,10.00,207100,9.41944
2000-01-12,10.125,10.50,10.00,10.50,130700,9.89041
2000-01-13,10.4375,10.4375,10.125,10.1875,57100,9.59605
2000-01-14,10.25,10.9375,10.25,10.8125,64600,10.18477
2000-01-18,10.9375,11.25,10.875,11.00,93000,10.36138
2000-01-19,11.25,11.375,11.125,11.25,77300,10.59687
2000-01-20,11.3125,11.4375,11.0625,11.125,67500,10.47913
2000-01-21,11.0625,11.1875,10.50,10.50,71400,9.89041
2000-01-24,10.375,11.0625,10.375,10.625,72700,10.00815
2000-01-25,11.00,11.00,10.5625,10.625,51000,10.00815
2000-01-26,10.875,10.875,10.625,10.8125,57700,10.18477
2000-01-27,10.8125,11.1875,10.625,11.1875,115600,10.53800
2000-01-28,11.1875,11.1875,11.00,11.0625,58000,10.4202
2000-01-31,11.125,11.3125,10.875,10.9375,48300,10.30251
2000-02-01,11.00,11.00,10.625,10.8125,63500,10.18477
2000-02-02,10.875,10.9375,10.75,10.8125,44200,10.18477
2000-02-03,10.75,11.00,10.75,11.00,29000,10.36138
2000-02-04,10.875,11.00,10.8125,10.8125,28400,10.18477
2000-02-07,10.9375,10.9375,10.5625,10.75,40300,10.12590
2000-02-08,10.875,10.875,10.5625,10.625,59400,10.00815
2000-02-09,10.625,10.625,10.3125,10.50,55800,9.89041
2000-02-10,10.4375,10.50,10.25,10.50,70900,9.89041
2000-02-11,10.50,10.625,10.25,10.5625,93600,9.94928
2000-02-14,10.5625,10.9375,10.4375,10.875,64500,10.24364
2000-02-15,10.8125,11.00,10.75,10.9375,44500,10.30251
2000-02-16,10.9375,10.9375,10.75,10.8125,31400,10.18477
2000-02-17,10.6875,11.1875,10.6875,11.1875,107900,10.53800
2000-02-18,11.0625,11.0625,10.875,11.00,17600,10.36138
2000-02-22,11.00,11.00,10.50,10.5625,38600,9.94928
2000-02-23,10.625,10.8125,10.25,10.50,50400,9.89041
2000-02-24,10.50,10.5625,10.4375,10.5625,40600,9.94928
2000-02-25,10.50,10.75,10.50,10.50,30300,9.89041
2000-02-28,10.375,10.50,10.3125,10.375,39800,9.77267
2000-02-29,10.3125,10.50,10.25,10.4375,84800,9.83154
2000-03-01,10.375,10.50,10.3125,10.3125,53300,9.71380
2000-03-02,10.25,10.375,10.1875,10.1875,52400,9.59605
2000-03-03,10.3125,10.625,10.1875,10.1875,64400,9.59605
2000-03-06,10.3125,10.375,10.1875,10.25,29400,9.6549
2000-03-07,10.50,10.50,10.125,10.1875,68700,9.59605
2000-03-08,10.0625,10.125,9.9375,10.0625,71400,9.66811
2000-03-09,10.125,10.4375,10.0625,10.25,42100,9.84827
2000-03-10,10.3125,10.3125,10.125,10.25,26300,9.84827
2000-03-13,10.00,10.00,9.875,9.875,45900,9.48796
2000-03-14,9.9375,9.9375,9.8125,9.8125,45600,9.42791
2000-03-15,9.8125,10.00,9.8125,10.00,51000,9.60806
2000-03-16,9.9375,10.00,9.8125,9.875,91200,9.48796
2000-03-17,9.875,9.875,9.75,9.8125,57700,9.42791
2000-03-20,9.8125,9.875,9.75,9.8125,72300,9.42791
2000-03-21,9.8125,9.875,9.75,9.875,47600,9.48796
2000-03-22,9.8125,9.875,9.50,9.6875,250600,9.30781
2000-03-23,9.5625,9.6875,9.50,9.625,59800,9.24776
2000-03-24,9.625,9.6875,9.5625,9.6875,37800,9.30781
2000-03-27,9.6875,9.6875,9.50,9.50,99600,9.12766
2000-03-28,9.625,9.75,9.25,9.25,123100,8.88746
2000-03-29,9.25,9.4375,9.25,9.4375,67400,9.06761
2000-03-30,9.50,9.5625,9.3125,9.375,53800,9.00756
2000-03-31,9.4375,9.5625,9.375,9.4375,90500,9.06761
2000-04-03,9.50,9.5625,9.4375,9.50,61700,9.12766
2000-04-04,9.50,9.5625,9.3125,9.50,91400,9.12766
2000-04-05,9.375,9.375,9.125,9.1875,82900,8.82741
2000-04-06,9.25,9.50,9.25,9.4375,47900,9.06761
2000-04-07,9.4375,9.4375,9.00,9.125,145100,8.76736
2000-04-10,9.25,9.375,9.125,9.125,57900,8.76736
2000-04-11,9.125,9.1875,8.875,9.125,61800,8.76736
2000-04-12,9.125,9.125,8.875,8.875,58000,8.52716
2000-04-13,8.9375,8.9375,8.875,8.9375,92300,8.58721
2000-04-14,8.875,9.00,8.875,8.9375,167900,8.58721
2000-04-17,8.9375,8.9375,8.75,8.875,180600,8.52716
2000-04-18,8.875,9.00,8.75,9.00,212300,8.64726
2000-04-19,9.00,9.125,8.8125,9.0625,91500,8.70731
2000-04-20,8.9375,9.0625,8.875,9.00,84200,8.64726
2000-04-24,9.00,9.00,8.875,8.9375,174200,8.58721
2000-04-25,8.9375,9.00,8.875,9.00,98600,8.64726
2000-04-26,8.9375,9.00,8.8125,8.9375,66900,8.58721
2000-04-27,8.875,8.9375,8.8125,8.875,31600,8.52716
2000-04-28,8.9375,9.25,8.9375,9.00,173600,8.64726
2000-05-01,9.125,9.25,8.9375,9.1875,164800,8.82741
2000-05-02,9.1875,9.4375,9.00,9.375,106700,9.00756
2000-05-03,9.375,9.375,9.125,9.1875,53600,8.82741
2000-05-04,9.0625,9.25,9.0625,9.125,20800,8.76736
2000-05-05,9.1875,9.375,9.125,9.375,58400,9.00756
2000-05-08,9.375,9.4375,9.3125,9.4375,72000,9.06761
2000-05-09,9.4375,9.625,9.4375,9.5625,139000,9.18771
2000-05-10,9.6875,9.6875,9.375,9.50,53600,9.12766
2000-05-11,9.625,9.6875,9.40625,9.6875,160700,9.30781
2000-05-12,9.8125,10.625,9.625,10.0625,210800,9.66811
2000-05-15,10.3125,10.3125,9.625,9.6875,96200,9.30781
2000-05-16,9.75,10.3125,9.75,10.1875,197800,9.7882
2000-05-17,10.3125,10.6875,9.875,10.1875,250000,9.7882
2000-05-18,10.00,10.125,9.6875,9.75,114300,9.36786
2000-05-19,9.875,10.125,9.8125,10.00,59000,9.60806
2000-05-22,10.125,10.3125,10.125,10.25,101800,9.84827
2000-05-23,10.25,10.4375,10.125,10.3125,52200,9.90832
2000-05-24,10.00,10.25,9.75,9.9375,196400,9.54801
2000-05-25,10.0625,10.0625,9.625,9.6875,109600,9.30781
2000-05-26,9.75,10.00,9.5625,9.6875,141900,9.30781
2000-05-30,9.6875,9.6875,9.25,9.3125,180300,8.94751
2000-05-31,9.375,9.375,8.8125,9.00,148900,8.64726
2000-06-01,8.9375,9.00,8.8125,8.875,111700,8.52716
2000-06-02,9.00,9.50,8.875,9.25,123200,8.88746
2000-06-05,9.3125,9.375,9.0625,9.1875,142500,8.82741
2000-06-06,9.25,9.50,9.125,9.4375,40600,9.06761
2000-06-07,9.3125,9.3125,9.125,9.25,43800,9.07988
2000-06-08,9.25,9.25,9.00,9.0625,75200,8.89583
2000-06-09,9.0625,9.1875,9.00,9.1875,72500,9.01853
2000-06-12,9.0625,9.625,9.0625,9.50,123300,9.32528
2000-06-13,9.1875,9.375,9.00,9.3125,81400,9.14123
2000-06-14,9.4375,9.5625,9.1875,9.4375,69800,9.26393
2000-06-15,9.3125,9.5625,9.1875,9.375,133900,9.20258
2000-06-16,9.4375,9.4375,9.125,9.25,53300,9.07988
2000-06-19,9.3125,9.3125,9.125,9.1875,114700,9.01853
2000-06-20,9.125,9.125,8.8125,8.875,165500,8.71178
2000-06-21,8.9375,8.9375,8.3125,8.4375,185000,8.28232
2000-06-22,8.3125,8.4375,7.75,8.1875,294000,8.03692
