Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,8.31,8.313,8.25,8.25,1200,4.3937
2000-01-04,8.375,8.375,8.125,8.125,6100,4.3272
2000-01-05,8.25,8.25,8.125,8.125,7900,4.3272
2000-01-07,8.25,8.375,8.125,8.313,18000,4.4273
2000-01-10,8.25,8.375,8.25,8.25,19500,4.3937
2000-01-11,8.00,8.25,7.938,8.125,28000,4.3272
2000-01-12,8.00,8.125,8.00,8.125,1800,4.3272
2000-01-13,8.06299,8.06299,8.06299,8.06299,1800,4.2941
2000-01-18,8.06299,8.125,8.06299,8.125,17700,4.3272
2000-01-19,8.25,8.625,8.18801,8.18801,57400,4.3607
2000-01-20,8.125,8.125,8.00,8.00,1900,4.2606
2000-01-21,8.50,8.50,8.125,8.125,6000,4.3272
2000-01-24,8.00,8.125,8.00,8.125,3300,4.3272
2000-01-25,8.00,8.00,7.875,7.875,26700,4.1940
2000-01-26,7.88,8.00,7.875,8.00,29500,4.2606
2000-01-27,8.00,8.00,7.938,8.00,32500,4.2606
2000-01-28,8.125,8.125,7.875,8.00,40200,4.2606
2000-01-31,7.938,7.938,7.938,7.938,600,4.2276
2000-02-01,7.88,8.06299,7.75,8.06299,19000,4.2941
2000-02-02,7.75,8.00,7.75,8.00,21600,4.2606
2000-02-03,7.94,8.06299,7.81301,7.81301,27700,4.1610
2000-02-04,7.81301,8.06299,7.81301,8.00,15600,4.2606
2000-02-07,7.875,7.875,7.81301,7.81301,3600,4.1610
2000-02-08,8.00,8.18801,7.75,7.875,106500,4.1940
2000-02-09,7.75,8.00,7.75,7.75,180600,4.1274
2000-02-10,7.75,7.75,7.625,7.625,7200,4.0609
2000-02-11,7.75,7.75,7.75,7.75,15900,4.1274
2000-02-14,7.625,7.625,7.625,7.625,1500,4.0609
2000-02-15,7.50,7.938,7.50,7.81301,47800,4.1610
2000-02-16,7.75,7.75,7.50,7.50,5200,3.9943
2000-02-18,7.50,7.625,7.50,7.625,2400,4.0609
2000-02-22,7.375,7.375,7.375,7.375,11700,3.9277
