Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,39.9375,40.0625,38.9375,39.625,4520600,26.44577
2000-01-04,39.3125,39.5625,38.375,38.8125,4216500,25.90350
2000-01-05,38.8125,40.375,38.8125,39.4375,5231600,26.32063
2000-01-06,39.125,39.375,38.6875,38.875,4809400,25.94522
2000-01-07,39.00,40.00,38.875,39.875,5124700,26.61262
2000-01-10,40.00,41.00,39.75,40.0625,4113900,26.7377
2000-01-11,40.125,41.50,40.125,41.00,5440200,27.36344
2000-01-12,40.9375,43.0625,40.625,42.75,8090000,28.53140
2000-01-13,42.6875,43.625,41.875,42.3125,5700200,28.23941
2000-01-14,42.8125,42.8125,41.875,42.609379,3365400,28.4375
2000-01-18,42.375,42.50,41.1875,41.50,3401100,27.6971
2000-01-19,41.00,42.625,41.00,42.375,3344700,28.28112
2000-01-20,42.5625,42.5625,41.00,42.5625,3309700,28.40626
2000-01-21,41.625,41.875,40.4375,41.0625,3722600,27.40516
2000-01-24,41.25,41.4375,39.50,39.50,3593500,26.36234
2000-01-25,39.75,40.25,39.1875,39.8125,3304500,26.5709
2000-01-26,39.625,39.625,34.6875,35.75,16703200,23.85959
2000-01-27,36.00,37.9375,35.875,37.625,12082200,25.1109
2000-01-28,37.125,37.4375,36.375,36.75,4444200,24.52699
2000-01-31,37.25,38.00,37.125,37.375,4838300,24.9441
2000-02-01,37.4375,37.5625,36.50,36.625,4679500,24.44356
2000-02-02,36.625,36.75,35.375,35.50,5769100,23.69274
2000-02-03,35.5625,36.1875,34.4375,35.00,9225700,23.35904
2000-02-04,35.875,35.875,34.625,35.125,7752200,23.44246
2000-02-07,35.25,35.625,34.00,34.9375,9992900,23.31732
2000-02-08,36.00,37.625,35.50,36.3125,12144800,24.23500
2000-02-09,36.6875,36.6875,35.375,35.875,5915400,23.94301
2000-02-10,35.50,36.25,35.125,35.50,5353400,23.69274
2000-02-11,35.0625,35.4375,34.8125,34.9375,3920500,23.31732
2000-02-14,35.3125,35.3125,33.3125,33.875,4426400,22.60821
2000-02-15,33.75,34.125,33.4375,33.75,4669200,22.5247
2000-02-16,33.75,34.4375,33.25,33.375,3804900,22.27451
2000-02-17,33.5625,34.0625,33.375,33.75,4272000,22.5247
2000-02-18,33.5625,33.6875,32.3125,32.50,5494900,21.69053
2000-02-22,32.25,33.1875,32.1875,32.3125,4479500,21.56540
2000-02-23,32.4375,33.375,32.375,32.625,4927400,21.77396
2000-02-24,32.125,32.375,31.00,31.375,6154300,20.93971
2000-02-25,31.50,31.8125,30.75,31.00,4551200,20.68943
2000-02-28,31.25,31.6875,30.625,31.125,3880600,20.77286
2000-02-29,31.75,32.4375,31.5625,31.75,4883900,21.18998
2000-03-01,31.875,31.9375,31.125,31.25,4969800,20.85628
2000-03-02,31.125,31.4375,30.75,30.875,4884600,20.60601
2000-03-03,31.00,32.3125,30.5625,32.3125,5193900,21.56540
2000-03-06,32.50,32.50,31.125,31.5625,4175100,21.0648
2000-03-07,31.50,31.5625,29.8125,29.875,6183300,19.93861
2000-03-08,30.375,31.25,30.00,30.75,4015900,20.52258
2000-03-09,30.625,32.00,30.00,32.00,4779200,21.35683
2000-03-10,31.4375,32.375,31.00,31.75,4819200,21.18998
2000-03-13,32.00,32.4375,31.3125,32.4375,5659700,21.64882
2000-03-14,32.4375,32.50,30.0625,30.50,5235700,20.35573
2000-03-15,30.6875,32.875,30.4375,32.50,7044600,21.69053
2000-03-16,33.375,34.375,32.75,34.0625,8241900,22.73335
2000-03-17,35.00,35.1875,33.75,33.8125,5463000,22.56650
2000-03-20,34.25,34.875,34.125,34.5625,2736000,23.06705
2000-03-21,34.75,35.50,34.50,35.25,4239900,23.52589
2000-03-22,35.25,35.75,35.00,35.25,3754000,23.52589
2000-03-23,34.00,35.9375,33.9375,35.1875,4034900,23.4841
2000-03-24,35.125,35.9375,34.6875,34.8125,3188100,23.23390
2000-03-27,34.1875,35.1875,34.125,34.75,2189900,23.19219
2000-03-28,34.00,35.375,34.00,35.125,2963500,23.44246
2000-03-29,34.875,37.0625,34.8125,36.8125,5292800,24.56870
2000-03-30,36.8125,38.25,36.8125,37.625,4939100,25.1109
2000-03-31,37.875,37.9375,36.8125,37.375,3738300,24.9441
2000-04-03,37.8125,38.625,37.5625,38.50,4459400,25.69494
2000-04-04,38.6875,39.3125,37.6875,38.53125,5145500,25.71580
2000-04-05,38.00,38.625,37.25,38.5625,4143600,25.73665
2000-04-06,37.75,38.0625,36.875,37.00,4124100,24.69384
2000-04-07,36.375,37.3125,36.125,37.00,3155400,24.69384
2000-04-10,36.875,36.9375,35.875,36.375,3234600,24.27671
2000-04-11,36.125,37.75,35.875,37.6875,3354100,25.15268
2000-04-12,37.25,38.1875,36.3125,36.3125,4548200,24.23500
2000-04-13,36.00,36.00,34.125,34.125,7400300,22.77506
2000-04-14,33.5625,34.8125,33.00,33.5625,5744700,22.39965
2000-04-17,33.50,34.125,33.0625,33.6875,4728900,22.48307
2000-04-18,33.75,33.8125,31.9375,32.50,5440000,21.69053
2000-04-19,32.9375,33.1875,32.50,33.0625,3473000,22.06595
2000-04-20,34.00,36.00,33.75,35.8125,7009700,23.90130
2000-04-24,35.25,39.00,35.125,39.00,9601600,26.02864
2000-04-25,38.9375,39.4375,38.1875,38.75,3975100,25.86179
2000-04-26,38.375,39.375,38.375,38.875,3479300,25.94522
2000-04-27,38.125,39.125,38.0625,38.8125,2904600,25.90350
2000-04-28,38.5625,38.75,37.5625,38.0625,2936500,25.40295
2000-05-01,38.00,39.3125,38.00,38.875,3089100,25.94522
2000-05-02,38.375,39.625,38.3125,39.1875,3129800,26.15378
2000-05-03,38.25,38.6875,37.0625,37.3125,5243800,24.90240
2000-05-04,36.625,36.6875,35.5625,35.75,6515400,23.85959
2000-05-05,35.50,36.1875,35.00,35.6875,4968100,23.8178
2000-05-08,35.75,36.125,35.1875,35.8125,3115600,23.90130
2000-05-09,36.25,37.1875,36.1875,37.00,3165700,24.69384
2000-05-10,37.1875,38.8125,37.125,38.625,5995500,25.77837
2000-05-11,38.50,38.8125,38.125,38.1875,3185200,25.48638
2000-05-12,38.25,38.25,37.25,37.5625,2410500,25.06925
2000-05-15,37.4375,38.5625,37.375,38.1875,2840100,25.48638
2000-05-16,38.8125,39.25,38.4375,39.1875,2753400,26.15378
2000-05-17,38.6875,39.3125,38.3125,39.0625,2017900,26.07035
2000-05-18,38.8125,39.0625,38.5625,38.625,1933700,25.77837
2000-05-19,37.8125,38.75,37.625,37.8125,2985300,25.23610
2000-05-22,37.875,39.125,37.8125,38.875,3145000,25.94522
2000-05-23,38.375,39.25,37.75,39.125,2757100,26.11207
2000-05-24,39.125,39.9375,38.125,38.75,5108400,25.86179
2000-05-25,38.00,38.5625,37.125,37.3125,3453100,24.90240
2000-05-26,37.25,37.9375,37.1875,37.75,3130700,25.19439
2000-05-30,37.00,37.0625,35.9375,36.5625,4210200,24.40185
2000-05-31,36.00,36.5625,35.3125,35.8125,3880700,23.90130
2000-06-01,35.5625,35.8125,35.25,35.625,2979100,23.77616
2000-06-02,36.125,36.3125,35.1875,36.125,3701800,24.10986
2000-06-05,36.00,36.00,35.25,35.50,1957900,23.69274
2000-06-06,35.125,35.625,34.875,35.125,3577600,23.44246
2000-06-07,35.125,35.3125,34.3125,34.875,2518000,23.27561
2000-06-08,34.50,35.75,34.50,35.4375,3312300,23.6510
2000-06-09,35.50,36.00,31.625,33.875,15301500,22.60821
2000-06-12,33.25,33.3125,32.00,32.625,8145700,21.77396
2000-06-13,32.25,33.1875,32.0625,32.375,6046900,21.60711
2000-06-14,32.00,33.00,31.625,31.75,5941800,21.18998
2000-06-15,31.75,32.3125,31.625,32.125,6280100,21.44026
2000-06-16,32.50,32.5625,31.3125,31.3125,6858000,20.89
2000-06-19,31.875,32.0625,31.0625,31.50,4510500,21.02313
2000-06-20,31.6875,31.75,31.00,31.50,3930200,21.02313
2000-06-21,31.25,31.75,31.0625,31.3125,4396800,20.89
2000-06-22,31.25,31.5625,31.125,31.4375,3928900,20.98142
2000-06-23,31.6875,33.1875,31.50,32.625,7978700,21.77396
2000-06-26,32.9375,33.625,32.875,33.4375,4887200,22.31622
2000-06-27,33.25,33.50,32.625,32.6875,3422100,21.81567
2000-06-28,32.50,32.8125,32.00,32.21875,3179800,21.50283
2000-06-29,31.9375,31.9375,31.0625,31.25,5545100,20.85628
