Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,50.312481,50.312481,47.187519,47.25,1022000,11.74595
2000-01-04,47.25,47.687519,46.25,46.812481,408000,11.63719
2000-01-05,46.75,46.75,45.75,46.062481,501600,11.45074
2000-01-06,45.25,48.00,44.812481,47.75,1341200,11.87025
2000-01-07,47.75,48.375,47.25,47.25,462400,11.74595
2000-01-10,47.375,48.75,46.00,48.312481,628400,12.01007
2000-01-11,48.375,48.375,45.812481,45.875,589200,11.40414
2000-01-12,45.937519,47.25,44.75,46.75,1372400,11.62165
2000-01-13,46.875,46.937519,45.562481,45.625,617200,11.34199
2000-01-14,45.875,46.625,45.50,46.125,336000,11.4662
2000-01-18,46.375,46.75,45.625,46.125,389200,11.4662
2000-01-19,45.875,47.625,45.75,47.562481,1111600,11.82363
2000-01-20,48.75,49.562481,47.375,47.437519,2196000,11.79257
2000-01-21,46.50,46.50,44.75,46.062481,1934400,11.45074
2000-01-24,46.25,46.562481,43.625,43.812481,747200,10.89141
2000-01-25,43.812481,43.812481,42.937519,43.50,1441600,10.81373
2000-01-26,43.937519,43.937519,43.00,43.125,774400,10.72051
2000-01-27,43.062481,43.312481,41.375,41.937519,2037600,10.42531
2000-01-28,41.875,42.625,41.375,41.562481,1698000,10.33208
2000-01-31,41.687519,42.062481,41.25,41.375,1092400,10.28547
2000-02-01,42.25,43.437519,42.125,42.875,1658400,10.65836
2000-02-02,42.625,43.437519,42.312481,42.50,1158400,10.56514
2000-02-03,42.75,42.937519,42.062481,42.125,334000,10.47192
2000-02-04,42.562481,44.312481,42.562481,44.312481,1130400,11.01571
2000-02-07,44.125,44.125,42.375,42.562481,634800,10.58067
2000-02-08,42.875,43.75,42.75,42.812481,682000,10.66788
2000-02-09,43.062481,43.25,42.25,42.375,442400,10.55887
2000-02-10,42.562481,42.687519,42.00,42.625,189200,10.62117
2000-02-11,42.687519,43.00,42.187519,42.187519,327200,10.51216
2000-02-14,42.375,42.875,42.00,42.125,355600,10.49658
2000-02-15,42.125,42.437519,41.50,42.187519,1303200,10.51216
2000-02-16,42.00,42.437519,41.75,42.00,748400,10.46543
2000-02-17,41.875,43.687519,41.875,43.25,474000,10.77690
2000-02-18,43.25,43.25,41.812481,42.187519,1572400,10.51216
2000-02-22,42.125,42.125,40.125,40.375,535600,10.06052
2000-02-23,39.125,42.062481,38.50,41.812481,3434800,10.41871
2000-02-24,42.062481,42.125,38.75,41.437519,2983600,10.3252
2000-02-25,41.187519,41.187519,39.00,39.187519,1814400,9.76463
2000-02-28,19.8125,20.50,19.3125,20.1875,732000,10.06052
2000-02-29,20.1875,20.50,19.5625,19.875,567000,9.90478
2000-03-01,19.75,19.8125,18.625,19.00,944600,9.46872
2000-03-02,18.50,19.1875,18.4375,19.00,1161000,9.46872
2000-03-03,19.50,19.625,18.75,19.00,379400,9.46872
2000-03-06,20.50,20.6875,19.25,19.50,1616600,9.71790
2000-03-07,19.75,19.75,19.00,19.625,1732000,9.78020
2000-03-08,19.75,19.75,18.8125,19.25,899000,9.59331
2000-03-09,19.25,20.25,19.00,20.125,1402400,10.02937
2000-03-10,20.00,20.375,19.6875,20.1875,943000,10.06052
2000-03-13,20.0625,20.0625,19.25,19.50,928600,9.71790
2000-03-14,19.4375,19.50,18.875,19.00,897600,9.46872
2000-03-15,19.25,20.375,19.125,20.1875,1759800,10.06052
2000-03-16,20.375,22.50,20.125,22.50,1802200,11.21296
