Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,11.75,11.75,11.625,11.625,3300,4.45879
2000-01-04,11.8125,12.1875,11.8125,12.00,6600,4.60262
2000-01-05,12.0625,12.0625,12.0625,12.0625,400,4.62659
2000-01-06,12.1875,12.25,12.1875,12.25,7200,4.69851
2000-01-07,12.0625,12.0625,12.0625,12.0625,300,4.62659
2000-01-10,12.1875,12.50,12.1875,12.50,10200,4.79439
2000-01-11,12.25,12.3125,12.25,12.25,4300,4.69851
2000-01-12,12.125,12.25,12.125,12.25,1800,4.72318
2000-01-13,12.25,12.25,12.25,12.25,000,4.72318
2000-01-14,12.125,12.3125,12.125,12.125,5000,4.67499
2000-01-18,12.0625,12.0625,12.0625,12.0625,500,4.65089
2000-01-19,12.0625,12.0625,12.0625,12.0625,000,4.65089
2000-01-20,12.0625,12.0625,12.0625,12.0625,000,4.65089
2000-01-21,12.25,12.25,12.25,12.25,500,4.72318
2000-01-24,12.0625,12.25,12.0625,12.25,900,4.72318
2000-01-25,12.125,12.1875,12.0625,12.1875,5200,4.6990
2000-01-26,12.1875,12.1875,12.1875,12.1875,000,4.6990
2000-01-27,12.0625,12.1875,12.0625,12.1875,1400,4.6990
2000-01-28,12.0625,12.0625,12.0625,12.0625,1800,4.65089
2000-01-31,12.0625,12.0625,12.0625,12.0625,1700,4.65089
2000-02-01,12.25,12.375,12.125,12.125,1800,4.67499
2000-02-02,12.0625,12.125,12.0625,12.125,1200,4.67499
2000-02-03,12.125,12.125,12.125,12.125,000,4.67499
2000-02-04,12.125,12.125,12.125,12.125,000,4.67499
2000-02-07,12.25,12.375,12.25,12.25,11400,4.72318
2000-02-08,12.3125,12.3125,12.1875,12.1875,600,4.6990
2000-02-09,12.375,12.375,12.25,12.25,5300,4.72318
2000-02-10,12.1875,12.1875,12.1875,12.1875,600,4.6990
2000-02-11,12.125,12.125,12.125,12.125,300,4.69967
2000-02-14,12.125,12.125,12.125,12.125,3000,4.69967
2000-02-15,12.125,12.125,12.125,12.125,000,4.69967
2000-02-16,12.125,12.125,12.125,12.125,000,4.69967
2000-02-17,12.125,12.125,12.125,12.125,000,4.69967
2000-02-18,12.3125,12.3125,12.3125,12.3125,500,4.77234
2000-02-22,12.125,12.125,12.0625,12.0625,4300,4.67544
2000-02-23,12.0625,12.0625,12.0625,12.0625,000,4.67544
2000-02-24,12.0625,12.0625,12.0625,12.0625,000,4.67544
2000-02-25,12.0625,12.0625,12.0625,12.0625,000,4.67544
2000-02-28,11.9375,12.125,11.9375,12.125,1000,4.69967
2000-02-29,12.1875,12.1875,12.1875,12.1875,2000,4.72389
2000-03-01,12.00,12.1875,12.00,12.1875,4100,4.72389
2000-03-02,12.0625,12.0625,12.0625,12.0625,500,4.67544
2000-03-03,11.9375,11.9375,11.9375,11.9375,500,4.62699
2000-03-06,11.9375,12.25,11.9375,12.00,3800,4.65122
2000-03-07,11.9375,11.9375,11.9375,11.9375,500,4.62699
2000-03-08,11.9375,11.9375,11.9375,11.9375,000,4.62699
2000-03-09,11.75,11.75,11.75,11.75,1000,4.5543
2000-03-10,11.875,12.00,11.8125,11.8125,2100,4.57854
2000-03-13,11.75,11.75,11.75,11.75,1000,4.5787
2000-03-14,11.75,11.75,11.75,11.75,000,4.5787
2000-03-15,11.875,11.875,11.875,11.875,400,4.6274
2000-03-16,12.00,12.00,12.00,12.00,900,4.6761
2000-03-17,11.8125,11.8125,11.8125,11.8125,1000,4.60309
2000-03-20,11.9375,11.9375,11.9375,11.9375,500,4.65180
2000-03-21,11.9375,11.9375,11.9375,11.9375,000,4.65180
2000-03-22,11.75,11.875,11.5625,11.75,5200,4.5787
2000-03-23,11.5625,11.5625,11.5625,11.5625,2400,4.50567
2000-03-24,11.5625,11.5625,11.5625,11.5625,000,4.50567
2000-03-27,11.5625,11.5625,11.5625,11.5625,000,4.50567
2000-03-28,11.5625,11.5625,11.5625,11.5625,2400,4.50567
2000-03-29,11.5625,11.5625,11.5625,11.5625,000,4.50567
2000-03-30,11.75,11.9375,11.75,11.9375,10000,4.65180
2000-03-31,11.9375,11.9375,11.8125,11.8125,800,4.60309
2000-04-03,11.8125,11.9375,11.75,11.75,1300,4.5787
2000-04-04,11.75,11.75,11.75,11.75,000,4.5787
2000-04-05,11.875,11.875,11.875,11.875,400,4.6274
2000-04-06,11.875,11.875,11.875,11.875,000,4.6274
2000-04-07,11.75,11.75,11.75,11.75,2000,4.5787
2000-04-10,11.75,12.125,11.75,12.125,5200,4.7248
2000-04-11,12.125,12.125,11.875,11.875,3700,4.6274
2000-04-12,11.875,11.875,11.875,11.875,800,4.65252
2000-04-13,11.875,11.875,11.875,11.875,000,4.65252
2000-04-14,11.75,11.75,11.50,11.50,2300,4.50560
2000-04-17,11.5625,11.5625,11.5625,11.5625,200,4.5300
2000-04-18,11.625,12.00,11.625,12.00,4000,4.70149
2000-04-19,12.00,12.00,12.00,12.00,000,4.70149
2000-04-20,12.00,12.00,12.00,12.00,600,4.70149
2000-04-24,12.00,12.00,12.00,12.00,000,4.70149
2000-04-25,12.00,12.00,12.00,12.00,100,4.70149
2000-04-26,12.00,12.00,12.00,12.00,000,4.70149
2000-04-27,12.00,12.125,12.00,12.125,1200,4.75047
2000-04-28,12.125,12.125,12.125,12.125,000,4.75047
2000-05-01,12.125,12.125,12.125,12.125,500,4.75047
2000-05-02,12.00,12.00,11.875,11.875,2000,4.65252
2000-05-03,11.75,11.9375,11.6875,11.875,20500,4.65252
2000-05-04,11.9375,11.9375,11.6875,11.875,4300,4.65252
2000-05-05,11.875,11.875,11.875,11.875,400,4.65252
2000-05-08,11.75,11.75,11.6875,11.6875,1000,4.57906
2000-05-09,11.6875,11.6875,11.4375,11.5625,2500,4.5300
2000-05-10,11.625,11.875,11.625,11.875,2100,4.65252
2000-05-11,11.875,11.875,11.875,11.875,2000,4.67773
2000-05-12,11.75,11.875,11.625,11.875,900,4.67773
2000-05-15,11.875,11.875,11.875,11.875,200,4.67773
2000-05-16,11.75,11.75,11.375,11.6875,5300,4.60387
2000-05-17,11.5625,11.6875,11.4375,11.6875,3500,4.60387
2000-05-18,11.75,11.875,11.75,11.875,700,4.67773
2000-05-19,11.875,11.875,11.875,11.875,200,4.67773
2000-05-22,11.875,11.875,11.875,11.875,200,4.67773
2000-05-23,11.875,11.875,11.875,11.875,200,4.67773
2000-05-24,11.875,11.875,11.875,11.875,200,4.67773
2000-05-25,11.875,11.875,11.75,11.875,5900,4.67773
2000-05-26,11.875,11.9375,11.875,11.9375,6200,4.70235
2000-05-30,11.9375,11.9375,11.9375,11.9375,000,4.70235
2000-05-31,11.9375,11.9375,11.9375,11.9375,000,4.70235
2000-06-01,11.9375,11.9375,11.75,11.9375,1600,4.70235
2000-06-02,11.8125,11.8125,11.8125,11.8125,400,4.65311
2000-06-05,12.00,12.00,12.00,12.00,500,4.72697
2000-06-06,12.1875,12.25,12.1875,12.25,1900,4.82545
2000-06-07,12.1875,12.1875,12.1875,12.1875,1000,4.80083
2000-06-08,12.25,12.25,12.25,12.25,1200,4.82545
2000-06-09,12.3125,12.3125,12.3125,12.3125,1400,4.85007
2000-06-12,12.1875,12.1875,12.1875,12.1875,700,4.80083
2000-06-13,12.0625,12.0625,12.0625,12.0625,000,4.77667
2000-06-14,12.25,12.25,12.25,12.25,500,4.85092
2000-06-15,12.375,12.375,12.375,12.375,3100,4.90042
2000-06-16,12.1875,12.1875,12.125,12.125,1700,4.80142
2000-06-19,12.3125,12.375,12.3125,12.375,2300,4.90042
2000-06-20,12.3125,12.3125,12.3125,12.3125,2700,4.87567
2000-06-21,12.3125,12.3125,12.3125,12.3125,000,4.87567
2000-06-22,12.375,12.375,12.375,12.375,300,4.90042
2000-06-23,12.3125,12.3125,12.3125,12.3125,3500,4.87567
2000-06-26,12.3125,12.3125,12.3125,12.3125,000,4.87567
2000-06-27,12.375,12.50,12.375,12.50,5700,4.94992
2000-06-28,12.375,12.375,12.375,12.375,1000,4.90042
2000-06-29,12.625,12.625,12.4375,12.4375,4600,4.92517
2000-06-30,12.375,12.375,12.375,12.375,200,4.90042
2000-07-03,12.50,12.625,12.375,12.375,700,4.90042
2000-07-05,12.375,12.625,12.375,12.4375,3200,4.92517
2000-07-06,12.375,12.5625,12.375,12.5625,200,4.97467
2000-07-07,12.4375,12.5625,12.4375,12.5625,1800,4.97467
2000-07-10,12.625,12.6875,12.5625,12.5625,1200,4.97467
2000-07-11,12.8125,12.8125,12.4375,12.4375,2700,4.92517
2000-07-12,12.3125,12.4375,12.3125,12.4375,2400,4.95065
2000-07-13,12.4375,12.75,12.375,12.625,3800,5.02528
2000-07-14,12.5625,12.5625,12.5625,12.5625,200,5.00040
2000-07-17,12.5625,12.5625,12.5625,12.5625,200,5.00040
2000-07-18,12.5625,12.5625,12.5625,12.5625,200,5.00040
2000-07-19,12.5625,12.5625,12.5625,12.5625,000,5.00040
2000-07-20,12.625,12.625,12.625,12.625,200,5.02528
2000-07-21,12.75,12.875,12.75,12.8125,1400,5.09991
2000-07-24,12.8125,12.8125,12.8125,12.8125,200,5.09991
2000-07-25,12.8125,12.8125,12.8125,12.8125,000,5.09991
2000-07-26,12.6875,13.00,12.6875,12.875,3300,5.12479
