Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,25.00,25.5625,24.50,24.75,24100,18.09725
2000-01-04,22.875,24.4375,22.75,24.125,76000,17.64025
2000-01-05,24.125,25.00,23.875,24.84375,32100,18.16580
2000-01-06,24.8125,25.3125,24.375,25.125,77800,18.37145
2000-01-07,25.00,26.125,24.5625,24.5625,53200,17.96015
2000-01-10,26.50,26.50,24.75,24.75,43900,18.09725
2000-01-11,25.50,25.50,24.5625,25.00,25300,18.28005
2000-01-12,24.875,25.3125,24.50,24.6875,76900,18.05155
2000-01-13,24.6875,25.875,24.6875,25.5625,49200,18.6913
2000-01-14,25.125,25.875,25.125,25.4375,66500,18.5999
2000-01-18,25.00,25.6875,25.00,25.25,56200,18.4628
2000-01-19,25.6875,25.75,25.00,25.00,45800,18.28005
2000-01-20,25.50,25.625,25.0625,25.625,40400,18.73706
2000-01-21,25.5625,25.625,24.125,24.125,44400,17.64025
2000-01-24,24.00,24.50,24.00,24.0625,69300,17.59455
2000-01-25,24.00,24.25,23.25,23.875,78300,17.45745
2000-01-26,24.25,25.8125,23.00,25.3125,87600,18.5085
2000-01-27,25.8125,26.3125,25.00,25.375,55000,18.5542
2000-01-28,25.0625,26.00,23.5625,23.5625,47400,17.22895
2000-01-31,23.53125,25.5625,23.50,24.75,55400,18.09725
2000-02-01,24.00,24.875,24.00,24.50,30800,17.91445
2000-02-02,24.125,24.875,23.6875,24.09375,44000,17.61740
2000-02-03,24.1875,24.375,23.25,23.875,33400,17.45745
2000-02-04,24.125,24.1875,23.875,23.875,57200,17.45745
2000-02-07,24.00,24.375,23.875,24.375,35000,17.82305
2000-02-08,24.50,25.125,24.1875,24.75,88800,18.09725
2000-02-09,24.375,25.8125,24.25,25.3125,69900,18.5085
2000-02-10,25.125,25.50,25.125,25.375,57900,18.5542
2000-02-11,25.34375,25.4375,25.1875,25.3125,72400,18.5085
2000-02-14,25.1875,25.28125,24.875,24.9375,35500,18.23435
2000-02-15,25.25,25.25,24.9375,24.9375,35700,18.23435
2000-02-16,25.00,25.00,24.0625,24.0625,20100,17.59455
2000-02-17,24.00,24.4375,24.00,24.1875,63400,17.68595
2000-02-18,24.00,24.125,24.00,24.0625,87000,17.59455
2000-02-22,23.75,24.375,23.75,23.9375,49800,17.50315
2000-02-23,23.875,24.00,22.4375,23.53125,67800,17.37303
2000-02-24,23.15625,23.75,22.75,23.125,22100,17.073
2000-02-25,23.00,23.375,22.25,22.6875,58800,16.75009
2000-02-28,21.75,22.50,21.00,21.375,127700,15.78108
2000-02-29,21.50,23.75,21.50,22.8125,135800,16.84238
2000-03-01,22.50,23.0625,22.50,22.875,26400,16.88852
2000-03-02,23.125,23.125,22.375,22.50,15800,16.61166
2000-03-03,22.50,22.625,22.0625,22.50,40000,16.61166
2000-03-06,22.34375,22.50,22.1875,22.25,90400,16.42709
2000-03-07,22.375,22.625,22.25,22.4375,42800,16.56552
2000-03-08,22.625,23.00,22.00,22.9375,68000,16.93466
2000-03-09,22.84375,24.125,22.84375,24.125,41100,17.81139
2000-03-10,23.375,24.3125,23.375,23.9375,58900,17.67296
2000-03-13,23.875,23.875,22.5625,22.5625,32400,16.65780
2000-03-14,22.50,23.50,22.3125,23.50,46100,17.34996
2000-03-15,22.3125,23.71875,22.28125,23.4375,61000,17.30381
2000-03-16,23.375,25.00,23.375,24.9375,72000,18.41126
