Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,22.00,22.00,20.25,20.25,30600,8.34301
2000-01-04,20.28124,20.9375,20.00,20.50,33400,8.44601
2000-01-05,20.00,21.375,18.50,20.875,44400,8.60051
2000-01-06,21.50,21.75,20.25,21.00,38800,8.65201
2000-01-07,21.25,23.00,21.125,22.0625,118800,9.0897
2000-01-10,22.5625,24.50,22.1875,24.00,108600,9.88802
2000-01-11,23.50,23.8125,21.625,22.75,125400,9.3730
2000-01-12,22.25,23.0625,21.50,23.0625,95200,9.50177
2000-01-13,22.8125,23.75,22.625,23.75,29800,9.78502
2000-01-14,23.0625,24.25,23.0625,24.25,18000,9.99102
2000-01-18,24.125,24.125,21.50,22.50,68800,9.27958
2000-01-19,22.50,22.625,22.00,22.25,68200,9.1764
2000-01-20,22.50,22.50,19.625,21.00,80200,8.66094
2000-01-21,20.0625,20.0625,18.4375,19.00,136000,7.83609
2000-01-24,19.00,20.25,19.00,20.25,146000,8.35162
2000-01-25,19.9375,19.9375,19.00,19.25,13600,7.93920
2000-01-26,19.03124,19.4375,18.9375,19.00,131400,7.83609
2000-01-27,18.9375,19.25,18.625,18.625,114800,7.68143
2000-01-28,18.75,19.00,18.625,18.875,168200,7.78454
2000-01-31,19.00,19.25,18.5625,19.00,47400,7.83609
2000-02-01,19.00,19.25,18.875,19.00,69200,7.83609
2000-02-02,18.90624,19.125,18.84376,19.00,427200,7.83609
2000-02-03,19.0625,19.25,18.8125,19.25,53000,7.93920
2000-02-04,19.00,19.125,18.75,19.00,99400,7.83609
2000-02-07,19.00,19.125,18.50,19.00,56200,7.83609
2000-02-08,18.625,18.9375,18.625,18.875,16400,7.78454
2000-02-09,18.90624,18.90624,17.375,17.375,503000,7.16590
2000-02-10,17.50,18.375,17.50,18.375,187000,7.57832
2000-02-11,18.1875,18.3125,17.75,17.8125,324000,7.34633
2000-02-14,17.9375,18.00,17.25,17.375,81600,7.16590
2000-02-15,17.3125,17.375,17.25,17.375,115600,7.16590
2000-02-16,17.125,17.50,17.00,17.50,26400,7.21745
2000-02-17,17.3125,17.50,16.75,17.25,315200,7.11434
2000-02-18,17.125,17.3125,17.0625,17.0625,29000,7.0370
2000-02-22,17.00,17.625,17.00,17.625,116600,7.26900
2000-02-23,16.875,18.00,16.3125,17.625,51200,7.26900
2000-02-24,17.625,17.8125,17.25,17.375,12400,7.16590
2000-02-25,18.00,18.125,17.875,17.875,7600,7.37211
2000-02-28,17.50,17.50,16.125,16.75,35000,6.90813
2000-02-29,16.50,18.00,16.25,18.00,40800,7.42366
2000-03-01,17.625,18.50,17.50,18.50,14400,7.62988
2000-03-02,18.0625,18.9375,18.00,18.00,233200,7.42366
2000-03-03,18.00,18.75,18.00,18.00,64000,7.42366
2000-03-06,18.75,18.75,18.00,18.1875,68200,7.50099
2000-03-07,18.125,18.125,17.25,18.00,43000,7.42366
2000-03-08,17.25,18.00,17.25,17.625,14200,7.26900
2000-03-09,17.625,18.09376,17.625,17.9375,33600,7.39789
2000-03-10,17.375,17.50,17.125,17.4375,28000,7.19167
2000-03-13,17.25,17.625,17.00,17.00,6800,7.01124
2000-03-14,17.5625,17.5625,17.125,17.25,3800,7.11434
2000-03-15,17.4375,17.4375,17.00,17.00,57600,7.01124
2000-03-16,17.25,17.375,16.25,16.25,97400,6.70192
2000-03-17,15.8125,16.875,15.625,16.375,27800,6.75347
2000-03-20,16.375,16.875,16.25,16.875,47600,6.9596
2000-03-21,17.50,17.50,17.125,17.3125,11800,7.14012
2000-03-22,11.1875,11.75,10.625,10.8125,5284800,4.45935
2000-03-23,10.875,10.9375,9.96876,10.125,2029000,4.17581
2000-03-24,10.1875,10.1875,9.8125,10.00,1185200,4.12426
2000-03-27,10.125,10.50,10.00,10.50,645200,4.33047
2000-03-28,10.5625,10.6875,10.1875,10.26562,725600,4.23380
2000-03-29,10.1875,10.4375,10.0625,10.0625,98400,4.15003
2000-03-30,10.0625,10.375,10.00,10.125,119600,4.17581
2000-03-31,10.25,10.50,10.00,10.0625,166800,4.15003
2000-04-03,10.50,10.50,10.0625,10.0625,152600,4.15003
2000-04-04,10.21876,10.25,9.5625,10.00,156000,4.12426
2000-04-05,9.9375,10.1875,9.875,10.0625,161200,4.15003
2000-04-06,10.125,10.5625,10.0625,10.25,198400,4.22736
2000-04-07,10.4375,10.4375,10.00,10.00,56400,4.12426
2000-04-10,9.9375,10.0625,9.875,9.875,80600,4.07270
2000-04-11,10.125,10.1875,9.9375,10.0625,104400,4.15003
2000-04-12,9.9375,10.25,9.875,9.875,151000,4.07270
2000-04-13,10.125,10.125,9.78124,10.125,122000,4.17581
2000-04-14,10.125,10.50,9.78124,9.8125,146000,4.04693
2000-04-17,9.78124,9.78124,9.50,9.50,74200,3.91804
2000-04-18,9.59376,9.75,9.25,9.75,84200,4.03176
2000-04-19,9.75,9.75,9.0625,9.25,77800,3.82500
