Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,23.5625,23.9375,23.1875,23.4375,7386600,2.22697
2000-01-04,23.25,24.25,23.25,23.625,10538200,2.24478
2000-01-05,23.8125,24.0625,23.4375,23.50,11697300,2.23291
2000-01-06,23.50,23.6875,23.00,23.0625,7152800,2.19134
2000-01-07,23.25,23.8125,23.125,23.6875,7972100,2.25072
2000-01-10,23.75,24.0625,23.75,24.00,7711300,2.2804
2000-01-11,24.125,24.625,24.0625,24.125,7451400,2.29229
2000-01-12,24.25,24.5625,24.00,24.25,9609400,2.30417
2000-01-13,24.50,24.5625,24.25,24.50,6263900,2.32792
2000-01-14,24.5625,24.625,23.75,24.25,7813300,2.30417
2000-01-18,24.0625,24.1875,23.00,23.00,7998600,2.18540
2000-01-19,23.125,23.50,23.00,23.375,8731100,2.22103
2000-01-20,23.375,23.375,22.0625,22.578119,9977700,2.14531
2000-01-21,22.1875,22.50,21.8125,22.00,13976300,2.09038
2000-01-24,22.75,23.00,21.875,22.00,15344200,2.09038
2000-01-25,22.00,22.875,21.375,21.9375,11046800,2.08444
2000-01-26,21.75,21.8125,20.875,21.0625,18969200,2.00130
2000-01-27,21.50,21.875,20.8125,21.00,14734700,1.99536
2000-01-28,21.125,21.3125,20.75,20.75,12021300,1.97161
2000-01-31,20.9375,21.125,20.84375,20.875,11594900,1.9834
2000-02-01,21.125,21.125,20.75,21.00,13301800,1.99536
2000-02-02,20.9375,21.109381,20.5625,20.625,13933200,1.95973
2000-02-03,20.9375,21.4375,20.875,21.00,20018200,1.99536
2000-02-04,21.125,21.125,20.375,20.625,16675500,1.95973
2000-02-07,20.875,20.9375,20.375,20.5625,12752400,1.95379
2000-02-08,20.25,20.3125,19.125,19.50,26653500,1.85284
2000-02-09,19.4375,20.00,19.4375,19.625,18374200,1.86471
2000-02-10,20.00,20.3125,19.8125,19.875,15253200,1.88847
2000-02-11,19.9375,20.125,19.0625,19.0625,15365500,1.81127
2000-02-14,19.3125,19.4375,18.75,18.9375,21123700,1.79939
2000-02-15,19.0625,19.125,18.6875,19.125,15218000,1.8172
2000-02-16,19.0625,19.25,18.8125,19.00,13799900,1.80533
2000-02-17,19.875,20.00,19.3125,19.50,16060300,1.85284
2000-02-18,19.50,19.875,19.375,19.625,11121500,1.86471
2000-02-22,19.9375,21.1875,19.875,20.875,17008800,1.9834
2000-02-23,21.25,21.6875,20.1875,20.3125,14797000,1.93004
2000-02-24,20.50,20.5625,19.75,20.0625,12097700,1.90628
2000-02-25,20.125,20.1875,19.625,19.625,11480500,1.86471
2000-02-28,19.8125,20.3125,19.8125,20.0625,10884600,1.90628
2000-02-29,20.0625,20.4375,20.0625,20.1875,13524800,1.91816
2000-03-01,20.1875,21.50,19.625,20.4375,21707100,1.9419
2000-03-02,20.4375,20.8125,20.00,20.125,11165200,1.91222
2000-03-03,20.00,20.625,19.75,20.3125,13358800,1.93004
2000-03-06,20.75,20.875,19.5625,19.875,13047100,1.88847
2000-03-07,19.875,20.00,19.50,19.5625,12009900,1.8587
2000-03-08,19.625,19.75,19.1875,19.25,11810100,1.82908
2000-03-09,19.25,19.50,19.125,19.50,8739200,1.85284
2000-03-10,19.375,19.4375,19.0625,19.0625,10848100,1.81127
2000-03-13,19.25,20.00,19.125,19.875,10914000,1.88847
2000-03-14,19.8125,19.8125,19.25,19.46875,11983600,1.84987
2000-03-15,19.3125,20.375,19.25,20.125,13071300,1.91222
2000-03-16,20.125,20.50,20.0625,20.25,13253000,1.97111
2000-03-17,20.375,20.375,19.50,20.25,16220400,1.97111
2000-03-20,19.875,20.25,19.8125,19.9375,14039000,1.94069
2000-03-21,19.50,22.125,19.00,20.3125,34490700,1.97720
2000-03-22,20.3125,20.5625,19.3125,19.4375,16078100,1.89202
2000-03-23,19.50,19.6875,19.3125,19.50,13839800,1.89811
2000-03-24,19.5625,19.875,19.50,19.8125,10308500,1.92853
2000-03-27,19.8125,19.875,19.50,19.609381,8924600,1.9087
2000-03-28,19.50,19.75,19.3125,19.5625,12453400,1.90419
2000-03-29,19.5625,19.625,19.125,19.125,11687300,1.86161
2000-03-30,20.00,21.5625,19.734381,21.50,27460700,2.09279
2000-03-31,21.9375,22.0625,20.75,20.75,15234000,2.01978
2000-04-03,21.75,23.00,21.50,22.8125,16940200,2.22054
2000-04-04,23.00,23.75,21.1875,22.1875,17620000,2.15971
2000-04-05,22.0625,22.5625,22.00,22.375,10017900,2.17796
2000-04-06,22.8125,23.5625,22.50,22.9375,16373400,2.23271
2000-04-07,23.25,23.625,21.9375,22.50,24520100,2.1901
2000-04-10,22.00,22.25,21.00,22.00,14618200,2.14146
2000-04-11,21.75,21.9375,21.50,21.75,7584900,2.11712
2000-04-12,21.875,22.625,21.6875,21.875,9034400,2.12929
