Date,Open,High,Low,Close,Volume,Adj Clos
2006-05-26,16.50,17.200001,16.120001,16.75,16332600,14.72462
2006-05-30,16.700001,16.700001,16.299999,16.34,1241900,14.36419
2006-05-31,16.549999,17.60,16.35,17.280001,988900,15.19053
2006-06-01,17.209999,17.73,17.030001,17.50,922200,15.38393
2006-06-02,17.68,17.700001,17.219999,17.58,721000,15.45426
2006-06-05,17.59,17.59,17.00,17.07,616100,15.00592
2006-06-06,17.08,17.15,16.389999,16.60,970000,14.59276
2006-06-07,16.60,16.610001,15.35,15.35,1309600,13.49390
2006-06-08,14.75,15.23,14.30,14.83,1636500,13.03678
2006-06-09,15.05,15.33,14.95,15.15,1031500,13.31809
2006-06-12,15.20,15.55,15.05,15.20,613500,13.36204
2006-06-13,15.20,15.30,14.31,14.50,579600,12.74668
2006-06-14,14.70,14.75,13.80,14.23,799600,12.50933
2006-06-15,14.50,14.81,14.39,14.40,811500,12.6587
2006-06-16,14.40,14.70,14.30,14.55,355700,12.79064
2006-06-19,15.05,15.74,15.05,15.40,1716700,13.53786
2006-06-20,15.44,15.98,15.40,15.66,554600,13.76642
2006-06-21,15.64,17.030001,15.64,16.459999,1153800,14.46968
2006-06-22,16.66,16.780001,16.10,16.40,922400,14.41694
2006-06-23,16.48,16.83,16.40,16.57,787600,14.56638
2006-06-26,16.700001,17.59,16.700001,17.50,699900,15.38393
2006-06-27,17.799999,17.90,16.690001,16.93,625700,14.88285
2006-06-28,17.00,17.82,16.940001,17.690001,2615200,15.5509
2006-06-29,17.790001,18.450001,16.99,18.25,2281200,16.04324
2006-06-30,18.25,18.25,17.370001,17.41,1926500,15.30481
2006-07-03,17.41,17.530001,17.15,17.40,309000,15.29602
2006-07-05,17.60,17.709999,17.209999,17.52,1023100,15.40151
2006-07-06,17.75,17.75,17.25,17.49,591700,15.37514
2006-07-07,17.50,17.950001,17.35,17.51,509600,15.39272
2006-07-10,17.559999,17.639999,17.35,17.360001,228800,15.26086
2006-07-11,17.35,17.50,16.73,16.799999,446000,14.76857
2006-07-12,16.799999,17.50,16.75,16.879999,526700,14.83890
2006-07-13,16.83,16.83,16.51,16.59,487500,14.5839
2006-07-14,16.50,16.60,15.92,15.96,506000,14.03014
2006-07-17,15.95,16.049999,15.72,15.88,218700,13.95982
2006-07-18,15.88,15.88,15.36,15.55,548000,13.66972
2006-07-19,15.56,16.200001,15.55,16.00,736800,14.06531
2006-07-20,16.049999,16.35,15.69,15.78,464300,13.87191
2006-07-21,15.78,15.78,15.09,15.17,280900,13.33567
2006-07-24,15.25,15.60,15.25,15.59,209600,13.70488
2006-07-25,15.59,15.80,15.43,15.77,310200,13.86312
2006-07-26,15.77,15.80,15.20,15.39,365900,13.52907
2006-07-27,15.40,15.48,14.76,14.79,356000,13.00162
2006-07-28,14.75,15.70,14.50,15.55,1537700,13.66972
2006-07-31,15.45,15.97,15.30,15.85,493500,13.93344
2006-08-01,15.85,15.85,15.33,15.33,835100,13.47632
2006-08-02,16.50,16.959999,16.15,16.50,1401100,14.50485
2006-08-03,16.700001,16.940001,16.27,16.889999,306600,14.84769
2006-08-04,17.200001,17.25,16.629999,16.950001,276300,14.9004
2006-08-07,16.889999,17.08,16.790001,16.90,484600,14.85648
2006-08-08,16.889999,17.00,16.50,16.51,381900,14.51364
2006-08-09,16.52,16.52,15.50,15.52,434900,13.64335
2006-08-10,15.50,15.63,14.72,14.94,1050000,13.13348
2006-08-11,14.90,15.37,14.65,15.30,182900,13.44995
2006-08-14,15.20,15.65,15.15,15.58,254300,13.69609
2006-08-15,15.95,16.42,15.77,16.35,333100,14.3729
2006-08-16,16.549999,17.00,16.450001,16.85,443600,14.81253
2006-08-17,16.889999,16.950001,16.52,16.700001,291600,14.68066
2006-08-18,16.77,16.860001,16.360001,16.549999,299900,14.54880
2006-08-21,16.450001,16.85,16.360001,16.77,170300,14.74220
2006-08-22,16.799999,17.15,16.709999,16.950001,341800,14.9004
2006-08-23,16.90,17.00,16.60,16.68,264400,14.66308
2006-08-24,16.780001,16.879999,16.32,16.75,272500,14.72462
2006-08-25,16.60,16.940001,16.60,16.67,286500,14.65429
2006-08-28,16.75,17.15,16.68,16.969999,307700,14.9180
2006-08-29,17.02,17.200001,16.92,17.07,284000,15.00592
2006-08-30,16.870001,17.049999,16.799999,16.84,454500,14.8037
2006-08-31,16.940001,17.440001,16.93,17.00,527300,14.94439
2006-09-01,17.049999,17.60,17.049999,17.370001,317500,15.26965
2006-09-05,17.469999,17.60,17.27,17.370001,324100,15.26965
2006-09-06,17.32,17.469999,16.92,16.92,285200,14.87406
2006-09-07,16.799999,16.940001,16.530001,16.74,460500,14.71583
2006-09-08,16.75,16.84,16.50,16.549999,318000,14.54880
2006-09-11,16.50,16.549999,16.200001,16.40,328400,14.41694
2006-09-12,16.360001,16.74,16.35,16.639999,366800,14.62792
2006-09-13,16.66,16.959999,16.370001,16.549999,776800,14.54880
2006-09-14,16.700001,16.700001,16.360001,16.50,434200,14.50485
2006-09-15,16.50,16.51,16.09,16.200001,734500,14.24112
2006-09-18,16.02,16.280001,15.90,15.96,312100,14.03014
2006-09-19,16.049999,16.059999,15.25,15.27,812700,13.42358
2006-09-20,15.31,15.50,14.89,15.00,907200,13.18622
2006-09-21,15.00,15.13,14.72,14.80,839100,13.01041
2006-09-22,14.79,15.00,14.28,14.76,786600,12.9752
2006-09-25,14.88,15.25,14.73,14.99,319900,13.17743
2006-09-26,15.08,15.08,14.10,14.30,1453200,12.57087
2006-09-27,14.34,15.12,14.34,14.70,1674900,12.92250
2006-09-28,14.68,14.99,14.62,14.80,1082400,13.01041
2006-09-29,14.80,14.97,14.58,14.61,572700,12.84338
2006-10-02,14.75,14.90,14.60,14.70,496500,12.92250
2006-10-03,14.70,14.70,14.12,14.16,599200,12.447
2006-10-04,14.12,14.45,14.07,14.39,389300,12.6499
2006-10-05,14.45,14.71,14.30,14.60,480700,12.83459
2006-10-06,14.60,14.85,14.60,14.74,293900,12.95766
2006-10-09,14.70,14.80,14.53,14.57,424000,12.80822
2006-10-10,14.58,14.96,14.56,14.85,511100,13.05436
2006-10-11,14.80,14.96,14.47,14.61,406200,12.84338
2006-10-12,14.70,14.79,14.66,14.75,215200,12.96645
2006-10-13,14.75,15.23,14.70,15.16,484000,13.32688
2006-10-16,15.25,15.74,15.22,15.59,478000,13.70488
2006-10-17,15.60,15.60,15.09,15.19,641400,13.35325
2006-10-18,15.32,15.65,15.32,15.46,309200,13.59060
2006-10-19,15.40,15.78,15.40,15.66,222900,13.76642
2006-10-20,15.73,15.73,15.28,15.41,183700,13.54665
2006-10-23,15.46,15.72,15.23,15.30,109500,13.44995
2006-10-24,15.30,15.70,15.24,15.63,105500,13.74005
2006-10-25,15.70,16.120001,15.68,15.99,388300,14.0565
2006-10-26,16.139999,16.35,15.70,16.309999,263300,14.33782
2006-10-27,16.299999,16.549999,16.16,16.25,314700,14.28508
2006-10-30,16.139999,16.440001,15.81,16.17,294700,14.21475
2006-10-31,16.389999,16.43,15.93,15.97,215000,14.03893
2006-11-01,16.09,16.34,16.01,16.110001,497100,14.16201
2006-11-02,16.049999,16.049999,15.71,15.90,343300,13.97740
2006-11-03,15.60,15.60,14.10,14.23,3961000,12.50933
2006-11-06,14.50,14.50,13.85,13.85,2288900,12.17528
2006-11-07,13.90,14.02,13.34,13.40,1292200,11.77969
2006-11-08,13.40,13.73,13.37,13.73,513100,12.08603
2006-11-09,13.73,14.24,13.38,13.49,878600,11.87476
2006-11-10,13.49,13.87,13.44,13.72,301100,12.07722
2006-11-13,13.66,13.66,13.02,13.16,847700,11.5842
2006-11-14,13.21,13.89,13.20,13.74,1045900,12.09483
2006-11-15,13.70,13.94,13.59,13.80,905900,12.1476
2006-11-16,13.90,14.25,13.80,14.15,860900,12.45574
2006-11-17,14.07,14.64,13.66,14.40,691200,12.67580
2006-11-20,14.50,14.55,14.16,14.34,532000,12.62299
2006-11-21,14.38,14.40,14.15,14.25,286000,12.54376
2006-11-22,14.32,14.32,14.05,14.29,162900,12.57897
2006-11-24,14.23,14.40,14.12,14.28,68100,12.57017
2006-11-27,14.18,14.39,14.10,14.21,397800,12.50855
2006-11-28,14.14,14.62,14.00,14.60,433200,12.85186
2006-11-29,15.07,15.12,14.75,15.09,799500,13.28319
2006-11-30,15.09,15.98,15.08,15.50,1842000,13.64409
2006-12-01,15.61,15.78,15.31,15.67,515100,13.79374
2006-12-04,15.70,15.99,15.50,15.53,383100,13.67050
2006-12-05,15.55,16.33,15.52,16.18,601500,14.24267
2006-12-06,16.18,16.360001,15.90,16.34,373200,14.38352
2006-12-07,16.41,16.790001,15.98,15.99,541500,14.07542
2006-12-08,15.98,16.32,15.87,16.07,433900,14.1458
2006-12-11,16.110001,16.110001,15.77,15.94,299300,14.03141
2006-12-12,15.55,15.91,15.21,15.84,610900,13.94338
2006-12-13,15.84,15.86,15.00,15.10,635500,13.29199
2006-12-14,15.10,15.67,14.79,14.95,6437300,13.15995
2006-12-15,15.21,15.40,14.50,15.00,5462800,13.20396
2006-12-18,15.00,15.22,14.88,15.18,2135700,13.36241
2006-12-19,15.30,15.32,14.70,14.99,1932800,13.19516
2006-12-20,15.03,15.03,14.62,15.03,1145600,13.23037
2006-12-21,15.00,15.00,14.69,14.91,1293500,13.12474
2006-12-22,14.95,15.18,14.92,14.94,1390500,13.15115
2006-12-26,14.91,15.25,14.86,15.15,393600,13.33600
2006-12-27,15.30,15.30,14.95,15.03,429800,13.23037
2006-12-28,15.00,15.02,14.56,14.65,1206200,12.89587
2006-12-29,14.75,15.11,14.70,14.87,857700,13.08953
2007-01-03,15.10,15.50,14.90,15.32,1308300,13.48565
2007-01-04,15.27,15.27,14.90,14.96,457500,13.16875
2007-01-05,14.50,15.00,14.50,14.56,707000,12.81665
2007-01-08,14.52,14.64,13.84,13.95,1126800,12.27968
2007-01-09,13.96,14.00,13.60,13.93,1442900,12.26208
2007-01-10,13.93,13.96,13.73,13.82,483400,12.16525
2007-01-11,13.89,14.13,13.74,13.92,625400,12.25328
2007-01-12,13.97,14.23,13.97,14.23,677000,12.52616
2007-01-16,14.23,14.30,13.86,14.00,557400,12.32370
2007-01-17,14.00,14.22,13.95,14.10,977900,12.41172
2007-01-18,14.14,14.20,13.88,13.90,1020400,12.23567
2007-01-19,13.91,14.05,13.81,14.04,451500,12.35891
2007-01-22,14.08,14.23,13.65,13.73,513900,12.08603
2007-01-23,13.73,14.05,13.70,14.03,516500,12.3501
2007-01-24,14.06,14.37,14.06,14.35,424400,12.63179
2007-01-25,14.40,14.45,13.93,14.05,545300,12.36771
2007-01-26,14.05,14.18,13.82,14.17,526100,12.47334
2007-01-29,14.12,14.16,13.82,13.86,697200,12.20046
2007-01-30,13.86,14.07,13.60,13.63,909100,11.99800
2007-01-31,13.59,13.90,13.49,13.75,759000,12.10363
2007-02-01,13.90,14.40,13.80,14.25,1240500,12.54376
2007-02-02,14.00,15.00,13.91,14.86,2153400,13.0807
2007-02-05,14.89,15.09,14.78,15.01,566100,13.2127
2007-02-06,15.01,15.40,14.98,15.19,582100,13.37121
2007-02-07,15.25,15.33,15.00,15.29,442800,13.47521
2007-02-08,15.29,15.44,15.20,15.38,411000,13.55452
