Date,Open,High,Low,Close,Volume,Adj Clos
2003-05-07,24.99,25.00,24.940001,25.00,166000,10.04936
2003-05-08,24.969999,25.049999,24.950001,25.02,312800,10.05740
2003-05-09,25.00,25.10,24.98,25.08,192200,10.08151
2003-05-12,25.129999,25.15,25.02,25.15,304300,10.10965
2003-05-13,25.07,25.32,25.049999,25.190001,428300,10.12573
2003-05-14,25.15,25.299999,25.10,25.200001,447000,10.12975
2003-05-15,25.200001,25.25,25.15,25.190001,176200,10.12573
2003-05-16,25.23,25.35,25.200001,25.25,56300,10.14985
2003-05-19,25.299999,25.33,25.24,25.24,31800,10.14583
2003-05-20,25.25,25.35,25.219999,25.26,183900,10.15387
2003-05-21,25.25,25.450001,25.25,25.280001,52100,10.16191
2003-05-22,25.25,25.50,25.24,25.50,44300,10.25034
2003-05-23,25.52,25.690001,25.450001,25.50,44300,10.25034
2003-05-27,25.52,25.620001,25.51,25.549999,77600,10.27044
2003-05-28,25.540001,25.799999,25.540001,25.709999,128200,10.33476
2003-05-29,25.74,25.90,25.67,25.83,178600,10.38
2003-05-30,25.82,25.85,25.75,25.85,52800,10.39103
2003-06-02,25.83,25.889999,25.690001,25.780001,111000,10.36290
2003-06-03,25.799999,25.83,25.719999,25.76,87000,10.35486
2003-06-04,25.799999,25.92,25.75,25.799999,177700,10.3709
2003-06-05,25.860001,25.950001,25.82,25.90,87200,10.41113
2003-06-06,25.889999,25.950001,25.809999,25.85,69400,10.39103
2003-06-09,25.85,25.93,25.85,25.85,152400,10.39103
2003-06-10,25.85,25.98,25.85,25.92,94700,10.41917
2003-06-11,25.969999,26.09,25.950001,26.00,258800,10.45133
2003-06-12,25.700001,25.790001,25.66,25.709999,79600,10.45702
2003-06-13,25.73,25.73,25.629999,25.65,47900,10.43262
2003-06-16,25.65,25.690001,25.40,25.50,64400,10.37161
2003-06-17,25.42,25.629999,25.40,25.450001,48700,10.3512
2003-06-18,25.450001,25.50,25.290001,25.42,199800,10.33907
2003-06-19,25.549999,25.65,25.440001,25.59,541200,10.40822
2003-06-20,25.620001,25.700001,25.60,25.68,90100,10.44482
2003-06-23,25.639999,25.799999,25.639999,25.799999,69200,10.49363
2003-06-24,25.83,25.83,25.700001,25.780001,97600,10.48550
2003-06-25,25.75,25.879999,25.719999,25.809999,165300,10.49770
2003-06-26,25.809999,25.90,25.809999,25.879999,85000,10.52617
2003-06-27,25.879999,25.950001,25.75,25.76,58400,10.47736
2003-06-30,25.790001,25.950001,25.75,25.92,71500,10.54244
2003-07-01,25.85,25.950001,25.84,25.91,144800,10.53837
2003-07-02,25.950001,26.00,25.85,25.950001,88900,10.55464
2003-07-03,25.93,26.07,25.93,25.959999,29800,10.55871
2003-07-07,25.959999,25.959999,25.629999,25.67,88400,10.44076
2003-07-08,25.65,25.65,25.49,25.57,41500,10.40008
2003-07-09,25.549999,25.65,25.549999,25.59,33600,10.40822
2003-07-10,25.59,25.73,25.559999,25.65,117200,10.43262
2003-07-11,25.620001,25.889999,25.620001,25.870001,87900,10.52210
2003-07-14,25.82,25.879999,25.77,25.790001,36600,10.48956
2003-07-15,25.82,25.85,25.52,25.52,38200,10.37975
2003-07-16,25.450001,25.450001,25.129999,25.200001,106400,10.24959
2003-07-17,25.299999,25.42,25.110001,25.42,79600,10.33907
2003-07-18,25.459999,25.48,25.41,25.42,9600,10.33907
2003-07-21,25.42,25.440001,25.200001,25.219999,53900,10.25773
2003-07-22,25.219999,25.280001,24.91,24.91,90100,10.13164
2003-07-23,24.91,25.10,24.85,25.02,299900,10.17638
2003-07-24,25.00,25.049999,24.860001,24.91,62100,10.13164
2003-07-25,24.91,25.16,24.91,25.00,107100,10.16825
2003-07-28,24.98,25.00,24.85,24.85,43500,10.10724
2003-07-29,24.799999,24.870001,24.40,24.67,75200,10.03403
2003-07-30,24.73,24.90,24.65,24.85,31300,10.10724
2003-07-31,24.77,24.85,24.25,24.280001,71700,9.87540
2003-08-01,24.07,24.43,23.879999,24.16,91900,9.82659
2003-08-04,23.870001,23.969999,23.25,23.58,145400,9.59069
2003-08-05,23.60,23.74,23.50,23.629999,77600,9.61103
2003-08-06,23.66,23.799999,23.60,23.799999,47300,9.68017
2003-08-07,23.799999,24.299999,23.799999,24.00,62600,9.76152
2003-08-08,24.049999,24.40,24.049999,24.370001,59400,9.91201
2003-08-11,24.379999,24.50,24.25,24.450001,66800,9.9445
2003-08-12,24.50,24.50,24.309999,24.379999,77100,9.91607
2003-08-13,24.379999,24.530001,24.17,24.25,87400,9.86320
2003-08-14,24.25,24.32,24.10,24.23,57400,9.85506
2003-08-15,24.23,24.290001,24.15,24.25,26200,9.86320
2003-08-18,24.299999,24.469999,24.25,24.25,123300,9.86320
2003-08-19,24.18,24.299999,24.00,24.17,64900,9.83066
2003-08-20,24.25,24.40,24.129999,24.35,84200,9.90387
2003-08-21,24.35,24.40,24.25,24.35,43300,9.90387
2003-08-22,24.40,24.549999,24.27,24.40,63800,9.92421
2003-08-25,24.48,24.540001,24.280001,24.540001,79100,9.98115
2003-08-26,24.48,24.629999,24.459999,24.629999,29800,10.01776
2003-08-27,24.60,24.700001,24.57,24.639999,39500,10.02182
2003-08-28,24.700001,24.799999,24.629999,24.700001,33000,10.04623
2003-08-29,24.690001,24.780001,24.65,24.719999,20600,10.05436
2003-09-02,24.75,24.77,24.610001,24.66,41600,10.02996
2003-09-03,24.620001,24.780001,24.57,24.75,34800,10.06656
2003-09-04,24.700001,24.889999,24.68,24.889999,59000,10.12351
2003-09-05,24.84,24.99,24.809999,24.90,51000,10.12757
2003-09-08,24.92,24.98,24.85,24.98,22500,10.16011
2003-09-09,24.950001,24.98,24.870001,24.90,31300,10.12757
2003-09-10,24.98,25.00,24.90,24.969999,41500,10.15604
2003-09-11,24.950001,25.00,24.860001,24.93,60700,10.1397
2003-09-12,24.51,24.76,24.51,24.75,50100,10.22655
2003-09-15,24.66,24.93,24.65,24.799999,28300,10.2472
2003-09-16,24.709999,24.950001,24.709999,24.85,59300,10.2678
2003-09-17,24.84,24.860001,24.799999,24.82,24800,10.25547
2003-09-18,24.82,24.889999,24.82,24.879999,33600,10.28026
2003-09-19,24.879999,24.93,24.74,24.77,43400,10.23481
2003-09-22,24.75,24.84,24.66,24.66,28700,10.18936
2003-09-23,24.66,24.719999,24.610001,24.66,46800,10.18936
2003-09-24,24.540001,24.709999,24.540001,24.690001,45700,10.20175
2003-09-25,24.709999,24.76,24.690001,24.75,24400,10.22655
2003-09-26,24.76,24.93,24.76,24.90,32200,10.2885
2003-09-29,24.91,24.950001,24.85,24.889999,32900,10.28439
2003-09-30,24.92,24.98,24.92,24.950001,50500,10.3091
2003-10-01,24.950001,24.99,24.93,24.99,39000,10.32571
2003-10-02,24.99,25.00,24.950001,24.950001,53700,10.3091
2003-10-03,24.98,25.00,24.77,24.77,47700,10.23481
