Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,11.375,11.50,11.00,11.50,1700,7.00174
2000-01-04,11.50,11.75,11.375,11.4375,4600,6.96369
2000-01-05,11.4375,11.75,11.4375,11.75,6800,7.15396
2000-01-06,11.4375,11.50,11.4375,11.50,2800,7.00174
2000-01-07,11.4375,11.4375,11.4375,11.4375,500,6.96369
2000-01-10,11.4375,11.50,11.4375,11.50,800,7.00174
2000-01-11,11.50,11.50,11.50,11.50,000,7.00174
2000-01-12,11.4375,11.75,11.4375,11.50,2800,7.00174
2000-01-13,11.4375,11.50,11.4375,11.4375,1200,6.96369
2000-01-14,11.4375,11.4375,11.4375,11.4375,000,6.96369
2000-01-18,11.4375,11.4375,11.4375,11.4375,800,6.96369
2000-01-19,11.75,11.75,11.75,11.75,9000,7.15396
2000-01-20,11.4375,11.50,11.4375,11.4375,2500,6.96369
2000-01-21,11.4375,11.50,11.375,11.375,9300,6.92564
2000-01-24,11.00,11.00,11.00,11.00,600,6.69732
2000-01-25,11.00,11.00,11.00,11.00,2600,6.69732
2000-01-26,11.6875,11.6875,11.6875,11.6875,2500,7.11590
2000-01-27,11.50,11.50,11.125,11.125,1100,6.77343
2000-01-28,11.00,11.00,11.00,11.00,5800,6.69732
2000-01-31,11.00,11.00,11.00,11.00,000,6.69732
2000-02-01,11.50,11.75,11.50,11.75,1100,7.15396
2000-02-02,11.25,11.25,11.25,11.25,2000,6.90833
2000-02-03,11.25,11.25,11.00,11.125,2200,6.83157
2000-02-04,11.00,11.00,10.875,11.00,5500,6.75481
2000-02-07,10.875,10.875,10.875,10.875,3700,6.67805
2000-02-08,10.875,10.875,10.875,10.875,3200,6.67805
2000-02-09,10.875,10.875,10.875,10.875,000,6.67805
2000-02-10,10.875,10.875,10.875,10.875,000,6.67805
2000-02-11,10.875,10.875,10.875,10.875,000,6.67805
2000-02-14,10.875,10.875,10.875,10.875,000,6.67805
2000-02-15,10.875,10.875,10.875,10.875,000,6.67805
2000-02-16,11.25,11.25,11.25,11.25,100,6.90833
2000-02-17,11.00,11.00,11.00,11.00,400,6.75481
2000-02-18,11.00,11.00,11.00,11.00,000,6.75481
2000-02-22,11.00,11.25,11.00,11.25,600,6.90833
2000-02-23,11.00,11.00,11.00,11.00,100,6.75481
2000-02-24,11.00,11.00,11.00,11.00,000,6.75481
2000-02-25,11.00,11.00,11.00,11.00,100,6.75481
2000-02-28,11.00,11.00,11.00,11.00,000,6.75481
2000-02-29,11.00,11.00,11.00,11.00,400,6.75481
2000-03-01,11.00,11.00,11.00,11.00,200,6.75481
2000-03-02,11.00,11.28125,11.00,11.28125,10800,6.92752
2000-03-03,11.28125,11.28125,11.28125,11.28125,000,6.92752
2000-03-06,11.00,11.25,11.00,11.00,1600,6.75481
2000-03-07,11.00,11.00,11.00,11.00,000,6.75481
2000-03-08,11.50,11.50,11.00,11.00,1400,6.75481
2000-03-09,11.00,11.00,11.00,11.00,1700,6.75481
2000-03-10,11.00,11.00,10.00,10.50,15600,6.44777
2000-03-13,10.625,10.70312,10.625,10.70312,4100,6.57250
2000-03-14,10.50,10.50,10.50,10.50,700,6.44777
2000-03-15,10.625,10.625,10.625,10.625,1500,6.52453
2000-03-16,11.00,11.00,11.00,11.00,100,6.75481
2000-03-17,11.00,11.00,11.00,11.00,2600,6.75481
2000-03-20,10.50,10.50,10.50,10.50,100,6.44777
2000-03-21,10.50,10.50,10.25,10.25,1800,6.29425
2000-03-22,10.25,10.25,10.25,10.25,200,6.29425
2000-03-23,10.50,10.50,10.45312,10.45312,3500,6.41898
2000-03-24,10.50,10.54688,10.50,10.54688,4200,6.47656
2000-03-27,10.50,10.50,10.00,10.00,1600,6.14073
2000-03-28,10.00,10.00,10.00,10.00,800,6.14073
2000-03-29,10.00,10.00,9.50,9.50,4000,5.83370
2000-03-30,9.375,9.375,9.375,9.375,100,5.75694
2000-03-31,9.625,10.50,9.625,10.50,4700,6.44777
2000-04-03,9.75,9.75,9.75,9.75,300,5.9872
2000-04-04,9.75,9.75,9.75,9.75,000,5.9872
2000-04-05,10.50,10.50,10.50,10.50,600,6.44777
2000-04-06,9.625,10.50,9.625,10.50,4900,6.44777
