Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,15.50,16.50,14.75,16.00,38500,8.63067
2000-01-04,15.75,16.00,14.75,15.1875,27700,8.19239
2000-01-05,15.125,15.875,15.00,15.5625,23400,8.39467
2000-01-06,15.375,15.4375,15.00,15.00,4300,8.09125
2000-01-07,15.375,15.9375,15.25,15.75,15600,8.4958
2000-01-10,15.75,15.75,15.25,15.375,11800,8.29353
2000-01-11,15.25,15.375,14.75,14.75,18900,7.95640
2000-01-12,15.00,15.00,14.75,14.75,13300,7.95640
2000-01-13,14.75,14.875,14.75,14.75,12400,7.95640
2000-01-14,15.00,15.00,14.75,14.75,20600,7.95640
2000-01-18,14.625,15.125,14.625,15.125,19100,8.15868
2000-01-19,15.25,15.375,15.125,15.3125,14100,8.25982
2000-01-20,15.375,15.375,14.625,14.625,7900,7.88897
2000-01-21,14.6875,14.875,14.625,14.625,10500,7.88897
2000-01-24,14.75,14.9375,14.125,14.125,9100,7.61926
2000-01-25,14.25,15.00,14.25,14.5625,12600,7.85526
2000-01-26,14.25,15.00,14.25,15.00,200,8.09125
2000-01-27,14.50,14.50,13.75,13.75,10900,7.41698
2000-01-28,14.00,14.00,13.875,13.875,3300,7.48441
2000-01-31,14.00,14.00,13.75,14.00,30100,7.5518
2000-02-01,14.75,15.00,13.50,13.50,19900,7.28213
2000-02-02,13.375,13.75,13.375,13.60938,19000,7.34113
2000-02-03,14.0625,14.0625,13.375,13.50,53900,7.28213
2000-02-04,13.75,13.75,13.4375,13.75,3700,7.41698
2000-02-07,13.75,13.75,13.6875,13.75,8200,7.41698
2000-02-08,13.50,13.75,13.50,13.51562,26900,7.29055
2000-02-09,13.75,13.75,13.25,13.25,26200,7.14727
2000-02-10,13.75,13.75,13.25,13.50,10200,7.28213
2000-02-11,13.50,13.75,13.25,13.75,9800,7.41698
2000-02-14,13.50,13.75,13.50,13.625,9300,7.34955
2000-02-15,13.75,14.375,13.625,14.34375,11800,7.73726
2000-02-16,14.3125,14.3125,13.50,13.75,15700,7.41698
2000-02-17,13.50,14.125,13.50,14.00,7400,7.5518
2000-02-18,14.125,14.125,13.00,13.25,15400,7.14727
2000-02-22,13.25,13.25,13.00,13.1875,11100,7.11356
2000-02-23,13.1875,13.625,12.875,13.25,9300,7.14727
2000-02-24,12.875,13.00,11.375,12.1875,22300,6.57414
2000-02-25,12.125,12.50,12.125,12.1875,30700,6.57414
2000-02-28,12.1875,12.25,11.75,11.875,8200,6.49619
2000-02-29,11.75,13.00,11.75,13.00,30900,7.11162
2000-03-01,12.625,13.25,12.00,12.75,14800,6.97485
2000-03-02,12.00,15.875,12.00,15.875,63900,8.68438
2000-03-03,15.00,15.375,13.75,14.00,29600,7.65866
2000-03-06,13.625,14.125,13.50,13.9375,11600,7.62447
2000-03-07,13.375,14.1875,13.375,13.50,26100,7.38514
2000-03-08,13.75,13.75,13.1875,13.625,29500,7.45352
2000-03-09,13.1875,14.00,13.1875,14.00,10300,7.65866
2000-03-10,13.96875,14.00,13.25,13.75,42500,7.52190
2000-03-13,13.125,13.125,12.625,12.75,9200,6.97485
2000-03-14,12.9375,13.50,12.3125,12.75,10800,6.97485
2000-03-15,13.50,14.00,12.75,13.0625,29900,7.14581
2000-03-16,14.00,14.25,13.07812,14.25,24400,7.7954
2000-03-17,14.25,15.375,13.375,15.375,76600,8.41085
2000-03-20,15.1875,15.1875,14.75,14.75,17300,8.06895
2000-03-21,14.875,14.875,14.00,14.00,6600,7.65866
2000-03-22,13.75,15.00,13.625,15.00,6000,8.20571
