Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,25.25,25.25,24.50,24.50,1800,11.524
2000-01-12,23.00,23.25,23.00,23.25,1000,10.936
2000-01-13,23.00,23.00,23.00,23.00,600,10.819
2000-01-24,24.00,24.00,24.00,24.00,200,11.289
2000-01-25,24.00,24.00,24.00,24.00,200,11.289
2000-01-26,23.88,25.00,23.875,24.50,4000,11.524
2000-02-16,24.25,24.25,24.00,24.00,1000,11.289
2000-03-06,23.50,23.50,23.50,23.50,200,11.054
2000-03-13,23.50,23.50,23.50,23.50,400,11.054
2000-03-14,23.00,23.00,23.00,23.00,200,10.819
2000-03-15,22.00,22.00,22.00,22.00,200,10.348
2000-03-16,22.00,22.00,20.00,20.00,700,9.40
2000-03-17,22.00,23.00,22.00,23.00,300,10.819
2000-03-29,18.125,18.125,18.125,18.125,400,8.59
2000-03-31,19.875,19.875,19.875,19.875,400,9.427
2000-04-03,21.375,21.375,21.375,21.375,400,10.138
2000-04-04,20.00,20.00,20.00,20.00,200,9.486
2000-04-05,20.625,20.625,18.125,18.125,400,8.59
2000-04-06,20.50,20.50,20.50,20.50,400,9.723
2000-04-11,18.25,19.75,18.25,19.75,3000,9.367
2000-04-13,21.00,21.00,21.00,21.00,100,9.960
2000-04-20,20.00,20.00,19.625,19.625,600,9.308
2000-04-24,19.625,19.625,19.625,19.625,200,9.308
2000-04-25,19.00,19.75,19.00,19.75,2600,9.367
2000-04-26,19.00,19.00,19.00,19.00,200,9.012
2000-05-01,19.00,19.00,19.00,19.00,300,9.012
2000-05-02,21.50,21.50,21.50,21.50,100,10.197
2000-05-08,21.50,21.50,19.00,19.00,600,9.012
2000-05-09,19.00,19.00,19.00,19.00,1000,9.012
2000-05-10,19.75,19.75,19.75,19.75,1000,9.367
2000-06-02,19.50,19.50,19.50,19.50,200,9.249
2000-06-05,19.50,20.00,19.50,20.00,800,9.486
2000-06-13,19.00,19.00,19.00,19.00,1600,9.012
2000-06-16,19.00,21.00,19.00,21.00,4100,9.960
2000-06-19,21.00,21.00,21.00,21.00,300,9.960
2000-06-28,19.75,19.75,19.75,19.75,2000,9.453
2000-07-31,19.75,19.75,19.625,19.625,1000,9.393
2000-08-18,19.00,19.75,19.00,19.75,2200,9.453
2000-08-24,19.00,19.00,19.00,19.00,5100,9.094
2000-08-25,19.75,19.75,19.75,19.75,1000,9.453
2000-08-29,18.25,18.25,18.25,18.25,200,8.735
2000-09-08,19.00,19.00,18.25,18.25,500,8.735
2000-09-11,18.00,18.00,18.00,18.00,1200,8.615
2000-09-12,18.00,18.00,18.00,18.00,600,8.615
2000-09-13,17.13,17.375,17.125,17.375,1100,8.316
2000-09-21,17.00,17.00,17.00,17.00,200,8.13
2000-09-22,17.00,18.50,17.00,18.50,300,8.85
2000-09-27,17.00,17.00,16.125,16.75,1000,8.100
2000-10-02,16.00,16.00,16.00,16.00,100,7.737
2000-10-06,17.00,17.00,17.00,17.00,100,8.221
2000-10-13,16.25,16.50,16.25,16.50,600,7.979
2000-10-24,15.25,15.25,15.25,15.25,200,7.375
2000-10-31,17.00,17.00,17.00,17.00,100,8.221
2000-11-07,16.00,16.00,16.00,16.00,100,7.737
2000-11-08,16.00,16.00,16.00,16.00,100,7.737
2000-11-13,17.50,17.50,17.375,17.375,1000,8.402
2000-11-14,17.50,17.50,17.375,17.375,1600,8.402
2000-11-16,17.25,17.25,17.25,17.25,500,8.342
2000-11-29,17.375,17.375,17.375,17.375,700,8.402
2000-12-05,17.63,18.25,17.625,18.25,1200,8.82
2000-12-13,17.625,17.625,16.25,16.25,1600,7.858
2000-12-14,17.50,17.50,17.25,17.25,500,8.342
2000-12-15,17.00,17.25,17.00,17.25,800,8.342
2000-12-26,17.25,17.25,17.25,17.25,100,8.342
2000-12-27,17.25,17.25,17.25,17.25,100,8.435
2000-12-28,16.25,16.25,16.25,16.25,1200,7.946
2000-12-29,16.25,16.25,16.25,16.25,3600,7.946
2001-01-02,17.50,17.50,17.125,17.50,2000,8.557
2001-01-03,17.25,17.25,17.25,17.25,1000,8.435
2001-01-04,17.25,17.25,17.25,17.25,000,8.435
2001-01-05,17.25,17.25,17.25,17.25,000,8.435
2001-01-08,17.25,17.25,17.25,17.25,000,8.435
2001-01-09,17.25,17.25,17.25,17.25,000,8.435
2001-01-10,17.25,17.25,17.25,17.25,000,8.435
2001-01-11,17.25,17.25,17.25,17.25,000,8.435
2001-01-12,17.25,17.25,17.25,17.25,000,8.435
2001-01-16,17.25,17.25,17.25,17.25,000,8.435
2001-01-17,17.25,17.25,17.25,17.25,000,8.435
2001-01-18,17.25,17.25,17.25,17.25,000,8.435
2001-01-19,17.25,17.25,17.25,17.25,000,8.435
2001-01-22,17.25,17.25,17.25,17.25,000,8.435
