Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,7.9375,7.9375,7.8125,7.875,26500,3.28713
2000-01-04,7.8125,8.00,7.8125,7.875,54500,3.28713
2000-01-05,8.00,8.00,7.875,8.00,67800,3.3393
2000-01-06,7.9375,8.00,7.9375,8.00,9900,3.3393
2000-01-07,7.9375,8.0625,7.9375,8.00,9900,3.3393
2000-01-10,7.9375,8.0625,7.9375,8.00,19000,3.3393
2000-01-11,8.00,8.00,7.9375,7.9375,45000,3.31322
2000-01-12,7.9375,7.9375,7.8125,7.875,21800,3.30461
2000-01-13,7.875,7.9375,7.8125,7.8125,23200,3.27839
2000-01-14,7.9375,7.9375,7.8125,7.8125,36700,3.27839
2000-01-18,7.8125,7.875,7.6875,7.8125,42300,3.27839
2000-01-19,7.75,7.75,7.625,7.6875,45000,3.22593
2000-01-20,7.6875,7.75,7.5625,7.6875,40400,3.22593
2000-01-21,7.625,7.75,7.625,7.75,63600,3.25216
2000-01-24,7.6875,7.8125,7.6875,7.75,83400,3.25216
2000-01-25,7.75,7.875,7.75,7.75,41500,3.25216
2000-01-26,7.875,8.00,7.8125,7.9375,46000,3.33084
2000-01-27,7.75,7.875,7.75,7.875,74900,3.30461
2000-01-28,7.75,7.8125,7.75,7.75,36800,3.25216
2000-01-31,7.75,7.875,7.6875,7.875,48900,3.30461
2000-02-01,7.8125,7.875,7.75,7.875,60500,3.30461
2000-02-02,8.00,8.1875,7.9375,8.1875,58500,3.43575
2000-02-03,8.125,8.25,8.125,8.25,51900,3.46198
2000-02-04,8.1875,8.375,8.1875,8.25,36400,3.46198
2000-02-07,8.25,8.4375,8.25,8.3125,16000,3.48820
2000-02-08,8.375,8.4375,8.3125,8.375,46900,3.51443
2000-02-09,8.375,8.4375,8.375,8.375,22200,3.51443
2000-02-10,8.4375,8.4375,8.3125,8.4375,24600,3.54066
2000-02-11,8.3125,8.4375,8.25,8.375,27700,3.53201
2000-02-14,8.4375,8.4375,8.1875,8.4375,54000,3.55837
2000-02-15,8.3125,8.3125,8.1875,8.3125,15200,3.50565
2000-02-16,8.3125,8.375,8.25,8.375,49500,3.53201
2000-02-17,8.3125,8.375,8.25,8.25,8100,3.47930
2000-02-18,8.25,8.4375,8.25,8.25,72600,3.47930
2000-02-22,8.25,8.4375,8.25,8.3125,14900,3.50565
2000-02-23,8.3125,8.4375,8.3125,8.3125,35700,3.50565
2000-02-24,8.25,8.3125,8.25,8.25,25800,3.47930
2000-02-25,8.3125,8.3125,8.0625,8.0625,23000,3.40022
2000-02-28,8.0625,8.125,8.00,8.0625,44400,3.40022
2000-02-29,8.125,8.1875,8.0625,8.125,54600,3.42658
2000-03-01,8.25,8.25,8.125,8.25,51500,3.47930
2000-03-02,8.4375,8.50,8.25,8.3125,28400,3.50565
2000-03-03,8.3125,8.375,8.3125,8.375,30900,3.53201
2000-03-06,8.3125,8.4375,8.25,8.3125,61000,3.50565
2000-03-07,8.375,8.50,8.3125,8.375,35000,3.53201
