Date,Open,High,Low,Close,Volume,Adj Clos
2003-03-31,15.01,15.01,15.00,15.01,91300,2.98998
2003-04-01,15.01,15.01,15.00,15.01,118700,2.98998
2003-04-02,15.01,15.04,15.00,15.03,98700,2.99396
2003-04-03,15.00,15.04,15.00,15.04,74000,2.99595
2003-04-04,15.04,15.05,15.02,15.04,73600,2.99595
2003-04-07,15.04,15.06,15.00,15.04,111200,2.99595
2003-04-08,15.02,15.05,15.00,15.01,103900,2.98998
2003-04-09,15.05,15.05,15.01,15.03,77600,2.99396
2003-04-10,15.03,15.10,15.02,15.05,76100,2.99794
2003-04-11,15.08,15.09,15.02,15.06,66100,2.99994
2003-04-14,15.07,15.09,15.02,15.04,62500,2.99595
2003-04-15,15.07,15.09,15.03,15.08,94500,3.00392
2003-04-16,15.05,15.09,15.02,15.06,63300,2.99994
2003-04-17,15.08,15.12,15.02,15.10,81800,3.00790
2003-04-21,15.15,15.18,15.04,15.14,79600,3.01587
2003-04-22,15.14,15.14,15.02,15.04,72000,2.99595
2003-04-23,15.04,15.07,15.00,15.00,306300,2.98798
2003-04-24,15.04,15.07,15.00,15.00,171800,2.98798
2003-04-25,15.01,15.10,15.00,15.02,131400,2.99197
2003-04-28,15.00,15.02,15.00,15.02,163900,2.99197
2003-04-29,15.00,15.02,15.00,15.00,104000,2.98798
2003-04-30,15.00,15.08,15.00,15.08,479600,3.00392
2003-05-01,15.08,15.09,15.04,15.07,132300,3.00193
2003-05-02,15.09,15.10,15.04,15.10,115000,3.00790
2003-05-05,15.10,15.11,15.04,15.06,92100,2.99994
2003-05-06,15.06,15.09,15.01,15.02,104800,2.99197
2003-05-07,14.98,14.98,14.85,14.88,637500,2.96408
2003-05-08,14.88,14.95,14.88,14.93,158000,2.97404
2003-05-09,14.90,14.99,14.90,14.99,142600,2.98599
2003-05-12,14.99,15.00,14.80,14.91,130400,2.97006
2003-05-13,14.97,15.00,14.86,15.00,264800,2.98798
2003-05-14,15.00,15.05,14.95,15.02,161800,2.99197
2003-05-15,15.04,15.12,15.00,15.12,192700,3.01189
2003-05-16,15.12,15.17,14.95,15.15,192900,3.01786
2003-05-19,15.15,15.18,15.03,15.12,230200,3.01189
2003-05-20,15.09,15.15,15.07,15.14,230800,3.01587
2003-05-21,15.00,15.05,14.91,15.02,512600,3.01688
2003-05-22,15.05,15.08,14.96,15.00,298900,3.01286
2003-05-23,14.98,15.01,14.96,14.99,146200,3.01085
2003-05-27,14.97,15.01,14.60,14.81,342300,2.97470
2003-05-28,14.89,15.00,14.81,14.93,174200,2.99880
2003-05-29,15.00,15.10,14.90,14.98,185400,3.00884
2003-05-30,15.00,15.06,14.91,15.00,169200,3.01286
2003-06-02,15.00,15.10,15.00,15.06,301000,3.02491
2003-06-03,15.10,15.24,15.03,15.22,259400,3.05705
2003-06-04,15.24,15.65,15.18,15.38,253700,3.0891
2003-06-05,15.35,15.35,15.22,15.24,237900,3.06106
2003-06-06,15.30,15.43,15.20,15.34,276400,3.08115
2003-06-09,15.20,15.43,15.20,15.33,179800,3.07914
2003-06-10,15.40,15.48,15.25,15.40,260900,3.09320
2003-06-11,15.21,15.37,15.21,15.29,510700,3.09624
2003-06-12,15.25,15.37,15.03,15.22,219900,3.08206
2003-06-13,15.20,15.43,15.20,15.30,228000,3.09826
2003-06-16,15.20,15.49,15.20,15.35,195600,3.10839
2003-06-17,15.28,15.40,15.28,15.39,282000,3.11649
2003-06-18,15.29,15.39,15.11,15.25,313300,3.08814
2003-06-19,15.25,15.30,15.06,15.17,249900,3.07194
2003-06-20,15.25,15.34,15.10,15.10,173800,3.05776
2003-06-23,15.06,15.20,14.90,15.01,205500,3.03954
2003-06-24,15.05,15.15,14.93,15.01,176100,3.03954
2003-06-25,15.00,15.14,14.96,15.01,212500,3.03954
2003-06-26,15.00,15.10,14.88,14.97,189200,3.03144
2003-06-27,15.00,15.06,14.95,14.99,187600,3.03549
