Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-04,483.00,488.60,476.00,476.00,300400,1090.991
2000-01-05,472.50,472.50,455.00,459.20,270600,1052.486
2000-01-06,469.00,469.00,447.30,447.30,110800,1025.211
2000-01-07,448.00,483.00,448.00,448.00,260700,1026.815
2000-01-10,472.50,521.50,472.50,511.00,419000,1171.211
2000-01-11,511.00,532.00,507.50,521.50,362200,1195.277
2000-01-12,521.50,546.00,518.00,521.50,516500,1195.277
2000-01-13,518.00,521.50,507.50,518.00,264200,1187.255
2000-01-14,525.00,539.00,521.50,538.30,213400,1233.783
2000-01-17,539.00,560.00,539.00,547.40,385100,1254.640
2000-01-18,547.40,560.00,542.50,555.80,273900,1273.893
2000-01-19,553.00,555.80,542.50,546.00,263900,1251.431
2000-01-20,546.00,549.50,541.10,548.10,196100,1256.24
2000-01-21,548.80,555.10,543.90,548.80,300000,1257.849
2000-01-24,548.80,548.80,525.00,534.80,86000,1225.761
2000-01-25,528.50,532.00,521.50,525.00,137700,1203.299
2000-01-26,525.00,532.00,500.50,507.50,119200,1163.189
2000-01-27,500.50,521.50,500.50,507.50,134300,1163.189
2000-01-28,493.50,493.50,486.50,489.30,140800,1121.475
2000-01-31,489.30,503.30,472.50,498.40,167900,1142.332
2000-02-01,500.50,535.50,500.50,500.50,213700,1147.145
2000-02-02,539.00,548.10,528.50,528.50,314700,1211.321
2000-02-03,538.30,545.30,530.60,545.30,140700,1249.827
2000-02-04,546.00,549.50,527.80,527.80,144000,1209.717
2000-02-07,535.50,553.00,535.50,542.50,161700,1243.409
2000-02-08,539.00,542.50,532.00,539.70,149800,1236.992
2000-02-09,539.70,546.00,539.70,543.90,49200,1246.618
2000-02-10,539.00,539.00,532.00,532.70,193100,1220.948
2000-02-11,532.70,535.50,507.50,521.50,164700,1195.277
2000-02-14,511.00,521.50,501.90,504.00,201700,1155.167
2000-02-15,504.00,504.00,490.00,490.00,331200,1123.079
2000-02-16,495.60,500.50,469.00,483.00,264500,1107.035
2000-02-17,490.00,518.00,472.50,507.50,207300,1163.189
2000-02-18,507.50,511.00,504.00,504.00,159000,1155.167
2000-02-21,504.00,506.10,490.00,504.00,107400,1155.167
2000-02-22,490.00,501.90,465.50,490.00,135800,1123.079
2000-02-23,490.00,494.20,484.40,486.50,216500,1115.057
2000-02-24,486.50,490.00,486.50,489.30,214500,1121.475
2000-02-25,486.50,486.50,462.00,486.50,379500,1115.057
2000-02-28,483.00,486.50,472.50,477.40,202100,1094.200
2000-02-29,479.50,483.00,469.00,469.00,347900,1074.947
2000-03-01,472.50,476.70,466.90,469.00,346000,1074.947
2000-03-02,472.50,472.50,442.40,450.10,339500,1031.62
2000-03-03,444.50,458.50,434.00,452.20,445200,1036.442
2000-03-06,455.00,465.50,455.00,458.50,206200,1050.881
2000-03-07,451.50,462.00,451.50,451.50,225200,1034.837
2000-03-08,458.50,479.50,458.50,472.50,340200,1082.969
2000-03-09,472.50,476.00,468.30,469.00,187500,1074.947
2000-03-10,473.90,476.00,455.00,469.00,79300,1074.947
2000-03-13,469.00,469.00,469.00,469.00,000,1090.57
2000-03-14,453.60,464.80,453.60,455.00,211900,1058.019
2000-03-15,455.00,459.90,448.00,457.10,214500,1062.902
2000-03-16,458.50,459.90,446.60,446.60,596200,1038.486
2000-03-17,462.00,465.50,445.90,445.90,198200,1036.859
2000-03-20,444.50,448.00,437.50,445.20,370400,1035.231
2000-03-21,445.20,445.20,445.20,445.20,000,1035.231
2000-03-22,446.60,475.30,445.90,474.60,212600,1103.595
2000-03-23,475.30,476.00,469.00,476.00,238400,1106.851
2000-03-24,476.00,507.50,476.00,500.50,72400,1163.821
2000-03-27,500.50,513.80,500.50,511.00,273600,1188.237
2000-03-28,504.00,506.10,486.50,486.50,185300,1131.26
2000-03-29,486.50,486.50,478.80,483.00,129200,1123.128
2000-03-30,481.60,482.30,478.80,480.20,309700,1116.617
2000-03-31,480.20,486.50,466.20,466.20,246500,1084.063
2000-04-03,469.00,479.50,469.00,469.00,198800,1090.57
2000-04-04,479.50,486.50,475.30,475.30,198800,1105.223
2000-04-05,476.00,478.10,454.30,454.30,150500,1056.391
2000-04-06,458.50,471.10,451.50,451.50,290900,1049.880
2000-04-07,472.50,479.50,469.70,469.70,81000,1092.201
2000-04-10,469.00,469.00,458.50,458.50,98000,1066.158
2000-04-11,455.00,455.00,441.00,441.00,131900,1025.465
2000-04-12,444.50,451.50,426.30,426.30,174400,991.282
2000-04-13,427.00,427.00,406.00,406.00,341300,944.07
2000-04-14,420.00,420.00,394.10,394.10,184700,916.407
2000-04-17,388.50,388.50,360.50,360.50,222200,838.27
2000-04-18,385.00,412.30,385.00,385.00,667500,895.247
2000-04-19,429.10,441.00,420.00,420.00,821200,976.633
2000-04-20,440.30,449.40,440.30,440.30,736500,1023.837
2000-04-21,440.30,440.30,440.30,440.30,000,1023.837
2000-04-24,440.30,440.30,440.30,440.30,000,1023.837
2000-04-25,434.00,464.10,434.00,434.00,337800,1009.187
2000-04-26,465.50,476.00,462.00,462.00,350300,1074.296
2000-04-27,462.00,462.00,462.00,462.00,000,1074.296
2000-04-28,465.50,469.00,446.60,446.60,319700,1038.486
2000-05-01,446.60,446.60,446.60,446.60,000,1038.486
2000-05-02,451.50,451.50,434.00,434.00,257700,1009.187
2000-05-03,434.00,434.00,430.50,430.50,99800,1001.049
2000-05-04,427.00,430.50,427.00,427.00,112100,992.910
2000-05-05,427.00,427.00,399.00,399.00,374500,927.801
2000-05-08,413.00,420.00,402.50,402.50,129300,935.940
2000-05-09,402.50,402.50,402.50,402.50,000,935.940
2000-05-10,409.50,418.60,392.00,392.00,537900,911.524
2000-05-11,399.00,413.00,399.00,399.00,258700,927.801
2000-05-12,413.00,413.00,402.50,402.50,235300,935.940
2000-05-15,409.50,420.00,409.50,409.50,169300,952.217
2000-05-16,418.60,430.50,417.20,417.20,155600,970.122
2000-05-17,426.30,439.60,425.60,425.60,125300,989.655
2000-05-18,434.00,437.50,427.00,437.50,110500,1017.326
2000-05-19,434.00,439.60,409.50,409.50,131200,952.217
2000-05-22,420.00,420.00,411.60,411.60,98200,957.100
2000-05-23,413.00,420.00,413.00,413.00,46600,960.356
2000-05-24,409.50,422.10,405.30,405.30,108000,942.451
2000-05-25,420.70,429.80,413.00,413.00,208200,960.356
2000-05-26,427.70,444.50,427.00,437.50,104600,1017.326
2000-05-29,441.00,448.00,441.00,441.00,98000,1025.465
2000-05-30,445.90,471.10,445.90,445.90,175200,1036.859
2000-05-31,472.50,476.00,458.50,458.50,322800,1066.158
2000-06-01,465.50,465.50,452.20,452.20,182900,1051.508
2000-06-02,458.50,469.00,458.50,458.50,86200,1066.158
2000-06-05,471.80,471.80,465.50,465.50,50400,1082.435
2000-06-06,466.90,479.50,466.20,466.20,178800,1084.063
2000-06-07,476.00,492.10,476.00,476.00,236800,1106.851
2000-06-08,497.00,497.00,482.30,482.30,1269400,1121.500
2000-06-09,479.50,490.00,479.50,479.50,388000,1114.989
2000-06-12,484.40,497.00,484.40,484.40,177800,1126.383
2000-06-13,490.00,493.50,486.50,486.50,312800,1131.26
2000-06-14,490.00,492.10,484.40,484.40,212800,1126.383
2000-06-15,490.70,495.60,490.00,490.00,341800,1139.405
2000-06-16,490.00,490.00,490.00,490.00,000,1139.405
2000-06-19,490.00,490.00,490.00,490.00,000,1139.405
2000-06-20,488.60,491.40,475.30,475.30,256700,1105.223
2000-06-21,483.00,486.50,465.50,465.50,531700,1082.435
2000-06-22,472.50,476.00,462.00,462.00,546600,1074.296
2000-06-23,462.70,462.70,451.50,451.50,413100,1049.880
2000-06-26,462.00,469.00,459.20,459.20,222700,1067.785
2000-06-27,469.00,469.70,464.10,464.10,373900,1079.1
2000-06-28,469.70,485.80,469.00,469.00,207400,1090.57
2000-06-29,485.10,499.10,481.60,481.60,311000,1119.87
2000-06-30,490.00,502.60,490.00,490.00,380000,1139.405
2000-07-03,498.40,500.50,497.00,497.00,117800,1155.682
2000-07-04,497.00,500.50,490.00,490.00,144100,1139.405
2000-07-05,497.00,518.00,497.00,497.00,254200,1155.682
2000-07-06,516.60,521.50,513.80,513.80,289600,1194.748
2000-07-07,513.80,513.80,513.80,513.80,000,1194.748
2000-07-10,514.50,525.00,514.50,514.50,32800,1196.375
2000-07-11,513.10,514.50,511.00,511.00,253300,1188.237
2000-07-12,514.50,521.50,514.50,514.50,198400,1196.375
2000-07-13,518.00,522.90,518.00,518.00,177900,1204.514
2000-07-14,519.40,520.10,518.00,518.00,200900,1204.514
2000-07-17,518.00,520.10,518.00,518.00,132900,1204.514
2000-07-18,518.00,520.10,517.30,517.30,123500,1202.886
2000-07-19,520.10,529.90,507.50,507.50,103600,1180.098
2000-07-20,528.50,528.50,521.50,521.50,175000,1212.653
2000-07-21,525.00,528.50,521.50,521.50,277600,1212.653
2000-07-24,521.50,521.50,521.50,521.50,000,1212.653
2000-07-25,520.10,520.10,517.30,517.30,98800,1202.886
2000-07-26,518.70,519.40,514.50,514.50,121500,1196.375
2000-07-27,514.50,514.50,514.50,514.50,000,1196.375
2000-07-28,514.50,517.30,508.20,508.20,57400,1181.726
2000-07-31,509.60,520.80,509.60,509.60,57700,1184.981
2000-08-01,521.50,521.50,514.50,514.50,72800,1196.375
2000-08-02,514.50,520.10,514.50,514.50,150800,1196.375
2000-08-03,514.50,518.00,511.00,511.00,221600,1188.237
