Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,46.50,46.50,45.25,46.0625,122600,13.37238
2000-01-04,45.8125,45.9375,45.4375,45.50,89000,13.20908
2000-01-05,45.6875,46.375,45.50,45.50,185400,13.20908
2000-01-06,45.9375,46.3125,45.9375,46.125,211600,13.39053
2000-01-07,46.00,46.75,45.6875,46.1875,185000,13.40867
2000-01-10,46.00,46.125,45.8125,46.125,310400,13.39053
2000-01-11,46.00,46.00,45.8125,46.00,120000,13.35424
2000-01-12,46.00,46.00,45.625,45.9375,146600,13.33609
2000-01-13,46.00,46.125,45.5625,46.0625,162800,13.37238
2000-01-14,45.875,45.875,44.875,44.875,281200,13.02764
2000-01-18,45.0625,45.4375,44.6875,45.00,224400,13.06393
2000-01-19,45.25,45.375,44.50,44.875,168800,13.02764
2000-01-20,44.75,44.9375,44.375,44.9375,144800,13.04578
2000-01-21,44.9375,45.125,44.6875,45.00,285600,13.06393
2000-01-24,44.75,45.1875,43.75,44.00,183800,12.77362
2000-01-25,44.1875,45.75,44.1875,44.625,364200,12.95506
2000-01-26,44.375,45.1875,44.0625,44.25,176600,12.84620
2000-01-27,44.375,44.4375,43.125,43.50,295600,12.62846
2000-01-28,43.6875,44.8125,43.3125,43.875,159000,12.73733
2000-01-31,43.875,44.75,43.875,44.5625,132600,12.93692
2000-02-01,44.5625,44.8125,43.875,44.625,71800,12.95506
2000-02-02,44.50,44.875,44.00,44.00,124800,12.77362
2000-02-03,44.25,45.125,44.25,45.0625,286000,13.08207
2000-02-04,44.875,45.125,43.25,43.75,129400,12.70104
2000-02-07,43.875,44.3125,43.0625,43.50,90400,12.62846
2000-02-08,43.625,44.3125,43.1875,43.5625,146200,12.64661
2000-02-09,43.3125,43.3125,41.625,42.0625,229000,12.21114
2000-02-10,42.0625,43.0625,42.00,42.5625,204800,12.35630
2000-02-11,42.5625,43.0625,41.75,42.00,100400,12.19300
2000-02-14,42.375,43.00,42.25,42.75,100000,12.41073
2000-02-15,42.75,43.75,42.6875,43.1875,215200,12.53774
2000-02-16,43.125,43.125,42.125,42.875,100200,12.44702
2000-02-17,42.6875,43.00,42.3125,42.6875,58600,12.39259
2000-02-18,42.50,42.50,41.375,41.50,108200,12.0478
2000-02-22,41.50,41.50,39.50,40.4375,237400,11.73939
2000-02-23,40.50,40.9375,40.3125,40.4375,235800,11.73939
2000-02-24,40.75,40.75,39.375,39.6875,110600,11.52166
2000-02-25,40.375,40.375,39.375,39.9375,96600,11.59424
2000-02-28,39.625,40.375,39.625,39.875,156200,11.57609
2000-02-29,39.875,41.00,39.8125,40.9375,310800,11.88455
2000-03-01,41.00,41.5625,40.9375,41.1875,203400,11.95712
2000-03-02,40.9375,41.3125,40.1875,41.3125,147400,11.99341
2000-03-03,41.3125,41.875,40.9375,41.4375,173000,12.02970
2000-03-06,41.1875,41.50,40.25,41.375,120400,12.01156
2000-03-07,41.0625,42.875,40.50,42.875,166600,12.44702
2000-03-08,42.625,42.625,41.5625,41.9375,121800,12.1748
2000-03-09,41.9375,41.9375,40.5625,41.1875,116400,11.95712
2000-03-10,41.00,41.00,40.1875,41.00,112800,11.90269
2000-03-13,40.5625,40.5625,40.125,40.25,95000,11.68496
2000-03-14,40.00,40.375,39.9375,40.00,120400,11.61238
2000-03-15,39.875,40.4375,39.6875,40.375,166800,11.72125
2000-03-16,40.3125,42.875,40.3125,42.125,185000,12.22929
2000-03-17,41.125,42.125,41.00,42.125,186400,12.22929
2000-03-20,42.375,43.00,42.0625,42.1875,101600,12.24743
2000-03-21,42.3125,42.875,41.9375,42.125,129000,12.22929
2000-03-22,42.00,42.125,41.125,41.4375,58000,12.02970
2000-03-23,41.0625,41.6875,41.0625,41.25,86200,11.97527
2000-03-24,41.00,41.00,40.0625,41.00,105400,11.90269
2000-03-27,40.75,40.875,40.375,40.75,84600,11.83011
2000-03-28,40.50,40.5625,39.875,39.875,84000,11.57609
2000-03-29,39.875,43.125,39.8125,42.50,1194000,12.48373
2000-03-30,42.5625,43.9375,42.375,42.75,179400,12.55717
2000-03-31,42.75,44.75,42.375,44.5625,322000,13.08956
2000-04-03,44.5625,44.5625,43.125,44.0625,235000,12.94269
2000-04-04,43.875,44.8125,43.8125,44.3125,220200,13.01613
2000-04-05,44.125,45.6875,44.125,45.50,413400,13.36494
2000-04-06,45.375,45.8125,45.125,45.75,274200,13.43837
2000-04-07,45.50,45.8125,45.00,45.8125,171000,13.45673
2000-04-10,45.4375,45.4375,44.75,45.1875,117200,13.2731
2000-04-11,45.625,45.625,44.50,44.6875,130000,13.12628
2000-04-12,44.9375,46.00,44.8125,45.375,139200,13.32822
2000-04-13,44.875,45.75,44.75,45.75,218800,13.43837
2000-04-14,46.1875,46.375,45.00,45.4375,286800,13.34658
2000-04-17,45.4375,46.3125,45.3125,45.75,363000,13.43837
2000-04-18,45.9375,46.25,45.4375,45.625,156400,13.40165
2000-04-19,45.4375,45.4375,44.1875,44.875,138200,13.18135
2000-04-20,45.375,45.625,44.8125,45.375,84800,13.32822
2000-04-24,45.125,46.3125,45.125,46.1875,126200,13.56688
2000-04-25,46.25,47.4375,46.1875,47.3125,158000,13.89733
2000-04-26,47.1875,47.5625,46.75,47.3125,209400,13.89733
2000-04-27,47.4375,48.00,46.5625,48.00,258400,14.0992
2000-04-28,48.00,48.0625,47.0625,47.4375,396000,13.93405
2000-05-01,47.5625,49.375,47.5625,48.4375,218400,14.22778
2000-05-02,48.1875,48.75,46.75,46.875,209600,13.76882
2000-05-03,47.00,47.8125,46.25,46.5625,127600,13.67703
2000-05-04,46.5625,49.00,46.5625,48.9375,187800,14.37465
2000-05-05,49.1875,49.25,48.50,49.0625,211600,14.41137
2000-05-08,48.9375,49.9375,48.9375,49.4375,133800,14.52152
2000-05-09,49.1875,49.50,48.8125,49.4375,149200,14.52152
2000-05-10,49.3125,50.1875,49.25,49.875,188000,14.65003
2000-05-11,50.1875,51.00,50.00,50.9375,225200,14.96212
2000-05-12,50.50,50.8125,49.00,49.625,178800,14.57659
2000-05-15,49.875,49.9375,49.25,49.9375,96800,14.66839
2000-05-16,50.1875,50.1875,49.25,49.25,91800,14.46644
2000-05-17,49.4375,49.4375,48.8125,49.4375,117200,14.52152
2000-05-18,49.25,49.6875,49.00,49.375,98200,14.50316
2000-05-19,49.0625,49.1875,48.375,48.50,138400,14.24614
2000-05-22,48.6875,49.4375,48.625,49.1875,107400,14.4480
2000-05-23,49.25,49.50,48.75,48.9375,82400,14.37465
2000-05-24,49.125,49.50,48.75,49.3125,132800,14.48480
2000-05-25,49.3125,49.50,48.875,49.3125,76200,14.48480
2000-05-26,49.3125,50.125,49.3125,49.9375,67000,14.66839
2000-05-30,50.1875,50.75,50.0625,50.5625,89800,14.85197
2000-05-31,50.6875,51.875,50.1875,51.8125,272800,15.21914
2000-06-01,51.8125,51.875,50.9375,51.875,224800,15.23750
2000-06-02,51.75,51.9375,50.4375,50.625,98200,14.87033
2000-06-05,50.25,50.25,48.375,48.4375,239000,14.22778
2000-06-06,48.6875,50.125,48.5625,49.50,212200,14.53988
2000-06-07,49.75,49.9375,48.375,49.3125,176000,14.48480
2000-06-08,49.50,49.50,48.75,49.125,82200,14.42973
2000-06-09,49.25,49.625,48.875,49.50,94600,14.53988
2000-06-12,49.625,50.125,49.50,49.875,99400,14.65003
2000-06-13,49.875,50.50,49.0625,49.625,105200,14.57659
2000-06-14,49.375,49.6875,49.00,49.375,152400,14.50316
2000-06-15,49.125,50.3125,49.125,50.1875,183400,14.74182
2000-06-16,49.8125,50.9375,49.8125,50.25,161400,14.76018
2000-06-19,50.375,50.75,50.0625,50.5625,146600,14.85197
2000-06-20,50.50,50.9375,50.0625,50.9375,158800,14.96212
2000-06-21,50.6875,51.0625,50.375,50.625,53600,14.87033
2000-06-22,50.625,50.9375,49.3125,49.9375,151400,14.66839
2000-06-23,50.125,50.3125,49.75,49.875,47400,14.65003
2000-06-26,50.125,50.25,49.9375,50.25,137800,14.76018
2000-06-27,50.0625,50.25,49.0625,49.50,138400,14.53988
2000-06-28,49.25,50.6875,49.00,50.6875,363000,15.03448
2000-06-29,50.50,51.50,49.75,49.875,163600,14.79348
2000-06-30,49.9375,50.4375,48.00,48.796879,445800,14.47370
2000-07-03,48.875,50.25,48.8125,49.75,62600,14.75640
2000-07-05,50.00,50.125,49.00,49.375,177800,14.64517
2000-07-06,49.3125,50.4375,49.3125,49.4375,104200,14.66371
2000-07-07,49.4375,49.8125,48.6875,49.125,113800,14.57102
2000-07-10,49.00,50.00,49.00,49.875,70000,14.79348
2000-07-11,49.625,50.875,49.625,50.875,102600,15.09009
2000-07-12,50.875,51.25,50.4375,50.6875,153800,15.03448
2000-07-13,50.5625,52.375,50.1875,51.1875,217600,15.18278
2000-07-14,51.25,51.4375,50.656239,51.25,101600,15.20132
2000-07-17,51.25,51.4375,50.6875,51.1875,105400,15.18278
2000-07-18,51.4375,51.875,51.1875,51.5625,147800,15.29401
2000-07-19,51.5625,51.6875,50.6875,50.875,59600,15.09009
2000-07-20,50.875,51.125,50.75,51.0625,82800,15.1457
2000-07-21,51.125,51.125,49.875,49.9375,97400,14.81202
2000-07-24,49.9375,50.50,49.125,49.4375,227000,14.66371
2000-07-25,49.1875,49.5625,48.75,49.125,144800,14.57102
2000-07-26,49.00,49.25,48.4375,48.875,135400,14.49687
2000-07-27,48.375,50.1875,48.125,49.4375,181200,14.66371
2000-07-28,49.6875,49.9375,48.75,49.375,61400,14.64517
2000-07-31,49.1875,49.625,49.1875,49.3125,67000,14.62664
2000-08-01,49.50,50.125,49.50,50.00,100200,14.83056
2000-08-02,50.00,50.875,49.8125,50.3125,133800,14.92325
2000-08-03,50.4375,52.00,50.00,51.75,265600,15.34963
2000-08-04,51.625,52.3125,51.125,51.9375,103800,15.40524
2000-08-07,52.4375,52.75,51.25,51.578121,299400,15.29864
2000-08-08,51.625,52.375,51.3125,51.875,98600,15.38670
2000-08-09,52.00,52.0625,50.875,51.50,368000,15.27547
2000-08-10,51.625,52.4375,51.3125,52.015621,167600,15.42841
2000-08-11,51.75,52.1875,51.625,51.9375,112600,15.40524
2000-08-14,51.9375,52.3125,51.6875,52.125,142200,15.4608
2000-08-15,52.00,52.50,51.375,51.4375,251400,15.2569
2000-08-16,51.8125,52.1875,51.50,52.0625,127400,15.44232
2000-08-17,52.00,52.75,52.00,52.5625,83800,15.59062
2000-08-18,52.5625,52.5625,51.9375,51.9375,169000,15.40524
2000-08-21,51.9375,51.9375,51.25,51.5625,105800,15.29401
2000-08-22,51.5625,51.625,50.875,51.0625,110600,15.1457
