Date,Open,High,Low,Close,Volume,Adj Clos
2011-05-16,20.76,21.049999,20.75,20.889999,57000,13.41840
2011-05-17,20.879999,21.00,20.60,21.00,56500,13.48906
2011-05-18,21.049999,21.290001,20.91,21.290001,96300,13.67534
2011-05-19,21.200001,21.85,21.17,21.75,137700,13.97081
2011-05-20,22.00,22.00,21.299999,21.68,67200,13.92585
2011-05-23,21.280001,21.59,21.129999,21.459999,50100,13.78453
2011-05-24,21.60,21.68,21.00,21.200001,56400,13.6175
2011-05-25,21.10,21.360001,20.40,20.74,60100,13.32205
2011-05-26,20.879999,20.889999,20.52,20.690001,38300,13.28993
2011-05-27,20.50,20.60,20.299999,20.50,20200,13.16789
2011-05-31,20.50,20.98,20.50,20.940001,32900,13.45052
2011-06-01,20.75,21.049999,20.60,20.629999,33500,13.25139
2011-06-02,20.90,20.90,20.629999,20.76,16800,13.33490
2011-06-03,20.860001,20.860001,20.27,20.290001,44300,13.03300
2011-06-06,20.27,20.27,19.34,19.370001,56600,12.44205
2011-06-07,19.40,19.43,18.34,18.75,116000,12.04380
2011-06-08,18.690001,19.49,18.40,19.49,29200,12.51913
2011-06-09,19.360001,20.35,19.360001,20.110001,16600,12.91738
2011-06-10,19.90,20.48,19.50,20.15,25000,12.94307
2011-06-13,20.200001,20.40,19.139999,19.889999,23600,12.77606
2011-06-14,19.75,20.200001,19.700001,20.120001,29400,12.92380
2011-06-15,20.10,20.110001,19.08,19.200001,13900,12.33285
2011-06-16,19.40,19.40,18.60,18.620001,17700,11.96030
2011-06-17,18.75,18.790001,18.60,18.65,18000,11.97957
2011-06-20,18.75,18.969999,18.60,18.90,27200,12.14015
2011-06-21,19.200001,19.99,19.200001,19.99,54600,12.84030
2011-06-22,19.85,20.25,19.42,19.99,55200,12.84030
2011-06-23,20.00,20.00,19.27,19.58,35300,12.57694
2011-06-24,19.700001,20.00,19.559999,19.719999,11400,12.66687
2011-06-27,19.700001,20.24,19.700001,19.950001,18400,12.8146
2011-06-28,19.90,20.49,19.51,20.00,39600,12.84672
2011-06-29,20.15,20.49,19.870001,20.49,26500,13.16147
2011-06-30,20.25,20.49,19.68,19.940001,41500,12.80818
2011-07-01,19.85,20.15,19.75,20.00,11300,12.84672
2011-07-05,20.00,20.34,20.00,20.34,8300,13.06512
2011-07-06,20.48,20.49,20.049999,20.049999,7300,12.87884
