Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,14.875,15.625,14.5625,14.625,145600,4.73746
2000-01-04,14.6875,15.00,14.50,14.875,129100,4.81844
2000-01-05,14.9375,15.5625,14.875,15.50,135100,5.02090
2000-01-06,15.3125,15.625,15.3125,15.5625,104800,5.04114
2000-01-07,15.6875,16.1875,15.625,15.8125,116700,5.12212
2000-01-10,15.875,16.125,15.8125,16.00,108500,5.18286
2000-01-11,16.00,16.00,15.5625,15.875,43300,5.14237
2000-01-12,15.75,15.75,15.50,15.5625,21800,5.04114
2000-01-13,15.4375,15.5625,15.1875,15.3125,30900,4.96016
2000-01-14,15.4375,16.25,15.25,15.9375,99000,5.1626
2000-01-18,15.8125,16.25,15.25,16.0625,123200,5.20311
2000-01-19,15.875,16.125,15.75,16.0625,51600,5.20311
2000-01-20,16.0625,16.0625,15.375,16.00,66600,5.18286
2000-01-21,15.8125,16.125,15.75,16.0625,50200,5.20311
2000-01-24,16.1875,16.1875,15.1875,15.25,73600,4.93991
2000-01-25,15.4375,16.0625,15.25,16.0625,103600,5.20311
2000-01-26,16.625,16.625,15.625,16.1875,148800,5.24360
2000-01-27,16.25,16.5625,16.0625,16.0625,47500,5.20311
2000-01-28,16.125,16.125,15.875,16.0625,109400,5.20311
2000-01-31,16.125,16.25,15.50,15.50,88300,5.02090
2000-02-01,16.00,16.00,15.5625,15.9375,159100,5.1626
2000-02-02,15.8125,16.00,15.50,15.6875,62700,5.08163
2000-02-03,15.625,16.00,15.50,15.9375,61300,5.1626
2000-02-04,15.6875,16.0625,15.625,15.625,133400,5.06139
2000-02-07,15.5625,15.875,15.5625,15.8125,46500,5.12212
2000-02-08,15.8125,16.00,15.5625,15.75,54600,5.10188
2000-02-09,15.5625,16.00,15.50,15.6875,62200,5.08163
2000-02-10,15.625,15.6875,15.25,15.50,67500,5.02090
2000-02-11,15.25,15.625,15.125,15.3125,80900,4.96016
2000-02-14,15.1875,15.375,14.6875,14.6875,118700,4.75770
2000-02-15,14.6875,14.875,14.375,14.875,383600,4.81844
2000-02-16,14.75,15.00,14.625,14.875,35400,4.81844
2000-02-17,14.9375,15.00,14.625,14.8125,150100,4.798
2000-02-18,14.75,14.875,14.50,14.75,29300,4.77795
2000-02-22,14.8125,14.8125,14.25,14.3125,169100,4.63623
2000-02-23,14.25,14.375,13.75,13.9375,83600,4.51476
2000-02-24,13.25,13.3125,12.00,12.875,262800,4.17058
2000-02-25,12.75,13.50,12.50,13.4375,178800,4.35279
2000-02-28,13.375,13.375,13.00,13.3125,135700,4.31230
2000-02-29,13.125,13.50,13.0625,13.3125,131300,4.31230
2000-03-01,13.3125,13.625,13.1875,13.625,70900,4.41353
2000-03-02,13.75,13.75,13.375,13.50,59100,4.37304
2000-03-03,13.375,13.50,13.00,13.0625,74500,4.23132
2000-03-06,12.75,12.8125,12.00,12.375,80700,4.00862
