Date,Open,High,Low,Close,Volume,Adj Clos
2009-04-28,15.00,15.00,14.21,15.00,105500,10.07582
2009-04-29,15.01,15.04,14.90,15.04,44300,10.10269
2009-04-30,15.00,15.00,14.98,15.00,13700,10.07582
2009-05-01,15.00,15.00,14.99,14.99,17100,10.06910
2009-05-04,15.00,15.00,14.99,14.99,6000,10.06910
2009-05-05,14.99,14.99,14.99,14.99,000,10.06910
2009-05-06,14.90,14.90,14.90,14.90,18700,10.0086
2009-05-07,14.90,14.90,14.90,14.90,1700,10.0086
2009-05-08,14.90,14.90,14.90,14.90,000,10.0086
2009-05-11,14.90,14.90,14.85,14.85,29500,9.97506
2009-05-12,14.85,14.85,14.28,14.85,4600,9.97506
2009-05-13,14.85,14.85,14.85,14.85,3000,9.97506
2009-05-14,14.94,15.00,14.94,15.00,3100,10.07582
2009-05-15,15.00,15.00,15.00,15.00,000,10.07582
2009-05-18,15.00,15.00,15.00,15.00,000,10.07582
2009-05-19,14.99,14.99,14.94,14.94,1100,10.03551
2009-05-20,15.02,15.02,15.02,15.02,400,10.08925
2009-05-21,15.05,15.05,15.05,15.05,700,10.10940
2009-05-22,15.05,15.05,15.05,15.05,700,10.10940
2009-05-26,15.05,15.05,15.00,15.05,3700,10.10940
2009-05-27,15.10,15.10,15.10,15.10,700,10.14299
2009-05-28,14.98,14.98,14.98,14.98,700,10.06238
2009-05-29,14.88,14.97,14.85,14.87,11100,9.98849
2009-06-01,14.87,14.93,14.86,14.93,8600,10.02880
2009-06-02,14.95,14.95,14.95,14.95,800,10.04223
2009-06-03,14.95,14.95,14.95,14.95,2200,10.04223
2009-06-04,14.90,14.90,14.90,14.90,300,10.0086
2009-06-05,15.02,15.04,15.02,15.04,2600,10.10269
2009-06-08,15.14,15.20,14.85,14.97,1800,10.05567
2009-06-09,14.97,14.97,14.97,14.97,000,10.05567
2009-06-10,15.90,15.90,14.99,15.04,6600,10.10269
2009-06-11,15.04,15.04,15.04,15.04,000,10.14586
2009-06-12,15.00,15.00,15.00,15.00,500,10.11888
2009-06-15,15.00,15.00,15.00,15.00,000,10.11888
2009-06-16,15.00,15.00,15.00,15.00,000,10.11888
2009-06-17,14.85,14.85,14.65,14.77,900,9.96372
2009-06-18,14.77,14.77,14.77,14.77,600,9.96372
2009-06-19,14.77,14.77,14.77,14.77,000,9.96372
2009-06-22,14.69,14.69,14.45,14.45,900,9.74785
2009-06-23,14.50,14.50,14.50,14.50,600,9.78158
2009-06-24,14.62,14.62,14.50,14.50,600,9.78158
2009-06-25,14.38,14.38,14.00,14.33,2500,9.66690
2009-06-26,14.21,14.40,14.09,14.25,3100,9.61293
2009-06-29,14.20,14.20,14.20,14.20,200,9.57920
2009-06-30,14.08,14.51,13.33,14.14,11600,9.53873
2009-07-01,14.31,14.31,13.58,13.91,1200,9.38357
2009-07-02,13.79,14.03,13.79,13.91,1700,9.38357
2009-07-06,13.79,14.48,13.79,14.00,4800,9.4442
2009-07-07,14.11,14.25,13.99,14.00,2700,9.4442
2009-07-08,13.66,14.16,13.51,14.16,2500,9.55222
2009-07-09,14.21,14.21,14.21,14.21,300,9.58595
2009-07-10,14.21,14.64,14.20,14.25,2900,9.61293
2009-07-13,14.30,14.79,14.20,14.55,14400,9.85959
2009-07-14,14.55,14.55,14.55,14.55,000,9.85959
2009-07-15,14.55,14.67,14.55,14.57,1800,9.8731
2009-07-16,14.79,14.94,14.74,14.94,1000,10.12387
2009-07-17,15.05,15.05,15.00,15.00,6600,10.16453
2009-07-20,15.00,15.00,14.11,14.84,3500,10.05611
2009-07-21,14.82,14.84,14.59,14.71,1800,9.96801
2009-07-22,14.59,14.59,14.15,14.57,900,9.8731
2009-07-23,14.50,14.50,14.50,14.50,1000,9.82571
2009-07-24,14.38,14.38,13.90,14.20,17400,9.62242
2009-07-27,14.11,14.16,14.11,14.16,400,9.59531
2009-07-28,14.00,14.11,14.00,14.11,2500,9.56143
2009-07-29,14.13,14.13,14.13,14.13,400,9.5749
2009-07-30,14.16,14.22,14.16,14.22,300,9.63597
2009-07-31,14.27,14.34,14.25,14.25,800,9.65630
2009-08-03,14.34,14.34,14.25,14.25,600,9.65630
2009-08-04,14.34,14.36,14.17,14.36,2200,9.73084
2009-08-05,14.03,14.25,13.91,14.00,7900,9.48689
2009-08-06,14.11,14.40,14.11,14.40,5600,9.75795
2009-08-07,14.46,14.46,14.00,14.20,4500,9.62242
2009-08-10,14.01,14.15,13.92,14.00,3900,9.48689
2009-08-11,14.20,14.20,13.92,14.00,10800,9.48689
2009-08-12,14.03,14.03,13.92,14.00,6200,9.53046
2009-08-13,14.30,14.30,13.95,14.15,5400,9.63257
2009-08-14,14.10,14.15,14.10,14.15,400,9.63257
2009-08-17,14.30,14.30,14.13,14.25,800,9.70065
2009-08-18,14.35,14.52,14.35,14.49,2400,9.86403
2009-08-19,14.55,14.55,14.20,14.50,1500,9.87083
2009-08-20,14.55,14.55,14.47,14.51,1000,9.87764
2009-08-21,14.60,14.60,14.55,14.55,600,9.90487
2009-08-24,14.61,14.61,14.51,14.52,1800,9.88445
2009-08-25,14.63,14.63,14.30,14.50,4400,9.87083
2009-08-26,14.53,14.53,14.21,14.38,4500,9.78914
2009-08-27,14.43,14.48,14.31,14.48,3400,9.85722
2009-08-28,14.49,14.49,14.28,14.28,7100,9.72107
2009-08-31,14.46,14.46,13.93,14.23,4200,9.68703
2009-09-01,14.33,14.41,14.10,14.41,6100,9.80957
2009-09-02,14.43,14.43,14.11,14.43,2100,9.82318
2009-09-03,14.48,14.50,14.16,14.31,9200,9.74149
2009-09-04,14.21,14.35,14.15,14.35,2200,9.76872
2009-09-08,14.06,14.31,13.81,14.20,8800,9.66661
2009-09-09,14.25,14.35,14.20,14.35,5100,9.76872
2009-09-10,14.44,14.50,14.39,14.45,5600,9.83680
2009-09-11,14.43,14.46,14.28,14.28,1500,9.76432
