Date,Open,High,Low,Close,Volume,Adj Clos
2007-07-23,6.70,6.70,6.70,6.70,100,0.0
2007-07-24,6.70,6.70,6.60,6.69,2500,0.0
2007-07-25,6.50,6.69,6.50,6.69,900,0.0
2007-07-26,6.50,6.65,6.50,6.65,800,0.0
2007-07-27,6.53,6.53,6.53,6.53,000,0.0
2007-07-30,6.40,6.40,6.40,6.40,000,0.0
2007-07-31,6.52,6.52,6.52,6.52,000,0.0
2007-08-01,6.57,6.57,6.57,6.57,000,0.0
2007-08-02,6.31,6.53,6.31,6.52,900,0.0
2007-08-03,6.23,6.43,6.23,6.43,000,0.0
2007-08-06,6.52,6.52,6.51,6.51,1000,0.0
2007-08-07,6.28,6.28,6.28,6.28,1000,0.0
2007-08-08,5.99,5.99,5.99,5.99,000,0.0
2007-08-09,5.84,5.86,5.84,5.86,100,0.0
2007-08-10,5.66,5.66,5.66,5.66,000,0.0
2007-08-13,5.53,5.53,5.53,5.53,000,0.0
2007-08-14,5.74,5.74,5.74,5.74,000,0.0
2007-08-15,5.69,5.69,5.69,5.69,000,0.0
2007-08-16,5.63,5.63,5.63,5.63,000,0.0
2007-08-17,5.58,5.58,5.58,5.58,1000,0.0
2007-08-20,5.36,5.36,5.36,5.36,000,0.0
2007-08-21,5.50,5.68,5.50,5.68,000,0.0
2007-08-22,5.68,5.68,5.68,5.68,000,0.0
2007-08-23,5.68,5.68,5.68,5.68,000,0.0
2007-08-24,5.71,5.71,5.68,5.68,200,0.0
2007-08-27,5.47,5.47,5.47,5.47,000,0.0
2007-08-28,5.48,5.48,5.48,5.48,000,0.0
2007-08-29,5.39,5.39,5.39,5.39,000,0.0
2007-08-30,5.40,5.40,5.40,5.40,000,0.0
2007-08-31,5.51,5.51,5.51,5.51,000,0.0
2007-09-03,5.53,6.15,5.53,6.15,2000,0.0
2007-09-04,5.55,5.77,5.55,5.77,400,0.0
2007-09-05,5.57,5.57,5.57,5.57,000,0.0
2007-09-06,5.56,5.56,5.56,5.56,000,0.0
2007-09-07,5.71,5.71,5.71,5.71,000,0.0
2007-09-10,5.67,5.67,5.67,5.67,000,0.0
2007-09-11,5.68,5.68,5.68,5.68,000,0.0
2007-09-12,5.71,5.71,5.71,5.71,000,0.0
2007-09-13,5.77,5.77,5.77,5.77,000,0.0
2007-09-14,5.90,5.90,5.90,5.90,000,0.0
2007-09-17,5.89,5.89,5.89,5.89,000,0.0
2007-09-18,5.83,5.83,5.83,5.83,000,0.0
2007-09-19,5.97,5.97,5.97,5.97,000,0.0
2007-09-20,6.02,6.02,6.02,6.02,000,0.0
2007-09-21,6.03,6.03,6.03,6.03,300,0.0
2007-09-24,5.76,5.76,5.76,5.76,000,0.0
2007-09-25,5.72,5.72,5.72,5.72,000,0.0
2007-09-26,5.69,5.69,5.69,5.69,000,0.0
2007-09-27,5.77,5.77,5.77,5.77,000,0.0
2007-09-28,5.69,5.69,5.69,5.69,000,0.0
2007-10-01,5.60,5.60,5.60,5.60,000,0.0
2007-10-02,5.68,5.68,5.68,5.68,000,0.0
2007-10-03,5.64,5.64,5.64,5.64,000,0.0
2007-10-04,5.53,5.53,5.53,5.53,000,0.0
2007-10-05,5.54,5.54,5.54,5.54,100,0.0
2007-10-08,5.51,5.51,5.51,5.51,000,0.0
2007-10-09,5.63,5.63,5.63,5.63,000,0.0
2007-10-10,5.60,5.60,5.60,5.60,000,0.0
2007-10-11,5.72,5.72,5.72,5.72,000,0.0
2007-10-12,5.70,5.70,5.70,5.70,000,0.0
2007-10-15,5.79,5.79,5.79,5.79,000,0.0
2007-10-16,5.70,5.94,5.70,5.94,300,0.0
2007-10-17,5.70,5.70,5.70,5.70,000,0.0
2007-10-18,5.75,5.75,5.75,5.75,000,0.0
2007-10-19,5.85,5.85,5.85,5.85,000,0.0
2007-10-22,5.78,5.78,5.78,5.78,000,0.0
2007-10-23,5.85,5.85,5.85,5.85,000,0.0
2007-10-24,5.89,5.89,5.89,5.89,000,0.0
2007-10-25,5.89,5.89,5.89,5.89,000,0.0
2007-10-26,5.88,5.88,5.88,5.88,000,0.0
2007-10-29,6.04,6.04,6.04,6.04,000,0.0
2007-10-30,5.94,5.94,5.94,5.94,000,0.0
2007-10-31,6.14,6.14,6.14,6.14,000,0.0
2007-11-01,5.97,6.23,5.97,6.23,000,0.0
2007-11-02,5.82,5.82,5.71,5.71,1000,0.0
2007-11-05,5.94,5.94,5.94,5.94,000,0.0
2007-11-06,5.97,5.97,5.97,5.97,000,0.0
2007-11-07,6.07,6.07,6.07,6.07,000,0.0
2007-11-08,5.90,5.90,5.89,5.89,000,0.0
2007-11-09,5.89,5.89,5.89,5.89,700,0.0
2007-11-12,6.00,6.00,6.00,6.00,000,0.0
2007-11-13,5.95,5.95,5.95,5.95,000,0.0
2007-11-14,6.00,6.00,6.00,6.00,000,0.0
2007-11-15,6.05,6.05,6.05,6.05,000,0.0
2007-11-16,6.05,6.05,6.05,6.05,300,0.0
2007-11-19,5.82,5.82,5.82,5.82,000,0.0
2007-11-20,5.76,5.76,5.74,5.74,800,0.0
2007-11-21,5.55,5.55,5.55,5.55,000,0.0
2007-11-22,5.43,5.43,5.43,5.43,000,0.0
2007-11-23,5.45,5.45,5.45,5.45,000,0.0
2007-11-26,5.58,5.58,5.58,5.58,000,0.0
2007-11-27,5.59,5.59,5.59,5.59,000,0.0
2007-11-28,5.61,5.61,5.61,5.61,000,0.0
2007-11-29,5.63,5.63,5.63,5.63,000,0.0
2007-11-30,5.62,5.63,5.62,5.63,000,0.0
