Date,Open,High,Low,Close,Volume,Adj Clos
2004-12-29,5.50,5.50,4.95,5.00,4500,3.068
2004-12-30,5.00,5.00,5.00,5.00,000,3.068
2004-12-31,5.00,5.00,5.00,5.00,2000,3.068
2005-01-03,5.00,5.00,5.00,5.00,000,3.068
2005-01-04,5.10,5.10,5.10,5.10,1000,3.129
2005-01-05,5.10,5.10,5.10,5.10,1700,3.129
2005-01-06,5.10,5.10,5.10,5.10,000,3.129
2005-01-07,5.15,5.15,5.15,5.15,2000,3.160
2005-01-10,5.15,5.15,5.15,5.15,5000,3.160
2005-01-11,5.25,5.25,5.25,5.25,1000,3.221
2005-01-12,5.35,5.35,5.35,5.35,12200,3.282
2005-01-13,5.35,5.40,5.35,5.35,3300,3.282
2005-01-14,5.35,5.35,5.35,5.35,000,3.282
2005-01-18,5.40,5.50,5.35,5.50,4800,3.374
2005-01-19,5.55,5.75,5.50,5.75,11000,3.528
2005-01-20,5.73,5.73,5.70,5.70,3700,3.497
2005-01-21,5.68,5.68,5.68,5.68,500,3.485
2005-01-24,5.78,5.83,5.78,5.80,9700,3.55
2005-01-25,5.75,5.75,5.75,5.75,1000,3.528
2005-01-26,5.75,5.75,5.75,5.75,000,3.528
2005-01-27,5.70,5.70,5.70,5.70,1000,3.497
2005-01-28,5.70,5.70,5.70,5.70,000,3.497
2005-01-31,5.65,5.65,5.62,5.62,2600,3.448
2005-02-01,5.67,5.67,5.67,5.67,200,3.479
2005-02-02,5.67,5.67,5.67,5.67,000,3.479
2005-02-03,5.67,5.67,5.60,5.60,5200,3.436
2005-02-04,5.55,5.55,5.45,5.50,5000,3.374
2005-02-07,5.50,5.50,5.50,5.50,4000,3.374
2005-02-08,5.50,5.50,5.50,5.50,000,3.374
2005-02-09,5.50,5.50,5.50,5.50,200,3.374
2005-02-10,5.60,5.60,5.60,5.60,700,3.436
2005-02-11,5.65,5.65,5.65,5.65,500,3.46
2005-02-14,5.65,5.65,5.62,5.62,1500,3.448
2005-02-15,5.62,5.64,5.60,5.60,3300,3.436
2005-02-16,5.55,5.65,5.52,5.65,2000,3.46
2005-02-17,5.70,5.70,5.70,5.70,1000,3.497
2005-02-18,5.70,5.70,5.70,5.70,000,3.497
2005-02-22,5.75,5.82,5.70,5.78,3400,3.546
2005-02-23,5.80,6.12,5.80,6.12,4200,3.755
2005-02-24,6.12,6.12,6.12,6.12,000,3.755
2005-02-25,6.12,6.18,6.12,6.18,600,3.792
2005-02-28,6.10,6.10,5.90,6.00,4500,3.681
2005-03-01,5.90,5.95,5.85,5.85,3800,3.589
2005-03-02,5.92,5.92,5.92,5.92,500,3.632
2005-03-03,5.92,5.92,5.92,5.92,000,3.632
2005-03-04,5.92,5.92,5.90,5.90,2200,3.620
2005-03-07,5.85,5.85,5.75,5.75,3700,3.528
2005-03-08,5.70,5.75,5.70,5.70,3100,3.497
2005-03-09,5.78,5.78,5.78,5.78,200,3.546
2005-03-10,5.75,5.75,5.70,5.70,1900,3.497
2005-03-11,5.70,5.80,5.70,5.80,1800,3.55
2005-03-14,5.75,5.75,5.70,5.70,4600,3.497
2005-03-15,5.65,5.65,5.65,5.65,2000,3.46
2005-03-16,5.60,5.60,5.50,5.50,3600,3.374
2005-03-17,5.50,5.50,5.40,5.40,2700,3.313
2005-03-18,5.42,5.51,5.42,5.51,700,3.381
2005-03-21,5.52,5.55,5.52,5.55,700,3.405
2005-03-22,5.60,5.61,5.50,5.61,4100,3.442
2005-03-23,5.68,5.73,5.60,5.73,5800,3.516
2005-03-24,5.73,5.73,5.73,5.73,000,3.516
