Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,14.875,14.875,14.75,14.8125,21300,3.18286
2000-01-04,14.6875,14.6875,14.3125,14.3125,22400,3.0754
2000-01-05,14.375,15.00,14.25,14.875,20300,3.19629
2000-01-06,14.8125,15.125,14.625,14.9375,11500,3.20972
2000-01-07,14.9375,15.0625,14.875,15.00,17100,3.22315
2000-01-10,14.875,15.1875,14.875,15.1875,27900,3.26344
2000-01-11,15.0625,15.125,15.00,15.00,23000,3.22315
2000-01-12,15.00,15.0625,15.00,15.00,11200,3.22315
2000-01-13,15.00,15.1875,15.00,15.1875,9900,3.26344
2000-01-14,15.1875,15.1875,15.0625,15.0625,13500,3.23658
2000-01-18,15.0625,15.125,15.00,15.125,8200,3.25001
2000-01-19,15.0625,15.1875,14.9375,15.1875,49700,3.26344
2000-01-20,15.0625,15.1875,15.0625,15.125,13900,3.25001
2000-01-21,15.00,15.00,14.75,14.8125,26200,3.18286
2000-01-24,14.6875,14.875,14.6875,14.8125,28600,3.18286
2000-01-25,14.6875,14.75,14.50,14.50,34900,3.11571
2000-01-26,14.50,14.625,14.50,14.50,7700,3.11571
2000-01-27,14.50,14.8125,14.50,14.75,10800,3.16943
2000-01-28,14.625,14.625,14.50,14.50,26600,3.11571
2000-01-31,14.50,14.50,14.3125,14.4375,27700,3.10228
2000-02-01,14.375,14.375,14.0625,14.0625,17800,3.0217
2000-02-02,14.125,14.125,13.9375,14.00,63500,3.0082
2000-02-03,14.00,14.0625,13.9375,14.0625,36500,3.0217
2000-02-04,14.125,14.125,13.8125,14.00,5800,3.0082
2000-02-07,13.875,14.00,13.875,14.00,32500,3.0082
2000-02-08,13.9375,14.1875,13.9375,14.1875,31800,3.0485
2000-02-09,14.1875,14.375,14.125,14.25,23200,3.06
2000-02-10,14.25,14.375,14.0625,14.0625,81000,3.0217
2000-02-11,14.00,14.125,13.9375,14.00,45500,3.0082
2000-02-14,14.125,14.9375,14.125,14.75,20000,3.16943
2000-02-15,14.625,15.125,14.625,15.125,28600,3.25001
2000-02-16,15.125,15.25,15.125,15.1875,23700,3.26344
2000-02-17,15.1875,15.1875,14.9375,14.9375,13300,3.20972
2000-02-18,15.00,15.00,14.9375,14.9375,33000,3.20972
2000-02-22,14.8125,14.875,14.625,14.6875,32700,3.15600
2000-02-23,14.6875,14.75,14.1875,14.3125,93300,3.0754
2000-02-24,14.25,14.25,14.125,14.1875,21700,3.0485
2000-02-25,14.0625,14.0625,13.9375,14.00,35800,3.0082
2000-02-28,14.00,14.1875,13.9375,14.1875,7300,3.0485
2000-02-29,14.125,14.4375,14.125,14.4375,15000,3.10228
2000-03-01,14.375,14.4375,14.1875,14.375,10000,3.08885
2000-03-02,14.4375,14.4375,14.375,14.375,6900,3.08885
2000-03-03,14.375,14.5625,14.375,14.5625,66800,3.12914
2000-03-06,14.50,14.625,14.50,14.50,10900,3.11571
2000-03-07,14.50,14.625,14.50,14.5625,18400,3.12914
2000-03-08,14.5625,14.625,14.50,14.625,6500,3.14257
2000-03-09,14.625,14.625,14.50,14.5625,4700,3.12914
2000-03-10,14.5625,14.625,14.50,14.50,17100,3.11571
2000-03-13,14.50,14.875,14.50,14.875,14200,3.19629
2000-03-14,14.5625,14.625,14.50,14.625,7900,3.17459
2000-03-15,14.5625,14.8125,14.50,14.8125,37900,3.21529
2000-03-16,14.8125,16.25,14.8125,16.25,38700,3.52732
2000-03-17,16.125,16.375,15.9375,15.9375,40800,3.4594
2000-03-20,16.00,16.1875,16.00,16.125,11700,3.5001
2000-03-21,16.00,16.3125,15.875,16.3125,16300,3.5408
2000-03-22,16.375,16.375,15.875,16.125,17600,3.5001
2000-03-23,16.125,16.125,15.625,15.75,13300,3.41879
2000-03-24,15.75,15.75,15.25,15.375,12200,3.33739
2000-03-27,15.3125,15.5625,14.9375,15.00,22400,3.25599
2000-03-28,15.00,15.00,14.00,14.00,26800,3.03892
2000-03-29,14.125,14.1875,14.00,14.1875,40600,3.07962
2000-03-30,14.0625,14.1875,14.00,14.0625,8700,3.05249
2000-03-31,14.1875,14.1875,13.00,13.00,48000,2.82185
2000-04-03,13.125,13.75,13.125,13.75,36900,2.98465
2000-04-04,13.75,13.75,13.6875,13.75,21400,2.98465
2000-04-05,13.75,13.9375,13.75,13.9375,5700,3.02535
2000-04-06,14.0625,14.25,14.00,14.0625,23400,3.05249
2000-04-07,14.125,14.3125,14.0625,14.3125,6700,3.10675
2000-04-10,14.1875,14.3125,14.1875,14.25,7600,3.09319
2000-04-11,14.25,14.3125,14.125,14.1875,6400,3.07962
2000-04-12,14.125,14.375,14.125,14.25,4300,3.09319
2000-04-13,14.1875,14.6875,14.1875,14.50,22000,3.14745
2000-04-14,14.5625,14.6875,14.50,14.5625,14100,3.16102
2000-04-17,14.50,14.8125,14.375,14.8125,6500,3.21529
2000-04-18,14.9375,15.1875,14.5625,14.6875,33500,3.18815
2000-04-19,14.6875,14.9375,14.50,14.50,27100,3.14745
2000-04-20,14.625,14.6875,14.50,14.6875,13400,3.18815
2000-04-24,14.75,14.75,14.6875,14.75,8000,3.20172
2000-04-25,14.6875,14.8125,14.00,14.75,5000,3.20172
2000-04-26,14.6875,16.375,14.6875,16.25,60300,3.52732
2000-04-27,16.1875,16.4375,16.0625,16.3125,29600,3.5408
2000-04-28,16.25,16.3125,16.0625,16.25,26300,3.52732
2000-05-01,16.1875,16.375,16.125,16.3125,16500,3.5408
2000-05-02,16.1875,16.25,16.125,16.1875,14200,3.51375
2000-05-03,16.1875,16.1875,16.125,16.1875,16000,3.51375
2000-05-04,16.125,16.3125,16.125,16.3125,6500,3.5408
2000-05-05,16.3125,16.3125,16.25,16.3125,4500,3.5408
2000-05-08,16.25,16.50,16.125,16.50,64600,3.5815
2000-05-09,16.5625,16.875,16.4375,16.875,22500,3.6629
2000-05-10,16.875,17.00,16.875,17.00,21300,3.69012
2000-05-11,17.00,17.3125,17.00,17.3125,34000,3.75795
2000-05-12,17.375,18.00,17.375,17.6875,47000,3.83935
2000-05-15,17.6875,18.125,17.50,18.0625,50600,3.92075
2000-05-16,18.1875,18.375,17.9375,18.25,48600,3.96145
2000-05-17,18.125,18.125,18.00,18.0625,26500,3.92075
2000-05-18,18.0625,18.0625,17.875,17.875,14800,3.88005
2000-05-19,17.75,17.75,17.1875,17.1875,45400,3.73082
2000-05-22,17.0625,17.0625,17.00,17.0625,86300,3.7036
2000-05-23,17.0625,17.125,17.00,17.00,25900,3.69012
2000-05-24,17.00,17.125,17.00,17.00,26200,3.69012
2000-05-25,17.00,17.125,17.00,17.00,17100,3.69012
2000-05-26,17.00,17.125,17.00,17.125,11800,3.71725
2000-05-30,17.1875,17.1875,17.125,17.1875,4600,3.73082
2000-05-31,17.1875,17.4375,17.125,17.375,21800,3.77152
2000-06-01,17.4375,17.5625,17.375,17.5625,16000,3.81222
2000-06-02,17.5625,17.5625,16.9375,17.0625,88000,3.7036
2000-06-05,17.00,17.3125,17.00,17.25,21500,3.7443
2000-06-06,17.1875,17.4375,17.1875,17.25,40700,3.7443
2000-06-07,17.125,17.25,17.0625,17.1875,36300,3.73082
2000-06-08,17.1875,17.1875,17.125,17.1875,10500,3.73082
2000-06-09,17.125,17.1875,17.125,17.125,41800,3.71725
2000-06-12,17.0625,17.3125,17.0625,17.25,15000,3.7443
2000-06-13,17.0625,17.8125,17.0625,17.75,37200,3.8867
2000-06-14,17.6875,18.0625,17.6875,17.75,11600,3.8867
2000-06-15,17.75,17.8125,17.125,17.6875,23300,3.87303
2000-06-16,17.6875,17.875,17.625,17.6875,32400,3.87303
2000-06-19,17.625,17.8125,17.625,17.75,7000,3.8867
2000-06-20,17.625,17.875,17.625,17.8125,12500,3.90040
2000-06-21,17.875,17.9375,17.875,17.9375,11800,3.92777
2000-06-22,18.00,18.1875,17.875,18.125,19500,3.96883
2000-06-23,18.125,18.1875,18.125,18.1875,10600,3.9825
2000-06-26,18.3125,18.4375,18.1875,18.1875,51800,3.9825
2000-06-27,18.3125,18.4375,18.3125,18.3125,9800,4.00989
2000-06-28,18.375,18.6875,18.1875,18.6875,16900,4.09200
2000-06-29,18.625,18.6875,18.125,18.625,50100,4.07831
2000-06-30,18.6875,19.00,15.25,15.25,235100,3.33929
2000-07-03,15.50,16.375,15.50,16.125,99600,3.53089
2000-07-05,16.00,17.0625,16.00,17.00,79300,3.72249
2000-07-06,17.00,18.00,17.00,18.00,82100,3.94146
2000-07-07,18.00,18.375,18.00,18.1875,24200,3.9825
2000-07-10,18.125,18.25,17.9375,17.9375,11700,3.92777
2000-07-11,18.00,18.0625,17.875,18.00,8800,3.94146
2000-07-12,17.9375,18.0625,17.875,18.0625,3400,3.95514
