Date,Open,High,Low,Close,Volume,Adj Clos
2003-11-20,15.00,15.35,15.00,15.25,115000,6.05910
2003-11-21,15.15,15.22,15.07,15.08,41200,5.99155
2003-11-24,15.09,15.09,14.95,15.03,148500,5.97169
2003-11-25,15.07,15.07,14.99,15.00,95800,5.95977
2003-11-26,14.98,15.00,14.98,14.99,48000,5.95579
2003-11-28,15.00,15.00,14.95,14.95,7600,5.93990
2003-12-01,15.00,15.01,14.95,15.00,84700,5.95977
2003-12-02,15.10,15.30,15.05,15.15,27700,6.0193
2003-12-03,15.15,15.30,15.10,15.25,50700,6.05910
2003-12-04,15.20,15.25,15.09,15.25,15200,6.05910
2003-12-05,15.30,15.30,15.26,15.27,23100,6.06704
2003-12-08,15.37,15.39,15.27,15.33,33600,6.09088
2003-12-09,15.33,15.40,15.00,15.10,25100,5.99950
2003-12-10,15.13,15.35,15.13,15.30,20700,6.07896
2003-12-11,15.20,15.30,15.05,15.30,29100,6.07896
2003-12-12,15.30,15.30,15.15,15.25,17100,6.05910
2003-12-15,15.35,15.35,15.20,15.30,27400,6.07896
2003-12-16,15.20,15.30,15.11,15.25,14600,6.05910
2003-12-17,15.25,15.25,15.00,15.00,77900,5.95977
2003-12-18,15.01,15.15,15.00,15.00,141500,5.95977
2003-12-19,15.04,15.05,15.01,15.01,47100,5.96374
2003-12-22,15.00,15.05,15.00,15.04,101900,5.97566
2003-12-23,15.06,15.22,15.02,15.18,29900,6.0312
2003-12-24,15.08,15.08,15.00,15.04,52900,5.97566
2003-12-26,15.04,15.05,15.00,15.00,34300,5.95977
2003-12-29,15.10,15.10,15.01,15.10,24400,5.99950
2003-12-30,15.15,15.15,15.00,15.07,27600,5.98758
2003-12-31,15.05,15.30,15.00,15.25,24700,6.05910
2004-01-02,15.22,15.22,15.00,15.02,64900,5.96771
2004-01-05,15.05,15.05,15.01,15.01,20200,5.96374
2004-01-06,15.01,15.10,15.00,15.04,51600,5.97566
2004-01-07,15.05,15.08,15.00,15.08,26400,5.99155
2004-01-08,15.02,15.13,15.01,15.06,20900,5.98361
2004-01-09,15.10,15.19,15.05,15.09,67700,5.99553
2004-01-12,15.10,15.25,15.10,15.25,70900,6.05910
2004-01-13,15.20,15.30,15.16,15.18,115200,6.0312
2004-01-14,15.19,15.23,15.11,15.11,151900,6.03888
2004-01-15,15.20,15.20,15.10,15.15,57000,6.05486
2004-01-16,15.16,15.24,15.15,15.20,58300,6.07485
2004-01-20,15.22,15.28,15.10,15.21,57900,6.07884
2004-01-21,15.24,15.25,15.09,15.23,87800,6.08684
2004-01-22,15.23,15.25,15.14,15.16,63000,6.05886
2004-01-23,15.22,15.40,15.21,15.30,53800,6.11481
2004-01-26,15.26,15.28,15.19,15.25,51400,6.09483
2004-01-27,15.25,15.25,15.10,15.17,50600,6.06286
2004-01-28,15.19,15.24,15.13,15.17,21200,6.06286
2004-01-29,15.27,15.29,15.06,15.12,46500,6.0428
2004-01-30,15.16,15.34,15.12,15.34,25800,6.13080
2004-02-02,15.37,15.50,15.25,15.35,58100,6.13480
2004-02-03,15.39,15.39,15.25,15.31,77600,6.11881
2004-02-04,15.28,15.39,15.27,15.38,29300,6.14679
2004-02-05,15.38,15.38,15.25,15.25,65600,6.09483
2004-02-06,15.25,15.34,15.25,15.34,47400,6.13080
2004-02-09,15.33,15.40,15.30,15.38,12100,6.14679
2004-02-10,15.36,15.40,15.28,15.40,33400,6.15478
2004-02-11,15.35,15.39,15.25,15.36,67600,6.17448
2004-02-12,15.34,15.34,15.25,15.25,51900,6.13026
