Date,Open,High,Low,Close,Volume,Adj Clos
2004-11-17,21.00,36.00,21.00,35.00,281600,27.35316
2004-11-18,36.009998,41.50,36.009998,37.950001,303600,29.65865
2004-11-19,37.950001,37.950001,36.00,36.310001,468800,28.3769
2004-11-22,36.310001,37.099998,36.310001,37.009998,145500,28.92402
2004-11-23,37.009998,37.009998,36.950001,36.959999,7500,28.88494
2004-11-24,36.959999,36.959999,36.849998,36.860001,37400,28.80679
2004-11-26,36.860001,36.860001,36.860001,36.860001,5200,28.80679
2004-11-29,36.860001,36.860001,36.599998,36.599998,101900,28.60359
2004-11-30,36.549999,36.549999,35.310001,35.32,754600,27.60325
2004-12-01,35.07,35.200001,32.650002,33.50,2868200,26.1808
2004-12-02,32.900002,32.900002,31.360001,32.549999,1537100,25.43844
2004-12-03,32.00,32.50,31.85,32.50,546500,25.39937
2004-12-06,32.099998,32.299999,31.90,31.90,841300,24.93045
2004-12-07,31.75,31.75,30.35,30.50,1441600,23.83633
2004-12-08,30.40,30.73,29.879999,30.51,1019300,23.84414
2004-12-09,30.00,31.51,30.00,31.389999,841600,24.53188
2004-12-10,31.02,31.18,30.75,31.059999,713900,24.27398
2004-12-13,30.950001,32.389999,30.950001,31.940001,521500,24.96172
2004-12-14,31.50,32.52,31.50,32.150002,556600,25.12584
2004-12-15,32.150002,32.91,32.150002,32.599998,271400,25.47752
2004-12-16,32.43,32.689999,32.09,32.25,542300,25.20399
2004-12-17,31.93,32.259998,31.67,32.00,403600,25.00861
2004-12-20,32.00,32.209999,31.90,32.009998,286700,25.01642
2004-12-21,32.009998,32.419998,32.00,32.169998,267200,25.14146
2004-12-22,32.00,32.110001,31.950001,32.02,176200,25.02424
2004-12-23,32.00,33.150002,31.50,32.369999,560300,25.29777
2004-12-27,33.00,33.00,32.52,32.73,277600,25.5791
2004-12-28,32.77,32.93,32.50,32.790001,216900,25.62601
2004-12-29,32.990002,32.990002,32.50,32.720001,171500,25.57130
2004-12-30,32.75,33.139999,32.720001,33.049999,112800,25.82920
2004-12-31,33.049999,33.049999,32.389999,32.599998,258500,25.47752
2005-01-03,32.900002,32.900002,32.48,32.599998,306300,25.47752
2005-01-04,32.689999,32.689999,32.110001,32.57,216400,25.45407
2005-01-05,32.610001,33.130001,32.509998,32.509998,207100,25.40718
2005-01-06,32.52,32.540001,32.25,32.360001,424500,25.28995
2005-01-07,32.50,32.549999,32.00,32.00,214400,25.00861
2005-01-10,32.099998,32.16,31.67,31.67,162700,24.7507
2005-01-11,31.790001,31.799999,31.040001,31.27,186900,24.43810
2005-01-12,31.34,31.34,30.35,31.15,133900,24.3443
2005-01-13,31.10,31.129999,31.00,31.030001,126300,24.25053
2005-01-14,31.040001,31.23,30.700001,31.23,286700,24.40684
2005-01-18,31.40,32.150002,31.23,32.139999,280300,25.11802
2005-01-19,32.150002,32.450001,32.099998,32.400002,257100,25.32122
2005-01-20,32.419998,33.110001,32.290001,33.009998,173300,25.79794
2005-01-21,33.099998,33.099998,32.799999,32.959999,125400,25.75886
2005-01-24,32.709999,32.970001,32.509998,32.619999,135300,25.49315
2005-01-25,32.599998,32.630001,32.150002,32.299999,147000,25.24306
2005-01-26,32.299999,33.07,32.080002,32.18,216700,25.14928
2005-01-27,31.75,32.299999,31.75,32.080002,144500,25.07113
2005-01-28,32.099998,32.18,31.799999,31.85,158200,24.89138
2005-01-31,31.809999,32.07,31.809999,31.889999,101400,24.92264
2005-02-01,31.950001,32.00,31.49,31.82,691800,24.86793
2005-02-02,31.90,32.220001,31.73,32.119999,123900,25.18152
2005-02-03,32.009998,32.27,32.00,32.09,110500,25.15801
2005-02-04,32.040001,32.299999,32.00,32.080002,106100,25.15017
2005-02-07,32.009998,32.25,32.00,32.220001,78500,25.25992
2005-02-08,32.220001,32.639999,32.220001,32.630001,95200,25.58136
2005-02-09,32.799999,32.959999,32.689999,32.900002,155900,25.79303
2005-02-10,32.91,32.970001,32.50,32.509998,172200,25.48728
