Date,Open,High,Low,Close,Volume,Adj Clos
2001-04-10,27.48,28.48,27.48,28.00,1485800,9.07592
2001-04-11,28.00,29.00,27.08,29.00,376600,9.40006
2001-04-12,28.719999,29.08,28.16,28.879999,131500,9.36116
2001-04-16,28.639999,29.16,28.32,28.719999,103400,9.30930
2001-04-17,28.639999,28.959999,28.24,28.559999,120800,9.25743
2001-04-18,28.639999,28.959999,27.879999,28.16,223200,9.12778
2001-04-19,28.00,28.40,27.799999,28.16,74300,9.12778
2001-04-20,28.25,28.40,27.40,27.85,57300,9.027
2001-04-23,27.93,28.65,27.65,27.66,73600,8.96571
2001-04-24,27.799999,28.23,27.60,28.10,82700,9.10833
2001-04-25,28.299999,28.50,27.950001,28.50,72900,9.23799
2001-04-26,28.50,29.299999,28.50,29.00,96800,9.40006
2001-04-27,29.10,29.15,28.40,28.799999,48900,9.33523
2001-04-30,28.799999,29.00,28.700001,28.90,62100,9.36764
2001-05-01,28.950001,29.25,28.799999,28.85,98600,9.3514
2001-05-02,28.950001,29.00,28.50,28.90,49100,9.36764
2001-05-03,28.799999,28.799999,28.25,28.48,30200,9.23150
2001-05-04,28.52,28.700001,28.049999,28.15,59000,9.12454
2001-05-07,28.60,29.870001,28.60,29.700001,229300,9.62695
2001-05-08,29.75,31.15,29.50,30.83,172300,9.99323
2001-05-09,30.75,32.400002,30.40,31.950001,210600,10.35627
2001-05-10,31.299999,31.799999,30.90,31.059999,91100,10.0677
2001-05-11,31.02,31.200001,30.700001,30.799999,56000,9.98351
2001-05-14,31.00,31.00,30.25,30.299999,62200,9.82144
2001-05-15,30.549999,30.549999,29.75,29.950001,90800,9.70799
2001-05-16,29.950001,30.299999,29.799999,30.299999,63400,9.82144
2001-05-17,30.40,30.60,30.00,30.35,69000,9.8376
2001-05-18,30.549999,31.700001,30.40,31.00,53300,10.04834
2001-05-21,31.10,31.65,31.00,31.23,85100,10.12289
2001-05-22,30.75,31.65,30.25,31.299999,93200,10.14558
2001-05-23,31.15,31.35,31.00,31.23,33300,10.12289
2001-05-24,31.83,31.90,31.049999,31.15,69300,10.09696
2001-05-25,31.25,31.299999,30.450001,30.700001,40300,9.951
2001-05-29,30.700001,30.700001,30.049999,30.450001,34200,9.87006
2001-05-30,30.48,30.50,29.10,29.48,155000,9.55564
2001-05-31,29.73,29.950001,29.549999,29.700001,54200,9.62695
2001-06-01,29.700001,29.74,29.200001,29.60,60800,9.59454
2001-06-04,30.00,30.209999,29.60,29.98,53100,9.71771
2001-06-05,30.049999,30.15,29.690001,29.90,50200,9.69178
2001-06-06,30.10,30.15,29.65,29.90,68300,9.69178
2001-06-07,30.00,30.00,29.450001,29.75,26500,9.64316
2001-06-08,29.90,30.00,29.700001,29.809999,59000,9.66261
2001-06-11,29.950001,30.00,29.700001,29.940001,51800,9.70475
2001-06-12,30.00,30.049999,29.50,29.50,16900,9.56213
2001-06-13,29.700001,30.00,29.450001,29.809999,54000,9.66261
2001-06-14,29.780001,30.00,29.40,29.85,27900,9.6755
2001-06-15,29.75,30.00,29.629999,29.780001,40200,9.65289
2001-06-18,29.700001,29.700001,29.40,29.60,56400,9.59454
2001-06-19,29.700001,29.75,29.40,29.50,37300,9.56213
2001-06-20,29.50,29.60,29.25,29.50,45700,9.56213
2001-06-21,29.450001,29.700001,29.40,29.549999,53300,9.57833
2001-06-22,29.60,29.65,29.40,29.50,42700,9.56213
2001-06-25,29.65,29.799999,29.450001,29.719999,26700,9.63344
2001-06-26,29.75,30.00,29.65,29.90,21600,9.69178
2001-06-27,30.049999,30.08,29.84,29.93,23600,9.70151
2001-06-28,29.85,30.049999,29.85,29.90,33700,9.69178
2001-06-29,29.90,30.00,29.85,29.90,19000,9.69178
2001-07-02,29.950001,30.01,29.860001,30.00,28800,9.72420
2001-07-03,30.10,30.360001,30.07,30.299999,6500,9.82144
2001-07-05,30.40,31.10,30.200001,30.200001,34600,9.7890
2001-07-06,30.10,30.200001,29.950001,30.200001,36400,9.7890
2001-07-09,30.299999,32.00,30.10,31.50,52300,10.21041
2001-07-10,31.50,31.50,31.15,31.25,24900,10.12937
2001-07-11,31.35,31.35,30.700001,30.76,21100,9.97054
2001-07-12,30.85,30.85,30.299999,30.48,15000,9.87978
2001-07-13,30.40,30.60,30.25,30.25,24100,9.80523
2001-07-16,30.35,30.50,30.25,30.35,31400,9.8376
2001-07-17,30.35,31.10,30.299999,31.10,28700,10.08075
2001-07-18,31.00,31.00,30.799999,30.950001,15700,10.03213
2001-07-19,30.969999,31.299999,30.799999,31.00,23100,10.04834
2001-07-20,31.10,31.450001,31.10,31.440001,5500,10.19096
2001-07-23,31.50,31.99,31.50,31.99,11100,10.3692
2001-07-24,32.00,32.150002,31.950001,32.099998,24900,10.40489
2001-07-25,32.00,33.599998,31.950001,32.599998,24100,10.56696
2001-07-26,32.580002,32.880001,32.349998,32.439999,7900,10.51510
2001-07-27,32.50,32.650002,32.349998,32.450001,11700,10.51834
2001-07-30,31.799999,32.169998,31.709999,32.169998,10700,10.59110
2001-07-31,32.419998,33.00,32.419998,32.799999,25800,10.79851
2001-08-01,32.900002,34.00,32.900002,33.18,21400,10.92361
2001-08-02,33.200001,33.299999,32.630001,32.900002,30900,10.83143
2001-08-03,32.900002,32.900002,32.68,32.73,6200,10.77546
2001-08-06,32.68,32.700001,31.799999,32.00,23500,10.53513
2001-08-07,31.90,32.00,31.10,31.50,17200,10.37052
