Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,3.625,4.00,3.50,3.75,5600,187.49999
2000-01-04,3.75,3.8125,3.5625,3.75,3200,187.49999
2000-01-05,3.5625,3.75,3.50,3.625,2000,181.24999
2000-01-06,3.75,3.875,3.625,3.625,2500,181.24999
2000-01-07,3.5625,3.6875,3.3125,3.625,4000,181.24999
2000-01-10,3.875,4.00,3.50,3.5625,4100,178.12499
2000-01-11,3.6875,3.6875,3.4375,3.50,4400,174.99999
2000-01-12,3.375,3.4375,2.875,3.125,9800,156.24999
2000-01-13,2.8125,3.00,2.75,2.9375,7500,146.87499
2000-01-14,3.0625,3.3125,3.00,3.25,10000,162.49999
2000-01-18,3.3125,3.4375,3.25,3.25,4100,162.49999
2000-01-19,3.3125,3.375,3.1875,3.375,3500,168.74999
2000-01-20,3.50,3.50,3.125,3.375,2800,168.74999
2000-01-21,3.375,3.375,2.875,3.25,7600,162.49999
2000-01-24,3.375,3.375,3.00,3.1875,6900,159.37499
2000-01-25,3.3125,3.375,2.9375,3.1875,5800,159.37499
2000-01-26,3.00,3.1875,3.00,3.0625,5300,153.12499
2000-01-27,3.00,3.125,2.9375,3.00,2000,149.99999
2000-01-28,3.00,3.00,2.75,2.875,1800,143.74999
2000-01-31,2.625,2.75,2.3125,2.50,9400,124.99999
2000-02-01,2.375,2.5625,2.375,2.50,3800,124.99999
2000-02-02,2.375,3.00,2.375,2.875,6400,143.74999
2000-02-03,2.75,3.125,2.75,3.0625,7100,153.12499
2000-02-04,3.0625,3.625,3.00,3.625,11100,181.24999
2000-02-07,3.6875,3.6875,3.25,3.50,5100,174.99999
2000-02-08,3.4375,4.1875,3.375,3.875,12500,193.74999
2000-02-09,3.9375,3.9375,3.625,3.875,3900,193.74999
2000-02-10,3.625,3.875,3.50,3.75,2400,187.49999
2000-02-11,3.375,4.00,3.375,4.00,8400,199.99999
2000-02-14,3.75,4.00,3.625,4.00,7500,199.99999
2000-02-15,3.75,4.50,3.6875,4.50,17500,224.99999
2000-02-16,4.375,4.4375,4.25,4.4375,8700,221.87499
2000-02-17,4.3125,4.375,4.25,4.3125,4400,215.62499
2000-02-18,4.375,4.375,4.0625,4.1875,6000,209.37499
2000-02-22,4.00,4.00,3.75,4.00,7400,199.99999
2000-02-23,4.00,4.00,3.75,3.9375,5200,196.87499
2000-02-24,3.8125,3.9375,3.625,3.8125,3400,190.62499
2000-02-25,3.875,3.9375,3.625,3.9375,5000,196.87499
2000-02-28,3.6875,3.875,3.5625,3.8125,2700,190.62499
2000-02-29,3.6875,3.9375,3.5625,3.9375,4300,196.87499
2000-03-01,3.875,4.50,3.6875,4.25,17100,212.49999
2000-03-02,4.5625,4.625,4.25,4.25,9500,212.49999
2000-03-03,4.375,4.50,3.875,4.0625,7500,203.12499
2000-03-06,4.00,4.25,3.625,3.875,3800,193.74999
2000-03-07,3.6875,4.00,3.625,3.75,5400,187.49999
