Date,Open,High,Low,Close,Volume,Adj Clos
2002-09-12,15.09,15.18,15.00,15.07,77700,6.52299
2002-09-13,15.20,15.40,15.10,15.40,16600,6.66583
2002-09-16,15.35,15.45,15.31,15.35,22100,6.64419
2002-09-17,15.36,15.60,15.28,15.33,57500,6.63553
2002-09-18,15.32,15.42,15.25,15.31,33400,6.62687
2002-09-19,15.33,15.59,15.33,15.36,64800,6.64852
2002-09-20,15.35,15.50,15.31,15.46,44300,6.69180
2002-09-23,15.50,15.50,15.26,15.39,44900,6.66150
2002-09-24,15.43,15.50,15.28,15.50,55100,6.7091
2002-09-25,15.50,15.57,15.33,15.35,52200,6.64419
2002-09-26,15.43,15.60,15.36,15.53,45900,6.72210
2002-09-27,15.53,15.60,15.45,15.55,31400,6.73076
2002-09-30,15.62,15.62,15.46,15.61,29800,6.75673
2002-10-01,15.63,15.64,15.40,15.40,75600,6.66583
2002-10-02,15.45,15.50,15.25,15.39,90800,6.66150
2002-10-03,15.40,15.47,15.40,15.46,20300,6.69180
2002-10-04,15.39,15.47,15.39,15.44,36500,6.68314
2002-10-07,15.44,15.62,15.40,15.62,45600,6.76106
2002-10-08,15.44,16.00,15.44,15.60,66600,6.75240
2002-10-09,15.52,15.62,15.21,15.37,78400,6.6528
2002-10-10,15.39,15.39,15.09,15.18,41600,6.60412
2002-10-11,15.19,15.35,15.15,15.35,44200,6.67808
2002-10-14,15.50,15.50,15.37,15.37,22200,6.68678
2002-10-15,15.42,15.42,15.01,15.10,32400,6.5693
2002-10-16,15.01,15.14,14.90,14.98,61500,6.51711
2002-10-17,14.90,14.95,14.70,14.73,42600,6.40834
2002-10-18,14.70,14.83,14.59,14.83,62900,6.45185
2002-10-21,14.83,14.83,14.66,14.68,27500,6.38659
2002-10-22,14.70,14.74,14.58,14.64,39600,6.36919
2002-10-23,14.56,14.56,14.08,14.21,86000,6.18212
2002-10-24,14.20,14.50,14.20,14.50,41800,6.30828
2002-10-25,14.41,14.53,14.41,14.50,12600,6.30828
2002-10-28,14.49,14.80,14.46,14.70,35600,6.39529
2002-10-29,14.73,14.75,14.61,14.74,37600,6.412
2002-10-30,14.70,14.85,14.70,14.81,9000,6.44315
2002-10-31,14.89,14.98,14.87,14.96,7000,6.50841
2002-11-01,14.99,15.10,14.97,14.99,22300,6.52146
2002-11-04,15.00,15.00,14.83,14.89,15800,6.47795
2002-11-05,14.94,14.99,14.91,14.97,18000,6.51276
2002-11-06,14.95,15.00,14.90,14.95,29800,6.50406
2002-11-07,14.99,15.00,14.86,14.93,47300,6.4953
2002-11-08,14.87,14.96,14.85,14.96,36700,6.50841
2002-11-11,14.96,14.96,14.80,14.86,12800,6.46490
2002-11-12,14.87,14.88,14.84,14.86,26900,6.46490
2002-11-13,14.81,14.82,14.69,14.75,25200,6.45091
2002-11-14,14.70,14.86,14.63,14.79,27500,6.46840
2002-11-15,14.79,14.86,14.79,14.86,12300,6.4990
2002-11-18,14.85,14.97,14.79,14.83,19800,6.48589
2002-11-19,14.80,14.86,14.80,14.81,14700,6.47715
2002-11-20,14.81,14.88,14.80,14.88,19200,6.50776
2002-11-21,14.83,14.85,14.80,14.85,22700,6.49464
2002-11-22,14.87,14.87,14.44,14.60,43100,6.38530
2002-11-25,14.50,14.63,14.35,14.40,36800,6.29783
2002-11-26,14.48,14.48,14.37,14.41,43500,6.30221
2002-11-27,14.41,14.49,14.40,14.43,20100,6.31095
2002-11-29,14.55,14.59,14.55,14.59,9600,6.38093
2002-12-02,14.59,14.60,14.46,14.57,24700,6.37218
2002-12-03,14.65,14.80,14.60,14.80,22200,6.47277
2002-12-04,14.75,14.79,14.66,14.70,77400,6.42904
2002-12-05,14.74,14.77,14.68,14.75,23500,6.45091
2002-12-06,14.79,14.80,14.72,14.72,44500,6.43779
2002-12-09,14.74,14.74,14.67,14.67,17800,6.41592
2002-12-10,14.67,14.74,14.61,14.65,56700,6.40717
2002-12-11,14.60,14.70,14.53,14.69,35200,6.50593
2002-12-12,14.68,14.69,14.45,14.60,47700,6.4660
2002-12-13,14.63,14.63,14.35,14.46,47300,6.40407
2002-12-16,14.46,14.46,14.31,14.43,27300,6.3907
2002-12-17,14.43,14.44,14.37,14.41,16100,6.38193
2002-12-18,14.41,14.41,14.37,14.41,29400,6.38193
