Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,12.75,12.875,12.75,12.875,2800,5.43039
2000-01-04,12.75,12.8125,12.6875,12.75,10900,5.37767
2000-01-05,12.8125,12.875,12.6875,12.6875,10500,5.35131
2000-01-06,12.75,12.75,12.6875,12.75,9000,5.37767
2000-01-07,12.75,12.75,12.75,12.75,30000,5.37767
2000-01-10,12.75,12.8125,12.6875,12.75,5100,5.37767
2000-01-11,12.875,12.875,12.75,12.8125,13500,5.40403
2000-01-12,12.75,12.8125,12.5625,12.5625,11300,5.32602
2000-01-13,12.5625,12.8125,12.5625,12.625,17800,5.35252
2000-01-14,12.625,12.6875,12.50,12.625,12800,5.35252
2000-01-18,12.5625,12.6875,12.5625,12.6875,3200,5.37902
2000-01-19,12.625,12.75,12.625,12.75,9500,5.40552
2000-01-20,12.625,12.75,12.625,12.6875,4100,5.37902
2000-01-21,12.625,12.8125,12.625,12.75,10600,5.40552
2000-01-24,12.75,12.875,12.75,12.875,1800,5.45851
2000-01-25,12.8125,12.875,12.75,12.875,8000,5.45851
2000-01-26,12.875,12.9375,12.8125,12.9375,3600,5.48501
2000-01-27,12.9375,13.0625,12.9375,13.0625,8200,5.53800
2000-01-28,13.00,13.00,13.00,13.00,6200,5.51151
2000-01-31,13.0625,13.0625,12.9375,13.00,4700,5.51151
2000-02-01,13.0625,13.0625,13.00,13.0625,3200,5.53800
2000-02-02,13.125,13.25,13.125,13.1875,16100,5.59100
2000-02-03,13.25,13.25,13.25,13.25,2000,5.61750
2000-02-04,13.50,13.5625,13.375,13.5625,9400,5.7499
2000-02-07,13.50,13.625,13.50,13.625,7500,5.77648
2000-02-08,13.4375,13.625,13.4375,13.625,5400,5.77648
2000-02-09,13.625,13.625,13.50,13.50,7700,5.72349
2000-02-10,13.625,13.6875,13.625,13.625,7200,5.77648
2000-02-11,13.5625,13.625,13.50,13.50,2200,5.75135
2000-02-14,13.5625,13.6875,13.5625,13.625,9700,5.80460
2000-02-15,13.5625,13.625,13.5625,13.625,3700,5.80460
2000-02-16,13.6875,13.75,13.625,13.75,8900,5.85785
2000-02-17,13.625,13.6875,13.5625,13.625,8000,5.80460
2000-02-18,13.625,13.6875,13.625,13.6875,10800,5.83123
2000-02-22,13.75,13.75,13.4375,13.4375,22200,5.72472
2000-02-23,13.50,13.5625,13.4375,13.4375,3400,5.72472
2000-02-24,13.375,13.375,13.375,13.375,600,5.69809
2000-02-25,13.375,13.4375,13.375,13.4375,1100,5.72472
2000-02-28,13.4375,13.50,13.375,13.4375,6400,5.72472
2000-02-29,13.5625,13.5625,13.4375,13.4375,9300,5.72472
2000-03-01,13.5625,13.5625,13.375,13.50,12600,5.75135
2000-03-02,13.4375,13.50,13.4375,13.50,1300,5.75135
2000-03-03,13.50,13.50,13.4375,13.50,7300,5.75135
2000-03-06,13.5625,13.5625,13.5625,13.5625,7500,5.77797
2000-03-07,13.50,13.5625,13.50,13.5625,2400,5.77797
2000-03-08,13.50,13.50,13.375,13.4375,14800,5.72472
2000-03-09,13.3125,13.3125,13.3125,13.3125,5000,5.67147
2000-03-10,13.3125,13.375,13.3125,13.3125,500,5.67147
2000-03-13,13.3125,13.375,13.25,13.25,5300,5.67297
2000-03-14,13.375,13.4375,13.375,13.375,5200,5.7264
2000-03-15,13.50,13.5625,13.4375,13.50,9300,5.78000
2000-03-16,13.4375,13.4375,13.4375,13.4375,10000,5.75324
2000-03-17,13.50,13.625,13.50,13.50,8400,5.78000
2000-03-20,13.625,13.625,13.50,13.50,7700,5.78000
2000-03-21,13.50,13.6875,13.50,13.5625,2800,5.80676
2000-03-22,13.50,13.6875,13.50,13.625,11000,5.83352
2000-03-23,13.6875,13.6875,13.6875,13.6875,2000,5.86028
2000-03-24,13.625,13.625,13.625,13.625,1200,5.83352
