Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,19.50,19.50,19.50,19.50,36800,3.856
2000-01-04,19.62,20.00,19.50,19.688,106000,3.8938
2000-01-05,19.62,19.876,19.50,19.876,20000,3.9310
2000-01-06,19.88,20.126,19.876,20.126,8800,3.9805
2000-01-07,19.88,20.126,19.50,20.00,32000,3.9555
2000-01-10,20.00,20.126,20.00,20.00,18800,3.9555
2000-01-11,19.876,19.876,19.75,19.814,10400,3.918
2000-01-12,19.688,19.688,19.50,19.50,12800,3.856
2000-01-13,19.76,20.626,19.75,20.626,60400,4.079
2000-01-14,20.88,21.688,20.814,21.50,58400,4.2522
2000-01-18,22.50,22.814,22.50,22.50,24000,4.4500
2000-01-19,22.50,22.50,21.876,21.876,9200,4.3266
2000-01-20,22.06,22.064,21.876,21.876,40800,4.3266
2000-01-21,21.88,22.126,21.876,22.064,27600,4.363
2000-01-24,21.938,21.938,21.126,21.126,32400,4.1782
2000-01-25,20.56,21.438,20.50,21.25,63200,4.2028
2000-01-26,21.06,21.126,20.814,21.126,24800,4.1782
2000-01-27,20.88,21.50,20.688,21.25,33200,4.2028
2000-01-28,20.938,20.938,20.314,20.50,17200,4.0544
2000-01-31,20.25,20.25,20.126,20.126,6800,3.9805
2000-02-01,20.38,20.938,20.00,20.938,24000,4.141
2000-02-02,21.12,21.188,20.814,20.814,12000,4.1165
2000-02-04,20.50,20.626,20.188,20.188,15200,3.9927
2000-02-07,19.938,19.938,18.876,18.876,83200,3.7332
2000-02-08,19.50,19.564,19.314,19.564,48800,3.8693
2000-02-09,19.438,19.438,18.626,18.75,22800,3.7083
2000-02-10,18.44,18.626,18.376,18.626,26000,3.6838
2000-02-11,18.88,20.00,18.876,19.064,84000,3.7704
2000-02-14,19.50,20.75,19.376,20.75,6400,4.1039
2000-02-15,21.00,21.314,21.00,21.188,94400,4.1905
2000-02-16,21.00,21.00,20.75,20.814,20800,4.1165
2000-02-17,20.75,20.75,20.25,20.25,17200,4.0050
2000-02-18,19.938,19.938,18.376,18.688,22000,3.696
2000-02-22,18.62,19.126,18.564,19.00,75200,3.7578
2000-02-23,19.00,19.064,18.626,18.75,118400,3.7083
2000-02-24,18.76,19.25,18.50,18.50,36000,3.6589
2000-02-25,18.70,18.938,18.688,18.938,4000,3.7455
2000-02-28,18.38,18.688,18.188,18.376,20800,3.6343
2000-02-29,18.50,18.814,18.438,18.75,358000,3.7083
2000-03-01,22.38,23.50,22.376,23.376,353200,4.6232
2000-03-02,22.50,23.688,21.75,22.75,95600,4.4994
2000-03-03,22.76,22.876,22.626,22.75,26000,4.4994
2000-03-06,22.876,22.876,22.126,22.25,113600,4.4005
2000-03-07,22.50,23.064,22.50,23.00,82800,4.5489
2000-03-08,22.80,22.814,22.314,22.314,36000,4.4532
2000-03-09,21.126,21.376,21.126,21.314,22000,4.2536
2000-03-10,21.00,21.376,20.75,21.376,13600,4.2660
2000-03-13,21.26,21.626,21.188,21.314,43200,4.2536
2000-03-14,21.376,21.376,20.876,20.938,17200,4.178
2000-03-15,20.626,21.594,20.626,21.564,52800,4.3035
2000-03-16,21.50,21.876,21.50,21.876,10400,4.365
2000-03-17,21.56,21.626,20.438,20.438,27600,4.0788
2000-03-20,20.75,20.75,20.626,20.75,2800,4.1410
2000-03-21,20.94,21.00,20.438,20.50,62800,4.0911
2000-03-22,20.30,20.314,20.00,20.064,47200,4.0041
