Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,14.375,14.375,14.375,14.375,000,6.83525
2000-01-04,14.4375,15.0625,14.3125,14.875,22200,7.07300
2000-01-05,14.875,14.875,14.50,14.50,2300,6.89469
2000-01-06,14.4375,14.50,14.25,14.3125,3700,6.80553
2000-01-07,14.25,14.25,14.125,14.1875,2700,6.74610
2000-01-10,14.0625,14.0625,14.00,14.0625,4700,6.68666
2000-01-11,14.0625,14.125,14.00,14.125,1500,6.71638
2000-01-12,14.0625,14.0625,14.00,14.00,700,6.65694
2000-01-13,14.00,14.00,14.00,14.00,200,6.65694
2000-01-14,14.00,14.00,14.00,14.00,3100,6.65694
2000-01-18,14.00,14.00,13.875,13.875,1000,6.59750
2000-01-19,13.75,13.75,13.6875,13.75,6300,6.53807
2000-01-20,13.6875,13.6875,13.50,13.50,4700,6.41919
2000-01-21,13.50,13.50,13.1875,13.1875,3700,6.27060
2000-01-24,13.125,13.125,12.75,12.75,3600,6.06257
2000-01-25,12.75,12.75,12.5625,12.625,7300,6.00313
2000-01-26,12.50,12.50,12.50,12.50,2700,5.94370
2000-01-27,12.50,12.75,12.50,12.75,5700,6.06257
2000-01-28,12.6875,13.00,12.6875,12.9375,2800,6.15173
2000-01-31,12.875,13.25,12.875,13.1875,3500,6.27060
2000-02-01,12.8125,12.8125,11.75,11.75,14200,5.5870
2000-02-02,11.75,11.75,11.50,11.50,200,5.46820
2000-02-03,11.25,11.25,10.00,10.00,8500,4.75496
2000-02-04,10.25,10.25,10.00,10.0625,7600,4.7846
2000-02-07,9.875,9.875,9.375,9.5625,21800,4.54693
2000-02-08,9.50,9.5625,9.375,9.5625,7200,4.54693
2000-02-09,9.50,9.50,9.4375,9.4375,7000,4.53013
2000-02-10,9.50,9.50,8.50,9.00,10000,4.32012
2000-02-11,8.9375,8.9375,8.25,8.3125,26200,3.99011
2000-02-14,8.4375,8.9375,8.4375,8.6875,19300,4.17012
2000-02-15,8.625,8.625,8.375,8.4375,21700,4.05011
2000-02-16,8.3125,8.4375,8.25,8.4375,5500,4.05011
2000-02-17,8.3125,8.4375,8.3125,8.375,11100,4.02011
2000-02-18,8.375,8.4375,8.125,8.3125,36700,3.99011
2000-02-22,8.50,8.50,8.375,8.50,4600,4.08011
2000-02-23,8.4375,8.50,8.375,8.375,28800,4.02011
2000-02-24,8.25,8.50,8.25,8.50,56700,4.08011
2000-02-25,8.50,8.75,8.50,8.75,48700,4.20012
2000-02-28,8.75,8.75,8.625,8.75,9600,4.20012
2000-02-29,8.75,8.75,8.5625,8.625,13300,4.1401
