Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,13.00,13.0625,12.5625,12.5625,111500,4.52577
2000-01-04,12.50,12.9375,12.50,12.625,100700,4.54829
2000-01-05,12.75,13.4375,12.375,12.5625,182100,4.52577
2000-01-06,12.8125,13.375,12.8125,13.3125,178800,4.79597
2000-01-07,13.6875,13.875,12.4375,12.4375,293500,4.48074
2000-01-10,12.5625,12.875,12.50,12.8125,120200,4.61584
2000-01-11,12.875,12.9375,12.50,12.5625,125800,4.52577
2000-01-12,12.5625,12.875,12.5625,12.6875,62000,4.57080
2000-01-13,12.625,12.875,12.4375,12.6875,144500,4.57080
2000-01-14,12.6875,12.6875,12.3125,12.375,92100,4.45822
2000-01-18,12.25,12.375,11.6875,11.8125,134000,4.25558
2000-01-19,11.6875,11.75,10.00,10.25,272200,3.69267
2000-01-20,10.25,10.3125,9.625,9.9375,183800,3.58009
2000-01-21,10.00,11.375,9.1875,10.875,296300,3.91783
2000-01-24,11.375,11.375,10.5625,10.75,238900,3.87280
2000-01-25,10.875,10.875,9.8125,10.1875,189600,3.67015
2000-01-26,9.8125,9.875,9.1875,9.875,180100,3.74119
2000-01-27,9.8125,9.875,9.375,9.6875,125500,3.67015
2000-01-28,9.5625,9.5625,9.0625,9.1875,107000,3.4807
2000-01-31,8.875,8.875,7.125,7.75,280600,2.93612
2000-02-01,8.00,8.75,7.75,8.50,114300,3.22026
2000-02-02,8.125,8.4375,7.625,8.00,204900,3.03083
2000-02-03,7.875,7.9375,7.25,7.3125,160900,2.77037
2000-02-04,7.25,7.4375,7.0625,7.125,165300,2.69934
2000-02-07,7.1875,7.1875,6.5625,7.00,262500,2.65198
2000-02-08,7.00,7.00,6.50,6.75,198900,2.55727
2000-02-09,6.6875,6.75,5.75,5.8125,833300,2.20209
2000-02-10,5.9375,6.00,5.6875,5.9375,342400,2.24945
2000-02-11,6.00,6.0625,5.75,5.875,193000,2.22577
2000-02-14,5.8125,6.8125,5.8125,6.625,477700,2.50991
2000-02-15,7.00,7.50,6.625,6.75,309800,2.55727
2000-02-16,6.6875,6.9375,6.6875,6.8125,91800,2.58094
2000-02-17,6.9375,6.9375,6.625,6.625,94100,2.50991
2000-02-18,6.6875,6.75,6.50,6.50,56400,2.46255
2000-02-22,6.75,6.8125,6.50,6.50,102200,2.46255
2000-02-23,6.50,6.75,6.4375,6.50,96000,2.46255
2000-02-24,6.375,6.375,6.00,6.1875,247600,2.34416
2000-02-25,6.3125,6.3125,6.0625,6.125,107500,2.32048
2000-02-28,6.25,6.25,6.0625,6.1875,97200,2.34416
2000-02-29,6.1875,6.1875,5.9375,6.125,118600,2.32048
2000-03-01,6.00,6.25,5.9375,6.1875,100000,2.34416
2000-03-02,6.1875,6.25,6.0625,6.1875,79400,2.34416
2000-03-03,6.1875,6.25,6.00,6.125,120700,2.32048
2000-03-06,6.125,6.25,6.0625,6.125,80100,2.32048
2000-03-07,6.0625,6.125,6.00,6.0625,107000,2.29680
2000-03-08,6.0625,6.125,5.9375,6.0625,71300,2.29680
2000-03-09,5.9375,6.0625,5.875,6.0625,104600,2.29680
2000-03-10,6.00,6.1875,6.00,6.1875,56300,2.34416
2000-03-13,6.3125,8.375,6.125,7.625,257600,2.88876
2000-03-14,8.125,9.125,7.75,9.0625,313800,3.43337
2000-03-15,9.00,9.00,8.625,8.8125,84600,3.33865
2000-03-16,8.9375,10.00,8.00,10.00,150100,3.78854
2000-03-17,10.00,10.3125,9.50,9.625,192500,3.64647
