Date,Open,High,Low,Close,Volume,Adj Clos
2006-11-29,22.00,22.50,20.809999,20.85,12208800,12.77227
2006-11-30,21.280001,21.85,21.00,21.549999,1883400,13.20107
2006-12-01,21.85,22.25,21.290001,22.200001,777800,13.59925
2006-12-04,22.200001,22.200001,21.559999,22.07,960800,13.51961
2006-12-05,21.780001,22.129999,21.780001,22.00,675000,13.47673
2006-12-06,21.85,21.93,21.52,21.700001,945600,13.29296
2006-12-07,21.360001,21.93,21.360001,21.90,657200,13.41547
2006-12-08,21.969999,22.02,21.75,21.90,775100,13.41547
2006-12-11,21.959999,22.00,21.90,22.00,357200,13.47673
2006-12-12,21.75,21.90,21.690001,21.700001,236100,13.29296
2006-12-13,21.73,21.889999,21.18,21.389999,266300,13.10306
2006-12-14,21.200001,21.77,21.200001,21.75,241200,13.32359
2006-12-15,21.200001,22.10,21.200001,21.75,315300,13.32359
2006-12-18,21.24,21.75,21.209999,21.51,363100,13.17657
2006-12-19,21.26,21.40,20.92,21.00,302400,12.86415
2006-12-20,21.889999,21.889999,21.01,21.27,164400,13.02955
2006-12-21,21.299999,21.309999,20.959999,21.10,114300,12.92541
2006-12-22,21.040001,21.07,20.85,21.040001,79000,12.88866
2006-12-26,20.92,21.620001,20.809999,21.440001,57000,13.13369
2006-12-27,21.51,22.43,21.50,22.07,453400,13.51961
2006-12-28,21.700001,22.75,21.700001,22.309999,184200,13.66663
2006-12-29,22.17,22.719999,22.17,22.26,119100,13.63600
2007-01-03,22.049999,23.15,22.049999,22.99,567600,14.08318
2007-01-04,22.780001,23.25,22.59,23.15,292400,14.18120
2007-01-05,23.24,23.42,22.51,23.280001,288000,14.26083
2007-01-08,23.440001,24.790001,23.309999,23.50,501400,14.39560
2007-01-09,22.99,23.610001,22.50,22.60,571200,13.84428
2007-01-10,22.66,22.82,21.51,21.85,542000,13.3848
2007-01-11,22.26,23.00,21.629999,22.65,877800,13.87491
2007-01-12,22.799999,23.309999,22.799999,23.16,384500,14.18732
2007-01-16,22.93,23.74,22.77,23.610001,512700,14.46298
2007-01-17,23.700001,24.200001,23.01,24.049999,431400,14.73252
2007-01-18,24.190001,24.190001,23.809999,24.00,196800,14.70189
2007-01-19,24.10,24.200001,23.809999,24.00,319100,14.70189
2007-01-22,24.00,24.25,23.90,24.049999,309600,14.73252
2007-01-23,24.24,24.24,23.65,23.76,361400,14.55487
2007-01-24,24.030001,24.030001,23.209999,23.85,153500,14.61000
2007-01-25,24.07,24.110001,23.459999,23.75,179700,14.5487
2007-01-26,23.950001,24.030001,23.370001,23.950001,261700,14.67126
2007-01-29,24.15,24.50,23.93,24.309999,297100,14.89179
2007-01-30,24.40,24.52,24.07,24.209999,249100,14.83053
2007-01-31,23.84,24.43,23.84,24.26,113600,14.86116
2007-02-01,24.59,24.59,24.10,24.190001,269300,14.81828
2007-02-02,24.40,24.75,23.85,24.700001,180000,15.130
2007-02-05,24.74,25.75,24.59,25.35,251500,15.52887
2007-02-06,25.290001,25.290001,24.25,24.82,179700,15.20420
2007-02-07,24.75,25.07,24.10,24.98,221400,15.30222
2007-02-08,25.10,25.25,24.469999,24.92,111000,15.26546
2007-02-09,25.01,25.24,24.48,24.48,88100,14.99593
