Date,Open,High,Low,Close,Volume,Adj Clos
2004-11-11,15.20,16.09,15.20,15.67,2900400,14.51257
2004-11-12,15.80,16.59,15.77,16.049999,438100,14.86450
2004-11-15,16.450001,16.73,16.049999,16.049999,260900,14.86450
2004-11-16,15.95,16.52,15.55,15.65,180600,14.49404
2004-11-17,15.85,15.99,15.76,15.90,138000,14.72558
2004-11-18,15.95,15.95,15.70,15.80,81000,14.6329
2004-11-19,15.80,15.99,15.65,15.90,91100,14.72558
2004-11-22,16.10,16.33,15.99,16.129999,139600,14.93859
2004-11-23,16.129999,16.139999,15.95,16.049999,232400,14.86450
2004-11-24,16.549999,17.00,16.50,17.00,392300,15.74433
2004-11-26,17.35,18.35,17.25,18.10,351500,16.76308
2004-11-29,18.35,18.700001,17.50,17.90,191900,16.57785
2004-11-30,17.90,17.950001,17.00,17.049999,105800,15.79064
2004-12-01,17.15,17.799999,17.059999,17.75,112500,16.43893
2004-12-02,17.90,17.92,17.299999,17.35,104600,16.06848
2004-12-03,17.50,17.60,17.059999,17.299999,61000,16.02217
2004-12-06,17.35,17.50,16.620001,16.91,113000,15.66098
2004-12-07,16.709999,16.950001,16.48,16.48,60700,15.26274
2004-12-08,16.48,16.83,16.280001,16.809999,126300,15.56836
2004-12-09,17.00,17.309999,16.629999,17.10,228500,15.83694
2004-12-10,17.10,17.15,16.51,17.15,127400,15.88325
2004-12-13,17.35,17.50,17.299999,17.389999,158100,16.10552
2004-12-14,17.389999,17.870001,17.25,17.85,83500,16.53155
2004-12-15,18.00,18.49,17.85,18.299999,321600,16.94831
2004-12-16,18.10,18.24,17.82,17.950001,106900,16.62416
2004-12-17,17.549999,17.83,17.25,17.25,286000,15.97586
2004-12-20,17.75,17.75,17.290001,17.40,114100,16.11478
2004-12-21,17.200001,17.200001,16.75,16.940001,254400,15.68876
2004-12-22,16.90,17.40,16.889999,17.40,160600,16.11478
2004-12-23,17.65,17.85,17.450001,17.469999,104000,16.17961
2004-12-27,17.52,17.549999,17.059999,17.18,30500,15.9110
2004-12-28,17.32,17.40,17.209999,17.209999,49100,15.93882
2004-12-29,17.209999,17.299999,17.10,17.10,18300,15.83694
2004-12-30,17.15,17.15,16.700001,16.85,47400,15.60541
2004-12-31,16.85,16.889999,16.27,16.280001,62700,15.07751
2005-01-03,16.299999,16.299999,15.40,15.59,121200,14.43848
2005-01-04,15.75,16.10,15.75,15.82,99600,14.65149
2005-01-05,15.90,16.10,15.55,15.86,37800,14.68853
2005-01-06,15.98,15.98,15.60,15.70,11900,14.54035
2005-01-07,15.80,15.80,15.55,15.74,19300,14.57740
2005-01-10,15.80,16.049999,15.75,16.049999,23800,14.86450
2005-01-11,16.00,16.02,15.52,15.80,44000,14.6329
2005-01-12,16.049999,16.07,15.75,15.88,61800,14.70706
2005-01-13,15.93,15.93,15.40,15.51,57600,14.3643
2005-01-14,15.61,15.73,15.55,15.66,47300,14.5033
2005-01-18,15.60,15.80,15.54,15.80,9600,14.6329
2005-01-19,15.80,15.81,15.65,15.79,16500,14.62370
2005-01-20,15.75,15.79,15.54,15.68,14300,14.52183
2005-01-21,15.65,15.65,15.51,15.58,19500,14.4292
2005-01-24,15.55,15.69,15.55,15.67,19300,14.51257
2005-01-25,15.72,15.89,15.57,15.89,16100,14.71632
2005-01-26,15.89,15.93,15.71,15.92,8300,14.74410
2005-01-27,15.85,15.95,15.56,15.85,49400,14.67927
2005-01-28,15.87,15.95,15.80,15.86,44000,14.68853
2005-01-31,15.90,15.95,15.60,15.90,56400,14.72558
2005-02-01,15.80,15.90,15.70,15.89,14500,14.71632
2005-02-02,15.95,15.95,15.75,15.84,52900,14.67001
2005-02-03,15.84,15.84,15.70,15.72,35800,14.55887
2005-02-04,15.72,15.77,15.55,15.56,48200,14.41069
2005-02-07,15.56,15.82,15.49,15.75,298900,14.58666
2005-02-08,15.76,16.00,15.70,15.95,21100,14.7718
2005-02-09,15.95,16.299999,15.95,16.10,64100,14.91081
2005-02-10,16.049999,16.049999,15.65,15.75,33800,14.58666
2005-02-11,15.72,15.95,15.57,15.60,26600,14.44774
2005-02-14,15.85,16.43,15.85,16.059999,71200,14.87376
2005-02-15,16.290001,16.50,16.200001,16.200001,34400,15.00342
2005-02-16,16.35,16.35,15.90,16.110001,38600,14.92007
2005-02-17,16.049999,16.10,15.80,15.80,20400,14.6329
2005-02-18,15.85,15.90,15.70,15.76,27800,14.59592
2005-02-22,15.77,15.83,15.03,15.32,91500,14.18842
2005-02-23,15.35,15.44,15.05,15.32,58400,14.18842
2005-02-24,15.25,15.41,15.03,15.41,104100,14.27177
2005-02-25,15.40,15.55,15.40,15.50,10700,14.35512
2005-02-28,15.65,15.70,15.49,15.52,13700,14.37365
2005-03-01,15.50,15.64,15.46,15.53,25300,14.38291
2005-03-02,15.53,15.53,15.46,15.51,13700,14.3643
2005-03-03,15.50,15.60,15.45,15.54,8500,14.39217
2005-03-04,15.60,15.95,15.59,15.84,13900,14.67001
2005-03-07,15.82,15.90,15.61,15.85,31300,14.67927
2005-03-08,15.85,15.86,15.62,15.75,18800,14.58666
2005-03-09,15.75,15.75,15.51,15.67,30600,14.51257
2005-03-10,15.67,15.67,15.01,15.24,80100,14.11433
2005-03-11,15.28,15.41,15.15,15.41,112800,14.27177
2005-03-14,15.41,15.45,15.34,15.37,12400,14.23473
2005-03-15,15.41,15.41,15.10,15.31,18600,14.17916
2005-03-16,15.31,15.31,14.50,14.98,59300,13.87353
2005-03-17,14.98,15.40,14.96,15.40,20300,14.26251
2005-03-18,15.40,15.85,15.00,15.85,66200,14.67927
2005-03-21,15.85,15.90,15.17,15.66,34700,14.5033
2005-03-22,15.55,15.60,15.30,15.52,24300,14.37365
2005-03-23,16.00,16.00,15.40,15.45,22000,14.30882
