Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,16.88,17.50,14.75,14.875,113700,14.87
2000-01-04,14.875,14.875,14.00,14.438,86500,14.43
2000-01-05,14.25,14.50,14.125,14.25,79200,14.2
2000-01-06,14.188,14.188,14.125,14.188,45700,14.18
2000-01-07,14.13,15.00,14.125,14.875,59700,14.87
2000-01-10,14.88,15.375,14.875,15.00,23700,15.0
2000-01-11,15.19,15.50,14.875,14.875,19000,14.87
2000-01-12,14.81,14.813,13.125,13.375,66700,13.37
2000-01-13,12.53,13.313,12.00,13.313,306200,13.31
2000-01-14,13.06,13.313,12.50,12.625,11200,12.62
2000-01-18,13.13,13.50,12.875,12.938,81900,12.93
2000-01-19,11.81,12.00,8.75,10.375,870900,10.37
2000-01-20,10.16,10.50,9.625,10.438,240300,10.43
2000-01-21,10.63,13.875,10.625,13.75,193900,13.7
2000-01-24,14.50,15.375,13.875,14.75,204900,14.7
2000-01-25,14.38,15.00,13.375,13.813,71600,13.81
2000-01-26,13.63,14.00,13.50,13.50,30000,13.5
2000-01-27,13.81,14.50,13.625,14.25,29800,14.2
2000-01-28,14.125,14.125,12.75,13.00,41100,13.0
2000-01-31,13.13,13.375,12.50,12.563,7600,12.56
2000-02-01,12.53,13.00,12.50,13.00,41100,13.0
2000-02-02,12.63,12.813,12.313,12.50,47500,12.5
2000-02-03,12.75,12.75,12.375,12.50,11500,12.5
2000-02-04,12.88,13.375,12.75,13.125,8100,13.12
2000-02-07,13.13,14.688,13.125,14.125,134200,14.12
2000-02-08,14.50,19.50,14.375,18.00,520600,18.0
2000-02-09,17.75,18.313,16.875,16.875,222900,16.87
2000-02-10,16.94,17.625,16.875,17.125,107300,17.12
2000-02-11,17.25,17.25,16.00,16.50,91100,16.5
2000-02-14,16.44,16.469,14.563,14.813,95900,14.81
2000-02-15,15.00,15.375,14.813,15.125,33800,15.12
2000-02-16,15.50,18.063,15.125,16.375,161400,16.37
2000-02-17,16.75,16.75,16.25,16.625,29300,16.62
2000-02-18,16.50,17.00,16.25,16.938,91700,16.93
2000-02-22,16.50,17.00,16.375,16.625,59600,16.62
2000-02-23,16.88,17.50,15.50,17.50,59300,17.5
2000-02-24,17.38,17.50,17.00,17.125,24900,17.12
2000-02-25,17.13,17.25,16.875,16.875,36100,16.87
2000-02-28,17.00,17.438,16.875,17.125,25400,17.12
2000-02-29,17.13,17.625,17.125,17.50,47900,17.5
2000-03-01,17.47,18.00,17.375,17.625,67800,17.62
2000-03-02,17.63,19.00,17.625,18.625,93600,18.62
2000-03-03,18.69,19.875,18.375,19.00,47600,19.0
2000-03-06,19.00,19.875,19.00,19.25,35800,19.2
2000-03-07,20.31,24.50,20.125,22.625,293100,22.62
2000-03-08,22.31,22.625,21.625,22.50,232400,22.5
2000-03-09,22.50,22.625,22.00,22.125,236200,22.12
2000-03-10,22.06,22.875,22.00,22.00,111100,22.0
2000-03-13,22.00,22.50,21.50,21.50,83300,21.5
2000-03-14,21.75,21.969,20.50,20.75,179900,20.7
2000-03-15,20.63,21.50,20.125,20.188,103200,20.18
2000-03-16,20.38,20.50,18.125,18.125,162300,18.12
2000-03-17,18.38,18.625,18.00,18.50,110500,18.5
2000-03-20,18.56,18.625,18.063,18.25,97900,18.2
2000-03-21,18.03,18.25,17.00,17.125,26100,17.12
2000-03-22,17.66,18.25,16.875,17.125,18100,17.12
2000-03-23,17.13,18.75,17.00,17.75,40800,17.7
2000-03-24,19.00,19.00,18.00,19.00,65900,19.0
2000-03-27,18.75,19.938,18.25,18.25,52200,18.2
2000-03-28,19.00,19.00,17.875,17.875,28200,17.87
2000-03-29,18.00,18.375,17.625,17.656,116400,17.65
2000-03-30,17.625,17.625,16.75,17.00,72800,17.0
2000-03-31,17.00,17.50,17.00,17.188,20700,17.18
2000-04-03,17.19,17.438,16.875,17.00,320100,17.0
2000-04-04,17.25,18.625,16.125,18.50,139200,18.5
2000-04-05,18.25,18.75,18.188,18.438,86000,18.43
2000-04-06,18.75,18.75,18.375,18.375,37700,18.37
2000-04-07,18.38,18.625,17.50,18.375,15700,18.37
2000-04-10,17.625,17.625,16.50,17.00,247500,17.0
2000-04-11,17.125,17.125,16.625,16.75,66200,16.7
2000-04-12,16.75,16.75,13.625,15.063,26700,15.06
2000-04-13,15.25,15.25,14.50,14.50,46300,14.5
2000-04-14,14.375,14.375,12.25,12.375,39200,12.37
2000-04-17,12.00,13.00,11.625,12.125,45100,12.12
2000-04-18,12.00,12.125,11.875,12.063,114000,12.06
2000-04-19,12.00,12.063,11.75,11.75,167900,11.7
2000-04-20,12.125,12.125,11.875,11.875,7700,11.87
2000-04-24,11.91,12.00,11.125,11.125,6700,11.12
2000-04-25,11.13,11.875,11.063,11.063,51400,11.06
2000-04-26,11.50,11.50,10.75,10.75,28200,10.7
2000-04-27,8.88,10.313,8.375,9.75,97100,9.7
2000-04-28,8.50,9.375,8.50,9.125,181700,9.12
2000-05-01,9.25,9.313,9.00,9.00,83800,9.0
2000-05-02,9.06,9.219,8.813,9.125,110400,9.12
2000-05-03,9.13,9.25,8.688,8.813,9600,8.81
2000-05-04,8.84,10.00,8.75,9.75,10700,9.7
2000-05-05,9.75,9.781,9.00,9.00,4700,9.0
2000-05-08,9.00,9.00,8.50,8.625,207800,8.62
2000-05-09,8.88,9.00,8.00,8.50,19700,8.5
2000-05-10,8.00,9.00,8.00,8.188,3600,8.18
2000-05-11,8.50,8.50,8.00,8.125,13600,8.12
2000-05-12,8.72,9.00,8.50,9.00,3200,9.0
2000-05-15,8.50,9.00,8.375,9.00,4600,9.0
2000-05-16,8.69,9.125,8.625,9.125,35600,9.12
2000-05-17,9.00,9.00,8.00,8.875,13800,8.87
2000-05-18,8.25,8.25,7.188,7.25,10500,7.2
2000-05-19,7.44,7.625,6.50,6.50,93000,6.5
2000-05-22,7.00,7.875,6.75,7.563,113700,7.56
2000-05-23,7.47,7.813,7.375,7.375,64700,7.37
2000-05-24,7.81,7.813,7.25,7.50,32600,7.5
2000-05-25,7.25,8.125,7.25,7.625,28300,7.62
2000-05-26,7.50,7.50,7.25,7.313,4600,7.31
2000-05-30,7.31,7.563,6.25,6.625,168100,6.62
2000-05-31,6.69,7.00,6.375,6.50,23200,6.5
2000-06-01,6.625,6.625,6.125,6.125,15500,6.12
2000-06-02,6.50,6.75,6.188,6.50,34300,6.5
2000-06-05,6.50,6.50,6.00,6.00,26900,6.0
2000-06-06,5.75,6.375,5.75,6.125,31700,6.12
2000-06-07,6.00,8.00,5.75,7.25,73600,7.2
2000-06-08,7.75,8.125,7.031,7.031,81000,7.03
2000-06-09,7.25,7.875,7.25,7.625,7300,7.62
2000-06-12,7.875,7.875,7.125,7.125,47600,7.12
2000-06-13,7.13,7.25,7.00,7.188,24500,7.18
2000-06-14,7.25,7.50,6.938,7.00,17600,7.0
2000-06-15,7.03,7.031,6.938,6.938,4200,6.93
2000-06-16,6.94,7.125,6.938,6.969,2000,6.96
2000-06-19,6.97,7.563,6.969,7.313,15900,7.31
2000-06-20,7.375,7.375,7.125,7.313,15700,7.31
2000-06-21,7.313,7.75,7.313,7.50,22800,7.5
2000-06-22,7.69,7.875,7.688,7.813,43600,7.81
2000-06-23,7.75,7.813,7.625,7.625,2000,7.62
2000-06-26,7.63,7.813,7.375,7.75,11000,7.7
2000-06-27,7.31,7.313,6.563,6.625,45600,6.62
2000-06-28,6.69,6.75,6.625,6.75,6600,6.7
2000-06-29,6.59,6.875,6.50,6.75,7100,6.7
2000-06-30,6.50,6.75,6.313,6.438,37200,6.43
2000-07-03,6.25,6.25,6.25,6.25,400,6.2
2000-07-05,6.19,6.563,6.188,6.375,15100,6.37
2000-07-06,6.19,6.25,5.625,5.656,127800,5.65
2000-07-07,6.00,6.00,5.50,5.625,39600,5.62
2000-07-10,5.625,5.875,5.625,5.813,9800,5.81
2000-07-11,5.88,6.438,5.844,6.375,32100,6.37
2000-07-12,6.31,6.313,6.00,6.00,20600,6.0
2000-07-13,6.125,6.875,6.125,6.813,62100,6.81
2000-07-14,7.06,7.125,6.875,6.875,43700,6.87
2000-07-17,6.97,7.125,6.938,6.938,28200,6.93
2000-07-18,7.12,7.188,6.25,6.25,9800,6.2
2000-07-19,6.75,7.063,6.50,6.875,27100,6.87
2000-07-20,6.88,6.938,6.813,6.875,50300,6.87
2000-07-21,6.875,6.875,6.75,6.75,33400,6.7
2000-07-24,6.875,6.875,6.563,6.625,5800,6.62
2000-07-25,6.62,7.00,6.594,6.75,13000,6.7
2000-07-26,7.00,7.688,7.00,7.438,237800,7.43
2000-07-27,7.75,7.75,6.50,7.00,155600,7.0
2000-07-28,6.88,7.00,6.875,6.875,3000,6.87
2000-07-31,6.88,7.00,6.375,6.50,53800,6.5
2000-08-01,6.31,6.375,6.125,6.188,30500,6.18
2000-08-02,6.25,6.25,6.188,6.25,7800,6.2
2000-08-03,6.19,6.25,6.188,6.25,17300,6.2
2000-08-04,6.25,6.625,5.188,5.844,58500,5.84
2000-08-07,5.81,6.094,5.75,5.875,8600,5.87
