Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,28.875,28.875,28.125,28.50,203200,6.18497
2000-01-04,28.625,28.625,27.75,28.00,359600,6.07646
2000-01-05,28.312481,29.00,28.00,28.75,682000,6.23922
2000-01-06,28.75,29.00,28.50,28.937519,168800,6.27992
2000-01-07,28.437519,31.00,28.437519,30.375,485200,6.5918
2000-01-10,31.125,32.375,30.50,32.375,305600,7.02591
2000-01-11,32.375,32.375,31.875,32.00,256400,6.94453
2000-01-12,32.062481,32.125,30.687519,31.50,690000,6.83602
2000-01-13,31.75,32.00,31.625,31.75,379200,6.89027
2000-01-14,31.875,32.125,31.75,32.00,264000,6.94453
2000-01-18,31.75,32.125,31.75,32.125,101200,6.97165
2000-01-19,32.125,33.00,32.00,32.875,269600,7.13442
2000-01-20,32.718761,34.875,32.25,32.75,433600,7.10729
2000-01-21,32.125,32.25,31.50,31.875,372800,6.91740
2000-01-24,32.00,32.00,31.625,31.875,264400,6.91740
2000-01-25,31.812481,31.937519,31.625,31.937519,210000,6.93097
2000-01-26,31.875,31.875,30.812481,31.50,99200,6.83602
2000-01-27,30.437519,30.437519,28.50,28.50,125200,6.18497
2000-01-28,29.312481,30.50,29.00,30.50,85200,6.61900
2000-01-31,29.75,30.25,28.937519,29.00,70000,6.29348
2000-02-01,29.437519,29.437519,28.375,28.562481,137200,6.19853
2000-02-02,29.125,29.50,28.562481,28.875,51200,6.26635
2000-02-03,29.50,32.00,29.00,31.875,369200,6.93806
2000-02-04,32.25,33.125,31.50,32.593761,238800,7.09451
2000-02-07,33.00,33.50,32.50,33.00,324000,7.18294
2000-02-08,33.00,33.375,31.00,32.625,189600,7.10131
2000-02-09,33.50,33.875,33.25,33.875,77200,7.37339
2000-02-10,33.687519,33.75,32.50,33.312481,113600,7.25095
2000-02-11,33.625,33.625,31.875,32.00,47200,6.96527
2000-02-14,31.937519,32.00,31.25,32.00,66400,6.96527
2000-02-15,32.00,32.062481,31.00,31.25,1128800,6.80202
2000-02-16,32.00,32.062481,31.50,32.00,193600,6.96527
2000-02-17,32.00,32.00,31.375,31.625,355200,6.88365
2000-02-18,31.375,31.875,31.25,31.625,469600,6.88365
2000-02-22,31.25,31.437519,30.50,30.875,71200,6.72040
2000-02-23,30.875,31.00,29.25,29.25,116000,6.36669
2000-02-24,29.25,30.00,28.375,28.937519,112400,6.29868
2000-02-25,29.312481,29.875,29.00,29.187519,114400,6.35309
2000-02-28,29.00,29.00,28.50,28.687519,98800,6.24426
