Date,Open,High,Low,Close,Volume,Adj Clos
2010-12-21,4.499995,4.749995,4.249996,4.249996,435600,12.74998
2010-12-22,4.369995,4.369995,4.049996,4.249996,72200,12.74998
2010-12-23,4.249996,4.319996,4.119996,4.219996,37400,12.65998
2010-12-27,4.289995,4.399995,4.219996,4.289995,26600,12.86998
2010-12-28,4.289995,4.349996,4.209996,4.209996,25000,12.62998
2010-12-29,4.359995,5.389994,4.259995,4.899995,206100,14.69998
2010-12-30,5.889994,6.109994,4.909995,4.999995,914300,14.99998
2010-12-31,4.909995,5.049995,4.699995,4.739995,126000,14.21998
2011-01-03,4.849995,5.249995,4.809995,4.979995,211700,14.93998
2011-01-04,5.199995,5.199995,4.649995,4.739995,117100,14.21998
2011-01-05,4.649995,5.049995,4.559995,4.649995,80300,13.94998
2011-01-06,4.919995,4.919995,4.449995,4.569995,94100,13.70998
2011-01-07,4.669995,4.669995,4.479995,4.549995,30200,13.64998
2011-01-10,4.649995,4.699995,4.489995,4.499995,30300,13.49998
2011-01-11,4.509995,4.619995,4.489995,4.559995,23500,13.67998
2011-01-12,4.599995,4.689995,4.509995,4.569995,24400,13.70998
2011-01-13,4.679995,4.679995,4.359995,4.379996,37700,13.13998
2011-01-14,4.379996,4.569995,4.299995,4.539995,44000,13.61998
2011-01-18,4.399995,4.619995,4.399995,4.549995,16900,13.64998
2011-01-19,4.549995,4.549995,4.199996,4.509995,72800,13.52998
2011-01-20,4.479995,4.509995,4.349996,4.509995,56500,13.52998
2011-01-21,4.419995,4.579995,4.249996,4.299995,55800,12.89998
2011-01-24,4.319996,4.379996,4.199996,4.249996,27000,12.74998
2011-01-25,4.249996,4.249996,4.149996,4.189996,7300,12.56998
2011-01-26,4.159996,4.289995,4.149996,4.249996,9000,12.74998
2011-01-27,4.229995,4.399995,4.229995,4.279996,8100,12.83998
2011-01-28,4.349996,4.349996,4.099996,4.249996,15600,12.74998
2011-01-31,4.249996,4.349996,4.149996,4.299995,48100,12.89998
2011-02-01,4.289995,4.769995,4.289995,4.499995,91500,13.49998
2011-02-02,4.549995,4.679995,4.269996,4.499995,71000,13.49998
2011-02-03,4.519995,4.559995,4.399995,4.489995,39800,13.46998
2011-02-04,4.449995,4.469995,4.299995,4.369995,29100,13.10998
2011-02-07,4.479995,4.569995,4.299995,4.399995,20900,13.19998
2011-02-08,4.369995,4.589995,4.339996,4.549995,16400,13.64998
2011-02-09,4.499995,4.579995,4.399995,4.499995,11900,13.49998
2011-02-10,4.399995,4.479995,4.309996,4.479995,15500,13.43998
2011-02-11,4.449995,4.499995,4.309996,4.359995,19800,13.07998
2011-02-14,4.409995,4.409995,4.249996,4.299995,19100,12.89998
2011-02-15,4.299995,4.449995,4.299995,4.349996,17600,13.04998
2011-02-16,4.589995,4.629995,4.329995,4.369995,37300,13.10998
2011-02-17,4.389995,4.479995,4.349996,4.449995,9600,13.34998
2011-02-18,4.539995,4.539995,4.399995,4.489995,15300,13.46998
2011-02-22,4.359995,4.529995,4.349996,4.419995,18200,13.25998
2011-02-23,4.379996,4.399995,4.199996,4.289995,29300,12.86998
2011-02-24,4.329995,4.389995,4.289995,4.369995,2600,13.10998
2011-02-25,4.269996,4.399995,4.199996,4.349996,9300,13.04998
2011-02-28,4.279996,4.299995,4.249996,4.259995,7300,12.77998
2011-03-01,4.259995,4.329995,4.209996,4.239996,7900,12.71998
2011-03-02,4.219996,4.289995,4.209996,4.269996,5800,12.80998
2011-03-03,4.279996,4.349996,4.209996,4.279996,5800,12.83998
2011-03-04,4.299995,4.309996,4.179996,4.209996,11100,12.62998
2011-03-07,4.149996,4.259995,4.149996,4.229995,6300,12.68998
2011-03-08,4.209996,4.279996,4.099996,4.149996,6300,12.44998
2011-03-09,4.109996,4.119996,3.909996,4.009996,15000,12.02998
2011-03-10,3.899996,3.909996,3.399996,3.739996,21100,11.21998
2011-03-11,3.629996,3.929996,3.629996,3.929996,9500,11.78998
2011-03-14,3.839996,3.899996,3.619996,3.749996,9100,11.24998
2011-03-15,3.679996,3.679996,3.599996,3.649996,6200,10.94998
2011-03-16,3.599996,3.799996,3.539996,3.579996,3100,10.73998
2011-03-17,3.509996,3.729996,3.469996,3.699996,6000,11.09998
2011-03-18,3.699996,3.699996,3.549996,3.559996,4700,10.67998
2011-03-21,3.679996,3.719996,3.359996,3.419997,6300,10.2599
2011-03-22,3.479996,3.599996,3.379997,3.599996,11900,10.79998
2011-03-23,3.739996,3.739996,3.559996,3.659996,12600,10.97998
2011-03-24,3.689996,3.689996,3.329996,3.429996,16300,10.28998
2011-03-25,3.439996,3.629996,3.329996,3.409996,9800,10.22998
2011-03-28,3.449997,3.459996,3.349997,3.359996,6900,10.07998
2011-03-29,3.449997,3.629996,3.449997,3.619996,8800,10.85998
2011-03-30,3.679996,3.699996,3.499996,3.699996,12800,11.09998
2011-03-31,3.659996,3.659996,3.389996,3.589996,15400,10.76998
2011-04-01,3.449997,3.569996,3.439996,3.439996,3700,10.31998
2011-04-04,3.459996,3.529996,3.439996,3.439996,3200,10.31998
2011-04-05,3.379997,3.429996,3.349997,3.349997,2300,10.0499
2011-04-06,3.449997,3.449997,3.149997,3.199997,11500,9.5999
2011-04-07,3.119997,3.239997,3.119997,3.169997,2000,9.5099
2011-04-08,3.189997,3.189997,2.609997,2.769997,38400,8.30999
2011-04-11,2.739997,2.919997,2.259998,2.399997,61600,7.19999
2011-04-12,2.399997,2.399997,2.119998,2.209998,37200,6.62999
2011-04-13,2.599997,3.209997,2.509997,2.769997,272900,8.30999
2011-04-14,2.769997,2.819997,2.619997,2.799997,43600,8.39999
2011-04-15,2.799997,2.799997,2.599997,2.679997,19800,8.03999
2011-04-18,2.649997,2.799997,2.649997,2.669997,96100,8.00999
2011-04-19,2.699997,3.429996,2.699997,3.229996,110900,9.68998
2011-04-20,3.229996,3.349997,3.229996,3.319997,38000,9.9599
2011-04-21,3.349997,3.439996,3.299996,3.379997,31500,10.1399
2011-04-25,3.449997,3.669996,3.399996,3.629996,48300,10.88998
2011-04-26,3.699996,3.789996,3.339997,3.519996,53300,10.55998
2011-04-27,3.499996,3.499996,3.299996,3.439996,32700,10.31998
2011-04-28,3.489996,3.489996,3.269997,3.269997,7300,9.8099
2011-04-29,3.309997,3.309997,3.179997,3.209997,14000,9.6299
2011-05-02,3.229996,3.249997,2.929997,3.229996,38500,9.68998
2011-05-03,3.299996,3.299996,3.059997,3.099997,8400,9.2999
2011-05-04,3.099997,3.099997,2.949997,3.039997,15000,9.1199
2011-05-05,3.149997,3.179997,2.989997,3.059997,18800,9.17999
2011-05-06,3.009997,3.149997,3.009997,3.079997,1800,9.2399
2011-05-09,2.969997,3.079997,2.969997,2.999997,7900,8.99999
2011-05-10,2.999997,2.999997,2.939997,2.969997,1600,8.90999
2011-05-11,2.999997,3.099997,2.949997,3.059997,13600,9.17999
2011-05-12,3.019997,3.169997,2.969997,3.099997,18100,9.2999
2011-05-13,3.119997,3.159997,3.029997,3.139997,12200,9.4199
2011-05-16,3.119997,3.249997,3.009997,3.079997,8600,9.2399
2011-05-17,3.149997,3.219997,3.089997,3.199997,23500,9.5999
2011-05-18,3.239997,3.289997,3.099997,3.179997,5200,9.5399
2011-05-19,3.239997,3.239997,2.839997,3.009997,14900,9.0299
2011-05-20,3.119997,3.169997,3.079997,3.139997,7800,9.4199
2011-05-23,3.179997,4.389995,3.179997,3.869996,107400,11.60998
2011-05-24,3.879996,3.959996,3.549996,3.659996,19300,10.97998
2011-05-25,3.649996,3.719996,3.549996,3.609996,12700,10.82998
2011-05-26,3.589996,3.609996,3.439996,3.439996,12200,10.31998
2011-05-27,3.419997,3.579996,3.359996,3.359996,8600,10.07998
2011-05-31,3.499996,3.499996,3.249997,3.299996,10000,9.89998
2011-06-01,3.299996,3.299996,3.019997,3.089997,5600,9.26999
2011-06-02,3.139997,3.139997,2.879997,3.019997,17800,9.05999
2011-06-03,2.999997,3.079997,2.999997,3.039997,4100,9.1199
2011-06-06,3.079997,3.079997,3.049997,3.049997,700,9.1499
2011-06-07,2.999997,3.039997,2.909997,2.939997,6800,8.8199
2011-06-08,2.969997,3.019997,2.749997,2.759997,10700,8.27999
2011-06-09,2.749997,2.839997,2.499997,2.559997,13500,7.67999
2011-06-10,2.709997,2.709997,2.499997,2.599997,7800,7.79999
2011-06-13,2.639997,2.639997,2.499997,2.579997,9400,7.73999
2011-06-14,2.569997,2.629997,2.469997,2.599997,5300,7.79999
2011-06-15,2.589997,2.589997,2.399997,2.569997,89700,7.70999
2011-06-16,2.639997,2.709997,2.609997,2.659997,6200,7.97999
2011-06-17,2.659997,2.699997,2.639997,2.659997,9900,7.97999
2011-06-20,2.699997,2.839997,2.649997,2.739997,3300,8.21999
2011-06-21,2.789997,2.849997,2.739997,2.749997,2900,8.24999
2011-06-22,2.829997,2.889997,2.509997,2.799997,30600,8.39999
2011-06-23,2.819997,3.029997,2.799997,2.999997,11900,8.99999
2011-06-24,3.039997,3.079997,2.899997,2.979997,31000,8.9399
2011-06-27,2.869997,2.909997,2.709997,2.899997,9200,8.69999
2011-06-28,2.889997,2.989997,2.869997,2.899997,2500,8.69999
2011-06-29,2.899997,2.979997,2.899997,2.949997,3000,8.84999
2011-06-30,2.899997,2.949997,2.799997,2.799997,13300,8.39999
2011-07-01,2.829997,2.829997,2.749997,2.749997,2600,8.24999
2011-07-05,2.749997,2.749997,2.619997,2.749997,3900,8.24999
2011-07-06,2.659997,2.949997,2.639997,2.939997,5600,8.8199
2011-07-07,2.929997,3.169997,2.929997,3.169997,12800,9.5099
2011-07-08,3.199997,3.459996,3.119997,3.189997,14700,9.5699
2011-07-11,3.229996,3.229996,3.139997,3.149997,1200,9.4499
2011-07-12,3.149997,3.299996,3.149997,3.269997,4600,9.8099
2011-07-13,3.219997,3.289997,3.179997,3.289997,3100,9.8699
2011-07-14,3.259997,3.999996,3.259997,3.939996,139700,11.81998
2011-07-15,3.839996,3.999996,3.439996,3.549996,23900,10.64998
2011-07-18,3.579996,3.699996,3.399996,3.689996,35200,11.06998
2011-07-19,3.689996,3.729996,3.399996,3.509996,17400,10.52998
